cid,text,time,author,channel,votes,photo,heart
UgzL8AY6oBpsH-jspMp4AaABAg,Sabudaana fry karte samay  beech mei se kaccha kyu reh jata hai,4 days ago,Ranju Chopra,UCaQbcut-gy8Z3mOhOAnew-g,0,https://yt3.ggpht.com/ytc/AKedOLSZA2y006EvIySzaqQtwmrcJh8B8Pb9mQQguA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw7SalEBFkwXrwojsB4AaABAg,Dii ye bhout hi achi recipe h,2 weeks ago,Aditya Singh,UCV8R0OuQ-SfPLWnt15mvTrA,1,https://yt3.ggpht.com/VLeQ5EwRd6dxA37JIsVcxBqbD5tabf6JJNn8iO81XrNwxDY63pAYBckPbwePRJ-Oo-SCkCzc=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz9zmjTioqkLIkbBdZ4AaABAg,Bahut sundar  namkeen,2 weeks ago,Beena Bisht,UCs8YTnPdLWNkmCJsekBD7ww,0,https://yt3.ggpht.com/ytc/AKedOLRQnwBxJhDxkERKD-QzA7jVknPoSFAUyovrVg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyDAUxUwn_dY0Q0Z_B4AaABAg,बहुत अच्छा बताया,3 weeks ago,Shivani Kushwaha,UCcJoxM9IRHn8tPjybQCa21g,0,https://yt3.ggpht.com/tlrgrovyYAFE2x0oKn8z91G1KBShcpMtQXWkWZNvVRR1luf8TRqZydLbByliLSDMLUu0Mr-6VQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxK_ZnmbFiAentK4al4AaABAg,Yummy 😋,1 month ago,Seema Mehta,UCycUA2cKMeXf4Lx_kNACQjA,0,https://yt3.ggpht.com/ytc/AKedOLS4b38pOOO_p1CArN6Vntm7p69884nRkb6nG1VquB71CtSaXDuPcV-FqYPNcHet=s176-c-k-c0x00ffffff-no-rj,0.0
UgxfWHI9N2SH5qy97SB4AaABAg,निशा जी क्या हम इस मिक्सचर में आलू के लच्छे भी डाल सकते हैं क्या?,6 months ago,Ayush Pateria,UCMDh6J09KW1h6yU0Mn4xEDQ,0,https://yt3.ggpht.com/ytc/AKedOLSht4b_gz2stRv56gswHqAiYxoqWo3TbPhtO3uGuw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxwY_--N7pEzSxIsy94AaABAg,Bahut achha,6 months ago,Mata Rani,UCrIpmQmem6zJir8AShzYstQ,0,https://yt3.ggpht.com/ytc/AKedOLSnYooy13KNP49adHv83URzehZkbM3vI2jFyAjIRSEdRXMz9ZJwOPM4hkac5VQu=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw-vLFGvbkrUBZ9EH54AaABAg,Nice things in namkeen,6 months ago,Sweta Khan,UCHbaFAFaRjp-jcwsOP53yWA,0,https://yt3.ggpht.com/ytc/AKedOLTOk5DQEeQWR7uXeyL_o7bO4payYs8t0u8bEOtyKswKqzCUaqziutBWBPJ4aT9M=s176-c-k-c0x00ffffff-no-rj,0.0
UgxRqCxREKs9En-7MYp4AaABAg,Kya mem sabudana bhigona padega ya shuka ki talna h,6 months ago,omniprakash sharma,UCrPduZe8tGoMB_1O-6VXhVQ,0,https://yt3.ggpht.com/ytc/AKedOLSEQ_M9Q_uda9XzTMAFfkkTs3Tte_qsf6tbCg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz-xT2-IoPVxqTSJzJ4AaABAg,💌💚,6 months ago,Manthan Khinchi,UCJ8ED8ey5DaTanmnvwtjU4w,0,https://yt3.ggpht.com/ytc/AKedOLTEdqAL1l5mAQXWytxbgry7phB2Dwij2n-BZ3BC_w=s176-c-k-c0x00ffffff-no-rj,0.0
