cid,text,time,author,channel,votes,photo,heart
Ugzj9Cr69mDjpNPCKkl4AaABAg,Thanks mam,2 days ago,Suman Kumari,UC6QyRB-wsWydqOO1F0IUb3A,0,https://yt3.ggpht.com/ytc/AKedOLSE-gy_96Ggo3Gl-Tf88MLvnp5UmMKzKkvcIw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw6ix3gISqCUqhlVod4AaABAg,What is boora can anyone explain me,2 weeks ago,swarnadeep gaming,UCbJjh-AYkQn7OlvFTpTfngQ,0,https://yt3.ggpht.com/ytc/AKedOLRqlJzsopVVELg5gK4DKmDhwBlXh8BzBKmItnL1=s176-c-k-c0x00ffffff-no-rj,0.0
UgxzK-hBEKq0WIHKupp4AaABAg,Thank you nisha aunty  ji for the video 👍😊,2 weeks ago,BE Crafts n Creations,UCoFyEjwGBilPczMJ80TBJ3A,0,https://yt3.ggpht.com/3QpuSA3g3Zs-u4_7iEzt3ldQJNtIWl3g6TIlwTJSE7zpcLkcXa4zLPGNxkKjRcRwRehvHjPFRA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz6r5aJJex6wEa5U4J4AaABAg,Q3,4 weeks ago,Arjun lal Choudhary,UC0um_HKiB9NSA0JMdkK6Ewg,0,https://yt3.ggpht.com/ytc/AKedOLT2leNfM6FYuiz2AWNjn3T0rLiyaOzukYk6RA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzh_8fA-4UL9FjxuCN4AaABAg,Thanks mam,1 month ago,Dimpy Sharma,UCLGuQf0HBF4_gMlZtXGAjAw,0,https://yt3.ggpht.com/ytc/AKedOLRtq24f3ODJbAJhNYfC5jGC9km_0ox_-ScW2w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx0mMu_jLe4xmApotN4AaABAg,Maine try kiya and bahut yummy bana😋,1 month ago (edited),"Bhawna, 135 - A",UCwL035zN9SSI8FkVaVZfLTg,0,https://yt3.ggpht.com/ytc/AKedOLR_zmPshlZ47yMLobY4XuQUBzYOAjmEtneKyg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyxcH7jM5DLPY6hSPJ4AaABAg,Kia yh churna hm pregnancy time me kha skte h kia,1 month ago,Shaziya Khan,UC00KwLInqcKXGsCWHz2kbRw,0,https://yt3.ggpht.com/ytc/AKedOLS-JkS_feZXypHhczJOKUxE3CMCLC_vwaKux-crfSToTVTST9-FUY3kCVSeFEZ0=s176-c-k-c0x00ffffff-no-rj,0.0
UgxBaJ6yIcDsMoqmI3d4AaABAg,बहुत बढ़िया। लाज़वाब डिश है। मेरी बेटी को बहुत पसंद है। आज ही बनाऊँगा। धन्यवाद।,1 month ago,Anil Kanojia,UCwJjhHjLHtLLNus27-CZbzQ,0,https://yt3.ggpht.com/ytc/AKedOLQm4OueH8c8VnNk0AAzAjV59yr3nH0acT_MvbJjpg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx09-UKeULNszXgGq54AaABAg,Ma banaya tha very testy.. Thanks 🌹nisha ji,2 months ago,tuhin subhra kuity,UCeSPNME6OWWmtQCxKD6TZXg,0,https://yt3.ggpht.com/ytc/AKedOLTyPPRZEMoHCjhv1GUI0ffFd5qH2SkV6O1CJiyJ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzXYOTkVuVm7PbpzIl4AaABAg,wheat flour ki jaga soji dal skty h?,2 months ago,Yellow yellow,UCbuMtfjhDkkfb2B29DQolmw,0,https://yt3.ggpht.com/ytc/AKedOLQkmPecSIRkZwC4PUPydtt5R3LVBKFX1_kboOg3pBJrrIuOZqGsHPBYXpvIGdld=s176-c-k-c0x00ffffff-no-rj,0.0
UgzccM39KaUP1Par5EZ4AaABAg,Jai shree shyam,3 months ago,am.gaming,UC_zsNSKZyBMAGNys-84k1SQ,0,https://yt3.ggpht.com/5q0pv4ESo-IcJp8XP7_ScUUpeHC2Bzmm6nFRgm4asSloB9M7zPBOpJJ_1ThWBdl5WL3oJheWhA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyg2HMulrSnN8uUO1V4AaABAg,Thnx mam,3 months ago,Ruby Shaikh,UCWC7meUfKYowVDoGjvi9EoQ,0,https://yt3.ggpht.com/ytc/AKedOLSj9yKqFSRv0YFbxOg8cfi7_GBqrPuW4te0rg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzJGrK3jncaYZ5GAct4AaABAg,Wow mam tried this it turned out to be awesome ❤️ thanks a lot mam 🙏,3 months ago,Divya Angel,UCbFyl35QQaGVh4Q7f5pntVg,0,https://yt3.ggpht.com/ytc/AKedOLTzIyZw_3--FBdGt_7VFWAUSzs4Dr4Txe2bZFpmqw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzoDIBvf_8RQPMchIh4AaABAg,🙏😋🤤💕👌🥰🥰🥰,4 months ago,Guddi Suthar,UCkJOZBRJ7Tg6TxGKDBhLxhg,0,https://yt3.ggpht.com/ytc/AKedOLS2ADdDhRWkeovQe4y1S_ZB0g7uIY9zl8Z_-g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy4DfTDqQ9RGhrweBZ4AaABAg,I intend to make this with jaggery powder + pure mishri powder instead of boori khand/white processed refined sugar...Wonderful recipe :-),4 months ago,Arika Tank,UCwtNFfZszB1uY7HRs9bNMBw,0,https://yt3.ggpht.com/ytc/AKedOLQKArFFEJMhBjsuvHSE1kjfxBO5GcaS7BcrUMtQag=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx6jzjEexbnFsdNzul4AaABAg,"what is the bhora please guide 
i am from pakistan",4 months ago,Naeem Muhammad,UCDi4VG3h7JHd-Nryqi7R86A,0,https://yt3.ggpht.com/ytc/AKedOLSkDFA7X3zOfLowHbf9LyLGjtlS3Uu21bEL1vSe=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxfm1rhYGo2PGwvlfp4AaABAg,"Mam, gluten free banana hai to kaun sa aata use kare?? Please show gluten free version",4 months ago,Sipsap S,UCEYIuAChZmgP-jVMzy4iZAQ,0,https://yt3.ggpht.com/ytc/AKedOLQscoX1x-fWk0Vz1Wn5BOMt-MfMdUkpUuaXtQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwzQIpD3MPhoNMGhu54AaABAg,Can this be made in form of laddoo. If so then how...?,4 months ago,sreeja varadarajan,UCOtb6Mi3sUeXuUjEyEIVKUA,0,https://yt3.ggpht.com/ytc/AKedOLRxjZpXFK3p55iL1lSZ2ob78DqSy4hcX5XzgQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwywXuEXkYprz4c72x4AaABAg,Thank you very much.,4 months ago,sreeja varadarajan,UCOtb6Mi3sUeXuUjEyEIVKUA,0,https://yt3.ggpht.com/ytc/AKedOLRxjZpXFK3p55iL1lSZ2ob78DqSy4hcX5XzgQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyjd_jecJg_g3HYV4Z4AaABAg,"What is boora , we are South Indian don't know boora. Is it sugar...?",4 months ago,sreeja varadarajan,UCOtb6Mi3sUeXuUjEyEIVKUA,0,https://yt3.ggpht.com/ytc/AKedOLRxjZpXFK3p55iL1lSZ2ob78DqSy4hcX5XzgQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzj9Cr69mDjpNPCKkl4AaABAg.9_nNX4pH-_i9_nSBC9_qpr,"Most Welcome, Suman Kumari",2 days ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw6ix3gISqCUqhlVod4AaABAg.9_CKR7Gji4o9_DvO7YufBe,"*swarnadeep gaming*, boora ya tagar pisi hui sugar jaisi hoti hai.  Ye bazar main mil jati hai.   Hum ise ghar par bhi bana sakte hain.
https://www.youtube.com/watch?v=69gb3DF_9uo",2 weeks ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxzK-hBEKq0WIHKupp4AaABAg.9_4Y2U2Ld2j9_60nGjuGRB,Thanks n welcome  BE Crafts n Creations,2 weeks ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzh_8fA-4UL9FjxuCN4AaABAg.9Z-F0Siy1Z59Z0ejQtLMhc,"Most Welcome, Dimpy Sharma",1 month ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx0mMu_jLe4xmApotN4AaABAg.9YuLRCYe4Yj9YuPQoWR0eX,"Bahut bahut dhanyawad Bhawna, 135 - A",1 month ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyxcH7jM5DLPY6hSPJ4AaABAg.9Ysazpb1Rru9Yu3YEYlNhw,"Yes Shaziya Khan ,  kha skte hai. ",1 month ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxBaJ6yIcDsMoqmI3d4AaABAg.9YhfleaJ4bL9YhiPMVzPdU,Thanks n welcome  Anil Kanojia,1 month ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx09-UKeULNszXgGq54AaABAg.9XmcdUqIzox9Xr2fZedrRD,Thanks n welcome  tuhin subhra kuity,2 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzXYOTkVuVm7PbpzIl4AaABAg.9XhhuTJ-4qk9XjKHQ0fb84,Yes Yellow yellow dal skte hai ,2 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzccM39KaUP1Par5EZ4AaABAg.9WuHF-ghcKL9WvomAR3vF7,"am.gaming ,  🙏",3 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyg2HMulrSnN8uUO1V4AaABAg.9WSkZdyHA3Y9WUNvL13WSH,"Most Welcome, Ruby Shaikh",3 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzJGrK3jncaYZ5GAct4AaABAg.9WDquVaR27U9WEv7-q50Nr,Thanks n welcome  Divya Angel,3 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzoDIBvf_8RQPMchIh4AaABAg.9VvRo1C0MpG9VvYmFvjpPz,"Thank you so much, Guddi Suthar",4 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy4DfTDqQ9RGhrweBZ4AaABAg.9VcwF6kvgjq9VdNHnykswA,Thanks Arika Tank  for the feedback.,4 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx6jzjEexbnFsdNzul4AaABAg.9VXa53a2jLp9VanIAQN6_E,"Naeem Muhammad ,  boora or tagar is similar to grind sugar.  It is available at kirana shops. We can make it at home too. It is my video on it.  
https://www.youtube.com/watch?v=69gb3DF_9uo",4 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxfm1rhYGo2PGwvlfp4AaABAg.9VSs2sVzB7s9VU1lGJ5pco," Sipsap S  , this recipe is already available at my youtube channel at following link
https://www.youtube.com/watch?v=bA2ammAqjXM",4 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxfm1rhYGo2PGwvlfp4AaABAg.9VSs2sVzB7s9VU7lUgwqjh, @Nisha Madhulika  thanks,4 months ago,Sipsap S,UCEYIuAChZmgP-jVMzy4iZAQ,0,https://yt3.ggpht.com/ytc/AKedOLQscoX1x-fWk0Vz1Wn5BOMt-MfMdUkpUuaXtQ=s176-c-k-c0x00ffffff-no-rj,0.0
