cid,text,time,author,channel,votes,photo,heart
UgyTVnW6NMETdl2LS554AaABAg,Mam aapke face pr bhut glow hain btaiye na kya lgati ho,9 days ago,nidhi bharti,UCZ2rUA-zlHe0cBmdHCU4Azg,0,https://yt3.ggpht.com/ytc/AKedOLSP0KLbajlZvzpYLiUhXyYP-JWvPOqhTQSBlw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzcg8bO_Z-vc367sz54AaABAg,Sham ke nashte mein main aaj aap ki recipe try ki bahut hi Achcha bahut swadisht bataen thankyou Mom 🙏🙏🙏,1 month ago,Neha Singh,UCBdBnDymhqVk8vS6RHa8M-w,1,https://yt3.ggpht.com/ytc/AKedOLTqGpdEmQjxgSDchIE26HcngSqfyKTlTskTh1lv=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz_M1mvkvFr7CzHjIN4AaABAg,Mam aapka Puri to bahut testi banaa aur Patta gobhi ka sabji banane ka recipe aap bataiye,1 month ago,Madhu Bala,UCjd6CFUfCnu70DLRKQe57fg,0,https://yt3.ggpht.com/ytc/AKedOLQw2U51eSWLXJpCYMvxOfJKW0XxrEYAlhSa3RbGJgYez3mPGT9EiOiWUnRDbS6r=s176-c-k-c0x00ffffff-no-rj,0.0
UgwJ89fTbDWwdWRXB5B4AaABAg,Kya atta gundh kar 2 ghante rakh sakte hain mam,1 month ago (edited),Renu Gupta,UCtwmfNjuncDMB-havSR1rTQ,0,https://yt3.ggpht.com/ytc/AKedOLSIQIw19-hdEXA_8uftcDGxYYOPHCNKZgfmkkciT9m96GQgUIy4ao5Sqfpvby_K=s176-c-k-c0x00ffffff-no-rj,0.0
UgzjPotkR1pojW_P-BZ4AaABAg,👌🏻👌🏻👌🏻👌🏻,1 month ago,rashmi sinha,UCtP1Ni_omVreZtPYRUkUZQA,0,https://yt3.ggpht.com/ytc/AKedOLQyVd-HlNXFqpkGNiRGelMjk16uU9EUzueBOsao=s176-c-k-c0x00ffffff-no-rj,0.0
UgzD9-LAeDIh-vjmIKF4AaABAg,Yummy😋😋,1 month ago,rashmi sinha,UCtP1Ni_omVreZtPYRUkUZQA,0,https://yt3.ggpht.com/ytc/AKedOLQyVd-HlNXFqpkGNiRGelMjk16uU9EUzueBOsao=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx2ONK03ieA0RcigPJ4AaABAg,👌👌👌👌👌😋😋🙏,2 months ago,Rassila Parmar,UCtv3QgtuRSevZt1WLiZ8_6w,0,https://yt3.ggpht.com/ytc/AKedOLQJUPUE2VwwbscOJZcUANqWMKT1GKhBWVJsabE0ww=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwd_-wd0bEZqY4tOeJ4AaABAg,Bajre k aate ki kachori banayiye,2 months ago,Renu Sharma,UCiv77XTMx-xHVW4-Ta_IRQA,0,https://yt3.ggpht.com/ytc/AKedOLSHlNve6FDaOQi0oqmgQslN7_PFiPY1ohuKVg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzyfnek5B4izsuNLTJ4AaABAg,perfect rajma kaise banaye आदरणीय madam?,3 months ago,Ethen Swastik,UCxvvwh4BunL577EUxeKK2sA,0,https://yt3.ggpht.com/ytc/AKedOLTqBp6M3JUaYBrjmOB3Gi6WLKxCbTjpoUc5Xg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyrA_onHfnct0_1loV4AaABAg,"namaskar आदरणीय  madam,bahut hi jabardust receipe hai..",3 months ago,Ethen Swastik,UCxvvwh4BunL577EUxeKK2sA,0,https://yt3.ggpht.com/ytc/AKedOLTqBp6M3JUaYBrjmOB3Gi6WLKxCbTjpoUc5Xg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzy8__3w-_fFDfV4ER4AaABAg,👌 recipe mam,3 months ago,Reshma Pinjari,UCsa8dPiFD2JJmFOiALh8QSA,0,https://yt3.ggpht.com/ytc/AKedOLS8bYV41gtkrXntZk9Tt_l0hgpm654vXRMukypy43EN7Y9hG8RuIZ8DoKxGCpVG=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz7hA1zi2tuAFuL8Jx4AaABAg,S𝑢𝑗𝑖 𝑠𝑖𝑘𝑖 ℎ𝑢𝑖 ℎ 𝑛ℎ𝑖,4 months ago,Joya khan,UCrgw2jEYRFDu6st8xInPMDQ,0,https://yt3.ggpht.com/ytc/AKedOLSGvuErEXyLwg4RUhcDRIbmXBOBuR7uIZVbsyVARg=s176-c-k-c0x00ffffff-no-rj,0.0
UgztBmvcqzOAE0Nv9Pd4AaABAg,Very nice 👍 reprice,4 months ago,Theresa and I Roberts,UCecoYRlIQWw7CfSNHSfhhNw,0,https://yt3.ggpht.com/ytc/AKedOLRyj4fCKBprK_jIQ5ZEKXvHv91Tsuur_4Yi1g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxqmtp8BTmwszdfmg54AaABAg,Waw kya swad h,4 months ago,Chitra Vlog,UCvWfs2ovmfJ2IbMGfZoleKw,0,https://yt3.ggpht.com/XkiS1h1pWGg-IfEl_viCCHYYeGHV0-jyo7Tq5fLewqeH3q_hdlZ7xI6_01yFXSM1SMzur6vRfw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyeEG4FrQsGRZ8RR-14AaABAg,Nisha mam your recipie are very good,5 months ago,Neetika Garg,UCmZfgRiA8Mu7ZPoRbHUnM3A,0,https://yt3.ggpht.com/ytc/AKedOLT3oUqT65lqjJCRqmNq24RzbJaJEqzpWapyzA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy_ShP0PpE66WvuOMF4AaABAg,Nisha ma'am you are really awesome. ❤️🙏,5 months ago,Vilasini Nair,UCqVBPBUEEHbxlWJieXIeKuA,0,https://yt3.ggpht.com/ytc/AKedOLQ-GHSBE_-KjccITgje5O7LOmPjMfSmgBCIyw_N=s176-c-k-c0x00ffffff-no-rj,0.0
UgxvzMVakkMOmiBDzMp4AaABAg,Very nice,5 months ago,Harjeet Kaur,UC8xyuHQ-c36i4Z2DfY-j-6g,0,https://yt3.ggpht.com/ytc/AKedOLSTZXGKWwSLakCD47QZKn4mvIuFeJ2oHb2zKw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxSh9OniLPpKGlyBaN4AaABAg,wow looking so delicious and testy 😋😘💞❣👍✌,5 months ago,Farha Khan,UCu2OZ6wMG8axXuUq-0NkyVQ,0,https://yt3.ggpht.com/ytc/AKedOLS__vrg5e25qKJbkEY9bJZa6i_sg7EddoxWcMKL2l3VVShh276LfEbrMtjwdBD4=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwu2OyCBjJ6716RTit4AaABAg,Mam puri bahut he tasty lagi sabko pasand aae thank u mam,5 months ago,Chanchal Khare,UCSNev2k8cNnclimitvp3gvQ,0,https://yt3.ggpht.com/ytc/AKedOLSHzo-p--sfrf6sQQlyQYW4p332ZQFo7y2kKTcJrnyryy8EZZLtOWJaudk2uoYQ=s176-c-k-c0x00ffffff-no-rj,0.0
