cid,text,time,author,channel,votes,photo,heart
UgzIdSTXGDk1Zo66SMJ4AaABAg,"I am a vegan, what can i add instead of cream?",3 weeks ago,Vidushi jain,UCgil6XUMasLH-Kx6gIZ5BNw,0,https://yt3.ggpht.com/ytc/AKedOLSfG7nlUe886PgCzvJyn2ZeZfPxhK8grSpbFtO2AZpnskrb13pMNSdG7SRFZkzv=s176-c-k-c0x00ffffff-no-rj,0.0
UgyRX67hZAW054NhwYh4AaABAg,Sweet,2 months ago,Jasraman Kaur,UCMc54TrKxGVbCUKtec-gUlw,0,https://yt3.ggpht.com/ytc/AKedOLSywwbzLxb_oin9JwNPgudIgkcDtjZNnzyCyg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwFPhfkTOV98MvI5ip4AaABAg,AP koi Korean dish banao plsss,2 months ago,❥ꆰ꒤ꏂꏂꋊ𝚋𝚎𝚎_,UC3VMtOWUJs9dwWAl6Rl9-Dw,0,https://yt3.ggpht.com/Ey8LnqfYBUDpPdkMNCTjEXze-xsCu0RKKgNO_o4862Xa3d6wdbLXgUaPmoY4zgSs23yUjRIrJQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwNTiZunkKdFg_X51B4AaABAg,Please tell where to buy soya from,3 months ago,Seema Rakheja,UCOilPm-l3DTKsjZwT6Im3Cg,0,https://yt3.ggpht.com/ytc/AKedOLS_xz0xP6T2Kq3HgqnH3QWawNRkEPBWqvO2nQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy-hV16rBMnzNka-g14AaABAg,वाह चाची जी वाह मजा आ गया 👍👍👍,3 months ago,Manish Verma,UCJddc1K9CkSICJ6AkxMQH8w,1,https://yt3.ggpht.com/ytc/AKedOLTVyWKHo2NnODvF5EPkEbuOW8JmNB-F1QeKXQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyvZ4pSdVZZ2qXuhZV4AaABAg,maam plz tel k ye soya chaap apne use kri hai wo kaise banti hai,4 months ago,mk hacker game,UCvOd94QIk6vE9pf685-Hbgg,0,https://yt3.ggpht.com/SM8DF9VXBjufrXgxGwxfylfJBXCzATFlihB5_wnvmgWVRnRddu4tJfBRA6UgEyElVFYsEQkLIA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzYd0pNITUZezV4LfN4AaABAg,Mam mai aapki saari video dekhta hu aap bahut talented hai itna achha khana banati hai bhagwan aapko sada khush rakhe,5 months ago,Dehati gamers live,UCKShoCevq-Pjf0Qn6hOIp7w,0,https://yt3.ggpht.com/ytc/AKedOLRuAiI0sE-k1GF4E9_yr5bZujL1NTxPEHhdvP32=s176-c-k-c0x00ffffff-no-rj,0.0
UgwWuqJKCSzJ-GXYGlF4AaABAg,Soya chap ko English ya Urdu me Kya bolte hain plz koi btye ga?,6 months ago,Sister's Vlog,UCRsijnQmJggp5CKGiNcj5Sw,0,https://yt3.ggpht.com/ytc/AKedOLSMDWrF5onsZAAHOAWHH2pSQnRZXDWgm95Ucg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzIxx4wv84k3QGLPVh4AaABAg,Delicious 😋😋😋,6 months ago,Chapan Bhog,UCJqsuv8DD8O8JgAHkaqQq6w,0,https://yt3.ggpht.com/NQ2uTJ9xGMiPYOiVKml-lynWKFL7f699NfsD4BvKZgKoRaJk843AYHEvvu6UajiA9spzq6YWew=s176-c-k-c0x00ffffff-no-rj,0.0
UgyMJBVlUHo7xjpFRcR4AaABAg,Bahot tasty lag raha hai👍👍,7 months ago,Jui Dongare,UCGtr6--Y3wHIPOk6J1Tx4pw,0,https://yt3.ggpht.com/ytc/AKedOLQWU10pZk_E6PP8QVhj3Hfr7I6pJXexta8Tbtq4=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyi5d0iKSGz1Y0XsM94AaABAg,Please tell me alternative for mayonnaise,7 months ago,Poonam Harwani,UC5CpsOxCqJnLGdCFQUI8p_Q,0,https://yt3.ggpht.com/ytc/AKedOLR6ic-t9kM_IiNfhabMp4eXOxlf875CywvIXw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxZtEMSRPcmLCEQBb94AaABAg,"Mam you just amazing ,I have no words... your explanation style is too good ..and this recepie is very delicious 💖💖🤗🤗👌👌",7 months ago,Tanveer Eram,UCQyLaV2JzPU9kh_S8FbuwFg,0,https://yt3.ggpht.com/ytc/AKedOLQbayMKP2insGcWx4EWJq1KsDhkOuuMux8QTFJ0Rw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzJgjYs678Hn4yV8xJ4AaABAg,Bahut hi tasty,7 months ago,Shreyansh Mishra Shares,UCOPZEwzKV7Ka-dCy3LukEAA,0,https://yt3.ggpht.com/a5HV7kDgoEuzxdYLQ0aLDwlC92-IqSviHMINkTslPWeApBEojmhxNk3X2LA-XZ7ImEhDwRVS=s176-c-k-c0x00ffffff-no-rj,0.0
UgzDe04GiWCg4KkOpEx4AaABAg,"Waooooo mam
Aapki jitni bhi tarif kro kmn hi h",8 months ago,Nitin Neha,UC5je8gu_jN5f2Y6BEz9RIyg,1,https://yt3.ggpht.com/ytc/AKedOLSlnU38OIAH47qshNGmxwoe16FnClkvOlq5Pw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwO8u41tCes5XYYt0d4AaABAg,Kya soya chop ready made milte hain,8 months ago,Vineeta Singh,UC6blp7owR9aGrYWWe1_3GkQ,0,https://yt3.ggpht.com/ytc/AKedOLR_IChrNUaeLHDnrKnyQTUEFpr7YrGbATY5sA=s176-c-k-c0x00ffffff-no-rj,0.0
