cid,text,time,author,channel,votes,photo,heart
Ugybdkci6TIx3Mno1V14AaABAg,Mam aap ne cholo ko boil nhi kiya hai,6 days ago,Waseem Tyagi,UCCZGCMVwDJlcpaDkmLHiIGA,0,https://yt3.ggpht.com/ytc/AKedOLRmScnOBmQ7M-FCHPXOhZRHOa-rHLied1JDsQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx35tBbBHA8x0NoD4d4AaABAg,awesome really great thanks,8 days ago,Deepak Sharma,UCGmYfUj2MMPmsnYnytYuRgw,0,https://yt3.ggpht.com/ytc/AKedOLQzRDfqDjEbvoYEAwAojaje8bjQeFwtPSmfqA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxK1OaDb55Qlc8AWlh4AaABAg,Hi Mam don’t you use onion and garlic in your receipt and I heard onion is mixed in garam masala Is that true?I am asking this because I want to try this for people who don’t eat onion and garlic,8 days ago,krishna panthee,UCnU71sdpaj60U4UDRWwbkZQ,0,https://yt3.ggpht.com/ytc/AKedOLQFGx6uKR8xykIO62HoezPCMMEDJUG2C6hUSApubA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyNvcQyjn_2TdHJE8l4AaABAg,Y tea leaves,9 days ago,Srividhya Ramnath,UCcnHo0kZNn3xPhaXcFEVqHg,0,https://yt3.ggpht.com/ytc/AKedOLS9wnAI3wKf8FDhr87IrlhPwQOJl0y1RF3LL9hJzW0Hfr1rDooLleKTx7PlwQSR=s176-c-k-c0x00ffffff-no-rj,0.0
UgyL0q7UWYyJWD6ZMhR4AaABAg,Verry nice 💕,9 days ago,Sameer Bhati,UC7csgZkR0BWVd6xgiYTKRsg,0,https://yt3.ggpht.com/ytc/AKedOLSxqMK9xduWsZjeosRe2AN1vEFOULul5MI5CA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyvDBpJp5fhnPHgFfN4AaABAg,"Came out extremely well
Hubby and son loved it
I've shared this recipe with my friends 
Ty once again 🙏🙏",10 days ago,Rajasri Jayalakshmi,UCHUmYHQN0o8TX6SVmyqeZ2w,0,https://yt3.ggpht.com/ytc/AKedOLT8ZW2uzyO1sfyh4ROPFB1phdfcOodwUVdJIg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxPLLHtBtrS9cVwJkJ4AaABAg,Aapki resepi muje bahut testi lagati he me bhi tray Kari hu.,10 days ago,Maya Nayak,UCBjXvzTKp-ivDOXa8YpQbjw,0,https://yt3.ggpht.com/ytc/AKedOLRWpFFU-H0z2cQ6Cx8CLc7SWEqGEiPGHDPhe2eKOpHO3qPRDg26t1c-v_of2Eys=s176-c-k-c0x00ffffff-no-rj,0.0
UgwjXZucki9MZS_lK694AaABAg,"Wow
Iam making it now",10 days ago,Rajasri Jayalakshmi,UCHUmYHQN0o8TX6SVmyqeZ2w,0,https://yt3.ggpht.com/ytc/AKedOLT8ZW2uzyO1sfyh4ROPFB1phdfcOodwUVdJIg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxPef4djKiGiK7DlCN4AaABAg,"Very nice chole masala yummy 
Apne chole badhiya banaye he thank you 👌⚘",12 days ago,Shazia Ahmad,UCG4uW5p5-7gL4gMR1Vc7W2Q,0,https://yt3.ggpht.com/ytc/AKedOLSVjiHWdL2PKra43bYQ4xMWbw04F4mPC6wNsg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx62gYvqtjVmKO9kIx4AaABAg,Chai ka pani kyu dalte h?,12 days ago,Pooja K,UCM-YqZHLTUdpjM8TDie0hHw,0,https://yt3.ggpht.com/ytc/AKedOLSK7l4xUEdaYNZFBIygzSj3Z94WmTBk9CSbQ5FuQw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzml9Im7MEfOx6ju9Z4AaABAg,Isme chay ka pani kyu dala mam,13 days ago,Khusbu Vishvkarma,UCf6mTGUn7tofUmhcLn8yw9Q,0,https://yt3.ggpht.com/ytc/AKedOLRODFEdYzmY7Okt9hWzLKb6Tp0Icc2SqG9N6IsB8Q=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwzcymz-mIK2oBNqdd4AaABAg,Very nice recepi,2 weeks ago,Vanshika Mehta,UC1HQgljYOSTS2RFcyQFLJrQ,0,https://yt3.ggpht.com/6IINJnuzkdv-N4ITyKnW_8u3m1F7xYbsS5C5Zq-Jg5Rruu5G9WhuBi2R1n3AjnB0kSUacrfB=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwe3byNyoOQfdG3u1V4AaABAg,Nice recipe 😋,2 weeks ago,Sunita Sharma,UCC2KaVFm_J8s0mqa2SijyfQ,0,https://yt3.ggpht.com/ytc/AKedOLQyTWhQyoua0DvjByHQ-6VvDo5ACNIMiRNL=s176-c-k-c0x00ffffff-no-rj,0.0
UgxrjHIEqbZrtfvaDeB4AaABAg,Very nice 👍👍👍👍🙂🙂,2 weeks ago,Prakhar Trigunayat,UCNMoHZQIp-tPZg99X17F9aw,0,https://yt3.ggpht.com/ytc/AKedOLTlJ3s89RfyqgkNyxTWnwsOzEjQOQMX4nvc8upWnA=s176-c-k-c0x00ffffff-no-rj,0.0
