cid,text,time,author,channel,votes,photo,heart
UgykBfFb-ewsXc5hHb54AaABAg,Aunty aap khana bhi bohut auch bante ho or auch se samjte bhi ho mujhe aapki sari recipe bohut jad pasd h 😘😘,1 month ago,Pooja Pooja,UC0I_4L2YZpetW882W_ahNdw,0,https://yt3.ggpht.com/ytc/AKedOLR9aT8bBtj9weKtkxiOAq_hk46PzVetCGGrjSo2bw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz4OLvSXzDJ-lCp7ml4AaABAg,Nisha maam good morning... In the morning I prepared saag as per ur instructions... Hubby liked it very much... I haven't tasted yet but luks yummy so will the taste be.... Thanx a tonne maam,1 month ago,Malathin2011,UCm36rEHAnIikWZdXYS_chHw,0,https://yt3.ggpht.com/ytc/AKedOLQ_h5gEk9HQDlF82P0NKc7Y4fy9qHgC9rqIsw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwt5sD7ciM0OEFGcZd4AaABAg,Whenever I wanted to recipes (wich I usually make) in a different way I first search in Nisha Madhulika mamz channel.... Easy quick n way of speaking I luv it.... Thnx mam,1 month ago,Malathin2011,UCm36rEHAnIikWZdXYS_chHw,0,https://yt3.ggpht.com/ytc/AKedOLQ_h5gEk9HQDlF82P0NKc7Y4fy9qHgC9rqIsw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzW7Aske6IHGhcFvxB4AaABAg,Thank you nd Lv u Mam.,1 month ago,Monika Sapra,UCSqQfPFe81w4LMRAfae21xg,0,https://yt3.ggpht.com/ytc/AKedOLTqdoSfbAAnx_yV61KrM8rQVpSihm7TvkHu4cRv=s176-c-k-c0x00ffffff-no-rj,0.0
UgwbnD-SXJk6IyrUA514AaABAg,This one I made it today! Came out so so good! Thanks so much!,1 month ago,Rajshree Desai,UC6z5sPXeSFu6RowhJS6-9fw,0,https://yt3.ggpht.com/ytc/AKedOLSSZWrK2iIR64M70s9ikzrLP05meaVrU3JwZA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxhOPDeRKTQubH1_lp4AaABAg,Mam makki ka aata ghula ni sahi se...muh mei taste aa rha...kafi pakaya bhi ...kya kre,1 month ago,Radhika Khanna,UC6LJaxrFbG4cF4OLTbg8xlw,0,https://yt3.ggpht.com/ytc/AKedOLTHZszUIGME6atx46H82l90IhgO0PwvY7_ozQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzpjsnajvCURm0DoXd4AaABAg,Yummy 😋😋😋😋 ap mam jo bhi banati ho bhut jada achha hota hai. thanks,1 month ago,Rinky Nirala,UCcovFv-P9vvGp_-twrOKMwA,0,https://yt3.ggpht.com/ytc/AKedOLTmBIBi9v8kVE-UEvEBb0DfDKF68YiytIzO-g=s176-c-k-c0x00ffffff-no-rj,0.0
UgzpOFhNVBrjrPpDVFd4AaABAg,Jab sari sabzi galani h to katne ki kya zarurat mujhe samjh nai aya 🤪,2 months ago,Aj speechs,UCRpsACHlPyMZrgnbMkdonPg,1,https://yt3.ggpht.com/ytc/AKedOLSxRkvxFVq7Q1n2sKhqd0u3xbHY4sKm5j7NyQhemOAaKXux7QpaQnztBwcwpte7=s176-c-k-c0x00ffffff-no-rj,0.0
UgyOskvWgGLSAodyqe54AaABAg,"Wow it, s very delicious recipe Neesha mam",2 months ago,BHARTI KUMARI,UCho0O2gkz1aN0O7pfQJCoKw,1,https://yt3.ggpht.com/ytc/AKedOLRmKGxjFP6PzVyYvVv_8-ajCgS3yh11lTiK=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy2kKwnnW22p_Q3GQt4AaABAg,Nice. Mam without garlic and onion .I am blong jain jain family. 🙏,2 months ago,PRIYA Jain,UCIITyF4lGxmgW8J8sDaSaow,0,https://yt3.ggpht.com/ytc/AKedOLSp1Ptm5R_oL_AdepeHrVP5lODF5vcibBuLvw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwNO1f44oRwxB05sFd4AaABAg,Bahut asaan tarike se apne bataya...thank u so much ma'am 👍👍🥰,2 months ago,parul singh,UCBGxPPsSfB5p5igg4hqIn6A,1,https://yt3.ggpht.com/ytc/AKedOLS2F35IPPkfh4Q4s7aYyw1wcLk7pfDm0ULxcvJslSw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz24lKBQnAOpMuSBkl4AaABAg,Bathuaa nahi hai mam,2 months ago,Shukriya Jadhav,UCvyYaY7NSo884hy9NHtrmkg,0,https://yt3.ggpht.com/ytc/AKedOLRjIkQZg9zWDcAhXMJWQYNxMKyudYF-VhVgKAChxw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwy0rMly2tMUru-Dq54AaABAg,Very nice ❤🙏🙏🙏,2 months ago,Anil Singh,UCfw3riOKiE7orT33z7XFNlA,0,https://yt3.ggpht.com/ytc/AKedOLQ3m0wQwV6QNL29sdvny3QeJdQkwDtMZwhJy0R5bg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyfpHJhuLOQzQKneMB4AaABAg,फ्राई पैन में दोसा बन जाएगा ?,2 months ago,Shweta Kumari,UCKm-9f69TTDI66-vhQgXMpA,0,https://yt3.ggpht.com/ytc/AKedOLS48zLfZtc-y70X9BQ1fbVwy2ol4HsWzZQcDw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzmSsKxW0L0TSQg86h4AaABAg,Agar makki ka ata na ho,2 months ago,Komal Motwani,UC2Nfy3LcAbPCrQ2HVWFfFFQ,0,https://yt3.ggpht.com/ytc/AKedOLSSzCO4POYWvji-XwAVpooOGKNe_Zf7rzJ0-4fVKw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzJ9ZVppTy8I9zVo2R4AaABAg,"Hello mam namshkaar
Mujhe aapky style ka achaa laga ta or mene kal raat banaye te achey Bane te sabne tarif bhi ki thanks mam , mujhe lal maath  k sabji k sikhni hai kya aap bata sakty hai",2 months ago,A D,UCeNPoZvy1zQZoVghrQuz58A,0,https://yt3.ggpht.com/ytc/AKedOLRVqISjLJntxkRSMcyQ_mzj_Vs8pqlqBYcEU5x7lg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwgPlSV8fDuKH2LENN4AaABAg,मैम जितने अच्छे से आपने बताया... और उतना ही शानदार बना 🙏💐thank you आपको,2 months ago,Madhu Mishra,UCOiJGh2R3RI4ZYAPcNrLs2Q,0,https://yt3.ggpht.com/ytc/AKedOLQQ__YrYD_7G_kGLvy_BHUn99saqCLF6JF1hw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxhYTqqKZxufU_arid4AaABAg,"Nisha jee you are the best in India .Feel as if you are explaining the way a mother tell kids with love.Hame jab bhee koi naee sabjee chahiye ho hum aapkee video dekh kar bana lete hai.
Thankyou for your dedicated way of serving the society .Hats off to your passion",2 months ago,Dr. Vibha Vashisht,UCV0ZOSYq9JPediS_gy1C6gg,1,https://yt3.ggpht.com/ytc/AKedOLRSXpGUAkZJuLjUVSQkABjK54Jk5jlO6zN6rcZ9GMQUDNpMMktEIPM_DdrNBbi5=s176-c-k-c0x00ffffff-no-rj,0.0
UgwRvS7rCCz4aqefcpZ4AaABAg,Mam aaj mai yahi banane ja rhi ho thanks alot for sharing 🙏🙏,2 months ago,COOK With Nidhi,UC7Nr-B9vfNrTgKNBZwU3Mcg,0,https://yt3.ggpht.com/n8-jFqZNxXfXn5uwYN9SHA_HhegSubSWM7utSdN7gkc3O1dvZV8mFtUESuxRjSzryt8B6H0Ddg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxOeVybpfx4C8lXZTt4AaABAg,This recipe is very tasty,2 months ago,Mr Shinchan Baba,UC9Ls37QF-bsBg835Q0yN3vg,0,https://yt3.ggpht.com/l05Hu3SDLkbfgCdYjxe7Q2Nmo77hknWM1F5bMOZgf5OndJaFK2KF2EE4hFq6m5BEaCeWseBZKQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgykBfFb-ewsXc5hHb54AaABAg.9ZTjq8H9fq49ZTlOpX9WKT,"Thank you so much, Pooja Pooja",1 month ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,1,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz4OLvSXzDJ-lCp7ml4AaABAg.9Z5bkWVbZLz9Z5hopzm_Mu,Thanks n welcome  Malathin2011,1 month ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwt5sD7ciM0OEFGcZd4AaABAg.9Z4UakJy-rg9Z5ibWhtahz,Thanks n welcome  Malathin2011,1 month ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzW7Aske6IHGhcFvxB4AaABAg.9YoapKefHTu9YoiQnKpdDU,"Most Welcome, Monika Sapra",1 month ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwbnD-SXJk6IyrUA514AaABAg.9YhMTvAPFyC9YhZi9-kZ2g,Thanks n welcome  Rajshree Desai,1 month ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
