complete_video_IDs,video_titles
https://www.youtube.com/watch?v=0EGDhJllqws,"चावल_की_कुरेरी-कुरडई,_आज_बनायें_सालभर_खायें_।_Rice_Kachri,_chawal_ke_phool,_Tandalachi_Kurdai_Recipe"
https://www.youtube.com/watch?v=xnOPow3Ywhc,"कैरी_पुदीना_शर्बत_जो_अन्दर_तक_ठंडक_भर_दे_-_2_तरह_से,_लम्बी_शेल्फ_लाइफ_भी_।__Raw_Mango_Sharbat_Recipe"
https://www.youtube.com/watch?v=UQ5Vix0_5VA,भंडारे_वाले_हलवा_चना_प्रसाद_मिनटों_में_बनाईये-इस_तरह_से_।_Quick_way_to_make_Halwa_Kala_Chana_Prasad
https://www.youtube.com/watch?v=8RXtg6JFHEo,व्रत_का_स्वाद_भरा_खाना-आलू_भरे_बाल्स_व_टिक्की_।_Vrat_ka_Khana_Samavat_Rice_Balls_n_Tikki_Recipe
https://www.youtube.com/watch?v=p3mmVY2NTkk,"जरा_से_घी_से_बनी_व्रत_की_थाली-नवरात्रि_स्पेशल_।_Sabudana_Kheer,_Peanut_Sundal,_Singhada_Paratha_etc"
https://www.youtube.com/watch?v=C1j9jgpzCGw,सिंघाडे_की_खास_बर्फी_आज_बनायें_पूरे_9_दिन_खायें-व्रत_का_खाना_
https://www.youtube.com/watch?v=DNvEKz6HKOA,साबूदाना_खिचड़ी_एसी_कि_हर_दाना_मोती_जैसा_अलग_अलग_परफेक्ट_तरीका_।_Non_sticky_Sabudana_khichdi_Recipe
https://www.youtube.com/watch?v=bbUcXuaDOSQ,"पालक_थेपला-हैल्दी_नाश्ता,_आसानी_से_बनाये,_सफर_में_ले_जायें,_चार_दिन_तक_खायें_।_Gujrati_Palak_Thepla"
https://www.youtube.com/watch?v=nnbY_RF3C_4,"मूंगदाल_की_बडी_एकदम_सॉफ्ट,_नये_व_आसान_तरीके_से_और_इसकी_सब्जी_भी।_Moong_Dal_Mangodi_banane_ki_vidhi"
https://www.youtube.com/watch?v=pwslz-jfwaM,"दाल_चावल_व_सब्जियों_से_भरपूर_हैल्दी_नाश्ता,_तेल_बस_जरा_सा_-_वीकेन्ड_स्पेशल।_Chana_Dal_Pancake_Recipe"
https://www.youtube.com/watch?v=ZJql4yTLzWs,"पोहा_के_परांठे_एसे_बनायें,_फूले_फूले_कुरमुरे_व_स्पाइसी-बिना_आटा_मिलाये_।_Poha_Batata_Paratha_Recipe"
https://www.youtube.com/watch?v=-8x_9mKSNZg,"धूप_में_सुखाये_आलू_के_चिप्स_-_क्रिस्पी,_सॉफ्ट_व_सालों_चलें_"
https://www.youtube.com/watch?v=E_VJ6xF4KTc,"चटपटे_पानी_पकौडे_-फटाफट_बनाईये,_दाल_से_बने_।_Spicy_Pani_Pakoda,_Pani_Vada,_Pani_Phulki_Recipe"
