cid,text,time,author,channel,votes,photo,heart
UgzufCBobD3uxPCVqsR4AaABAg,your one click can change my whole life 🙏😭😭🙏.......,1 month ago,G Chaudhry Sahab,UCPuzI2iKnaPF5VbtfOk_9kQ,0,https://yt3.ggpht.com/ytc/AKedOLSiCTuBzkshvyNrFtdjJ54rGGVicriSIJekZ-HE=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx9eQ8Q0c47hmAm54l4AaABAg,Nice 👍,1 month ago,Himanshu Kesharwani,UC0PZvcaPVYDwjPfbyNPYyXA,0,https://yt3.ggpht.com/ytc/AKedOLSfPdQEjR-IVG5-gc-wEfgxhncfsP197KaCRxRi=s176-c-k-c0x00ffffff-no-rj,0.0
UgwAL73nth2AjzZ56xt4AaABAg,"need your support 🙏🙏
Helping Others In Their Tough Of Need Is The Best Gift Of Humanity So Your One Click Can Change Whole Life♥️♥️♥️",1 month ago,Shahzain Music's,UCem_adyGln0br5eQlnywhKg,0,https://yt3.ggpht.com/nCqxKBQYNTd1Y0_a7HkV1HHxbI_gR-2hX5lGw7nuVHUSZo3oUVPh6JeY3biR4gJfuPCuXHMu4aA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxB1w22VKkzJ_TfM6l4AaABAg,"https://youtube.com/shorts/GQPcj1LXyds?feature=share

🔥🔥",1 month ago,vj,UC16Yyf0tpItLv4LYTHq_RsA,1,https://yt3.ggpht.com/LhErZMwHqD_YkaZW8OjwcmyIdhHGoEAF-0Ae15ORSF-KQUOPIRjh_hKLU31hr873F8rhngeK=s176-c-k-c0x00ffffff-no-rj,0.0
UgyRoZjJI7WPaXIGtW94AaABAg,(+(+Mast video songs hai guys+)+),1 month ago,Parvej  Patel,UCLTl24EViVPYp1dGwwi2yQQ,0,https://yt3.ggpht.com/SiSZuFk7A4rBtbPzH8ap_2V4nD-9G5oTPaeqDICTzJeV1ezWdBIeO8Ms3SA-yeoEImsVF_8CAw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyUtt4SIhlSPfP2byJ4AaABAg,"I am confused for 2 min that it's Arijit Singh song
But when I see correctly name its 
Dev Arijit😅😅",1 month ago,Pankaj ahiwar,UCNtHUvxryjiJ3X8MVAbCuOQ,1,https://yt3.ggpht.com/ytc/AKedOLSx30WGnoYyf0mfTJx0Sy5OJlOqdu0DU8vb-mYVoBA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwVljBGJTZxcyIz3sZ4AaABAg,👍🏻👍🏻👍🏻👍🏻,1 month ago,Chahat Sharma,UCKMZhyQUE5amQ5V42oOdm3A,0,https://yt3.ggpht.com/ytc/AKedOLSs9VJFNOsv30SefzD7WXpK42-JI-mSKwPjSg4c=s176-c-k-c0x00ffffff-no-rj,0.0
UgzB-FG8cCeGCCfJwTZ4AaABAg,Nice song ❤️,1 month ago,Aarti Gupta,UCZZtlNt8hLf0EVtTGeXIQGA,0,https://yt3.ggpht.com/ytc/AKedOLQgESnUUKGtla-3fVUbbHmY2CCNFyiL6_W2tdx7Z2RBNv2sriix7nbs-Sf8vpZM=s176-c-k-c0x00ffffff-no-rj,0.0
UgxZtSah2N8j5gmipLh4AaABAg,"I respect everyone who were involved in this , Seriously the best piece that I' ve ever seen on YouTube, Hate OFF TO WELL ALL ! LOVE YOUR VIDEOS !!!......",1 month ago,Lord Ashish YT ꪜ,UCpZWW66zxim1Um_ojCBfh3Q,2,https://yt3.ggpht.com/8ApQafXkqSAXBzqNYOY3CvWXXzD6HoxK7ZO_Skt9qQJICIkmnV9Fq8sJXqLQD6g01ceIuHS3=s176-c-k-c0x00ffffff-no-rj,0.0
UgwZtIbeh9gTM38oset4AaABAg,"A LOT OF LOVE AND TNK A LOT BRO
FOR YOU FROM🇮🇶 IRAQ🇮🇶 . !!!!!!!!:""?
🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🥀🥀🥀💞💕💕🌺🌺🌺🌺 ااً 🧡💛💚💙💜🖤⁦♥️⁩⁦❣️⁩💘💝💔💌💕💞💓💗💖⁦❤️⁩h",1 month ago,IBRAHIM RỒŢэR ωỒĻf,UCyWovW5BthROanrtpGS52cQ,0,https://yt3.ggpht.com/ytc/AKedOLTc9N_cQ_Q5SBAxWtg-P4v-NofYmEp-k8LJvsG04A=s176-c-k-c0x00ffffff-no-rj,0.0
UgxO3bSFxkU2MT5llnt4AaABAg,"One of the best thing about dude is that he never take credit for himself when he achieves something. He always respect us,the audience and his team , and is polite in all video . We congratulate ourselves on this achievement More to come..🔥🔥❣️❣️",1 month ago,810 CHALLENGE WITH 0 VIDEO,UCp2kVpFmyDg6JfyMGO4tiCA,2,https://yt3.ggpht.com/JHsygU_SrklV4Ktz-I1wHmCB74QK9Wkn4lrzjBhQhnc3qcKOMgNMpXu6b_w1vtOTIFPG5-24DI8=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy4mxopfUTHDP06utp4AaABAg,"One of the best thing about dude is that he never take credit for himself when he achieves something. He always respect us,the audience and his team , and is polite in all video . We congratulate ourselves on this achievement More to come..🔥🔥❣️❣️",1 month ago,810 CHALLENGE WITH 0 VIDEO,UCp2kVpFmyDg6JfyMGO4tiCA,2,https://yt3.ggpht.com/JHsygU_SrklV4Ktz-I1wHmCB74QK9Wkn4lrzjBhQhnc3qcKOMgNMpXu6b_w1vtOTIFPG5-24DI8=s176-c-k-c0x00ffffff-no-rj,0.0
