cid,text,time,author,channel,votes,photo,heart
UgzSJGDilbTZGWqknmp4AaABAg,"Headphone 🎧
High volume 🔊
Broken heart💔
Remember old memories 😔
Closed eyes 😞
Tears on my eyes😭 _ __
Its My Feeling,s <<  < ____",2 months ago,0312-4123380 Salman WhatsApp,UCSjo7xk3OGnr8PYwTfs75_A,0,https://yt3.ggpht.com/ytc/AKedOLQHxWUd1sExDXgQURtIAW7hfmfLs8-mtH04RHrKng=s176-c-k-c0x00ffffff-no-rj,0.0
UgxwhRMpH7HZxi8pzVd4AaABAg,new cover version,2 months ago,"A,B",UC2jOoOpTn81BD3J8oRr4Nag,0,https://yt3.ggpht.com/ytc/AKedOLSUwTp6ptiNCy1eovPrO61XfV74a8S21hpP3MU-D4ybbS47m9xmjKJ-JjbghP1m=s176-c-k-c0x00ffffff-no-rj,0.0
UgyZwGZ3HHcHH3c3fQV4AaABAg,Notes nhi lagre apke madam ji,2 months ago,Manish_k,UCciIwlWOlSDGnKGYOrvbDEg,0,https://yt3.ggpht.com/5nKK3ERfyWyJW18DQZidmbQRcYPA51G8ObHk00T7t2uDEh3ma4FHKqKCS_O0188BUqp_me9Bmw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzaVOoJniNtdkSBifx4AaABAg,Chudail gaanaa hi khrb kr di🤣🤣,2 months ago,srimaan op😁😁,UCBarKZ5SoO2UBrAT7mA3YhQ,0,https://yt3.ggpht.com/Y8Fr8k9V7DIHrYdLjVbdiFZuwZZzyGAEmsBotWs-D2ylp4xPP-hyzRg60HN3PytFgsGbgZHKVOY=s176-c-k-c0x00ffffff-no-rj,0.0
UgypmDIWFdTbKt55pj94AaABAg,Acoustic version,2 months ago,"A,B",UC2jOoOpTn81BD3J8oRr4Nag,0,https://yt3.ggpht.com/ytc/AKedOLSUwTp6ptiNCy1eovPrO61XfV74a8S21hpP3MU-D4ybbS47m9xmjKJ-JjbghP1m=s176-c-k-c0x00ffffff-no-rj,0.0
UgxT81qZXOsCCkMDon14AaABAg,Silent Killer,2 months ago,john honai,UCFAmnD1l7mJl__skMEGoyWA,0,https://yt3.ggpht.com/ytc/AKedOLRTFpJPrc1nZNvsqaeu-KrkvVTvLO5hssC1mr1Y=s176-c-k-c0x00ffffff-no-rj,0.0
UgyM04H26ni9RdQwVIV4AaABAg,❤️❤️🎈,2 months ago,payel sinha,UCiv4DaN_F7z3j0MIMhvA-mw,0,https://yt3.ggpht.com/CYmbBBJ0XI4il68Z6V5jj8rHoMuSRRndM_IjiEshmen4ge7KOJFYzEviL44R-p1mDSATYSHPStY=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw9nwFe6OW1d0hzKZx4AaABAg,YOUR VOICE IS SO GOOD,3 months ago,r k,UCEFyRSqO-nFhfMLiW5yPMUQ,0,https://yt3.ggpht.com/ytc/AKedOLQCvv0YJLWCR1N_elvM4xf7I3kzhdKGP0G1Os70hA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxMdXB0yPO_NkHYSPB4AaABAg,Tum v lefty ho good,3 months ago,Avinash Sharma,UC4aqmdNXfOadgjvO5Cnna0g,0,https://yt3.ggpht.com/ytc/AKedOLRzvc25sHpMEGOrd3xR6e38Qp4RXz6ZekxPrv60=s176-c-k-c0x00ffffff-no-rj,0.0
UgyYTo45tCGphzIplFJ4AaABAg,"Would you wanna Miss This 😍😍??

https://youtu.be/1XG2JaWmaHU",3 months ago,P.P. Arcade,UCfpc2e9zhYwppgpscO4sabA,0,https://yt3.ggpht.com/ytc/AKedOLSOOb1Y_N4yO2GwUdL7BOo0-yoaw0MBwzQdgJNjqYA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxKzpOIvuflZj2LwuF4AaABAg,Suppper voice,3 months ago,R@Sillu 08,UCzdz8QrAKWMl5BcZO9IiokQ,0,https://yt3.ggpht.com/YHO6GKLArdbCfLQbT340nJEo4d98dQnHdZcsNKs3rEeK8A3ksECY7WlxxH28cJ8lM5njfOji=s176-c-k-c0x00ffffff-no-rj,0.0
UgzAY0LGr0O7ZV4xNmt4AaABAg,Basuri,3 months ago,D S Gaming,UCqYA4Lkqvi7PHAt6gY03_aQ,0,https://yt3.ggpht.com/4cViDIX3vwTJlTaUVq-MpiB3_SDDpsim54fnLPUyBhx3QIA1Nuo-Sk4vp0sxnXY6hhxTOVyG=s176-c-k-c0x00ffffff-no-rj,0.0
UgzAsuEFlYv5o7XWWd14AaABAg,𝑺𝒐 𝒔𝒘𝒆𝒆𝒕 𝒗𝒐𝒊𝒄𝒆 😘😘,3 months ago,Shweta Yadav,UCk_y1DRfqyTodfgrbaylZ-g,0,https://yt3.ggpht.com/ytc/AKedOLTJcfMT5PwsGs1WsLtACOoK6CGQhgwAdjQnl64LlAl1I_npbjDq3kCFuSRsUczY=s176-c-k-c0x00ffffff-no-rj,0.0
