cid,text,time,author,channel,votes,photo,heart
UgyeegMql3SXn1p-GR54AaABAg,I really love his song,5 days ago,BAD BOY,UCWOfSdqNLi5jXbK8UCb5g7w,0,https://yt3.ggpht.com/L28m5_w_ZqbygRu7eWkgl9C0-piBXuJe3O1NhKj461A3DoS2zunlyw_g4p0VRRzndmZOAmePkQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx09B9ekCXQNGFtCPZ4AaABAg,Most amazing 😀,11 days ago,Sekse Madhu Films,UCn2HqLhJxBa7WadaWszO_1A,0,https://yt3.ggpht.com/GPjWTJSgLndhYU5MEMXgH4j6dgv9v5QJjvKuj1Ffo-GD10eAEGDmG2p3usufyImvxFK5LFGJtQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzIHaHupIUHslVF93V4AaABAg,💫💫💫💫💫💫,12 days ago,My name is Ravi,UCHka7a2fm1XvgGLGRtSksLg,0,https://yt3.ggpht.com/ytc/AKedOLSEXAcywW4sLYGn93jDCsMc96TNuS_gwbLVzEJ0=s176-c-k-c0x00ffffff-no-rj,0.0
UgwOFHheOQosTt1vlxp4AaABAg,😍😍,12 days ago,Kajal Kumari Gupta,UCxb6KnMqq9MIH-T-d-giIOQ,1,https://yt3.ggpht.com/fVV1Y3oS7x6fqnGaot0kRgt7zlT3vfUIC0Ugnva_PGH51yfKXwZ7fqBT7VMk0zNQPrvBfV9YPA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzOkVEuAWOV61cJLdN4AaABAg,jai ho fan,13 days ago,MOHD AMAAN,UCoj7c7U7lh15-E-sCKTxygw,0,https://yt3.ggpht.com/ytc/AKedOLQpCAbi0ZXXIC5xj8q9TfFEyI3MwaSpW_mF07zKjg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxc0YC0DCT7sgztXjt4AaABAg,Out of this world,13 days ago,Sujay Syal,UCO5a6CsvSpiIR_BRruAMD6A,0,https://yt3.ggpht.com/JACziaZM5W7DvqOuAbMHTFsAXX4lVgX7xqzprrJz_uwwgttZ4G4MTDQUAE5lWmRASfCo_2Io=s176-c-k-c0x00ffffff-no-rj,0.0
UgxPofyBdZbES9FOfyp4AaABAg,❤❤❤❤,2 weeks ago,Vaishnavi,UC5gb2KFLKJnghEz4BzovzXw,0,https://yt3.ggpht.com/HHl4V-ySE1jhFjhmR4M0NdN9YVQIg3eMLWRQWFacsX8RWMPIOsMHZH9fNYN9_pTRMG1EbKAqVA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyxFDssZuGo3s83Y8R4AaABAg,"🥰 2022 अंतरा सिंह आनन्द पाण्डेय का गर्दा मचाने वाला गीत  , 🥰
https://youtu.be/0JCJFD1bnUQ
https://youtu.be/0JCJFD1bnUQ
https://youtu.be/0JCJFD1bnUQ
https://youtu.be/0JCJFD1bnUQ
https://youtu.be/0JCJFD1bnUQ
https://youtu.be/0JCJFD1bnUQ
 देखें जरूर 🙏🙏",2 weeks ago,Bhojpuri Prakand,UChFkrDCRYVtpcvv0ALZhL9Q,0,https://yt3.ggpht.com/t1x4k_bUkS53KEEhmRI1hsxkD_IiWuqP80jCA6JsbERuG4SKgWfz_K2_w83nv7hoCf_7B_T4yrI=s176-c-k-c0x00ffffff-no-rj,0.0
UgyloMvSbZdnGB2J0wN4AaABAg,Peacefull & romantic voice🙈♥️,2 weeks ago,𝐒𝐡𝐫𝐞𝐲𝐚 🍒,UCnlql96vq-LvuQpDWz3Q4uw,1,https://yt3.ggpht.com/rcIIYU8ZB8dmNB6W2exWOD1P-8yH9OCXvI3zUt6QDmsIL5ECOPEagIFfvnNI6Zx0zWnc9E1N9w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxbn8hDs00M4izJRA54AaABAg,💞💞💞💞💞❤💞❤💞💞💞💞💞,2 weeks ago,Indra Pratap Singh Chhotu,UCIoa8OhnS958Ou_ToCPg_IQ,0,https://yt3.ggpht.com/ytc/AKedOLTvBe4AqIN_9OPbmfxEtxEgkeINJUiF27L562iazw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx61oR-UFQNwI46gs14AaABAg,❤,2 weeks ago,Sudhanshu Viraj,UCchvqsO2vTkg6BeMWZw5Cdg,0,https://yt3.ggpht.com/ytc/AKedOLSxk6-3jlQP6qfMVLOE3o0IzBMuJ952oKcqgtd4DQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxW7WaUgvYOcsYdLsd4AaABAg,😍😍😍👍👍👍👍,2 weeks ago,Mai Srt,UCNBkolRxblu7IDbK8T5cb8Q,0,https://yt3.ggpht.com/ytc/AKedOLSZXHOvRMvGPcO6hiQivXfm-zrM9k5snIZF6w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw_iNwcuADN8AJwZxZ4AaABAg,https://youtu.be/18qYL01rPGQ,2 weeks ago,DCR Music Rajasthan,UCghhp17hhdMbcOeepH6B2CA,0,https://yt3.ggpht.com/NLVyXaHUep8Caz64IFK_2dlSlEvUZ4oX9mRNKJGaqc1JDmV4yZFWjs4nC5B0klGv8VOxWvi0_qo=s176-c-k-c0x00ffffff-no-rj,0.0
UgzdltfTXpqub2sFe794AaABAg,❣️❣️❣️🥰😘Bhot achi aawaz ha bro 🔥🔥🔥🔥,2 weeks ago,subscribe Test,UC8zIWiFXuu8GdBB4UrqZHwg,1,https://yt3.ggpht.com/QhRUXifcJnHRHgDZzNloQ7ZzgFwUOHOV58x-OThseVR1sG5dzBHwCm--FwumW6K0mf28vCYT=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwuv20aTAl6x6fTAD54AaABAg,😘😘😘Niche voice bro🔥🔥🔥🔥🔥,2 weeks ago,subscribe Test,UC8zIWiFXuu8GdBB4UrqZHwg,0,https://yt3.ggpht.com/QhRUXifcJnHRHgDZzNloQ7ZzgFwUOHOV58x-OThseVR1sG5dzBHwCm--FwumW6K0mf28vCYT=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy8Daj7z3Z2FWGvKG54AaABAg,🔥🔥Bhot acha Bai❣️❣️❣️❣️,2 weeks ago,subscribe Test,UC8zIWiFXuu8GdBB4UrqZHwg,0,https://yt3.ggpht.com/QhRUXifcJnHRHgDZzNloQ7ZzgFwUOHOV58x-OThseVR1sG5dzBHwCm--FwumW6K0mf28vCYT=s176-c-k-c0x00ffffff-no-rj,0.0
UgzxmAXUakvusGyH4594AaABAg,"😭😭 I respect everyone who were involved in this , Seriously the best piece that I' ve ever seen on YouTube ,HATS OFF TO WELL ALL ! LOVE YOUR VIDEOS !!!",2 weeks ago,subscribe Test,UC8zIWiFXuu8GdBB4UrqZHwg,0,https://yt3.ggpht.com/QhRUXifcJnHRHgDZzNloQ7ZzgFwUOHOV58x-OThseVR1sG5dzBHwCm--FwumW6K0mf28vCYT=s176-c-k-c0x00ffffff-no-rj,0.0
