cid,text,time,author,channel,votes,photo,heart
UgwBmuwD5EDzLQ1v2kJ4AaABAg,Pratik ❤,1 day ago,Sonal Patil,UC6S_jNUpFRjR7TuvFozWagA,0,https://yt3.ggpht.com/ytc/AKedOLR-jI7M5h14q4T84KDWZ_wAIQxlvPe3mNZ-Cljgdg=s176-c-k-c0x00ffffff-no-rj,0.0
UgycSKwvgWZg2ItOuGd4AaABAg,I can't even express how much I love this guy Pratik I used to cry when he cry I used to smile when he smile he is part of me I can't move on from him ....I admire him the most never cry for any celeb but he is different I love him millions and I am crazy for him ❤️,3 days ago,Ana,UCTdGnLnogrrqFKcMFFAEXyg,1,https://yt3.ggpht.com/B__YIiC7Y0hVvq30_pRCR2l4EHaU3yLAAEDB5GQWQQKsCTysCxdL7wiPhmknF1f51hBnZtiZng=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy3ctj-oSS26Fyyf5J4AaABAg,😘❤️,5 days ago,devanshu kaushik,UCCzcOKQQylkwAqMS8id8OqA,0,https://yt3.ggpht.com/ytc/AKedOLQiNtqyLw7Jm9VhHpjE5PQTHVvDHXq-qYI-1JKuxw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy1rvP_ZZruMgLTdVd4AaABAg,😘😘😘,5 days ago,devanshu kaushik,UCCzcOKQQylkwAqMS8id8OqA,0,https://yt3.ggpht.com/ytc/AKedOLQiNtqyLw7Jm9VhHpjE5PQTHVvDHXq-qYI-1JKuxw=s176-c-k-c0x00ffffff-no-rj,0.0
UgySpuy5UQgUAOc44mF4AaABAg,❤️❤️❤️,5 days ago,devanshu kaushik,UCCzcOKQQylkwAqMS8id8OqA,0,https://yt3.ggpht.com/ytc/AKedOLQiNtqyLw7Jm9VhHpjE5PQTHVvDHXq-qYI-1JKuxw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwPkIY9k5pQ24Lk9j94AaABAg,so sad feeling ever lol 🤣🤣🤣,7 days ago,Under World,UCcJ1NMlkxYJiBnF1cq2n4eA,0,https://yt3.ggpht.com/I-3IK0dGqqMNCDQH_-G_E9mD5267uoMN8Ut7GjntyGTrExx0TCYoSaZxWfW95wYqcJOO9B1O7w=s176-c-k-c0x00ffffff-no-rj,0.0
UgwSEjBi1ATDrCNgPdl4AaABAg,ye koi gana thaa 😅😅😅,7 days ago,Under World,UCcJ1NMlkxYJiBnF1cq2n4eA,0,https://yt3.ggpht.com/I-3IK0dGqqMNCDQH_-G_E9mD5267uoMN8Ut7GjntyGTrExx0TCYoSaZxWfW95wYqcJOO9B1O7w=s176-c-k-c0x00ffffff-no-rj,0.0
UgwFB3OyKfljSYolbrd4AaABAg,Streaming Saamna ❤️,7 days ago,kera,UCfm8W79StT5lQ-4KD5FWOYQ,0,https://yt3.ggpht.com/iOig-63zqCTP6-RAWVCbkeejVatMj-CSARhiVXUVhZr_I6TExbiORMkA65yqIs7EUGd-pymp=s176-c-k-c0x00ffffff-no-rj,0.0
UgzWurVdp5FxyapraeR4AaABAg,Pratik ❤️❤️,7 days ago,kera,UCfm8W79StT5lQ-4KD5FWOYQ,1,https://yt3.ggpht.com/iOig-63zqCTP6-RAWVCbkeejVatMj-CSARhiVXUVhZr_I6TExbiORMkA65yqIs7EUGd-pymp=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz8y_pcCbxGcctQfyt4AaABAg,Just loved the chemistry 🔥,8 days ago,Zolo Kumar,UCWBhhWVSwNCq3Ow9nhk5oLw,1,https://yt3.ggpht.com/ytc/AKedOLTsCPK7bQbTD-nQnyAQJOiibpBoEHDyZoUb4IwESwJB2PfoRJoayAfgVbPUngG8=s176-c-k-c0x00ffffff-no-rj,0.0
UgziuVQYZGJR7vx9gBV4AaABAg,Amazing,8 days ago,Jannnat Jaan,UCp4jrEHgrt2c6cyECa7ucqQ,0,https://yt3.ggpht.com/ytc/AKedOLSQ0XcpEc8Q87pLBod1WulsxrOn_mH1lxIASrpHfPReav7SmuPJEIQnpVupCtSA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugypsf1gRNvjhjsB6Ch4AaABAg,prakasa is the brand,8 days ago,jayant budhia,UCPgvyslTJnR93y04OpwXlYw,0,https://yt3.ggpht.com/ytc/AKedOLSOmhj-vYMOF9kOifYD-G43ywaERoaY96Ad0w=s176-c-k-c0x00ffffff-no-rj,0.0
UgzujBgQn9n5HCNEw8N4AaABAg,#PratikSehajpal and #AkasaSingh ❤,9 days ago,Pratham Verma,UCmwyYyk5DhwMRe13-i9_cRw,1,https://yt3.ggpht.com/ytc/AKedOLSZX7LNHuC7LWRqpG3hahh7D2_pf7pu3abJ_A=s176-c-k-c0x00ffffff-no-rj,0.0
UgyKzaNtb6nXdQNTmjF4AaABAg,#PratikSehajpal and #AkasaSingh ❤,9 days ago,Pratham Verma,UCmwyYyk5DhwMRe13-i9_cRw,1,https://yt3.ggpht.com/ytc/AKedOLSZX7LNHuC7LWRqpG3hahh7D2_pf7pu3abJ_A=s176-c-k-c0x00ffffff-no-rj,0.0
UgybwUcAYmXVF8oTzVV4AaABAg,Pratik 🔥🔥🔥,9 days ago,Suhani Malik,UC4Bt3dEQl6r8bcKfCDG61kw,1,https://yt3.ggpht.com/ytc/AKedOLSWrOx3MsFjMolFh-aAf9KPC3yrIcsue48A7Bnl=s176-c-k-c0x00ffffff-no-rj,0.0
UgwM4Wq5KHryvbF-59x4AaABAg,Song music India give me one chance to improve my singing talent please 😭😣,9 days ago,Shivani Pandey,UCo1xE5s9bU7xgl60Oxmy7Cw,1,https://yt3.ggpht.com/WZ5mtP2DJBJ8Jv7tGwZ1xLMQeOiTzeyvrVPEvxJGxa2Hec8ecW_K_keKGX-gCeM5gFXCxtYK6w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy0qkJqN-K6wvVgcUR4AaABAg,lovelyyyy,9 days ago,zeniya Singh,UCEsUM1Y3bHqfykVQiTZCEAA,0,https://yt3.ggpht.com/ytc/AKedOLTtTVlosGKcJktw07k5OaikIgeJR6kD2OJxZ0CgHaoz7oSKWvrzWexNqdZGAyXm=s176-c-k-c0x00ffffff-no-rj,0.0
UgwWUbfnsFoRrEFwZz94AaABAg,#pratiksehajpal,9 days ago,Alok Ray,UCqHYdHB1EKDHjV2pgFxxThg,0,https://yt3.ggpht.com/ytc/AKedOLT27HBZfAywf-OU2KipQXc4WY-RZrmOZ1l43km_PylHga6HW3Txfugs79EFEUKs=s176-c-k-c0x00ffffff-no-rj,0.0
UgzDGs0QWuUc0PIBr3V4AaABAg,Pratik❤️❤️💜,10 days ago,Monika Rana,UCb4Jp16bOGRcZ8Ao3BNXRAw,2,https://yt3.ggpht.com/ytc/AKedOLSIQUBCUuaLmf0TDnjk0GR2X99wb0fW_kgZ4A=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzq36DjZtE6fsWm2p14AaABAg,So beautiful song loved it ..must watch it,10 days ago,Zolo Kumar,UCWBhhWVSwNCq3Ow9nhk5oLw,0,https://yt3.ggpht.com/ytc/AKedOLTsCPK7bQbTD-nQnyAQJOiibpBoEHDyZoUb4IwESwJB2PfoRJoayAfgVbPUngG8=s176-c-k-c0x00ffffff-no-rj,0.0
UgwwzfMtD6csGumhU3l4AaABAg,Pratiiik 🌟🌟🌟,10 days ago,Manohar Danu,UCsbir7duwNO55VsEbNSOI3Q,0,https://yt3.ggpht.com/ytc/AKedOLTc3wH_8VJLWvjt9yefblaLff3pH0FSvyUkpw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxusqhcrOSSoRWXGFt4AaABAg,Nivmceee,10 days ago,Aimbot...,UCz3fodM6YzbVTJ44pBhuhTw,0,https://yt3.ggpht.com/ytc/AKedOLQ6RteqDLXaCKpnu-8nFVLrHtYJOi6dNmurCgK-8ZLaTT2AyinewyHqtC_ei4G0=s176-c-k-c0x00ffffff-no-rj,0.0
