cid,text,time,author,channel,votes,photo,heart
Ugwv_CyY8G9znUZF5td4AaABAg,👍👍👌👌,1 day ago,ranjeet kumar,UC6xTiHGim7WaLf0-3n6YynA,0,https://yt3.ggpht.com/ytc/AKedOLQbnxtF3-zod3JPh3elZtH-3TaTAwGAFOGZzA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzRSqCOIVIkbPUplYR4AaABAg,Koiri Maurya song music new,10 days ago,Shaka Bhai,UCVf5MRd0jEbaIKMEVzEkFnA,0,https://yt3.ggpht.com/ytc/AKedOLS4b38pOOO_p1CArN6Vntm7p69884nRkb6nG1VquB71CtSaXDuPcV-FqYPNcHet=s176-c-k-c0x00ffffff-no-rj,0.0
UgzqeFibVlP-K_VYo7t4AaABAg,Dabang Maurya ji song,10 days ago,Shaka Bhai,UCVf5MRd0jEbaIKMEVzEkFnA,0,https://yt3.ggpht.com/ytc/AKedOLS4b38pOOO_p1CArN6Vntm7p69884nRkb6nG1VquB71CtSaXDuPcV-FqYPNcHet=s176-c-k-c0x00ffffff-no-rj,0.0
UgxLqLzgAOnVCHfj9YF4AaABAg,Woh Maurya ji lajwab song,10 days ago,Shaka Bhai,UCVf5MRd0jEbaIKMEVzEkFnA,0,https://yt3.ggpht.com/ytc/AKedOLS4b38pOOO_p1CArN6Vntm7p69884nRkb6nG1VquB71CtSaXDuPcV-FqYPNcHet=s176-c-k-c0x00ffffff-no-rj,0.0
UgzpsOLoqMPyw7I9mtx4AaABAg,Super song,13 days ago,Come gaming,UCXXKTDTMlERU3UZrTway-RA,0,https://yt3.ggpht.com/hUESfzIIzRmCv5TSS5qMON_Gi-ppmBLE880mADTp0ANNTYUvn-nIPMSK0XJxAGXysUY7d6hcdg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzgF_cKkyYuuHAuYhx4AaABAg,Awesome,2 weeks ago,sanjay kumar,UCzDpqfPVvKnWBMrrhyqbYsQ,0,https://yt3.ggpht.com/ytc/AKedOLRJLLtzolQfTmBgbQAQA1ip8apkQSU7y0_T_ii4Zw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxyNyrGkyZ4Nv8tgC94AaABAg,Congratulations for UPLOAD IN SONY MUSIC INDIA,2 weeks ago,HELP ME,UCaX2VaZxdA1LuwYHYlI6Czg,2,https://yt3.ggpht.com/cXB5UFPEr7Fkl32YbWm_a6eh9g-bdQ2fzMNYFs0-_SiOMyXeVGtt5mPQNdTG-BmfmtABOW7-Hw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzzer0rI6cDaJkb_B54AaABAg,Nice 😁😁,2 weeks ago,AD Bhaiya Vlog,UC0MB-miKeCTIlBIBK5Be5jw,1,https://yt3.ggpht.com/SwaLMdmQyfoSYbRye-pJaLOgigJcZi76gzz3fhVQUOrSqLGb_YdzUXbSQ5XgDqYnDrIOF04obQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxgnUFogJ0dZqElDUR4AaABAg,superb bhojpuri song ♥️♥️👌👌,2 weeks ago,Anil Chaudhary,UCzttd-sQDt3mnRZKOsabKdw,1,https://yt3.ggpht.com/Lj3TMWfCDR869xmB7uso35MWnkJQ9H74JOnct56DuobUNySFSqZDfACAC-yjnVg8PZqBYWxauQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzYoh6I6KUTlaKZxNd4AaABAg,Good to see bhojpuri 😊,2 weeks ago,Armature is LIVE,UC_54WTjoLbJ-sq8YxlEG6eQ,1,https://yt3.ggpht.com/ytc/AKedOLSRnfPrlZoYjtX3vdTfj9gtuUBTu0CfEgVLxAY0=s176-c-k-c0x00ffffff-no-rj,0.0
