cid,text,time,author,channel,votes,photo,heart
Ugz5GN3nyC1OKqLGPhx4AaABAg,Di your are looking gorgeous🥰🥰🥰,1 hour ago,Nasiha Parveen,UCaSf_GfOyvr26gCVMX1mAag,1,https://yt3.ggpht.com/ytc/AKedOLRTaJIln3YLjC7DzjGZFG_riae7nsri8lCZJcF5_oAwtwfCBcqLUhu9EsO4hXcP=s176-c-k-c0x00ffffff-no-rj,0.0
UgyV-rpvDOwUluf83XF4AaABAg,Well made 👌 👏,17 hours ago,Aayansh Patel,UCi7XzATJ0V4LSf3lNkKF21A,0,https://yt3.ggpht.com/ytc/AKedOLSxbIXt-4VmT9gPrJfpVVAM4Nhd9uond4lhrN5kJg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxFCm0EjZn8KduvyzZ4AaABAg,Iss song ke sath mujhe uttarakhan jana hai,1 day ago,MahaKaaL Gaming Yt,UCysREsExY9g0aAch67GzAWw,0,https://yt3.ggpht.com/p0a75dMftwq4tWsI1pkt9fQuK4kk1M9KMHwYg7HzAoEKYNLGLkAT3ESZ_TV_o4BVioQpVPnqCA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzfQJ9E97wWCJQq62J4AaABAg,"This song is so beautiful.  And the voice of the person is so relaxing.  
Thank you for this song 
Really it really makes us feel like that we r Indians
At this time our Indians love that bts army and black pink . Please love india not other countries 
Stay safe",1 day ago,Anshika Anshika,UCHSVP-LjlbmJ4KnZAo2m5SA,1,https://yt3.ggpht.com/ytc/AKedOLRz9lLgx4Flm2C4Rw8AzcfqJ31sI7qtfmeloYhs=s176-c-k-c0x00ffffff-no-rj,0.0
UgzLAJTw90NWgY1WuAB4AaABAg,👍👌👌👌,1 day ago,piyush gamar,UC7SQhHtNmodUuPhq21bxsvA,0,https://yt3.ggpht.com/zMpRt4ZPoXaPc59pkwODG5kgfwp4Soo9MhV6jWnDKe7XLh4jt1lgUnDPj28I-Rrt8A_aFlK9zQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugws4IIK8BOr3SxM0Xp4AaABAg,Cringe...,1 day ago,Jelwin McGaw 🇮🇳,UCt4D-gEXdzXmZ93SZDdGwqQ,0,https://yt3.ggpht.com/aXozC4gtVSSFAlfpmn_1FEAr6oeCHEEKuk1zhDoAqglIux5CeArquYqEv5SYIT7RIw28s4OXiQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyOpV9SEFTTdj2kTF94AaABAg,You are gorgeous 💖✨,1 day ago,Shraddha Tiwari,UClDvwvgQmKGx_SBuOT7ZQyg,0,https://yt3.ggpht.com/YVFkiC1Gbv6lnH8AmFrVC_IyDrrjpA3Jehw38spLr7IN-iC7jPTN-Y_MflOmlSditYAvY6Db=s176-c-k-c0x00ffffff-no-rj,0.0
UgzX1QDYI6JN93ZDsAl4AaABAg,Girl you look very pretty without make up,1 day ago,Shilpa Kurhade,UC1NdAio3bHYloATtIAmbgaQ,0,https://yt3.ggpht.com/ytc/AKedOLRHxaOJiyTtvfztFc-yzG57OZaegOD1aQqHHw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzYjYVPCNcwhDDqGll4AaABAg,I just need her glow and skin she is soo pretty same with makeup and without makeup just a little difference of lipstick and kajal etc.🤗😘😍,2 days ago,Saanvi Peehu,UCfkHwbR_dhhSpMTfCFCGN8Q,0,https://yt3.ggpht.com/ytc/AKedOLTJcfMT5PwsGs1WsLtACOoK6CGQhgwAdjQnl64LlAl1I_npbjDq3kCFuSRsUczY=s176-c-k-c0x00ffffff-no-rj,0.0
UgzY_KShM5XbnsZGXP14AaABAg,Cutie 💞😘❤️❤️,2 days ago,Durga Joshi,UCatgJwoHOWnqdRNgBUGlILA,3,https://yt3.ggpht.com/ytc/AKedOLRtav30sGvVFDXmFEcX83heXf12Wtd5T9bx2A=s176-c-k-c0x00ffffff-no-rj,0.0
