cid,text,time,author,channel,votes,photo,heart
UgwTVUd4d9LryVcb1S94AaABAg,Pls cast devoleena😍 in a MV 😘😘😇she is lovely,2 months ago,Nikhil Kharkwal,UCr-V_fx8WCBLyZFjCK51hjg,0,https://yt3.ggpht.com/ytc/AKedOLQeBCLxv4MY7U5R7NYcuKr-5SGDE4FacD_hrbkaSyDsQpcwfpbtgvwZAvHCDBm6=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyys-Cj16ND0MnDhJN4AaABAg,your one click can change my whole life 🙏😭😭🙏.......,3 months ago,G Chaudhry Sahab,UCPuzI2iKnaPF5VbtfOk_9kQ,0,https://yt3.ggpht.com/ytc/AKedOLSiCTuBzkshvyNrFtdjJ54rGGVicriSIJekZ-HE=s176-c-k-c0x00ffffff-no-rj,0.0
UgwEKENrKPoqDc-7ALl4AaABAg,Is sal bit gya Lekin aane wala sala apka hoga Arijit Sir,3 months ago,Music video song PB,UCtZVXuhP_wbIvkBSX82Enww,1,https://yt3.ggpht.com/z87I-UT3kGz1J7SHIDBPXVMSAkar3nNhwG1gffEjFH2t5Rom7UvXmt-l9nBdQ_gwiKYYrC3T3kM=s176-c-k-c0x00ffffff-no-rj,0.0
UgyviYJPuwnHlicr5zl4AaABAg,🤔,3 months ago,shubham Shaw ff,UCkLiWpl4dAKvie7JzvcaabA,0,https://yt3.ggpht.com/te8r3I8xytptuMc9tpkzbX0heoUNJg-RigIE-BoZZUt7G-gXjGQrnUIBNzAkvgCy_k_AAR0f=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw676IyrXdKC6SV6xN4AaABAg,https://youtu.be/nbVAhnsD49I,3 months ago,piyush Creation,UC2mZM9uR-63y_oYI1kC-EDQ,0,https://yt3.ggpht.com/ytc/AKedOLQzqqObU6EfztElZe1aujOb-lsmgmCPyvvS-KOxcPDHtuQR-Ecp8xZm8jIwV0HG=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzj6Trq3sQ--VpLwIp4AaABAg,Just a good composition 👍😍,3 months ago,Best Music For Relax,UC1o2jQv5mZm-f5fCVn0DC1w,2,https://yt3.ggpht.com/TJVRHB447uJ0hv58rHyA_7V2dmM6YuvzYSHkRyM2ArZjEHZCzdhoexxC1dD_n_Zqt0l6nzqSZ7c=s176-c-k-c0x00ffffff-no-rj,0.0
UgzXaH3t3XUOXQ9GEb54AaABAg,😒,3 months ago,AK S,UCbuAdHVoKTxxrwGymyOiPrw,0,https://yt3.ggpht.com/nkgDGEhnIvALE3mnEbSt3YcvvZ6kHLSZAohkOPUDPE5IbVzAOBy0zztGY27AlWe_1dnl01kpqwI=s176-c-k-c0x00ffffff-no-rj,0.0
UgzT2OUe0U-mtKtqoo14AaABAg,Legend is legend ♥,3 months ago,Arijit Singh Lyrical,UCrTfYWgyDd_9Z4il5iefBWw,3,https://yt3.ggpht.com/_tspItrARaGY6xUVWp7f937dZZTgVROsSxcIZb4zlihqSXgyt4JnPvayUSlkfEh3p3Duh9XIsw=s176-c-k-c0x00ffffff-no-rj,0.0
UgztvKLRcOxKf6uG1dp4AaABAg,JAI Mata ji 👋👌 super hits,3 months ago,KS-SERIES,UCMc3Gj6BQIjhAazva-yHfRw,1,https://yt3.ggpht.com/7O37i4fyUzkYIP83JBfq-HUInydYLhamwPXhnSVdzepYLWgQqfPpq_cFpudkK79TF0JvSNShzA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw013cwGT6G--MivFJ4AaABAg,A nice ❤️❤️,3 months ago,comedy  f.b,UCY0Ax-geEZ71hAR1x6jyVWw,0,https://yt3.ggpht.com/3kgmI46NKVwUmlmgQ02cccJzK3qep5dY-yPKaQ2Y7YuURbUrQ0eeOtGWJ6T6O0kThBtJeNyQgbE=s176-c-k-c0x00ffffff-no-rj,0.0
UgzUVPmroEHqY0Byj4t4AaABAg,Super ♥️💓,3 months ago,comedy  f.b,UCY0Ax-geEZ71hAR1x6jyVWw,0,https://yt3.ggpht.com/3kgmI46NKVwUmlmgQ02cccJzK3qep5dY-yPKaQ2Y7YuURbUrQ0eeOtGWJ6T6O0kThBtJeNyQgbE=s176-c-k-c0x00ffffff-no-rj,0.0
UgxFsD59Y504ZHR6a-R4AaABAg,Super ❤️❤️💞,3 months ago,comedy  f.b,UCY0Ax-geEZ71hAR1x6jyVWw,0,https://yt3.ggpht.com/3kgmI46NKVwUmlmgQ02cccJzK3qep5dY-yPKaQ2Y7YuURbUrQ0eeOtGWJ6T6O0kThBtJeNyQgbE=s176-c-k-c0x00ffffff-no-rj,0.0
UgxQ3jzF4mOFKLI-Gll4AaABAg,2021 my favourite song,3 months ago,ARIJITIAN CREATIONS,UCWxsNm53bRu-yFubMfqbLWQ,1,https://yt3.ggpht.com/prL_YXpNFM9tNBl2B7IU33tax00QSTAEJPBDcRdXnnpjF4TQItQ1yFeJAiDA7MoCCUc5I57mRiE=s176-c-k-c0x00ffffff-no-rj,0.0
UgwITp7jQo84xukfGTx4AaABAg,"One of the best Hi-Res Audio songs of 2021! Please, let this song reach at least 100 million views!",3 months ago,瑞安·达斯,UCkU6UT3D6t96CtTkKFUYjaw,0,https://yt3.ggpht.com/EV-iqaLynmiJwypTgLRS38ZY-hOrR1VWKkTV0WYLMdok9Wk8bmVCBpBQnBgV9uuETR9VHzdRb6Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgxVTGpSacsNH8_daNl4AaABAg,"I respect everyone who were involved in this , Seriously the best piece that I' ve ever seen on YouTube ,HATS OFF TO WELL ALL ! LOVE YOUR VIDEOS !!!!",3 months ago,THAKUR SHORT,UCZsihFPBY1Aq5AKtcJwigGA,1,https://yt3.ggpht.com/wRLypwaBLqghDm-7X80gp8BwvKaTwl_NFvc1sRFoaS7F2QFWKom_crZcnKHf2El_iAGjS7bJ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwTzOBCxWSwbkTQZzp4AaABAg,"I respect everyone who were involved in this , Seriously the best piece that I' ve ever seen on YouTube ,HATS OFF TO WELL ALL ! LOVE YOUR VIDEOS !!!!..",3 months ago,Thakur gaming..,UCI6rT8TWjn23IvEbAZYeUow,3,https://yt3.ggpht.com/78sxO9-8GInytx5jJlRaNHmjcrICFvVkgaaNfQSxYK8DiFPBNLv48PJsKomr3lEO7JX9WP3haO4=s176-c-k-c0x00ffffff-no-rj,0.0
