cid,text,time,author,channel,votes,photo,heart
UgyioNJ3yAQeui7UrUN4AaABAg,Wc 2019 comment wc t20 2021 like odi wc 2011 hereos,41 minutes ago,Magnificent century n ertugrul official,UCk5PoD9ScFA3VegM_RbrENA,0,https://yt3.ggpht.com/k_c9_vewNy5amw5M36sIRwosqUbUt9szXjHuNpfTtFqunz4x3JGLtNdC8VFAz1H0TiMA1ua2=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx94D7U7hKtA-nzzdl4AaABAg,Beautiful,1 day ago,TASEER CH,UC6CQZDcZYsyVv0Td31_94Yg,0,https://yt3.ggpht.com/ytc/AKedOLQlMMftPycC-NRf11xhlwty0sUDJXl1_wVHq_gve4CHDSTMvjI2oWDMotadsH58=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzpxex55HhM1F8yjRh4AaABAg,ncct,1 day ago,gleamingplayerable,UC5l1RdX_nAjD6pXJXDf1xzQ,0,https://yt3.ggpht.com/ytc/AKedOLQsHqvVt59RVAeSpg9yBiu6yzCS_97wJuijsQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx0LynHdG0kZgR_xvV4AaABAg,Yêu Đức Phúc.,2 days ago,Jorge Perez,UC5O4YrTtEPPBd3Ipr6oTvLg,0,https://yt3.ggpht.com/ytc/AKedOLR5UZdwjocePTnHcbkEXXr3elC5kSrBQ8mAYCZC=s176-c-k-c0x00ffffff-no-rj,0.0
UgwuMOpS_v4RuiPqW5t4AaABAg,The World Cup which was decided by the toss. Disgrace,2 days ago,Aayush Srivastava,UC1gJsCMTXtu7NPOBco5dhtw,0,https://yt3.ggpht.com/ytc/AKedOLSzaT6RriNbnWLcunevTjKRHzjfF4L05fOjLbch=s176-c-k-c0x00ffffff-no-rj,0.0
UgyQlz3m3lQbW4LXibF4AaABAg,Wow amazing 😍😍,3 days ago,Aviram Das,UC_iPkVFzZSvQZQ_Igp-wSSQ,0,https://yt3.ggpht.com/ytc/AKedOLSTLM5pKN7Emi9apy6IQ6qnGmjRhdnGQTRTR9EfZQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy45CmjvZX4qeDZJ5J4AaABAg,Who is the singer?,3 days ago,Î F Ť Í   G Å M É Ř,UCV8VAfg2oFnfln2tQ4wlq7g,0,https://yt3.ggpht.com/V2RjAHSz5Yr2fZf9iBk1bbKDFlSEQZpxCV1PKE6c4458ZBVodEbQjoaGRpks-0vn3OxmyQmm6w=s176-c-k-c0x00ffffff-no-rj,0.0
UgysbBzdpUHXLOZHS014AaABAg,Nice work,4 days ago,sensi yt,UCC5AuVXh9jm5Zpyhe2jVt_Q,1,https://yt3.ggpht.com/SPdsspVbT7s6AhqZh810ecZurx_e_pZ3gcCEzuEwn-vvcQmd8Jmyji78BgYgvwLnJfJ7MMOR=s176-c-k-c0x00ffffff-no-rj,0.0
UgyNsX0PqrBz5c138hV4AaABAg,This song ❤️ is heart taching in the ICC I love 💕 song ❤️,4 days ago,Sayaid Samsuddin,UCwdv9l_aJultwclLemGC-5Q,0,https://yt3.ggpht.com/ytc/AKedOLS4b38pOOO_p1CArN6Vntm7p69884nRkb6nG1VquB71CtSaXDuPcV-FqYPNcHet=s176-c-k-c0x00ffffff-no-rj,0.0
UgyE_LMn2KlBrPAwlWp4AaABAg,installation 2022 ka world cup pakistan jeetenga,5 days ago,asma khaleeq,UCM8kQH3y_pmfHAFNHqcGGcw,1,https://yt3.ggpht.com/ytc/AKedOLS4z9Fhi-hFTtDUoXQGtDI97xueEIucSHxreL2K4OHzWctLQF35lr4CxZb3ex_q=s176-c-k-c0x00ffffff-no-rj,0.0
UgwmHLLGQyTyhs_tzyJ4AaABAg,152_0 💪💚✅,5 days ago (edited),Right now,UCqLCbddrg4YwPD8ZkQ76O_Q,0,https://yt3.ggpht.com/M-GMChQWSk4SROQ6jl5KIyRbeEbd0FmvpeRwwwEYDiTwaqFuy-4mZdW3LxQNCq4L6Ps1xxL6=s176-c-k-c0x00ffffff-no-rj,0.0
