cid,text,time,author,channel,votes,photo,heart
UgyWJLZWGpbDKsF9WXV4AaABAg,Legendary music,3 months ago,🌐 Global 🌐,UCZDbpqNzy7V_6OJ9z5fZT8w,1,https://yt3.ggpht.com/h9hFSgHofLWX_gI4MIRwpspJv5ZxenkpuLiUEPm4PqThwMAFvajLT9SnuLhppyn1Z4VVYjT3jw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzwzZsyD2fFID_MI454AaABAg,#_chalchakkesong,3 months ago,Saurabh Kumar,UCIYw_oRiBWtscgF54fp7H_w,0,https://yt3.ggpht.com/ytc/AKedOLQFp8aaMU-Q9AxddoQcPxpQITPcTeVHvJE0aFzaYTs=s176-c-k-c0x00ffffff-no-rj,0.0
UgwuLk3j9ek9gKY0EZp4AaABAg,My favourite voice in this match sharvi yadav singing come on lets groovin,3 months ago,Sakura _Blue _Berry,UCbLMobovfjoH6FtQlgCxFvA,0,https://yt3.ggpht.com/cbhkN_EyOEBiaF_hJhCwBU7Y5p6-ng3Pl-ggVVwGOnnnNBU4yyOJHyEe7EY2Wfkrt6O-fOPlv7I=s176-c-k-c0x00ffffff-no-rj,0.0
UgwZVBRzjUOIiV8Xm5h4AaABAg,Sharvi yadav amazing,3 months ago,Sakura _Blue _Berry,UCbLMobovfjoH6FtQlgCxFvA,0,https://yt3.ggpht.com/cbhkN_EyOEBiaF_hJhCwBU7Y5p6-ng3Pl-ggVVwGOnnnNBU4yyOJHyEe7EY2Wfkrt6O-fOPlv7I=s176-c-k-c0x00ffffff-no-rj,0.0
UgxnkD7MMzgYHCjswp54AaABAg,I   love,3 months ago,Muhammad Ibrahim,UCqD6b3CBrSzJ2xLjppx1o7Q,0,https://yt3.ggpht.com/8MXYCzgZnrbgYdWihhFgFW4eOSq7kP1xCbHsQ_AHc69hGIl7y7tx5Ve6sOkjChvlxxoGlyFCdw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxBdDgofzjw0lkggIt4AaABAg,Tournament khatam hogayeye par itna achha gana hai ki abhibhi sunkar nachneka man karta hai.,4 months ago,Shaikh Imran Aziz,UCRGIUcAG8ch0XIAqAaZ_WOw,0,https://yt3.ggpht.com/ytc/AKedOLQeDnwS8Ktoc8wSmrQKsuAVPw50RfG9NL_6rKnjiw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzBuauX_93qD6zNvnx4AaABAg,",INCRÍVEL.ESPETACULAR..",4 months ago,Fabio Ferreira Gomes,UCmdtfKd_p5UBtH7Jue15Htg,0,https://yt3.ggpht.com/ytc/AKedOLQfaHEFJk4yg9xW7noajs3PF5KWuBgx6YSzSBNA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz6SBvDseXz0Ktg3ZJ4AaABAg,🔥🔥🔥🔥 these fires came while listening 🎧,4 months ago,Jeevan Samagar,UC9O7X3kv--B8etiEcrhelAw,1,https://yt3.ggpht.com/3cii1OgtaDzyno_eey1fu6mebpUrIJ68WtQKKWWpUU70Yya8ez0wYrp-P1RA55Y7rSBHJRH-=s176-c-k-c0x00ffffff-no-rj,0.0
UgxztRGllPVI6ORytCl4AaABAg,One of the best WC themessss❤️❤️❤️,4 months ago,Bilal Amir,UCARmvRxRQT7tqRcf2Nda3cg,0,https://yt3.ggpht.com/ytc/AKedOLRlkSoJbX0bVjTJLxMFd7kkMC-bvJVGgk5CXHLIdQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwQlvVpjnMKDH7Z5ql4AaABAg,Very good music,4 months ago,Saad Naseem,UCLveWDXGTGEHGcGqEK7uoXQ,0,https://yt3.ggpht.com/ytc/AKedOLR4EDyNFy9-0ck1g0dDlN_axie8fo-GZxEnNmBnwY1SCzpEbfAgkFG0gMI5eC_C=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwq9twz46ugJ-DHZkZ4AaABAg,Hhhaaaaa,4 months ago,Sam hasan,UC-eWJmSm3GrdQLZgEitTsmA,0,https://yt3.ggpht.com/ytc/AKedOLTL9ydflrlRYBmowMyYFUC6NsSpXztPfKx4_2duqg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxbAziq2_JcqXirnfp4AaABAg,Samheich is a legend in his YouTube channel,4 months ago,Sam hasan,UC-eWJmSm3GrdQLZgEitTsmA,0,https://yt3.ggpht.com/ytc/AKedOLTL9ydflrlRYBmowMyYFUC6NsSpXztPfKx4_2duqg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzw1OLD45FumZ45HUV4AaABAg,Samheich is a lender,4 months ago,Sam hasan,UC-eWJmSm3GrdQLZgEitTsmA,0,https://yt3.ggpht.com/ytc/AKedOLTL9ydflrlRYBmowMyYFUC6NsSpXztPfKx4_2duqg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwTpRsoZIY-WCSb3vh4AaABAg,Ralaha,4 months ago,Sam hasan,UC-eWJmSm3GrdQLZgEitTsmA,0,https://yt3.ggpht.com/ytc/AKedOLTL9ydflrlRYBmowMyYFUC6NsSpXztPfKx4_2duqg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzM0x9XUmVm13Ywr7Z4AaABAg,RESANATA is win,5 months ago,Sam hasan,UC-eWJmSm3GrdQLZgEitTsmA,0,https://yt3.ggpht.com/ytc/AKedOLTL9ydflrlRYBmowMyYFUC6NsSpXztPfKx4_2duqg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxZY1b84YIP2eWVOgV4AaABAg,PAKISTAN 🇵🇰 WILL WIN,5 months ago,Sam hasan,UC-eWJmSm3GrdQLZgEitTsmA,0,https://yt3.ggpht.com/ytc/AKedOLTL9ydflrlRYBmowMyYFUC6NsSpXztPfKx4_2duqg=s176-c-k-c0x00ffffff-no-rj,0.0
