cid,text,time,author,channel,votes,photo,heart
UgyAVcoc4_UW5ppODHZ4AaABAg,"How did you guys enjoy watching me play 3 characters? It's not easy making a single person act in 3 parts and make it look this smooth - for which a huge thanks needs to go to Rohit, Ash & Tanya for burning their brains in the process.

The forces behind every part of the video - Neha, Tash, Sukh & both the Harmans as well as the hardworking Sony gang - Jaggi, Diya, Ashish & Shreya also need to be thanked for making this happen.

Hope you guys enjoy vibing to the track and playing it till tennis balls start falling out your ears ;) Make sure you share it with your peeps!",1 month ago,Pav Dharia,UC0s1QYRYoZil2hIGw-LYl9Q,526,https://yt3.ggpht.com/ZmutsA-skeRLdULo8JaO0vyw1g_Igf8Te01usDhxquFkTzfHgiQE6mEJt5Q4-4Vq4BKieQdBMO8=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzt02Vwlc47iJCFY014AaABAg,Very nice song 😎😎😎😎😎,2 days ago,Ishwar Sarowa,UCpJMxXjxF8RfjfzRo_bCh7g,1,https://yt3.ggpht.com/ytc/AKedOLTn9ThU2u3lK7HsozT_NlWb_rA6i4wIx6nI3g=s176-c-k-c0x00ffffff-no-rj,0.0
UgzPfgSuqL056t21D154AaABAg,"Pav= unique+perfection 
Keep rocking😍",3 days ago,Asad Gujjar,UChmwSrsa_hIt3lASZykCQsA,0,https://yt3.ggpht.com/ytc/AKedOLRtLpuqoxSe52lR2ERzk7PPuys3CULcf_5qiWAbJA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxVETF5YAY2hLn5MNF4AaABAg,Nice song,6 days ago,Bittu Naskar,UCAotqulLNsk1x9pnpIAG-DQ,1,https://yt3.ggpht.com/ytc/AKedOLR51FasDCMCz6Sxg3aMYuMzF_jqGa20lbqGHApuEdP-ljZq2NRUdXUtaHFpOrXv=s176-c-k-c0x00ffffff-no-rj,0.0
UgxDKvp2dptHHQrf4EN4AaABAg,Maamasitaaa❤️❤️❤️,6 days ago,Anil Tadpada,UCCg8L6WrOiR0goNdqd2_B2g,0,https://yt3.ggpht.com/ytc/AKedOLQNXiUSDQ1vg4JWYqxLbkc8aOhruUQXULbkOA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyeAx3fSZ0VQwFnBxx4AaABAg,I love this song 😘😘😽,6 days ago,Nianchi Agitdok,UCoKSguUHkHmnx0yELRQyVVA,0,https://yt3.ggpht.com/ytc/AKedOLRE5ALJesHWsdO51AuUX240tJEinbJjANXro2bfZ-KisLKWWWBvxmvM9HrVrJ4l=s176-c-k-c0x00ffffff-no-rj,0.0
UgygozWLOtRfI66MjuJ4AaABAg,Sssoo nicee,10 days ago,ViSion Gaming YT,UCmLJfvPYLhMubyH7Ht-eZVg,0,https://yt3.ggpht.com/ytc/AKedOLQBaokpNZIwbn8dZnQT5z909bsadmQKPMjt177kmw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzMVReIM7tzbJagqip4AaABAg,🔥💖,11 days ago,Ari,UCCj595C689OUuCotEmSp3MA,0,https://yt3.ggpht.com/ytc/AKedOLT27HBZfAywf-OU2KipQXc4WY-RZrmOZ1l43km_PylHga6HW3Txfugs79EFEUKs=s176-c-k-c0x00ffffff-no-rj,0.0
UgybCZVmY2rI51dnCal4AaABAg,🎶🎶🎶🎶🎧🎧🎧🎧🎧🎧💞💞💞💞,12 days ago,Juli Konwar,UC8QNOEmAuozl0N2l4Tm_pRg,0,https://yt3.ggpht.com/ytc/AKedOLTVMnAomTC4IY-uASmylzFdSdR-ncZLiFjx45RBPg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwv-jldzLFAozO2rOV4AaABAg,Na ja na ja second part lao pav dharia bro,12 days ago,rachit shrivas,UCCG0TpsEHoe3YfdZHpR46pw,0,https://yt3.ggpht.com/ytc/AKedOLS3B8jR9I7zDqK7Ul0hBluxOiugV1BSFft1KVnb=s176-c-k-c0x00ffffff-no-rj,0.0
