cid,text,time,author,channel,votes,photo,heart
Ugxw1eX6jx_TcFV2KyB4AaABAg,Indians makes me cringe,4 months ago,Ulfat Dawood,UC7KmJjjkW_ZkffILp62akdA,0,https://yt3.ggpht.com/ytc/AKedOLRVAmI3pZP8tS30Fz_tM3HhG6GSoBD4kmEMHY-JQw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwbhaji3GvMiWlc43x4AaABAg,Bhakk,4 months ago,myk,UCXaTkxQ0h6iOR8Eyhaq57Og,1,https://yt3.ggpht.com/XXyrN8qbSkS157zHmm-w1T0BE88XkBoh9MK7BZeRUtHn6Gx4Qpim4_kd57-gjD1VKKGs4aAn5-g=s176-c-k-c0x00ffffff-no-rj,0.0
UgyFm_wTLb1oyOAxtih4AaABAg,🥴🥴🥴🥴,4 months ago,DurJoy,UCPlak_DXHyEgXmhAnJrucEQ,0,https://yt3.ggpht.com/HDNzM-YK7X07X9zxyeYdHLVQBS5BSzma1LNXc8fULwvvsz7UEsyA3QW2cAbdizjj-UTczALv=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy_VmDCmkYJC3Ux6Qh4AaABAg,👍👍,4 months ago,Priya's Cooking & Gavi's Crafts,UCKrJienVmhe_siMuJ1gjqTw,0,https://yt3.ggpht.com/ytc/AKedOLS65lQejwYuTU-Mfl_5mtO0T5AoMx_HlKVGhNAA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx1oKzxOtwsetsOYvx4AaABAg,"Be bold, be sexy, glittering like a star...be shining in your own personality😘",4 months ago,Artist Azhar,UC9oL3kfPNM2bgcaB7hsMXMg,2,https://yt3.ggpht.com/ytc/AKedOLTgYMAfMytzjSGIemaK0kNGNU9zIBgZbnSCxVuECg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz1JaKPT2T0g8hblPJ4AaABAg,big fan of badsha,4 months ago,dream girl makiya mashirah,UCi8-AkfswCmQGPEEQZsYlPw,1,https://yt3.ggpht.com/7HIR-x4WySgHaRMBJmsMgN59NOz7A_O2i0mTOTSt7SX-em4lsT1eVCJs57CHpz3iqncLDoix=s176-c-k-c0x00ffffff-no-rj,0.0
UgyToCHXqSvGeUuwIIB4AaABAg,"🎶🎵🎶Mast video song hai sir 🎶🎵🎶
Like and share with comments
🙏🙏So watch now guys🙏🙏",4 months ago,Parvej  Patel,UCLTl24EViVPYp1dGwwi2yQQ,0,https://yt3.ggpht.com/SiSZuFk7A4rBtbPzH8ap_2V4nD-9G5oTPaeqDICTzJeV1ezWdBIeO8Ms3SA-yeoEImsVF_8CAw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxzSnQHCovifsf4o694AaABAg,"Never ignore a person who loves you, cares for you, misses you. Because one day, you might wake up from your sleep and realize that you lost the moon while counting the stars 💝💔💗",4 months ago,Orange TV,UCv53ZvnWWHTac_u8F_ciXiQ,6,https://yt3.ggpht.com/Ag9HDg4LqhWiWXTlw9ywM2bzUcw0x2-z5zIEqrT00gqrP1qpk-hYXFKDl4XC5CFygRJPPo4PquQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyEqiqUrZbQv4LfC8p4AaABAg,💕💞💓💓💖``LETS PRAY FOR THOSE CHILDREN WHO DON'T HAVE THEIR PARENTS THEY ARE REAL LEGENDS``❤💔💖💗💓,4 months ago,sonya singh,UCC1-Lvc8Gmutncno34MY_wA,0,https://yt3.ggpht.com/opor-CmpjPAS64CRK2kSzIlBmZzA0bR_-Pm0mQtkNIUCg4uXDb6_gQibl9v2D47NaRQJ5vGWtg=s176-c-k-c0x00ffffff-no-rj,0.0
UgySxzmJHFVavZTAQB54AaABAg,https://youtu.be/M5GQq-11b6U,4 months ago,Shiv Shankar,UCmOCJdenXkKgMrNdYTruu6A,1,https://yt3.ggpht.com/ytc/AKedOLRrD24M8UnjURaR2Zcy06Vu_7q6crq0Wj2BLA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzcq3mv38XxcrRKGLZ4AaABAg,Badshah you are best,4 months ago,BATMAN,UCEt4V5ZAs8fqN-PmfZKXmkQ,2,https://yt3.ggpht.com/8AIiNwWm8OgIvQGQ87pAnaIOEZz_ivwHiDZwT3C9ToV0lOzVmwCDJM4KIYfHsxZQ441CcAzskg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyFbarwDPE5FNh8ddF4AaABAg,❤️❤️ sadless gaming ❤️❤️,4 months ago,SUPER HERO,UCEmTkhLeuz1pCSEPR0gnPvA,1,https://yt3.ggpht.com/ytc/AKedOLQWC29_xQnJRu5BJi2AsaNqJC3MQ1MA7PgDA8rTfw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyvNPN94qQk9TArOSh4AaABAg,"आज हम आपको पीने के पानी के 5 ऐसे ही फायदों के बारे में बताने जा रहे हैं.
• आपका एनर्जी बूस्ट देता है कम पानी के सेवन से मोटापा ज्यादा हो सकता है और थकान में वृद्धि हो सकती है. ...
• पर्याप्त पानी का सेवन कब्ज और सिरदर्द को रोकता है ...
• वजन घटाने को बढ़ावा देता है ...
• आपको एक ब्राईट और साफ त्वचा प्रदान करता है ...
• लार बनाने में मदद करता है.....।",4 months ago,Dr. Tube,UC5gTvdjDakWUmkUERSghxUQ,0,https://yt3.ggpht.com/Cfe2x-hUbVDFIKBk08tlvaJ3ERMX2dzo_zE5ENaSrPx1EvGeuWM5mAYeEKc_94ItGb2oWofSixg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyGV5AKuOlqKWkjpK54AaABAg,Claim your “here within an hour” ticket here,4 months ago,Risky,UCzYnCmTZ648lKBtZBO-nWCQ,4,https://yt3.ggpht.com/4EJ6gxhUnl7CBp5R8Hb-iaNoTWCDtfqLKSKpWHs-8L1FwOHc4HhDdYkvgOwOASKBZE4D7AcP=s176-c-k-c0x00ffffff-no-rj,0.0
UgwCyU6BekK-aUuUx1N4AaABAg,F,4 months ago,riya ff girl,UCn5T2qIRZxodEMUezeQLMrA,0,https://yt3.ggpht.com/_2H01v3PT0kaB2qDe4td2GW0mlWfZOLH71mZxZs_CnRfIPEvnbA3QhobFY7JS171Q6iZvDoTaYA=s176-c-k-c0x00ffffff-no-rj,0.0
