cid,text,time,author,channel,votes,photo,heart
UgxKewRVnbW0Df-A52l4AaABAg,😜🥴😎,2 months ago,Meraz Ronny,UCRSiWzhDCbf1cd-a8mQPq0w,1,https://yt3.ggpht.com/ytc/AKedOLS97GENfi_epYsICFkZOIr6wLB0Gnu7loRWJaFD=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw6DHJ8JTU3AVKI3O94AaABAg,https://youtube.com/channel/UCo4w7-_yX0VerkNrAXRlBCQ,4 months ago,sujan sort,UCqU0rUa52-QgEPyrCCRwb7Q,0,https://yt3.ggpht.com/p_4jM9Erv-yTNfw7ZRRqKYZ5-_bp93SBfDhcQFjeVo5O1-qJotT4k5J6NE4EFN1TGnq7yvroig=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxn3oEqKd4G8To7FeR4AaABAg,Badshah means jacket all time,4 months ago,Rumaisa Ibne Afra,UC_rkxphLWr27LpryF4FOVFQ,0,https://yt3.ggpht.com/s13vxgAul0P2zLpWCh-dfj-xZCqfNaG-OgFkvxX19uKMtw4iwYCoedrXjUI4rBYTWOQQGqmh=s176-c-k-c0x00ffffff-no-rj,0.0
UgzYfrrkWT2axSPHLSd4AaABAg,namaste &... Assalamu alaikum.🤗🤗🤗SONY  MUSIC 👈viewers 👈👍Have a nice day✨,5 months ago,tutun bhowmick,UC9mAIrWBBRu2Bqrkj3KRxVg,1,https://yt3.ggpht.com/3Xbz4ReXrs7u1NDkFY1ISCSSdAGuvS-mTDfiQbqeEBWMZ_Bn5V8ofqA1PtrMCXevX40Zhq5HgQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwZQBSSCXdAAk02RD94AaABAg,Just coming to see Alisha shaik ❤️,5 months ago,Mannat,UCVvdbuXZdS_xGppNQjDmgBQ,0,https://yt3.ggpht.com/6aLThkqcys5cCXTa7OOgb0x-iVCR3L-NkLkthfrkl_QO4e-ralhRtoQGmZtVCtariJ7gW27-VA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwBaIsyQFmybbAnxjB4AaABAg,https://youtu.be/BF1V8rrozSo,5 months ago,Shekhar Haldar Official,UChSK2jJdNyEBro-B6I1QRlQ,0,https://yt3.ggpht.com/LyqGaMk-UhDlJWUIrvZq_qQTSia8GZHXDgGoSgsM1nL8zYUpivW3NMk2ox3DrfSDohxD-axyk2w=s176-c-k-c0x00ffffff-no-rj,0.0
UgwPj7IVVbZhz9a7h1J4AaABAg,Ishyoboyyybadshahhh,5 months ago,rd ff,UCRagzHRAxWL6LecfaXpm0Bw,0,https://yt3.ggpht.com/ytc/AKedOLRHrUUrGijXmro6BXRA8NYpggQw37F0GKEF5w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyvr_NiNSU_atSB6Bd4AaABAg,"Knhuhjny5ryyihhhhhfjb,mmkjigufuiuih7fv xxxxx Peppa Pig yool0pp099iunyyyty656gdfeft8tydfsyftdcgffffghbb b vgguuiioll.looooo000oolkip000000o999999jj.",5 months ago,Kunal Khatri,UClN2kzd8N5yo9NMtwvaTyJw,0,https://yt3.ggpht.com/ytc/AKedOLSVFEU85IQTvgNzcomPAOUTYkVPze5DWMLiew=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxs8w8fKyGzgKb2s1N4AaABAg,Yellow Car ka naam pata hai toh reply me,5 months ago,Ghanshyam Chowdary,UCca1KQ7UmVGDI0Owb4NBOmA,1,https://yt3.ggpht.com/EwUg8BiUFneN4J5m9sc95-Pf0UF-XNgePsd8vFIS2ZEgnWQtdcdLC3jp4bPxT65aXWZKnhoEvQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzFLk2fVgys9VSW9YR4AaABAg,"#SaveBangladeshHindues
#SaveBangladeshHindueFastivale
#SaveBangladeshHindusTempalesh",5 months ago,Sajib Basar,UCY_oO4BpRcCy1z9K2dbLYrg,0,https://yt3.ggpht.com/ytc/AKedOLReG3SXK3ECP0feUjUmAnPQciRKzczKzwn_tw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwH8ZgwY60jMNr-ACt4AaABAg,Jibonner risk,5 months ago,Emros Rehmann,UCF6GTimC0FO4UWigaHRTS2A,0,https://yt3.ggpht.com/ytc/AKedOLTxDS_Z9OyEl5xHC-MbJ231SILbvCEkHCRRmA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxhrjE2kH59jws1oCd4AaABAg,"Nice
https://youtu.be/lbBPNXMiSac",5 months ago,DEB_ ROCKS,UCEeWbdddKa7NxyYnJ2LL4CA,0,https://yt3.ggpht.com/zRamACYbqaElD1_8oz-_hdbjktlRo7RJXzObqGfg_VwrVDojPFL5gTFSvrBZ7-Apji-_TqZhqFk=s176-c-k-c0x00ffffff-no-rj,0.0
