cid,text,time,author,channel,votes,photo,heart
UgyJlSo6vbzho6FJYQV4AaABAg,Thoda shaitaan hun main thoda sharmila,6 months ago,Badshah,UCUQg_UBQfVjptn7Wqcgzz-w,22K,https://yt3.ggpht.com/LfcH0jAt2SlWA_6kOx-HKmSNT4Lc2ZH2dmXu5ohheg2X6z0U2VZL_x7U5YSzT79wcNNxPr5r4g=s176-c-k-c0x00ffffff-no-rj,0.0
UgzO6hUmxEzr9rgzM0B4AaABAg,"Its 2022 But ""Blow My Mind every time""😛😜🤭",3 hours ago,Beautiful Nature,UCUCRzLm7d8io3bhI2JdZBFA,0,https://yt3.ggpht.com/ytc/AKedOLQSvvRDk2q-GNi_Rt6jg7vGWnHCTergsolwZ947=s176-c-k-c0x00ffffff-no-rj,0.0
UgzATVSse58EB3DTlhV4AaABAg,Mrunal😍,1 day ago,Mr. Kar,UCqvHlXRl4TlrUMv6QpK5xpw,0,https://yt3.ggpht.com/ytc/AKedOLQ1i7RN_aByDBS3y4d5ksGHitusU_L9muAelDdOSw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyQ946Ltpr9PRbi0zZ4AaABAg,Rrr,1 day ago,anmol singh,UCrOHiezH6kgkVP1oZXmlttg,0,https://yt3.ggpht.com/ytc/AKedOLT3tfdEiy4BRlwjJ6XhNvjcpWEXUTa8N1V-CN6ltZOXjj3P0vGoiekieqg6ezKl=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw9HXjjRYmHWltF79R4AaABAg,Good song,1 day ago,Satya Parashar,UCzTKJRSK0D5fXi1DKa4cd7A,0,https://yt3.ggpht.com/ytc/AKedOLTXA9RScHslzjEOCV1qGr0pV_xfAiSt3yDYGQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxsKs3PRBYCWofgUJZ4AaABAg,🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰,1 day ago,Jharana Chaudhary,UCLZkS_jyZSW8a3ZxxAuAKPw,2,https://yt3.ggpht.com/ytc/AKedOLROD8686aXhbODuFbOfadZuBh5wka7NhrDZt9paO60JRDvJ-Kzqy7DzwkWylYZy=s176-c-k-c0x00ffffff-no-rj,0.0
UgyCApLkiHArlVgbNOB4AaABAg,I m going to follow murnal Thakur,1 day ago,NOX heauman,UCurs8G5iaPJUSv4hnVUM7sA,1,https://yt3.ggpht.com/csXLMSRm-xsrqCUi7gZ52sonvXyHu3hqjnja6InwZDpSllXFvC3Bt4UCBd-8Kt8HiNadPyjMtQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwpZoqY3_3ydegJqN54AaABAg,Ab ka bad ik ik taper ALLAH JANB MA PAAP NA SUMJHA BHOOL MADAMMAD MISHAIL TUM BE MAR SORRY DORRY GSLIT SAY AB NO KATOO GA MAR DIYA HAERIME WO HATH FLY ME JISE PLAIN INDAI TUM NYC MAIN GALT SAY MAZA BED AOA DONO BRO Y U NOT COMING ONCE HOME SHOW PLZ OVER THEM KARENA KYUCJH.NYC WOW KHA GYA,1 day ago,ABDULLAH KHAN,UCI1_3aFL83jF1DliNXfXEeA,0,https://yt3.ggpht.com/ytc/AKedOLR1RUwvPzNDbxzunusLiv8hXCeFSIWizG-3WN0nbA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwpWoam4FYoAcQGb7p4AaABAg,Amazing song 🤩,3 days ago,Ramkumar Sah,UCZkSNidnKNqGfH80V4bH5Vg,1,https://yt3.ggpht.com/ytc/AKedOLR0Ejs1qQOj7OWrsfvv4k-zQP-ka_kfQH_Ceg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxM08VYxkHEi3fiWid4AaABAg,Gana flop kese hoga tum views jo kharid lete ho 😅😅😅,3 days ago,Gautam Meena,UC2ZkW3nZWM96miePA8BUBMQ,0,https://yt3.ggpht.com/ytc/AKedOLTSnGA3KnLtE_gNy06XUrx3lwpGt9KA0Nh8Xg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyv0gbeCMwnRN-G_Sl4AaABAg,https://youtu.be/yDXjtAv95nM,3 days ago,Kunal Touch,UCM4-DbikVy1_7rcjh8Uuqvw,0,https://yt3.ggpht.com/ytc/AKedOLQuH8QtgsJFZmU5n-k-GgYJf8UESDBw2Bvmm0tkewG1IN0LKTsT8ENbp5sTTrP2=s176-c-k-c0x00ffffff-no-rj,0.0
UgyFm22BPl9Vbyh-4Jx4AaABAg,It my favorite song ha,3 days ago,gayatry Dey,UC0uWnEAm-1GnyH7CnV6R3sw,0,https://yt3.ggpht.com/ytc/AKedOLRGVwJ5MhRrikcR3nR1yHt4-hgvDJvptrjhjA=s176-c-k-c0x00ffffff-no-rj,0.0
