cid,text,time,author,channel,votes,photo,heart
UgyfLUkUZ-9nlRHM00V4AaABAg,love it,3 weeks ago,cool whatever,UC91Q3PojEz68X8svZVtw2cw,0,https://yt3.ggpht.com/ytc/AKedOLRhS18YA6PNnp4eCUz78yYf3ZHh0a55BwvKyPq2=s176-c-k-c0x00ffffff-no-rj,0.0
UgzudfTrkDCGcoNLKux4AaABAg,Danish s superb. Very handsome. He acted so naturally. I always admire him 👌👏👏💕💕💕,1 month ago,Neelam Mongia,UCcJIGd9okdQH2uu5xmWlUcw,1,https://yt3.ggpht.com/ytc/AKedOLTB2QiZgI1wrugjbwP7Z8It3UNZYSwLayYtKA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxy_qj873QUg-8E2NB4AaABAg,This song is absolute beauty 😍,1 month ago,Sabrina Sood,UC0r1zPohhfYtDT5inC-gIHg,0,https://yt3.ggpht.com/ytc/AKedOLRcge7ALOOliHJ-D7LUssxI2e7tUDCTsMKR5J5XG40=s176-c-k-c0x00ffffff-no-rj,0.0
UgyylCM2Gjokrp5-FN94AaABAg,Movie name plz,1 month ago,Captain Levi,UCFU1-4eIa_kCE4rwY3FbkFw,0,https://yt3.ggpht.com/-G0CEgpPfjWyG3oMMdZH4LPzU2a9mGx14kWosaXkfLfEc2QfsNt680y_KLh18TERK2NkLmLreg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyB4LaM9_uHy3xmcH94AaABAg,"your one click can change my whole life 🙏😭😭🙏,,,,,,",1 month ago,G Chaudhry Sahab,UCPuzI2iKnaPF5VbtfOk_9kQ,1,https://yt3.ggpht.com/ytc/AKedOLSiCTuBzkshvyNrFtdjJ54rGGVicriSIJekZ-HE=s176-c-k-c0x00ffffff-no-rj,0.0
UgyOsyflukfQEnfBT454AaABAg,Rukshaaar 🥰🥰🥰,1 month ago,GOKUL PRASAD,UC7sNBBrSc1K5tW_hMbQx99Q,0,https://yt3.ggpht.com/ytc/AKedOLR8KYhm83Q3RuByQfeS68_C9eyHkNS9N4i1rQ9S3Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgzfL0sB83aJdmsCiw54AaABAg,addicted to this!!! YELLOW DIARY IS AN UNDERRATED GEM,1 month ago,harshithk naik,UCttUvKht4JS3DumTTZmR0Pw,6,https://yt3.ggpht.com/ytc/AKedOLQQrlmHebwqCa8zY1iX2DBdgumBnO4RGtq0keSK=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw8VQhGOPJugipst4J4AaABAg,Plz all songs ❤️❤️❤️❤️❤️❤️the Assamese song alsoo plzz plzzz 🔥🔥🔥❤️,1 month ago,CHANDAN NEOG,UCWr-Zf0_ABhiKZfnGlOAlNw,0,https://yt3.ggpht.com/ytc/AKedOLRE2NOgfQDKwvz0ijtUMT0iwX9Cz9MGFIPgoA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyhQ1r6yRX7Kfxu88V4AaABAg,Nice song,1 month ago,Kishan Gujjar,UC4_knpgi1JTj5aRiJDkdZsA,0,https://yt3.ggpht.com/ytc/AKedOLQVxQOTAXQ7Hhe__3fmNTRYTD_18dwx9NQX2uSZkw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxZTwyiiigYlMTsSth4AaABAg,Nice 👌 👌,1 month ago,Himanshu Kesharwani,UC0PZvcaPVYDwjPfbyNPYyXA,0,https://yt3.ggpht.com/ytc/AKedOLSfPdQEjR-IVG5-gc-wEfgxhncfsP197KaCRxRi=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzo9oTJIOeZrVbRVr54AaABAg,https://www.youtube.com/watch?v=1IXLvabzSlg&t=6s,1 month ago,Ankit Purohit,UCk0PFVoR2JunOBKBPC9MyEQ,0,https://yt3.ggpht.com/ytc/AKedOLS8pka_xz_AwCYDqGikMCOF2z2LF6s25xFkPZA2jIM=s176-c-k-c0x00ffffff-no-rj,0.0
UgwI9Iy8VR7bQU4WUXV4AaABAg,Yellow Diary is the magic here!,1 month ago,Priya Nair,UCdHfIIwaorKjdFDDcm1Q-1Q,1,https://yt3.ggpht.com/ytc/AKedOLT8Rtm0n3FfpIqx8zqNB_qOjNPs8leoPZeCI-SH2g=s176-c-k-c0x00ffffff-no-rj,0.0
UgwjuejGnCgu4BpN9vF4AaABAg,Jai mata Ji 👍 super hits,1 month ago,KS-SERIES,UCMc3Gj6BQIjhAazva-yHfRw,0,https://yt3.ggpht.com/7O37i4fyUzkYIP83JBfq-HUInydYLhamwPXhnSVdzepYLWgQqfPpq_cFpudkK79TF0JvSNShzA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwNLruuGyoo2evrhQl4AaABAg,"""""I respect everyone who were involve in this serisel the best peace that I""be ever seen on YouTube,HATS OFF TO WELL ALL! LOVE YOUR VIDEOS!!!!learn",1 month ago,Umang FF 1.2k,UCzMur6FWc2PfjwCojfcfC8g,0,https://yt3.ggpht.com/RIcHsQiTYVknAA0VtqefTUi7neGLeLJONjxe2pSOo5esX61WceeMAjqjo_tatnclLzNDrjRmkQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyDzGpTyj0reY-M26p4AaABAg,Please like share my beautiful song band stand on B4U,1 month ago,MANJU FILMS CREATION,UCCJ6TFJy3MpII_Vetzw_J0A,0,https://yt3.ggpht.com/ytc/AKedOLQds45Tpc3qSj95HjVG7SeHtZbFZWoQWf4C3g=s176-c-k-c0x00ffffff-no-rj,0.0
UgzoUcX9DNxzoZQFpex4AaABAg,Bandstand song on B4U,1 month ago,MANJU FILMS CREATION,UCCJ6TFJy3MpII_Vetzw_J0A,0,https://yt3.ggpht.com/ytc/AKedOLQds45Tpc3qSj95HjVG7SeHtZbFZWoQWf4C3g=s176-c-k-c0x00ffffff-no-rj,0.0
UgxmT96y4p1B3LDjIG94AaABAg,Very nice song,1 month ago,MANJU FILMS CREATION,UCCJ6TFJy3MpII_Vetzw_J0A,0,https://yt3.ggpht.com/ytc/AKedOLQds45Tpc3qSj95HjVG7SeHtZbFZWoQWf4C3g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxt-mu_EpVhGPyIesp4AaABAg,Parambrata ❤️😍,1 month ago,Crazy Adityan,UCnD9RTS9H_hUi-e_jXOAl5A,0,https://yt3.ggpht.com/ytc/AKedOLTj4lAHzCAUj7umfFyzmPF1L3dnkCsI0E_7BlzDKQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzG9q1mv7Y6esFNAL14AaABAg,I like this song 😇👌👌👌👌 hearing again and again 💝😍😍😍😍😍😍🙌Nora fatehi fans hits like🙌,1 month ago,Romantic Hindi Songs,UC-DHIKK7ljp7Kn9FG0apS2w,3,https://yt3.ggpht.com/ytc/AKedOLRIK-IqoVZ8PFhuJVmc5oEkZBlSds6BuvTDhK8E=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz_bFIgCGuBNiX2svd4AaABAg,"आत्मा ही नही, दिल भी रोता है‚ जब कोई जवान शहीद होता है कैसे संम्भालता होगा वह माँ बाप खुद को जो बेटे को सरहद पर भेजकर खोता है 😭😭“देश”के शाहिद जावानो को कोटि कोटि नमन """"🇮🇳”""",1 month ago,BOLLYWOOD HINDI SONGS,UCvMoEHmm8bv-4lEoONNf8-g,5,https://yt3.ggpht.com/ytc/AKedOLSyKlTc7eV926Y2QdVCxgYDMwjPXFcqSvJ5al74=s176-c-k-c0x00ffffff-no-rj,0.0
