cid,text,time,author,channel,votes,photo,heart
Ugw3hKn_MGQCwKOIMQB4AaABAg,Counting down to this yummy track against slurpy visuals! Let’s do this!!,2 months ago,Shalmali Official,UCFt7hnmijQ6TrYGuwKAqIig,2.4K,https://yt3.ggpht.com/RG_fPjLsND1rQyL2RUHhoQI1lqBwx15XEvKyQxdDAofCi2AXIoXLs74NbUu-6wPGYyx2133YsNA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwqd0NGG-Ncgquy2OZ4AaABAg,2 Min Silence 🔕  For Ranveer Singh's Inner Peace 😂😂🥳🥳👍👍👍,1 day ago,Shomen Dutta,UC4cm-eLfCCc7ycritryh7cA,0,https://yt3.ggpht.com/ytc/AKedOLROcgNE0wZV6AZgcojZkbotPyq2elflwCjB3KFLwA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzQjycvLyN5VKoY8HJ4AaABAg,Wow,2 days ago,HOT X VIDEO,UCuU8pqzmXI6uVHc8LzqUl_w,0,https://yt3.ggpht.com/qzRvXqklUcKkVgXwRmffLxVG4OVVREV-vjjps7YppP-aDCbKj-vjqmVQ8MSJXib7G35J78ZhCQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyPGBcu_lIj_G2dQ4d4AaABAg,Best 👍,3 days ago,Rahool Solanki,UC3Lm910Rjbk1GepEd5dsDjw,0,https://yt3.ggpht.com/ytc/AKedOLQrVc9xXJWwZLCODZDXKsRGW2dgmAYp_10KHgbkCg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy4YbxHo8lvRwXt7kx4AaABAg,All the songs are cool movies sucks..!!,3 days ago,Maria Mathew,UCjpI-FS7Jub2gYgJLjdcNhA,1,https://yt3.ggpht.com/ytc/AKedOLTweQvX9V75o4oXBfZkI_nNyNnGvRg2LFkK5AXjYQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwTrByS9nx0jIH3ClV4AaABAg,Deepika is 💥 even at tis age,4 days ago,mayuri,UC4xeEt1Ux-vGM4NLy-Xzncw,0,https://yt3.ggpht.com/ytc/AKedOLTMz2nRCb4FvSX8xggheNNEeP8nuWNQXXLU_O2GS_X5NWqH2es0WXsE63L_CtdO=s176-c-k-c0x00ffffff-no-rj,0.0
UgwwKRZdLONZydMOS2N4AaABAg,This is the music bollywood is missing now a days❤️,5 days ago,chirag dave,UClIj64U_jFK_OOAdRoF7xqw,3,https://yt3.ggpht.com/ytc/AKedOLRGHY62H_FONKnkZAiOQjW8fsKSp8jb_gmZy3KTqg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzs8sC32O53EyCYrfR4AaABAg,Chorous to bahut accha hai lekin baaki Part Aisa lag lag rha hai koi besura gaa rha hai,7 days ago,GAMING TURBULENCE,UCt08cyIHuNl1j30jj8UhyKQ,0,https://yt3.ggpht.com/LUqWVtGxdctetrpGRaI05XmELwXnJMKEr_qop9HYZ2VQO_AmQLikUVGcFPD9KZqx_E4N5mS1=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx-Ocf8W1Vj3b0pAal4AaABAg,Silence for ranveer Singh patience level for this movie.. btw good song listening on the loop🙂,7 days ago (edited),Jahnavi Dubey,UCs1gc3_zosRUBRSdbpGS8DQ,0,https://yt3.ggpht.com/ytc/AKedOLR7LTe9OCHsxYaZug0I1IQn9LORWCMBJT5VrQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyFgmK0pmK-J3NC-K54AaABAg,qqq+1,7 days ago,Abeera Rabbani,UCKWVh7ZgnDLFUYSKVdjjwnw,0,https://yt3.ggpht.com/ytc/AKedOLQ5CGRfyaz7bk55rFkWc49S8mwcD4hl3_Qh27VgP8_uxNFxg6rVf7mAOPsV5ePn=s176-c-k-c0x00ffffff-no-rj,0.0
UgzcaG_hkBE3dvcQLHh4AaABAg,Actually...I didn't like the movie first time. The second time I got the nuances and layers of each character. They all are kinda in the gray zone. Like most of us,9 days ago,Sid Sir,UCPJOoR3UDPhpePhGhDaNk4w,1,https://yt3.ggpht.com/ytc/AKedOLTPghnM6HXt4-u6VAaSgABOIFpK8lBuU_soGQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyoLMavR91fcPL5pR14AaABAg,❤❤❤❤❤❤,9 days ago,Fehmina Qamar,UCiZ98oJuC4QJgFPLZDJWT2g,0,https://yt3.ggpht.com/ytc/AKedOLTXNX3OjOVLa1kiBnSirfj7evtmLmYgGOLdlw=s176-c-k-c0x00ffffff-no-rj,0.0
