cid,text,time,author,channel,votes,photo,heart
UgzS8DjDr7fuGVtOLJh4AaABAg,"your one click can change my whole life 🙏😭😭🙏,,,,,,",1 month ago,G Chaudhry Sahab,UCPuzI2iKnaPF5VbtfOk_9kQ,0,https://yt3.ggpht.com/ytc/AKedOLSiCTuBzkshvyNrFtdjJ54rGGVicriSIJekZ-HE=s176-c-k-c0x00ffffff-no-rj,0.0
UgzJsdvbe-YQIPynDxF4AaABAg,Bruhh just 3k views in 19hrs people are really missing it...🙂,1 month ago,Jubin999,UC_pr7MHTmXkdmzVK4l10bZA,0,https://yt3.ggpht.com/R0AoWBri0mmM8lKHTa3C9q3EHtA17hP3OiNiOe67PmfhgRqlw7v2tdsR3hCYOQIXCMbxfBuW=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw__3Q_OHgCm5DT65V4AaABAg,https://youtu.be/ugPqimAU1Ss,1 month ago,Rajesh Singh,UCDfwDaI_4REK9K98NhOE1LQ,0,https://yt3.ggpht.com/ytc/AKedOLRFmE352PEmgugx7yjxbdtYZhMLPle4Oa-R_sYxqRB2W6vxfXfI2CUjCxteY-Wb=s176-c-k-c0x00ffffff-no-rj,0.0
UgzFOrcLzENtU3v6SX94AaABAg,https://youtu.be/ugPqimAU1Ss,1 month ago,Rajesh Singh,UCDfwDaI_4REK9K98NhOE1LQ,0,https://yt3.ggpht.com/ytc/AKedOLRFmE352PEmgugx7yjxbdtYZhMLPle4Oa-R_sYxqRB2W6vxfXfI2CUjCxteY-Wb=s176-c-k-c0x00ffffff-no-rj,0.0
UgzwT2WUbBZup58-23R4AaABAg,https://youtu.be/GCKv20EMRqM,1 month ago,Madam sir comedy scene,UCVEdWby2-nUJ8EeqH7TLDKg,0,https://yt3.ggpht.com/f3Z--tbpfEHvkzju-ksYE4jztZ1rCsTUq-IrNnKpoPiMmEVkUbj-FflXwoSLv80586g3OowRnw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy3Wed7NFDTIAOJEF54AaABAg,🌟🌟🌟🌟🌟,1 month ago,Annie Einna,UCenHyA06kaFcnja39iRj1eQ,0,https://yt3.ggpht.com/ytc/AKedOLS3_Ty8RFxoN05mlgRdx0NvJcm8pmYslsq-HhkCxg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxAljzP-pTeYRsjbFp4AaABAg,❤️🙌,1 month ago,Lavi__143,UCfS327nq9JZ6AjQy1tlX_qg,0,https://yt3.ggpht.com/7H7NBzPDkltfx3b0FXF5M-NFwjRtSOGajHluIV2yQuwIe8yHMweywLE6prIpfSa4a7i6rUyyycw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxU7lAo1Supm6siahR4AaABAg,Ranjhanaa is the best!!!,1 month ago,Dhruv Trivedi,UCviYN_dZsNZdzeK9wGl0KSQ,1,https://yt3.ggpht.com/_7qcsEEoYawCJg65wX3l4Bi7WecpS9QlBp-If_Z-i7Y6gotGUDoKC7pxvXX5yrlVmw2sYVhfiw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxMCTkx1LoP-d5AH094AaABAg,Good vedio my friend,1 month ago,Bein look,UCNVckdLw8ehj8zKPTJGRnSA,0,https://yt3.ggpht.com/jnQudhdaKPKA6iQ2n0nqcOOy7kyDXs3lHPg00h1CUQpHRGVCUnLGqn9yM4SCmVzZJkP8w1dqWQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyYtJ_ZJQ9lcokE4Kp4AaABAg,Super video songs hai guys 😘😘😘,1 month ago,Parvej  Patel,UCLTl24EViVPYp1dGwwi2yQQ,0,https://yt3.ggpht.com/SiSZuFk7A4rBtbPzH8ap_2V4nD-9G5oTPaeqDICTzJeV1ezWdBIeO8Ms3SA-yeoEImsVF_8CAw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwS8pTwez71GAAT6wx4AaABAg,Congratulations🎉🎉🎉 50m,1 month ago,SILENT KILLER,UCjntTXzNK65d4zhIA5mWPow,1,https://yt3.ggpht.com/BkiFEZZmSOlSDuQ3vFJIwok0aOpAcrM9ax2e_gxfCYqBW-nI8t0sjyYzIaJmuUfwXQ0K4UA0=s176-c-k-c0x00ffffff-no-rj,0.0
UgzlfJgO7w31z0jMaO54AaABAg,Jai mata Ji 👍 super hits song,1 month ago,KS-SERIES,UCMc3Gj6BQIjhAazva-yHfRw,1,https://yt3.ggpht.com/7O37i4fyUzkYIP83JBfq-HUInydYLhamwPXhnSVdzepYLWgQqfPpq_cFpudkK79TF0JvSNShzA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzXseLwKdub18Wc_WR4AaABAg,Dill se dill Tak....❣️👻😇,1 month ago,ALOK NAG,UClpzfRc3rh-kgmuUDzMUCcA,1,https://yt3.ggpht.com/k9slG-OtyyO1PLB6qyCkTSTm-Rh2-EGE0tQ_XmBSrRpvYwAn4zLjdmQjNC78JBC-bzuCQaF-=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzq0T8scHWolMzEOl54AaABAg,I respect everyone who were involved in this. Seriously the best piece  that I've ever seen on YouTube. HATS OF TO YOU ALL. LOVE YOUR VIDEOS❤️,1 month ago,ICE BIRYANI,UCBR7DKwELPD216sSMq9h0Rg,0,https://yt3.ggpht.com/8dJMOIdIeoFHW6ylkABUS5BpyiH_RhLMKdgVpGf1chNXkEpMlxLzHlyxXs_8baaAvdEDqvGDYg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzTx_jjyMhQCesGKc14AaABAg,I respect everyone who were involved in this. Seriously the best piece  that I've ever seen on YouTube. HATS OF TO YOU ALL. LOVE YOUR VIDEOS❤️,1 month ago,ICE BIRYANI,UCBR7DKwELPD216sSMq9h0Rg,0,https://yt3.ggpht.com/8dJMOIdIeoFHW6ylkABUS5BpyiH_RhLMKdgVpGf1chNXkEpMlxLzHlyxXs_8baaAvdEDqvGDYg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy02h-EVpOAzWvquCp4AaABAg,"I respect everyone who were involved in this , Seriously the best piece that I' ve ever seen on YouTube ,HATS OFF TO WELL ALL ! LOVE YOUR VIDEOS !!!!💔w,,",1 month ago,THAKUR SHORT,UCZsihFPBY1Aq5AKtcJwigGA,2,https://yt3.ggpht.com/wRLypwaBLqghDm-7X80gp8BwvKaTwl_NFvc1sRFoaS7F2QFWKom_crZcnKHf2El_iAGjS7bJ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyq87pbjn9j7_H8Hz94AaABAg,Bad 😞 song I hate this song 😭,1 month ago,fact bhai YT_,UCgRDSdkJV7wrVV2MmCnjjAQ,1,https://yt3.ggpht.com/up5jxdRRKlRNayg3mRi2Zy4DfvbB0969oIBjiFR4uiryl7xF3dFVhUQ-a7laoRaSZVnHXF3_Zw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxuCCbuBoDzPo670Vx4AaABAg,"""""""""I respect to everyone who were involved in this, Seriously the best piece that I have ever seen on YouTube, HATS OFF To YOU ALLI LOVE YOUR VIDEO S!!!,,,",1 month ago,404 ERROR RTR,UCBJB1A0pcWifKMRKRFzDBqg,2,https://yt3.ggpht.com/864n6oslXsS1gvapMF0OZyVe5cCaKU2G1OwQDFTIG2Kcw2RVnC57PvSvb3HP1mla8s5bgnnlRQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwfjOLXeKlU1yHBRyp4AaABAg,"""""""""I respect to everyone who were involved in this, Seriously the best piece that I have ever seen on YouTube, HATS OFF To YOU ALLI LOVE YOUR VIDEO S!!!,,,",1 month ago,404 ERROR RTR,UCBJB1A0pcWifKMRKRFzDBqg,1,https://yt3.ggpht.com/864n6oslXsS1gvapMF0OZyVe5cCaKU2G1OwQDFTIG2Kcw2RVnC57PvSvb3HP1mla8s5bgnnlRQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxvgp4fmVlGlF9yKTR4AaABAg,"""""I respect everyone who were involve in this serisel the best peace that I""be ever seen on YouTube,HATS OFF TO WELL ALL! LOVE YOUR VIDEOS!!!!:-! :-! Pp",1 month ago,Umang FF 1.2k,UCzMur6FWc2PfjwCojfcfC8g,1,https://yt3.ggpht.com/RIcHsQiTYVknAA0VtqefTUi7neGLeLJONjxe2pSOo5esX61WceeMAjqjo_tatnclLzNDrjRmkQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwfjOLXeKlU1yHBRyp4AaABAg.9Z8xVr3c7Xm9ZDYHJb36BQ,❤️❤️❤️,1 month ago,Anurag mandape,UCwGQZkLDZJziHt-haazvShQ,0,https://yt3.ggpht.com/gsKg0AlmwWQOD4WmAq5iWSEk7W-SjPS3BPFthD021_yaJqvV1C8XG4s_aInA5XNy7E05B90_h30=s176-c-k-c0x00ffffff-no-rj,0.0
UgxwI2MHtHuGI2_htUJ4AaABAg,"""""I respect everyone who were involve in this serisel the best peace that I""be ever seen on YouTube,HATS OFF TO WELL ALL! LOVE YOUR VIDEOS!!!!:-! :-! Pp",1 month ago,Umang FF 1.2k,UCzMur6FWc2PfjwCojfcfC8g,0,https://yt3.ggpht.com/RIcHsQiTYVknAA0VtqefTUi7neGLeLJONjxe2pSOo5esX61WceeMAjqjo_tatnclLzNDrjRmkQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwC0X0AldTVf2o65pl4AaABAg,"I Respect Everyone who were involved in this , Seriously the best piece that I' ve ever seen 💔💔 but I m a fan of Hammad Khatri. He is hearing impaired Youtuber. No one notice to him. His channel name Hammad Khatri
Jai Hind🇮🇳",1 month ago,Sam James,UCCeVkKxQt4fyYl3Zmocgfug,1,https://yt3.ggpht.com/drApjlW-ThpNKkWNmrRTbAuP4YWivlZqtHSSNhO8VjCje8mmROx3s5Vh-fWhBaPjKGLvjfoj=s176-c-k-c0x00ffffff-no-rj,0.0
UgyO7iXfpVeOaO2B_Bx4AaABAg,Please upload more songs like this ❤️,1 month ago,Irfan Khan,UCmIk9P7S0AAxnGB4VVVGzkQ,0,https://yt3.ggpht.com/ytc/AKedOLQ1x9SnYTux38tycs68h8FxRVZxm23LK1G-cpBXAg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyCuw5-JEOAgG2MaeF4AaABAg,""" I love how his voice is deep , but his personality is a whole different level , from sounding mean and rude , to actually being sweet and nice ♥♥♥",1 month ago,TK2S,UCcxdlMWGojVTqIO1dtcaq7g,1,https://yt3.ggpht.com/TgNsSyRJzOzvN0We49omU8kVN8P4cBvXl7S6DlUbuJKRaAmUpEHwCCDLNe6r15QJdT5F5MHrMA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxWMB4iCakV80w4n1l4AaABAg,Beautiful ❤️🥰,1 month ago,Irfan Khan,UCmIk9P7S0AAxnGB4VVVGzkQ,1,https://yt3.ggpht.com/ytc/AKedOLQ1x9SnYTux38tycs68h8FxRVZxm23LK1G-cpBXAg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw8xpdKd5djtLnHDhh4AaABAg,"'' Respect Everyone'' who were involved in this, seriously the best piece that I've ever seen on YouTube, HAT'S OFF TO WELL ! LOVE YOUR VIDEO!!!!❣️❣️..........",1 month ago,GAMING CUTIE,UCsBTDNU2kiSyPS2zIgSdfQg,2,https://yt3.ggpht.com/En6e7yAivZFI4Mj3aYUjhTocjWwPBoGYJfWovPS31BzT6D14f16UPaZvFHkb7FkhYTrKF13T=s176-c-k-c0x00ffffff-no-rj,0.0
UgxvgU-F2hDVe9aVVWR4AaABAg,"I',m losing my ""confidence'' me itni mehnat krti ""Health care Tips"" pr lekin koi chote you tuber ko support ni krta sb stars ko krte bs😭😥🙏",1 month ago,Dr. Tube,UC5gTvdjDakWUmkUERSghxUQ,3,https://yt3.ggpht.com/Cfe2x-hUbVDFIKBk08tlvaJ3ERMX2dzo_zE5ENaSrPx1EvGeuWM5mAYeEKc_94ItGb2oWofSixg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxvgU-F2hDVe9aVVWR4AaABAg.9Z8wVTWmAWB9Z90lwf1-qR,"Hello,I'm sorry to bother you with my message, but I must say you seem like a nice lady and worth talking to. I will appreciate taking to you",1 month ago,Anderson William,UCZuEzDJD6hORyMtIHFLhqEQ,0,https://yt3.ggpht.com/OZTwGNvSlwV4Z_AMmRmyHBlF6YT2sUMfaaI2Nptm7oVOkgtdpazWsQTHymTDwkewX4wHaKPWO8U=s176-c-k-c0x00ffffff-no-rj,0.0
