cid,text,time,author,channel,votes,photo,heart
Ugxgf3t8BG7Nujj9tKR4AaABAg,Kiran Dj mashup 2011-12 sea kon kon yaad hai Zero Hour mashup se,2 weeks ago (edited),Krish Teer 5G,UC16-Nw2ohuNMPTt2-HFHYmA,0,https://yt3.ggpht.com/OjNVJ1eKES_-4IhR0rlvS1J6wBWRtSwAmrPNfqc4jwIYzfBPcOPMZDLEXiRIPbmeJuDAT653=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz4d9dARYw7dOzxqDl4AaABAg,Shehnaz only you are 😍😍😍,1 month ago,Zohaib Hassan,UCgVCjPPw9YyeMUJ4EA_gD4A,0,https://yt3.ggpht.com/ytc/AKedOLQe5fyEzMH68EysodANoidqi1URp5v5rWymSA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwt5f6CbPzZqTEtczV4AaABAg,#kiran_kamath ❤️❤️❤️❤️❤️❤️,2 months ago,LOST _Aa,UCDIzJ-QzK0ztOktOFG2NkuA,0,https://yt3.ggpht.com/ytc/AKedOLQd8ioLdDSVmVRmjca7DHcgiJbj0c-uu_7GFT1XKw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxE-oigSFr7WqYObRN4AaABAg,Raftaar,2 months ago,HARRY,UCllFpU0aD7uH1jkHqRqh1Sw,0,https://yt3.ggpht.com/ytc/AKedOLTRevlCMB2Lo5VPzXfwK8brsqEh2oqLvmtBUC3N7Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgyONnBdQxqt9uSSc5p4AaABAg,"Kalamkaar parivar RAFTAAR, rashmet Kaur and badshah are  every were 🌋",2 months ago (edited),edu.commerce 27,UCs9gkHeR7Sw8EJirziDvtkg,0,https://yt3.ggpht.com/ytc/AKedOLR8zoFamxCdX835aiCIBG5xFcPYNc-GWgnsx4rX=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwq-aBqqokXLi5SVBF4AaABAg,Nice 💞💕,2 months ago,sandip jadhav,UCCs2GawNURkjfSYeXbl9XXQ,0,https://yt3.ggpht.com/ytc/AKedOLR_ekMWu1_ffpAc4U_BOE4dFO_vNko_CY6GnXX77GkCmyU2u3K1qLukfP5F2gwR=s176-c-k-c0x00ffffff-no-rj,0.0
UgwAZZ7rC2K4tl-2Hll4AaABAg,Super mix,3 months ago,Ajay Sahani,UCg-Ybu59jMrwtJoDQQLVXFg,1,https://yt3.ggpht.com/ytc/AKedOLT-mbLubkHjOICryXrXJzglzLBirOrjhfH3WNZ5rw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzx4uXuhUzW1GNBQ414AaABAg,#shehnaaz ❤,3 months ago,gam@samrat,UC49IQZLPXQ_t5Y7toHijcJg,0,https://yt3.ggpht.com/wGmenRsmjRSg9AXPECBDdwtjokMw7UxZOSPhHk2oWCHrqXOYL2Czj7xPb-J74RxIYW7rVcROdg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx5Z0btEvYkZ6zBkzx4AaABAg,# Shehnaaz Gill ❤,3 months ago,gam@samrat,UC49IQZLPXQ_t5Y7toHijcJg,0,https://yt3.ggpht.com/wGmenRsmjRSg9AXPECBDdwtjokMw7UxZOSPhHk2oWCHrqXOYL2Czj7xPb-J74RxIYW7rVcROdg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxw9Q0bqRGTLlZsZS94AaABAg,https://youtu.be/bn87u8bhRrU,3 months ago,Status,UC7GbQfAPoJy0geh9tKALI2w,0,https://yt3.ggpht.com/j4i08m7v3uBWrXlpBdf6MqHp2S4J4dEyL7E5dqDze_woX_EkbwcZFKxnAJ0Z_unB4bd-xihy=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzc0z5I1f3sY8OnT1N4AaABAg,Boring,3 months ago,Lost Memories,UC__o9Vs6wWwYS8UF4Tv5LWA,0,https://yt3.ggpht.com/ytc/AKedOLStbmTEW8bvSw9QHbufBh_9gknLLFnnOy2p6Msn=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwx_1s-2SawlVMYA7F4AaABAg,Raftaar sir Ka best hai ISS video mey,3 months ago,Avro Abir,UC6MKhnsUXhM3k4WHYq0OnJg,0,https://yt3.ggpht.com/Pyp2a5bldRxWbylMkbADRp7GuLHZjsHyeRqXB0PpDmzUt7NH5baETrkyoNRDjQhQRZK-AHdQGw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxOdX9JxPOLbU87dm54AaABAg,Fly with shehnaazgill 😍,3 months ago,Sweet Girl,UCpNQGDdp4aBc9j_WQsGuUsw,0,https://yt3.ggpht.com/ytc/AKedOLQ8sbVVbxv2XySqu17DiHi0WWnTaBix_ByHDg=s176-c-k-c0x00ffffff-no-rj,0.0
