cid,text,time,author,channel,votes,photo,heart
UgwB9QoaW7Yif-n4EjR4AaABAg,Arijit sir se Best koi nahi 🤘🤗 Arijit sir is Best ❤️🥰🤓😇,1 day ago,suleman shaikh,UCAiYdSMxFbAiXXFU9E4xj8A,1,https://yt3.ggpht.com/ytc/AKedOLT9WAvfLXvpDI12i1Xd_7w59vMFGKuLcrxB-w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz5ZSyMhwMN0h-Ry2p4AaABAg,Arijit Singh is best,3 days ago,suleman shaikh,UCAiYdSMxFbAiXXFU9E4xj8A,1,https://yt3.ggpht.com/ytc/AKedOLT9WAvfLXvpDI12i1Xd_7w59vMFGKuLcrxB-w=s176-c-k-c0x00ffffff-no-rj,0.0
UgyjZku0vbPKOgKJjb94AaABAg,"Arijit singh my favourite singer❤
A- Aayat
B- Binte dil
C- Channa Mereya
D- Desh mere
E- Enna sona 
F- First class
G- Gerua
H- Hawayein
I- Ishq mubarak
J- Jaan nisar
K- Khaamoshiyaan
L- Laal ishq
M- Muskurane
N- Naina
O- O sathi
P- Pal pal dil k pass
Q- Qaafirana
R- Roke na ruke naina
S- Shayad
T- Tum hi ho 
U- Uska hu uska hi bnana
V- Ve mahi
W- Wafa ne wafai
Y- Yaad hai na
Z- Zalima",6 days ago,Arijit Fan(Road to 1k),UCuSnb5-cY-ms8m6eeLIiomA,1,https://yt3.ggpht.com/oxcoVavfxFWfgUq8Cpxr2H_qoFFRk56EyRVcZ0ui8e1ydaqW5YcyzWzweQO4VP_8WlIceTT5IA=s176-c-k-c0x00ffffff-no-rj,0.0
UgySkzwNUyoVi-xco7B4AaABAg,Arjit singh is would best singer ❤ 😍 ♥ 💕 💙,7 days ago,samiksha baliram kendre,UC5fsbWTbAQS-7yDeWTA5miA,0,https://yt3.ggpht.com/dQGUtkixXGwe42LxAINrcK18K8y6TbraOKCpqyZwYMsuRMhkgL4Kek_tCTSFSJV_u_p-QDio=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz_GbBnVxp0SDQjSC94AaABAg,My favourite 😍😍😊 song,10 days ago,ANKUR RAJ,UCshTaxDyKOKUA9ky5wpMdbA,0,https://yt3.ggpht.com/CenLhX9YaUiOQgCg8pseMOyLMU2CxWRbRLHZBxM5ae5FOo2fFnpd1pbEZY3KC0HCZDPGSCy1DQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzuTx6I2ixQsfKYYnJ4AaABAg,Arijit Singh best,2 weeks ago,MIHIR MAJI,UCiAIBOzawSALLXZM4Je32kg,0,https://yt3.ggpht.com/ytc/AKedOLRpLOjJ5NZTZ9f-6frXQXIS3cuku7x8fBV19g=s176-c-k-c0x00ffffff-no-rj,0.0
UgxT3uHOJgRdMRpvt1R4AaABAg,it is  more interesting and exciting at 1.5X MUST😁:thanksdoc:,2 weeks ago,Mudit Sharma,UCppw4RY5TkB-tY2Z1mohsnQ,0,https://yt3.ggpht.com/ytc/AKedOLTV299lKpIjmclopdFLkkB79LlnENp32MqXAg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyZO-Ihm_fTGNKy8rR4AaABAg,My Favourite singer jubin and Arijit,3 weeks ago,Mohammed Noor,UCKFtyoE1SZrREfoCFRPkuwg,0,https://yt3.ggpht.com/ytc/AKedOLRYORZFB1w5viwFg3Ys3j8bO6nGWxFh--ajpA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxIgrbERcQiOthF59J4AaABAg,Valo gan jubin,3 weeks ago (edited),Mathametics channel,UCuJe_xS-WAnVTWMF6F8Aptw,1,https://yt3.ggpht.com/n3iaeo4TzDe46mcStLp8njPTIja-glFHKHvpGX-SIhU5gsbHuYkmfJ5paqpMR1_8BLwUBgK8Qw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwldUWjof235xL7ciN4AaABAg,Arijit sir 😭🙏,3 weeks ago,Style movie's,UC4mWzCsCCdkKOw22ND6YjLA,0,https://yt3.ggpht.com/JnKT0FqjGVcz7WlrRJoHehzqNn0_-Lm7BysWvWIfHOattSM8SZy8JDx6w7EfCTroU3xPhiASkA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwf56vrCQ8ZuFVFkqR4AaABAg,Both Singers are Legend For Our Country 🚩🚩🇮🇳🇮🇳🇮🇳💞💖,4 weeks ago,SK SUJIT GAMING,UCNC44r48sstWsawnfBz6s-g,1,https://yt3.ggpht.com/okAnO-OE5DJz0mNcqdjzzBAjPqwwCtuVPCyglYywZtpAnbmcJPB1K4PCLPgMH5L82RTSaKDMwg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyuAwm_bOYGqnkPqA54AaABAg,Both are best but for me arijit is special ☺😉🙂,4 weeks ago,Niranjam Chavda,UCJCxkQFa2_tcOcAOYd0UAjA,1,https://yt3.ggpht.com/ytc/AKedOLSs7VSOHdQSPUQxLRySA20nthi-GavboDO9Ia1xyOnWDc4vudgBoRQswXHHQTSd=s176-c-k-c0x00ffffff-no-rj,0.0
UgzHHHghi4U6OdORK1R4AaABAg,Hatts Off to The Maestro's Magical Voice.......... ARIJIT 🙏🙏🙏😊🙏🙏🙏,4 weeks ago,dhiraj nath,UCZqaQxw7LpiOt050VvWzFYw,1,https://yt3.ggpht.com/ytc/AKedOLSRhDP8B0SeTye7osZEs3K2-QxVvgtqZK4t6A=s176-c-k-c0x00ffffff-no-rj,0.0
UgzfEVNjZVvKt5D4bPN4AaABAg,💞,1 month ago,Sajan Gaming,UCohC8aZF7Mykg1JPhcd2K7A,1,https://yt3.ggpht.com/Kf8UjqMZu0F_C3sxZf5SmykYCsr6O1dIHmiD6AIB-9iSYOWlVc2ssCKgPtuyEeC9hP00KcQs=s176-c-k-c0x00ffffff-no-rj,0.0
