cid,text,time,author,channel,votes,photo,heart
UgwiLubvN6QwbDarvXl4AaABAg,THE SWEETEST SONGS OF THE SWEETEST COUPLE 🥰🥰🥰🥰😍😍😍😍❤❤❤❤,14 hours ago,I-85 Nandita Paul Esa,UCIwondturlHiLYVB1ZuQojg,0,https://yt3.ggpht.com/ytc/AKedOLTxhforKRNFye3lz6IZY9oiI781iR3p_IplZCjwSQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz-3QmMJBuTRXacgbd4AaABAg,Arijit singh🔥🔥,1 day ago,sujoy roy,UCTHLV4TASxz_njavMHXLEmw,0,https://yt3.ggpht.com/dGHPM8jNTxz_7-bUjXM3ZmIAtKi2uD3HgE2rML8hVPe7pMs68l0cylp1zRj8gEXi2bp531CF6A=s176-c-k-c0x00ffffff-no-rj,0.0
UgyM9Uz4UIKohIhDnSJ4AaABAg,https://youtu.be/Jq3SNWekXsE,2 days ago,Indian Kitchen,UC6z3wIMtuz1hNQm9MAAh1uQ,0,https://yt3.ggpht.com/ytc/AKedOLReg3hYqHGQPwx0YIkvRaqEUzBsnkQBZb15Mwr6Xw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyqOMLdzPUVRLnKA0Z4AaABAg,Arijit Singh ka name kaha he 🙄🙄 ye to sirf lipsing karte he men to singer he,2 days ago,sachin bhamuriya,UCIRa4o8t4-9VystxJSu2ZxA,3,https://yt3.ggpht.com/4NOdB6nTpnhNLD16OjhK654e3hc09bFY_8KB_dKmsLHriWNBbtZvceqLIsEioR55RnfafZBjJw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy8Y7_fDwr8E5GtUoV4AaABAg,Nice 👍👍,2 days ago,Himanshu Kesharwani,UC0PZvcaPVYDwjPfbyNPYyXA,0,https://yt3.ggpht.com/ytc/AKedOLSfPdQEjR-IVG5-gc-wEfgxhncfsP197KaCRxRi=s176-c-k-c0x00ffffff-no-rj,0.0
UgyreoluoO6ER6RXCZN4AaABAg,From India,2 days ago,Siddique Offical,UCZmTh9PkwOx--oKqzrIFdNw,0,https://yt3.ggpht.com/A9SLo440GnjLaJYUyydnXNQSlZlG757FUrm_D8-Vn-cNKa2jeZcX5ULTorWsgT-CJACtxMjX=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwv3BnGn7gMIPTIxLd4AaABAg,Nice,2 days ago,Siddique Offical,UCZmTh9PkwOx--oKqzrIFdNw,0,https://yt3.ggpht.com/A9SLo440GnjLaJYUyydnXNQSlZlG757FUrm_D8-Vn-cNKa2jeZcX5ULTorWsgT-CJACtxMjX=s176-c-k-c0x00ffffff-no-rj,0.0
UgzfGV1xWyG5uj0INlp4AaABAg,Badshah,2 days ago,Siddique Offical,UCZmTh9PkwOx--oKqzrIFdNw,0,https://yt3.ggpht.com/A9SLo440GnjLaJYUyydnXNQSlZlG757FUrm_D8-Vn-cNKa2jeZcX5ULTorWsgT-CJACtxMjX=s176-c-k-c0x00ffffff-no-rj,0.0
UgwW1BJf2380chBUxP54AaABAg,Jai mata di 👍 super hits song 💯💯😊,2 days ago,Krishna Aditya Singh Melodies,UCtbJjwygnSEgC7XExBuwZuQ,0,https://yt3.ggpht.com/neNvazHVoAUFrmN9Ogpb3J-HonBhTqsYVEkGZqniRjFx3-CrSMnNn83f3vB2eJBa6KZdJVMNDbw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwLF1FqVHyzwLgB99R4AaABAg,❤️ Iktara I love it❤️,2 days ago,Sumon Saha,UCuvs0ozltMxTNpN5X5BBQHw,1,https://yt3.ggpht.com/ytc/AKedOLQxIXCPltnwpQoBAdp3A7Vg074ujUdIpDGfLv7HyQ=s176-c-k-c0x00ffffff-no-rj,0.0
