cid,text,time,author,channel,votes,photo,heart
Ugx8CLx_CxkE7bmdSDV4AaABAg,"Meaning of the lyrics:
I don't love you because I want your love, it's my nature that I know nothing except you.
I love to see the sweet smile on your moon like face, that's why I come to see you, I don't come to show me to you..",3 weeks ago,BONGO LIFE,UCiurjsox9IvHL0IMW_LdFVg,0,https://yt3.ggpht.com/RTTTKubofRNjMIaCgtUAUs3CeSmOqGPF5Q0JVRXl2aZTBBI-X4AvzY6YeYs_ocHiamikNOBrNKU=s176-c-k-c0x00ffffff-no-rj,0.0
UgzeNz35fNroowmuIrp4AaABAg,নিধুবাবুর টপ্পা ❤️,3 weeks ago,BONGO LIFE,UCiurjsox9IvHL0IMW_LdFVg,0,https://yt3.ggpht.com/RTTTKubofRNjMIaCgtUAUs3CeSmOqGPF5Q0JVRXl2aZTBBI-X4AvzY6YeYs_ocHiamikNOBrNKU=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwf16QLkPv6XazLlTJ4AaABAg,Nidhu Babur toppa,4 weeks ago,Aloke Birendra,UCFAtzgPJlGdnqpqgzl4xwKQ,0,https://yt3.ggpht.com/ytc/AKedOLTI6Ia8-ihcTQiX0teyg4QFp0Q9SdsP3t0cly8sog=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwo7OhNShwPG0V4rIF4AaABAg,"This song originally written by Ramnidhi Gupta. Sung by Ramkumar Chattopadhyay., Much Known as Rambabur toppa, old bengali song. Previously sung by arati mukherjee",1 month ago,Gourab Ghosh,UCkf5eaEfVNzovOOSLbwk3RA,0,https://yt3.ggpht.com/ytc/AKedOLSLBwSa2Zn13e8sumjgqxuUORJRmxtLDWB_so7pqw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx3RR0xTNvLBrBpQkZ4AaABAg,Amrita di 🙏❤😊... Love you so much ❤😊,1 month ago,Tanmoy Bauri,UCXAzjXhmX27Xm3yQ5apJRZQ,1,https://yt3.ggpht.com/ytc/AKedOLR5UlKwhUei032PnfeUWX3lra6Xem_vz9Xkego-=s176-c-k-c0x00ffffff-no-rj,0.0
UgwMLMPXze2XijCjHdN4AaABAg,Close your eyes and feel,1 month ago,MD:Nahid Talukder,UCOIz7EZKbhUs2WcjkC2XUhg,1,https://yt3.ggpht.com/nh4PE7xvVAN0EtzLho3yKqj951v0j2TluNyfjt7ZZAl745soUPLelCCIwgPCCVad-uC_cYo5=s176-c-k-c0x00ffffff-no-rj,0.0
UgxShXYaAAJDZjibDuV4AaABAg,An amazing song ...with realistic meaning ❤️,1 month ago,Sandeepa Dutta,UCwvsyUP1JJlqXvQ72NBeDDg,0,https://yt3.ggpht.com/ytc/AKedOLThZaSa8R3q7AhSt74y05g8YeK2hJpcB9o-KhcS=s176-c-k-c0x00ffffff-no-rj,0.0
UgyxqKipIi01GX3VPox4AaABAg,Please release a full version of this song ❤️,1 month ago,Sandipan Bhattacharyya,UCymgwKELMEGuJoGElpJ1p3w,0,https://yt3.ggpht.com/ytc/AKedOLTk6lB8lGP2U9-JHmD3WzcN2L7LcbKM7R1NoHULuG8=s176-c-k-c0x00ffffff-no-rj,0.0
UgzWFoejen3aCJ3BB4h4AaABAg,I want to arijit Singh and Amrita Singh duet song😻,1 month ago,oy status,UCW2bkt7f9g1IoJbXMfvI-pw,2,https://yt3.ggpht.com/ytc/AKedOLQ6aj7ZeXI97-N_HqnIEcMYGD6xDa2S-i9QpCvG=s176-c-k-c0x00ffffff-no-rj,0.0
UgwdejjI9fDpC9CM-f54AaABAg,Didi❤❤,1 month ago,Jithin Jasin,UCChb0d7wZ_jTnDSfV8ufU7g,0,https://yt3.ggpht.com/7i_Z0tAD-2-jrZv-CT5DIAqiwnGv3bjX5_DoPHmgwIV46AxS4v9KhMfh35tlbN3NboBPP3nT=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzo8-DdIHhofJ1WdOB4AaABAg,"She's one of a kind, Just like Arijit Singh🖤✨",1 month ago,Walking Guys,UCXHMEZ4GlJJraazLqCAcccA,1,https://yt3.ggpht.com/ViTPuKqhFNX-gOUjX8_6qlV3eMkdMun5dLs5WepXSyfLUPcogDaByLGKccdqZLFxcJHRWw_T0A=s176-c-k-c0x00ffffff-no-rj,0.0
