cid,text,time,author,channel,votes,photo,heart
UgxovAw4o4Ovu3t9RUd4AaABAg,SORY......11.AM.AS..SS.,6 days ago,Santosh Sharma,UCJaVJBQf2Oh7ka2QbTWNQ0A,0,https://yt3.ggpht.com/ytc/AKedOLS-JkS_feZXypHhczJOKUxE3CMCLC_vwaKux-crfSToTVTST9-FUY3kCVSeFEZ0=s176-c-k-c0x00ffffff-no-rj,0.0
UgzUAyEUp-94vz2tYfl4AaABAg,SAARE.BADAN.ME.JEHER.CHAD.GAYA.BICCHU.LAD.GAYA.RE.MUJHE.BICCHU.LAD.GAYA.........AB.JI.KI....YAADEN...SUNDAY.....10.4.2022........10.49.....AM.AS.SS,6 days ago,Santosh Sharma,UCJaVJBQf2Oh7ka2QbTWNQ0A,0,https://yt3.ggpht.com/ytc/AKedOLS-JkS_feZXypHhczJOKUxE3CMCLC_vwaKux-crfSToTVTST9-FUY3kCVSeFEZ0=s176-c-k-c0x00ffffff-no-rj,0.0
UgxaMKqnqRZ6pJ06crp4AaABAg,Gotta love Sridevi ❤,1 month ago,Devi Singh,UCAo_itZvA-99AFnc0rbTZyg,1,https://yt3.ggpht.com/ytc/AKedOLQmqHxYeVF2cfaHqNkqfEF7nD2KchZOIGon_otBzw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzO5w2-cOQ8YP3CsC94AaABAg,Double meaning song😁😁😁,1 month ago,Rowdy Romeo,UCnb2bVALr8x4kOXEzs-JUTg,0,https://yt3.ggpht.com/ytc/AKedOLSk-015yoT1lWlQMAk4RGodvRXOlN9AUyHvatD9LQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx0vn7RshfbPPcv4ll4AaABAg,good,1 month ago,Bollywood Latest Songs,UC0qCOMZMH8Md1kBZIXuSmlA,1,https://yt3.ggpht.com/80fJMCyFKSvWestVcCxCawTie13pz2qJyO2fbcERuca4HQpWIaKsazWQCA1O0hGNLvWKNEvinA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw7MEOZlqgTEaXmjoh4AaABAg,..I like this song 😇👌👌👌👌 hearing again and again 💝😍😍😍😍😍😍🙌Nora fatehi fans hits like🙌,1 month ago,Hindi Romantic Song,UCqgdEplsNVsXn6SEy9uLxhA,2,https://yt3.ggpht.com/ytc/AKedOLS8O4eUNQW_TWIF3lHLTEu2Y4MUUhCZxCI65Thi=s176-c-k-c0x00ffffff-no-rj,0.0
UgwPmqtUlqrBZS1Y9kJ4AaABAg,Fun fact : You never searched for this song.,1 month ago,amitpa17,UCEIhYJxPLwTBvjVxR3r2DuA,0,https://yt3.ggpht.com/ytc/AKedOLQ4u06BNGMCrI5YrZ0q2mIjUF0A_-Jv4ahaTA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwtYfDkcde84t1AMPJ4AaABAg,Nice 👍,1 month ago,Himanshu Kesharwani,UC0PZvcaPVYDwjPfbyNPYyXA,0,https://yt3.ggpht.com/ytc/AKedOLSfPdQEjR-IVG5-gc-wEfgxhncfsP197KaCRxRi=s176-c-k-c0x00ffffff-no-rj,0.0
UgyQGOZoK6GECid1Orx4AaABAg,Nice song ❤️,1 month ago,Aarti Gupta,UCZZtlNt8hLf0EVtTGeXIQGA,0,https://yt3.ggpht.com/ytc/AKedOLQgESnUUKGtla-3fVUbbHmY2CCNFyiL6_W2tdx7Z2RBNv2sriix7nbs-Sf8vpZM=s176-c-k-c0x00ffffff-no-rj,0.0
UgzgT10pf3WV0E4rUfp4AaABAg,Kaal Movie All HD video song upload please,1 month ago,Mohd Shahnawaz,UC4ZUrDRQ5_OQswTCRC4YyUQ,0,https://yt3.ggpht.com/ytc/AKedOLT7VfdqH64zOyw9buQOaCUxZgO9szc1kM7SW8dHGm9Q2dUBgPitvLXTFwSi4SNm=s176-c-k-c0x00ffffff-no-rj,0.0
UgyilppNEDL_S1ZPV_x4AaABAg,Kabhi Alvida Naa kehna Movie All HD video song upload please,1 month ago,Mohd Shahnawaz,UC4ZUrDRQ5_OQswTCRC4YyUQ,0,https://yt3.ggpht.com/ytc/AKedOLT7VfdqH64zOyw9buQOaCUxZgO9szc1kM7SW8dHGm9Q2dUBgPitvLXTFwSi4SNm=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzp4O6kJc7THgsE7EV4AaABAg,((:Mast video hai guys:)),1 month ago,Parvej  Patel,UCLTl24EViVPYp1dGwwi2yQQ,0,https://yt3.ggpht.com/SiSZuFk7A4rBtbPzH8ap_2V4nD-9G5oTPaeqDICTzJeV1ezWdBIeO8Ms3SA-yeoEImsVF_8CAw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyp7yKusEWjLI6qH394AaABAg,"Великие актёры, люди, представлявшие свою эпоху😍 до сих пор интересно смотреть те старые фильмы",1 month ago,Marina Lukyanets,UCAWgGubXFn0-NzUh81qoNOw,1,https://yt3.ggpht.com/ytc/AKedOLSGMWPxn4CIo4KVXc7fECTLryaxRlm45DvFPEKXSA4=s176-c-k-c0x00ffffff-no-rj,0.0
UgyW1Vhpyjv86eXHgU94AaABAg,"Rip Susant singh rajput sir💓💓
Aap ke video dekhta hu toh pagal ho jata hu .",1 month ago,Gopi Nath,UCkjz0dX2qVvD0yHIIMl-EMA,1,https://yt3.ggpht.com/ytc/AKedOLQypRN1yREbI4IPOygIOQ6fu389SPpH2ibU9kfo=s176-c-k-c0x00ffffff-no-rj,0.0
UgwiJbG3yNZ53aA4_ah4AaABAg,"""""I respect everyone who were involve in this serisel the best peace that I""be ever seen on YouTube,HATS OFF TO WELL ALL! LOVE YOUR VIDEOS!!!!",1 month ago,Umang FF 1.2k,UCzMur6FWc2PfjwCojfcfC8g,0,https://yt3.ggpht.com/RIcHsQiTYVknAA0VtqefTUi7neGLeLJONjxe2pSOo5esX61WceeMAjqjo_tatnclLzNDrjRmkQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy1sOswtXKJ94wnWaF4AaABAg,"""""I respect everyone who were involve in this serisel the best peace that I""be ever seen on YouTube,HATS OFF TO WELL ALL! LOVE YOUR VIDEOS!!!!""",1 month ago,Umang FF 1.2k,UCzMur6FWc2PfjwCojfcfC8g,0,https://yt3.ggpht.com/RIcHsQiTYVknAA0VtqefTUi7neGLeLJONjxe2pSOo5esX61WceeMAjqjo_tatnclLzNDrjRmkQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwwSz4xggg3fsAq5Ul4AaABAg,Jai mata Ji 👍 super hits song,1 month ago,KS-SERIES,UCMc3Gj6BQIjhAazva-yHfRw,1,https://yt3.ggpht.com/7O37i4fyUzkYIP83JBfq-HUInydYLhamwPXhnSVdzepYLWgQqfPpq_cFpudkK79TF0JvSNShzA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyTyCJbpVGOrewKy0d4AaABAg,"I respect everyone who were involved in this , Seriously the best piece that I' ve ever seen on YouTube ,HATS OFF TO WELL ALL ! LOVE YOUR VIDEOS !!!!💔💔",1 month ago,THAKUR SHORT,UCZsihFPBY1Aq5AKtcJwigGA,1,https://yt3.ggpht.com/wRLypwaBLqghDm-7X80gp8BwvKaTwl_NFvc1sRFoaS7F2QFWKom_crZcnKHf2El_iAGjS7bJ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwzFcK1QTek-Gf_DJt4AaABAg,Touchwood to our relationship☘️☘️☘️☘️☘️,1 month ago,Singer Trupti,UCTX2Nzty3Uu0sJFGJ9XnLMg,0,https://yt3.ggpht.com/ytc/AKedOLTrffgEoW_XpLAjZcYnhz3fhvHHglp7GWj0fg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxFacW5r8ipxyj1TaJ4AaABAg,your one click can change my whole life 🙏😭😭🙏.,1 month ago,G Chaudhry Sahab,UCPuzI2iKnaPF5VbtfOk_9kQ,0,https://yt3.ggpht.com/ytc/AKedOLSiCTuBzkshvyNrFtdjJ54rGGVicriSIJekZ-HE=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy9mwDz7KKqvCK8i2h4AaABAg,wow Amazing and Very Very  Nice Video Superb 👍👍👌👌💯💯🙏🙏,1 month ago,UP EXPERT,UCR6OO93ZiYnRcLULwtDigAw,0,https://yt3.ggpht.com/vafVcszGYmR3fAU2ZNBqITRegN2gWsLyboNdzh0ycT5S64KSUMFmwGhtMLlkUBKJCw6GPhKj0w=s176-c-k-c0x00ffffff-no-rj,0.0
UgwDCIFyJQZfha3Ndbh4AaABAg,https://youtu.be/EiFlgfqrfmw,1 month ago,Bishal Banik ..,UCMamN2EHBNopy9iidLs_cRg,0,https://yt3.ggpht.com/R_D1yeCBof58cMYtmxUZZwQ-5ffxRrbO4j2ZTJ2BRf3AoCOT7qPUitrRW8XyaA9XYLErQSqFIQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxMvPv7HA9g8mxiLnN4AaABAg,https://youtu.be/EiFlgfqrfmw,1 month ago,Bishal Banik ..,UCMamN2EHBNopy9iidLs_cRg,0,https://yt3.ggpht.com/R_D1yeCBof58cMYtmxUZZwQ-5ffxRrbO4j2ZTJ2BRf3AoCOT7qPUitrRW8XyaA9XYLErQSqFIQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgybJK-7mopu2SLOSep4AaABAg,https://youtu.be/EiFlgfqrfmw,1 month ago,Bishal Banik ..,UCMamN2EHBNopy9iidLs_cRg,0,https://yt3.ggpht.com/R_D1yeCBof58cMYtmxUZZwQ-5ffxRrbO4j2ZTJ2BRf3AoCOT7qPUitrRW8XyaA9XYLErQSqFIQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyu7QPn9wKBkRivoEB4AaABAg,"Indian music has many colors, giving us many different feelings",1 month ago,Bollywood Latest Songs,UC89oxn70KauW4LYHfrNbEkQ,0,https://yt3.ggpht.com/na03c7HjunvL2HOApRZH-Epn7Ji00nRI7gyB--oJbpk2BrsRDvGHkeYe7Suap5-bEnDY4NkqOTw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy8EoHKJggOUmPWYL54AaABAg,जो 🤍💙प्यारी आंखे मेरा यह सुंदर कमेंट पढ़ रहे है भगवान उनके माता पिता को लंबी उम्र दे और उन्हें हमेशा तरक्की दे🤍❤️💙❣️💕,1 month ago,404 ERROR RTR,UCBJB1A0pcWifKMRKRFzDBqg,2,https://yt3.ggpht.com/864n6oslXsS1gvapMF0OZyVe5cCaKU2G1OwQDFTIG2Kcw2RVnC57PvSvb3HP1mla8s5bgnnlRQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw_TG7Lulw9y8WSRFN4AaABAg,जो 🤍💙प्यारी आंखे मेरा यह सुंदर कमेंट पढ़ रहे है भगवान उनके माता पिता को लंबी उम्र दे और उन्हें हमेशा तरक्की दे🤍❤️💙❣️💕,1 month ago,404 ERROR RTR,UCBJB1A0pcWifKMRKRFzDBqg,2,https://yt3.ggpht.com/864n6oslXsS1gvapMF0OZyVe5cCaKU2G1OwQDFTIG2Kcw2RVnC57PvSvb3HP1mla8s5bgnnlRQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwWu5A6njFgv0NRJwt4AaABAg,"अबे रूसियों...कहाँ सो रहे हो...
पुतिन से हमले के सबूत तो माँग लो...

क्या देश है तुम्हारा...एक भी केजरीबवाल या पप्पु नहीं तुम्हारे पास...
छोटी मोटी मोमता दिद्दी या सोनिया गाँधी ही रख लेते...
ऐसे कैसे चलेगा...
😒😒

हम अपने भेजें क्या...???
फ्री दे देंगे...
साथ में कुछ चमचे भी ले जाना....
काप्लीमेंट्री में....
😜😜।",1 month ago,चलो उड़ चलें।youtube chanel.,UCtU72PR3SM9ra3pWUB90Azw,1,https://yt3.ggpht.com/iFvcntbAUAStbZ6xhQwC7bcZqIMz4V9L_edkVb3Obmx4CAoLEWdGgaHyGXh4pI7ig7fVnLCJL1M=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzt6TxEyQN9rpmHuzB4AaABAg,Beautiful song,1 month ago,Nageena Vermaa,UCR_JeKUGYPQnTHv-57OUuTA,0,https://yt3.ggpht.com/reM0odf_t0rFiM6K8IFPp4Cdr944ZwLYyXs6ywkduNT2t7nEjLfGsxeWM37veWE_sB-NKp73sw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxjXGz6bjUueEDn52B4AaABAg,Don is back,1 month ago,santosh patil,UCPhljAcEN_6YpNTibneK8pg,0,https://yt3.ggpht.com/1PVrlXOliylPqeeDVypaBbvig1xCkC4XH8Y5rnT7qtczdUNsWpfEDJjjNg4dF-4Wi98PbEzcOw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyy-TLf3HIKzISf8JN4AaABAg,Wow,1 month ago,Hammad hub,UCjucETZ5ZypeuIKoCRAvIiA,0,https://yt3.ggpht.com/cVMdZH7RXazxLCpSF6fBey4Z5DOqbeXtMI8zCAbYhS3OEFK6WlKOQeN_hbChCIxwVIyGO-TYWg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyeaPGqzC47QKmk1_F4AaABAg,.,1 month ago,Priyanshu,UCQiI2SLGUD_jTnjgkMoJWjA,0,https://yt3.ggpht.com/ytc/AKedOLTWprQer9L53QnzDdKQ-DIFfjAv7LoIQvw4DrJTCw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxEKaFiro1HJiPL1BZ4AaABAg,❤❤❤❤❤,1 month ago,MR. INSANE,UCH0Jr24QimbuxgQx5NZ_kZA,0,https://yt3.ggpht.com/jWj_Tn-dPO8hdyIuOuGogY9ZrWNX_B46yn9dfbjx5NB20bSTiyahC36bX_QTB5LsP3VVv_-n=s176-c-k-c0x00ffffff-no-rj,0.0
UgwAHYvEa150rI6TtXp4AaABAg,👌👍♥,1 month ago,Ezhil R,UCKPFySsROyWUKL_9XT0Oijg,0,https://yt3.ggpht.com/ytc/AKedOLTuztvM4QPKKJ42gs9VQYVdWj5ogQIdhvZJ0KNPRrrgS5yFsAB5_jZ8aid_HUJB=s176-c-k-c0x00ffffff-no-rj,0.0
UgzB_WJp6ubo5gp8h414AaABAg,I love you too,1 month ago,PAGAL M10 70,UCk_K5l3DTCqnZTLallXPdUg,0,https://yt3.ggpht.com/aV3M1rycYLsXCHC9sGlNAXoIzfrS7_T2HtQvcWqpZPUHX5U6tWMLepsytcSU2A82VlL0FtKh57k=s176-c-k-c0x00ffffff-no-rj,0.0
UgzwKwu_eAwSzlzrrHN4AaABAg,Congratulations 🤩🔥👏 nice Song 🤩❤️,1 month ago,Hi5 Boutique,UC78YH_jfbVVI3DVpCX_1K6w,0,https://yt3.ggpht.com/ytc/AKedOLRUtjZwYLwF3SYYrdQ6XwfFIVEAs1u6n-arRpTa=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx3yZxX7dV8B9c69ix4AaABAg,onee,1 month ago,محمد محمد,UCApAR536M2VWdpWXzHWnM4g,0,https://yt3.ggpht.com/ytc/AKedOLT4t-JrnnPHOqa8GZu2t8cDLKTAS5eKZzatg5hr_z9ye7et6qkU9WY5ii7E1xaXlw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwNVkH1HbvdiW6nA0h4AaABAg,Nyc,1 month ago,dipesh kumar,UCR4w5gLOPBS9j3akgUou6Eg,0,https://yt3.ggpht.com/ytc/AKedOLQXPVzQZAzq8ZUFOjkBYzk828l23IYxqjabFeAVSQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwScWT2LHQP3PBnhAF4AaABAg,1st comment,1 month ago,Puskar DAS,UCVS__3D8QD7T0bsRhVRSDug,1,https://yt3.ggpht.com/ytc/AKedOLT9lf6FLAhldR8R8_m7bmblPRSSoTy_wY8naVvs=s176-c-k-c0x00ffffff-no-rj,0.0
UgxwiCn8nlzIUVRtKol4AaABAg,"""""""SO WE  CAN ALL AGREE THAT THIS MAN NEVER DISAPPONITS US WITH HIS VIDEO """"""💔..,",1 month ago,ALINA FF,UC1j8zwxa1R2z6ZfuEcyJ4gQ,3,https://yt3.ggpht.com/GgoHfjm94fMs_HkMuE-5u08CHz8t_F5X3xV44nlHtq1vqfx7qP292vWWe26B2EGxDn5q2VriK5Y=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy8EoHKJggOUmPWYL54AaABAg.9YuWnYKjl8L9_cg-goj4Zl,KHUSH.REHENA.NO.TENSUN....SS....10.4.2022....AAPKA.APNA....SANTOSH.SHARMA.....SS.AS.KA,6 days ago,Santosh Sharma,UCJaVJBQf2Oh7ka2QbTWNQ0A,0,https://yt3.ggpht.com/ytc/AKedOLS-JkS_feZXypHhczJOKUxE3CMCLC_vwaKux-crfSToTVTST9-FUY3kCVSeFEZ0=s176-c-k-c0x00ffffff-no-rj,0.0
UgxwiCn8nlzIUVRtKol4AaABAg.9YuUt1U7OUY9Yv9InoO1GU,☝️ heeeeey☝️ },1 month ago,i am new hot boy on OnlyFans 🅥,UCMPmLqRR5o_-dQwBWbzUG5g,0,https://yt3.ggpht.com/QoEzdf81341XGRmiyupkDp-Q5PPnFNl6bqj3J4d1HW5l6zmDXFBnZXJWgQvXqb4RW3kf2h096g=s176-c-k-c0x00ffffff-no-rj,0.0
UgylM6IpFPeL4HyY0HR4AaABAg,"'' Respect Everyone'' who were involved in this, seriously the best piece that I've ever seen on YouTube, HAT'S OFF TO WELL ! LOVE YOUR VIDEO!!!!❣️❣️................",1 month ago,GAMING CUTIE,UCsBTDNU2kiSyPS2zIgSdfQg,0,https://yt3.ggpht.com/En6e7yAivZFI4Mj3aYUjhTocjWwPBoGYJfWovPS31BzT6D14f16UPaZvFHkb7FkhYTrKF13T=s176-c-k-c0x00ffffff-no-rj,0.0
UgxS7qOseSInyu5NKsR4AaABAg,Nice,1 month ago,Prithvi Singh,UC6PGpoT9zdzSU7VvH90RSsg,0,https://yt3.ggpht.com/ytc/AKedOLSEBQbKFnBhwaYhkSTlf0fcEw5DyQjdvXcPLCsERN4=s176-c-k-c0x00ffffff-no-rj,0.0
UgwMvbnhqCtCrm9P9FR4AaABAg,"I',m losing my ""confidence'' me itni mehnat krti ""Health care Tips"" pr lekin koi chote you tuber ko support ni krta sb stars ko krte bs😭😭🙏🙏",1 month ago,Dr. Tube,UC5gTvdjDakWUmkUERSghxUQ,3,https://yt3.ggpht.com/Cfe2x-hUbVDFIKBk08tlvaJ3ERMX2dzo_zE5ENaSrPx1EvGeuWM5mAYeEKc_94ItGb2oWofSixg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyALAdchiCy7OSCW8R4AaABAg,"""Congratulations To Everyone who Comes in every Single Second""",1 month ago,TK2S,UCcxdlMWGojVTqIO1dtcaq7g,3,https://yt3.ggpht.com/TgNsSyRJzOzvN0We49omU8kVN8P4cBvXl7S6DlUbuJKRaAmUpEHwCCDLNe6r15QJdT5F5MHrMA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwMvbnhqCtCrm9P9FR4AaABAg.9YuUqRIJ-ST9YuW9Vu7uUb,Aapki video bahut achchi h mam..,1 month ago,Sofiya,UCyPxrfYVPXldD7_mSxtPekQ,1,https://yt3.ggpht.com/5al3WbzEIGh2VHF7e8vcfygJJq3ZCc5-9Na1_w0Zqf1VF4CJIN5N_UbUv9Xm9llIU0C4ued7BA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyALAdchiCy7OSCW8R4AaABAg.9YuUopyvS-O9YuUwj_48Id,same to u and u also came in 1 sec,1 month ago,Abhay kanna,UCdAgRzKJgaSK5XneehA1ckw,0,https://yt3.ggpht.com/ytc/AKedOLTalg0tUd3tbJTIUBd9qwYhxwUHtj_eN0fz1Q=s176-c-k-c0x00ffffff-no-rj,0.0
