cid,text,time,author,channel,votes,photo,heart
UgzTng7-UKcH-qkifDR4AaABAg,heaven😍,1 month ago,JAMMY WEIRDO,UC771fM8nSDGhH6_HoUtjmjA,0,https://yt3.ggpht.com/ytc/AKedOLQ7LyyJpDrhtTrdHMWO3K7-tx2frcyhBUcNyZ0MnA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzlpQzVi97IVUShLAR4AaABAg,Kk sir ki jaise koi nahi ga sakta.....❤️❤️❤️❤️,2 months ago,Entertainment ka baap,UCD56z3rXdVwgJLklq3bEXrA,0,https://yt3.ggpht.com/ytc/AKedOLTVluYyKJB4MC5lLzFQ_OKGdOSQcEQw7_3j6cz47w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyz_MJ-vUTvbv4dtit4AaABAg,K.k songs reminds me of my school days ❤️❤️❤️,2 months ago,Rajeshwar,UCmZa0uWRBsuOzPPfiuv0tvQ,0,https://yt3.ggpht.com/ytc/AKedOLRoLg_U-GU2iaANcbhECZdRethxbqWwY06Y8WPq=s176-c-k-c0x00ffffff-no-rj,0.0
UgyxiPYeJmI4vHB37EF4AaABAg,Love from UK ❣️,4 months ago,Bhuppy Rajput _UK_05,UCyk7ErtSJP82I-868Bn9Fnw,0,https://yt3.ggpht.com/ShEovsoPnNn0u2iFlyMnPveCSbfXdX6MyYSLt2PLfXuvdzOOsilb1SEMOiYfxbqWpn80l8I=s176-c-k-c0x00ffffff-no-rj,0.0
UgyZCvorjf6C13osvwh4AaABAg,KK is love♥️,4 months ago,Surya Goyenka,UCFLGTdg0WE-WEfFe3jnk92g,1,https://yt3.ggpht.com/ytc/AKedOLReJ36kNZtFqDnAA0Ud83m9wUY0RNMdDgP2-WSu=s176-c-k-c0x00ffffff-no-rj,0.0
UgzzvRYC9H531fJJJbV4AaABAg,Hello Akhil sir please upload MP3 link also in your Facebook page,4 months ago,Amit Shingade,UCBkjRntnv862Dsu6dqhmGeQ,0,https://yt3.ggpht.com/gv3xZMm0KH_TItRxe9ivjY94gvLSqt6ZYwbJGOcJKNuKKfAVd7fwGe92zHEDEQw_6EZB6aJY=s176-c-k-c0x00ffffff-no-rj,0.0
UgwDtQAVwhDghXmLZTV4AaABAg,Remind me of my childhood....,4 months ago,Yushika Debroy,UCpP1zdqqM6DUe7AxM_HzF7w,0,https://yt3.ggpht.com/ytc/AKedOLTJfFlSaelsC9c3K8Yd9yH032-5BYNdv1DIqg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyQmfRD4Siiu8AiLFl4AaABAg,"My Life become so hectic, new responsibilities, stress, family, work. Not a single song help me to relieve my stress as it was before. HOWEVER, whenever I listen KK's heavenly voice I go back to my glorious teenage time when I used to listen his songs all the time. No one can beat KK's voice even not Arijit Singh for me atleast",4 months ago,The Beast,UC_wETHGs2AVeAAFKUpHScTA,2,https://yt3.ggpht.com/ytc/AKedOLSZvTltK0LZ3TC3kk0HluScLTFbPs34DThxaA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxb_Sezgo4h7c10Mb14AaABAg,"If your favorite singer is kk then welcome to the club like here and subscribe ❤
👇",4 months ago,ASWRYUGAYT,UCXEAnn2UA3qYAUX87aqUatg,1,https://yt3.ggpht.com/UREbuqdc1BWFQg4lc9g7eW6iwfc4WBpGMz0zOObm5NQcIpva_82AUnm9KI7HIAnZLKo2u5Uwcn0=s176-c-k-c0x00ffffff-no-rj,0.0
UgyJGD2GMIgPE4FMr0p4AaABAg,Tu hei thil hai❤️,4 months ago,syed khaja,UCkOJ7gMndjW9aH8TLkeZLMw,0,https://yt3.ggpht.com/ytc/AKedOLRXlKJp_Vf7fbxhs3c_euex67FPcWGMqNlaZ7puzw=s176-c-k-c0x00ffffff-no-rj,0.0
