cid,text,time,author,channel,votes,photo,heart
Ugwl1H66rXzbKl_uJkd4AaABAg,So cute 🥰 song I am happy 😊 songs,3 weeks ago,Chenga Bhutia,UC9svRPpHigM5Et5fxVMUB8A,0,https://yt3.ggpht.com/ytc/AKedOLRHK3iao5C8SNK_AsLmtinHi6Vdv-fjlP3FDA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxvGxuMytoUecqCTcV4AaABAg,Hyy,1 month ago,Anurag Meena,UCyfNh0m1ZOsnDtDC7YS4NOQ,0,https://yt3.ggpht.com/ytc/AKedOLRg28jXG8gHL4IwEg8mjTaAbj1s0dlVBmGowsnVQVUWXUPO4SkIxujnbzlr94ga=s176-c-k-c0x00ffffff-no-rj,0.0
UgzOOBNDNGZY1objIyl4AaABAg,❤❤❤❤❤,1 month ago,Hn lakhi20,UCeeXeTjspBz3GUJVJeFd7cw,0,https://yt3.ggpht.com/ytc/AKedOLTP9a2kkZF0d9aLPum5dd3njFi2W9vbKAlJO9Kccyqg13XMv3MLY9xRALKquwfU=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxkl6AkqCP1EUDtNYl4AaABAg,❤❤❤❤❤❤❤,1 month ago,Hn lakhi20,UCeeXeTjspBz3GUJVJeFd7cw,0,https://yt3.ggpht.com/ytc/AKedOLTP9a2kkZF0d9aLPum5dd3njFi2W9vbKAlJO9Kccyqg13XMv3MLY9xRALKquwfU=s176-c-k-c0x00ffffff-no-rj,0.0
UgyHAtwaw_giGPc9IwR4AaABAg,Very beautiful song,1 month ago,Yogendra Kumar,UCcaEumVlODJc_gizPK42G_w,0,https://yt3.ggpht.com/ytc/AKedOLS9Kee0ZdYQ-NIC77y0_auZiGYrJqgpYVWyIg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyomcsdv61gFKyc_pZ4AaABAg,my favorite song,1 month ago,carry up,UCdK6K3O1Fdt21ZzvxxcjYEQ,0,https://yt3.ggpht.com/ytc/AKedOLQeY98mByiaU7OCkM6Gu9L4R_9yMvFp0IbYkLMbuw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyi_aF32AKXFr784mh4AaABAg,One of fav song(◍•ᴗ•◍)❤,1 month ago,Sunita Das,UCwTzBEiqqq93-C7mEXW1lBQ,0,https://yt3.ggpht.com/ytc/AKedOLRaACCiR7EdP0GwbLNDK4hUkwF3epCgssAjqg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy66SNSALCYQcimuxF4AaABAg,Ranbir kapoor👍👍👍👍👍👍👍,1 month ago,Divyansh Pal,UCueYKE4WA9Spo9PI6S-ok1Q,0,https://yt3.ggpht.com/ytc/AKedOLQb04l-ewrkKaWuYtEpwr1CRIGrbeSJSSVF9w=s176-c-k-c0x00ffffff-no-rj,0.0
UgxcoORn_LVV6IZHJnV4AaABAg,Wow love this song,1 month ago,Md Mursid,UCce7ANGfPg-3IjebyJetbfw,0,https://yt3.ggpht.com/ytc/AKedOLQekZmmTz32NSzmBNbT6cLv_d7ANcS78zu10DhM54nEGvOMmxQy0Zb32HURChX_=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxzfa2wdrknBT1FsZJ4AaABAg,Soofi Song 😢🎸,1 month ago,362 Muhammad Rizwan,UClrHU4MDBYAtuJhDA5WPwmw,0,https://yt3.ggpht.com/ytc/AKedOLRZVqqA3rd0CaD0QupDbd7-0oKUiBvTL-Re1r1N3j0wYA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx1VDSyr8kDXUrfAwp4AaABAg,Nice,2 months ago,comedy king,UC2LMOIJS1ciWPM4zvgo7hiA,0,https://yt3.ggpht.com/wO5_5f8rTGa9QZRAzRZ0zlN6Z8RQl7daLMqMo5KGwd6xNB_ncQRVGr1jtnY_OuFVUebwv7vZqQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxFj3FlxRxyS1cD4gN4AaABAg,This song  will stay with me for the rest of life,2 months ago,Soumya Dutta VIII C Roll no - 38,UCvZc2rMzqFHmpo5OfB5b9Fw,0,https://yt3.ggpht.com/ytc/AKedOLTfO7mbjcSJgxebX3UKjCvd5j1_I3Qoz-T1x4HerQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzF-gDUd1sDZ7sDQjl4AaABAg,Ranbir Kapoor you are really the best 😘,2 months ago,Isatou Janneh,UCb9-vWgNBogRuCqZw34AdyA,2,https://yt3.ggpht.com/ytc/AKedOLRJJnmqXKLYjLHLgfDHBV3ixmhEyU_DgeZvy8S46FiXZNeV4DlMoP0W1HA1_p6h=s176-c-k-c0x00ffffff-no-rj,0.0
UgzBRbHSP0i1lMK0grd4AaABAg,Always love From Bangladesh ✌️🖤,2 months ago,Mahmudul Hasan,UCWKQRcguMDR7khHFbJQzEgw,1,https://yt3.ggpht.com/bSDKos9p7WQel6jmWkDo8t6RIzIDF7r1J0RVxVpEds4iAGPo6_Trqm_r_eZOxHtuWjyaze-UzQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwF5rbssECePXrtjcx4AaABAg,https://youtu.be/HduTHl_1KXU,2 months ago,suraj 1039 👿👿,UCVxiBysVS7TC23vT50QgHrw,1,https://yt3.ggpht.com/js9M-QtzY88oOBdxA88r9jlEHYGDsGXyKKNo4O6Oml43AKwfwecPga0Gi0A0zEuz-xm-ArOe4g=s176-c-k-c0x00ffffff-no-rj,0.0
