cid,text,time,author,channel,votes,photo,heart
UgwhphHfX1Ed3Yq0Flp4AaABAg,❣️❣️❣️❣️,1 month ago,Arijit singh fans,UCl0svuLTpvKiEktqyMnWGig,1,https://yt3.ggpht.com/mZg1EDzTPv_m44dsI05RlSD1-0hsrReG57C-yo-aoYO1SpCMCfes7o06Oh6JiUlEQ3kKpWKxQw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxYUEA_0f6iEgoSYcV4AaABAg,Bagus lagunya,1 month ago,dedi romantis,UCBo47M204xKfGSyZWKziSJg,0,https://yt3.ggpht.com/f3f2UA4ucCThvTKTcuHDyhI7EytiLX37bCvEmZ2kgX7NwP7Vqtwn29MXs-RLc95TgKXm_Nlk=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwjg1FEasNCS5H12rB4AaABAg,"20:31 Hermosa elección   Babes.geilsex.uno
de los mejores conciertos 💟


20:31  Senada: ""Hermoso""
20:32  Megan: ""Hotter""
20:33  Hopi: ""Sweeter""
20:34  Joonie: ""Cooler""
20:35  Yoongi: ""Butter""
20:36  Amor: ""Momentos""

  ...
      Tu..belleza.viaja.al.universo.se.reune.con.estrellas.
            y.luceros...tu.mirada.enamora.al.sol.....tu.hermosura.quedara.por..una.eternidad.en.los.corazonede.
                    tus.admiradores......feliz
                              Navidad.y.noche.buena....mis.respeto.para.todas.las.mujes.del.mundo...saludos..al.fin.del.mundo
                                          Son unos de los mejores conciertos, no puede ir pero de tan solo verlos desde pantalla, se que estuvo sorprendente ♂️",1 month ago,Roro Jonggrang,UCHBIMaWrLNbJIxlCgbT10Rg,0,https://yt3.ggpht.com/KvLosSVGiFZC6go3GlvGl_-C2ATBlGZjyYy4DbXx_2Otjvdd0dwoB6tf3X4CqtD4rd1szbsh=s176-c-k-c0x00ffffff-no-rj,0.0
UgwR_t-RmsktEsuo3ah4AaABAg,your one click can change my whole life 🙏😭😭🙏.......,1 month ago,G Chaudhry Sahab,UCPuzI2iKnaPF5VbtfOk_9kQ,0,https://yt3.ggpht.com/ytc/AKedOLSiCTuBzkshvyNrFtdjJ54rGGVicriSIJekZ-HE=s176-c-k-c0x00ffffff-no-rj,0.0
UgyH0JhY_ZOL_vZkgUJ4AaABAg,Love this song 💘💘💘💘💘💘❤❤❤,1 month ago,SK ABBAS,UCsOv7aAVdKjcP2QvNprFIBQ,0,https://yt3.ggpht.com/ytc/AKedOLTpazFs7_9v7SyXedBkbdwFwnZz30qCvp_hogJmCYS6O1q5Wc05tpFZF4igJW8C=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy7BlgMlIS2IBcKKqJ4AaABAg,Tera hua 🤍🫀,1 month ago,Alok Singh,UCaeR-qEJtliwshrwwuc7K0w,0,https://yt3.ggpht.com/ytc/AKedOLRrAesuhjc2cEKphAFEA2jfT9IDwrBKp3QXX1NE9SSbRG8HSy6xM38qX9ISygKE=s176-c-k-c0x00ffffff-no-rj,0.0
UgxYCWkfxCjNTb2U9QN4AaABAg,सूपर नाईश 👌👌,1 month ago,Kalu Kaliyana,UCOYhLLTn2--yfGnBUfmllzw,1,https://yt3.ggpht.com/b7acc_7PR2fljAd57h2O97wouEAAHW1ocFQ9jOAj8AEsVTUr637Wowd1xVc3qL9GtCVH-Cxck0I=s176-c-k-c0x00ffffff-no-rj,0.0
UgygU2t5kBuwZlpQACx4AaABAg,Bhut bhut jyada pyaara song h🤩🥰 God bless this beautiful couple 🥰 Waheguru ji hmesha tuhadi jodi bnaye rkhn te khush rkhn tuhanu 3,1 month ago,BOLLYWOOD HINDI SONGS,UCvMoEHmm8bv-4lEoONNf8-g,4,https://yt3.ggpht.com/ytc/AKedOLSyKlTc7eV926Y2QdVCxgYDMwjPXFcqSvJ5al74=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz94WpS0ZPIAub4IwJ4AaABAg,https://www.youtube.com/watch?v=prwPl2xTiwg,1 month ago,Abdul kader,UCC9uXz2E7qPp3RQxbzJLQ4A,0,https://yt3.ggpht.com/ytc/AKedOLTwOVpa_Bzss9n7xZ2GOKQGB17vFCKR95nmTdOGfF2jnIgH7KMNiexKrqhl94EN=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy7wmx98PS4rFxRvYx4AaABAg,wow Amazing and Very Very  Nice Video Superb 👍👍👌👌💯💯🙏🙏.,1 month ago,UP EXPERT,UCR6OO93ZiYnRcLULwtDigAw,0,https://yt3.ggpht.com/vafVcszGYmR3fAU2ZNBqITRegN2gWsLyboNdzh0ycT5S64KSUMFmwGhtMLlkUBKJCw6GPhKj0w=s176-c-k-c0x00ffffff-no-rj,0.0
