cid,text,time,author,channel,votes,photo,heart
UgwmtA6zaOyPH0qhKd94AaABAg,"Thank you all for loving the song  ! Sending back a truck load of best wishes from the team ❤❤❤ ! Keep listening, subscribing & sharing and stay safe ! #adityaa #chaandbaaliyan #sonymusicindia @sonymusicindia",1 month ago,Aditya A,UC8tCiXa5Na0Yl9ItNk3Ju5A,5.9K,https://yt3.ggpht.com/udsozFA33DL_h4ViCac0dRtdArynlIk8ynAGejBkjJtbQtBXVJpVe2C5_lgGhCIDGsjev4e4Ng=s176-c-k-c0x00ffffff-no-rj,0.0
UgyxmltdwdH4wnr6IC14AaABAg,Background dhol 😍😍😍,15 minutes ago,Akash Choudhary,UCyoiM40O2FkTU1vUyBj0M0Q,0,https://yt3.ggpht.com/ytc/AKedOLROKIzBbbT88ZEGLB2ynwuSAziBuIJCVZw4e-goUw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy8eGL8h5hBCeMVl2Z4AaABAg,This song suits to Ayushman khurrana,27 minutes ago,Rupesh Thapa,UCcBf8xpzQjg9r6goB6WLgyw,0,https://yt3.ggpht.com/ytc/AKedOLQBP-nDlO7-bbF8rTp7mlt8ija2IM1EFWGtOQGZyQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwvXzWjqVa9wbV0Lmx4AaABAg,Nice,1 hour ago,RUSH 🎮 GAMING,UCi1XXpcUd2GzXOSilgzTxkg,0,https://yt3.ggpht.com/AL7XZ6qIlfvQ3yIzQAzOtlUZ3so33UKHFz6atjD0_-hvRgSa5o1u1Amz0tKUR_aXsVHCrMe_gw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw2v0JR6lkBWf9M6NV4AaABAg,Amazing!!!!!!!!!!!,1 hour ago,World in Data,UCAF-QOCCQKhVMHhwdP_LA8w,0,https://yt3.ggpht.com/ytc/AKedOLSF8O4hd3xOK4t9LAMn_at_XapI1Y0It9IJkGLFUNUo54uJdHnUBWEpFEdvodgS=s176-c-k-c0x00ffffff-no-rj,0.0
UgxrIYSDbgecbiev8Fh4AaABAg,love your song,2 hours ago,Sumita Goswami,UCyN2cFNIk03z4Fjyng9pAUg,0,https://yt3.ggpht.com/ytc/AKedOLSbV6A25iSyCAdgEZiu4RZLgs2Jq83lHeLWkn5R=s176-c-k-c0x00ffffff-no-rj,0.0
UgxBDOPc-tayy_ZGPeF4AaABAg,Cutest song i have ever heard,2 hours ago,Sra Bonty,UCoXPyDhaWWdy0hWGnYthBKw,0,https://yt3.ggpht.com/ytc/AKedOLRsmTt1T_EWbMrVDUvtz4MUbACzkxG_yNBvaQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyTAoKMzOdXtuxxuwh4AaABAg,Reels ki vajah se bhi song famous hote h🤗🤗,2 hours ago,DD C,UCvTkAZbRqbx7X2ja3DGZ6OQ,0,https://yt3.ggpht.com/ytc/AKedOLTATrTU8xZXoTRHXXq5Ks2VoJRDOU1F_HHiOicU=s176-c-k-c0x00ffffff-no-rj,0.0
UgzejytQjSJy3h6_yuF4AaABAg,മലയാളികൾ ഉണ്ടോ . 🙂❤️,2 hours ago,Muhammed Shihas,UCd8bjnyNFyNdaU6UT4HVCvg,0,https://yt3.ggpht.com/ytc/AKedOLSVs12ud5u5BTtYHz41Wge1iKiEU66L4o1CrAfU=s176-c-k-c0x00ffffff-no-rj,0.0
UgwYTbYmEu1DV296Ded4AaABAg,bro lurics too small btw  I lov this song,2 hours ago,Noddy Eyes Gaming,UCnU1PicIfPRcJHIANVt5HCQ,0,https://yt3.ggpht.com/PXV3woIQrRdV4XYpzr0XkxiZP86W23_iOl7RsTVJQsCUF2ixXQnQDlAx5g1ye-4iTXhX3zY2rw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz4XIrkUK4BXP00OVN4AaABAg,I find this song because frnd of Snapchat put it on their story...n i love it ..even i don't know what the meaning😘😘,3 hours ago,jenk witri,UC3miYbfjwFx9Nr4mM9uX0lg,0,https://yt3.ggpht.com/ytc/AKedOLR1edB8RAsAJpwrfRhQ7DUxRVooPNkM06hwBgznRA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzfTGnEB-q0voDdWXd4AaABAg,"നല്ലൊരു ഫീൽ ഗുഡ് സോങ്ങ് 😍✌️
Aditya A Rockz. Vocals, Lyrics nd Music OSM 🔥",3 hours ago,[ കുഞ്ഞിച്ചായൻ ],UCKsy7Y-RqMJdEN5xQxDaBZw,0,https://yt3.ggpht.com/jH6hVSzIJ58nZdV8xgcU7A3eZp7kitnImqbbdnHSJ1ksqu6HFx9iNjaiUpy4n9eyefTDJTDU=s176-c-k-c0x00ffffff-no-rj,0.0
UgyCSaEyrizfzNDvrcJ4AaABAg,"Such a cute song, loved it thoroughly",3 hours ago,Vishakha Kutumbale,UC2lYOCCy7EisLfLI1IKcReg,0,https://yt3.ggpht.com/ytc/AKedOLRFuWWJEewMIa91dry7K9zhO7BiysqINiHiky9_VizVR-iK1H4xRg77ohzDSfWx=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx04jFHD-ErGmFla1F4AaABAg,Nice,3 hours ago,udayasri kothuri,UCev6RD3lnA2NGLOqm6oAvUQ,0,https://yt3.ggpht.com/ytc/AKedOLT-7f93SW94JYshd2dGSZyPXB62psghAXS_ysUAww=s176-c-k-c0x00ffffff-no-rj,0.0
UgyuEHKvsDxiCLxskmB4AaABAg,"I just heard this song in YT shorts for the first time and In first listen I was like Omg never heard like this song
And just came to here to listen it completely
It just touched my heart yaar❤🤤❤
Just salute to the singer and the music team💖💖",4 hours ago,Zobiya Shaikh,UCdkJW4DDK4C66fAZsytNMgA,0,https://yt3.ggpht.com/ytc/AKedOLTMf42fZlvv6_auQp1WKeB5E6JGN86oP2OQdg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxPmRA0wKea5vGWp_d4AaABAg,it's addiction,4 hours ago,Awais Rauf,UCMv7v1rBImbLzjwAtawYbYw,0,https://yt3.ggpht.com/ytc/AKedOLQdqXXYTSzH1tz8XSMnO0hWfK4ONn1zsyCN0A=s176-c-k-c0x00ffffff-no-rj,0.0
