cid,text,time,author,channel,votes,photo,heart
UgyvGqxo4q8Ic315-GV4AaABAg,NICE  BROTHER ALL THE BEST,1 month ago,Md Mojassam,UCv5j949m67NX9y1lCqK2paA,1,https://yt3.ggpht.com/ytc/AKedOLQoYKKpxIUkNzZgMf2EjIdn9EKk8BXySmHUCA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw5BhJgQrH2yLqSisZ4AaABAg,Wow,1 month ago,Sanjeev Mishra,UCuy4nLg1M2GgW8rjJy2g49w,0,https://yt3.ggpht.com/ytc/AKedOLTv2WOFoks4hJWrUvEUJlsfMQH0xkeehWh8OA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwDN6VB2pHtEo6Eul54AaABAg,What A dance,2 months ago,F Entertainment S,UCRCFR7XJmEGldUIJNrB3DFw,0,https://yt3.ggpht.com/wkVryNSaEkg9zpuXtAvdpWGJDPQypEfy1Iub4ms1WtuV9tDSCHSkVnYU98lGf3410yrPLkWC=s176-c-k-c0x00ffffff-no-rj,0.0
UgycksHCf3zBlq4KNLF4AaABAg,Hubahu Michal kankson jaisa stape de rhe ho bhai ❤️ super ❤️❤️👍👍👍👍👍,2 months ago,DK DHARMENDRA Official,UCV3lyZgU4xSYyP1ppsZ8E9Q,0,https://yt3.ggpht.com/ytc/AKedOLTVIjcl56OLjBsksvC82DTmZopChYoyfLpaPuL-QQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyIlCnYgbnb4QC-sbV4AaABAg,Kya bat ha🤗😱😰😎,2 months ago,KarendraSang Majhi,UC73X4gdU8XU5H9ZjdgIAsuw,0,https://yt3.ggpht.com/ytc/AKedOLQ4d-2a7TCxHdYIJiGyvCYfh6695IklH_7_dQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxr6StgEYKISC_gBsZ4AaABAg,. Michael Jackson zinda hai,2 months ago,movie shot,UCvPBdaeZCyFCzdhLH7N9lPA,0,https://yt3.ggpht.com/ytc/AKedOLSYP7FQRtTmHnlF5Gg7Zgh6uQIJoLXcfb-6IdhL1Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgwEa8SYGT3dRJwzmw94AaABAg,Wow 👌 👏 😍 👍 🥰 ☺,2 months ago,Shobha Rathore,UCttsCB5XU4oTOPVmUvoPqRQ,0,https://yt3.ggpht.com/ytc/AKedOLRaSMuc5hjFSejxN_HkuhRENukvg0be1MgtA_uYRQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyBfOnapfMgVpPvj9J4AaABAg,Ok,3 months ago,SUNIL GHODKAE,UCycIR3bFjHLQ63-s7WlXHaQ,0,https://yt3.ggpht.com/ytc/AKedOLRS1j4os9lFOrJt1UYiN2klFqTbX-Yp7N6tWDTgwQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugznsu07ApLid_wiKht4AaABAg,Awesome,3 months ago,Adam Eve,UCj-wfPfYK7DG8zhefBVLrHQ,0,https://yt3.ggpht.com/ytc/AKedOLRax1QjoMg6kQjBW7YTya0L0TMsvA6XmOCKzd2GWw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwWf4vvW85p-tvCT6h4AaABAg,Nice,3 months ago,Ghost  Gamer,UC9tEncqyomArkV7lhjVZpVw,1,https://yt3.ggpht.com/hssxSh5BlcyxkFYuEmUcuFNJ_gMM9QXnaVq_5Et61r3aHh0c4bxRWphYnfmOkGRganQqT0t9=s176-c-k-c0x00ffffff-no-rj,0.0
UgyC2p5sgTtfyfjcdRt4AaABAg,Great baba jeckson,3 months ago,Dabhimukesh bhai,UCg95Ws7fBdoLkWe5AXGq48A,0,https://yt3.ggpht.com/ytc/AKedOLRD3-PDKRP0xi93WcEWsqXouF7ciJNY2tXatnpOEwcaeqAifJZluiddSn6f0tVE=s176-c-k-c0x00ffffff-no-rj,0.0
UgyQsXBOwVPjecSoFwZ4AaABAg,You're fluid,3 months ago,Subham Bhattacharya,UCBKdvHeTg3iI4uWb2GNA0sQ,0,https://yt3.ggpht.com/ytc/AKedOLTAZF7lTTO16J_uFrx15014UN1_oPoRXtE85erI8e8=s176-c-k-c0x00ffffff-no-rj,0.0
UgwT8MocTD_QLJVFyX14AaABAg,Great work baba Jackson. Keep it up 😁😁 you are India's pride 😊,3 months ago,Richa Sharma,UCvSE9OGdBY7QoA6pc6yu6tg,0,https://yt3.ggpht.com/ytc/AKedOLSL45gVXyrD2cebN2qPgOZZjR_FgmEymL6rrw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwsppHChddrXeX61c94AaABAg,Ay look at that its muzan from demon slayet,3 months ago,Mama is not cool xd,UC07q6a2vG8KaOiqMgfbyHsA,0,https://yt3.ggpht.com/WBJ3bw-6Qx3BNPEMwbGP5aEihwUEpmgpNfBszSUepwwcyyaK8cmPQjfPGPQc6V3NHvwFG66AXvM=s176-c-k-c0x00ffffff-no-rj,0.0
UgxprwF1RW8OdYMI0Yl4AaABAg,"bhai aapko to DID jaise plateform me hona chahiye, yaha kya kr rhe ho",3 months ago,khilesh sahu,UC9KeL_RpFmvPcMCRKmzgCbQ,1,https://yt3.ggpht.com/ytc/AKedOLSwNcm1_i0ShWzSVtV9s9PQIJGZRCofx7ybO_L5WA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyRWok0q1jD_aaHt2J4AaABAg,Rocking dance kill it,3 months ago,suman Sha,UCPcSvzg8bWFKa5nafTpHwzA,0,https://yt3.ggpht.com/ytc/AKedOLQCtWKF44mt39pY_UQVV2Th8l7pFTk-bkYvmw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzzjmr2W2DaHmSVAPJ4AaABAg,Wow 👌😘,3 months ago,Yogendra Sharma,UCo8HRGSRqbyJYZFFTNFe3Zw,1,https://yt3.ggpht.com/ytc/AKedOLQyxmKVoOPFIaVZtjyycaWBnkk-fwahnqkBE38C6A=s176-c-k-c0x00ffffff-no-rj,0.0
UgyBSZStfqwW_aq5sKN4AaABAg,Wow so amazing 😍😍😍😍🤩🤩🤩💖💖💖,3 months ago,Varsha Dev,UCPSMVdsSgcb9aIVa_z2rTeg,0,https://yt3.ggpht.com/u3dbg1Q12N1euMfYnhaSAGc2lC8kSdXwvLBkmiBgxpBJQR0MVUBE9TzhkCNEkgMcgVrZR_dkKpE=s176-c-k-c0x00ffffff-no-rj,0.0
UgxVu-e60F6HKtPrLzh4AaABAg,Nice👌,3 months ago,Deepika Barman,UCc81mPNbwSHnwsYkYlaWQHg,0,https://yt3.ggpht.com/ytc/AKedOLQ8bf-Oqz2TzN5JsXSFq5YY57NjLoFtrELJ3wpz7koCKvVayYdZGButh0B02M3H=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy_rJAj0t6uZ8mrr6x4AaABAg,Nice,3 months ago,motu patlur shongshar,UC9q-o_MGiR2iqcfaN69tKuw,0,https://yt3.ggpht.com/ytc/AKedOLSpVLaoDQjorev2mNfFYtvnRgTkUQtykcBFCHP4=s176-c-k-c0x00ffffff-no-rj,0.0
UgwH-xujJpQBizW8gpF4AaABAg,No of comments   should  be  69 not  89,3 months ago,SPICY  SHORTS,UC7PXBErfcVW3iemxqBtmxsg,0,https://yt3.ggpht.com/MWGlbOxAQZMQ067V91zk4lGlw9MlPCgjPC9P_4QJNfnpLOTFyKtvoRnMXz515atGZr6W-arsh2M=s176-c-k-c0x00ffffff-no-rj,0.0
UgyvYBtjvKpkBfX6ilt4AaABAg,Excellent 🤟,3 months ago,kids Hub,UC1xAFDSqG5w0xYEKHybr5jA,0,https://yt3.ggpht.com/ytc/AKedOLRrUtdCwb4g9Z5BdtDGRisHPHKKeV_a53ptXQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwDOLlbGptIadim--t4AaABAg,Omggggg,3 months ago,PK MOONLIGHT,UCEaR39pEC12Dwi1Q4ER087Q,0,https://yt3.ggpht.com/ytc/AKedOLQ5Z3pN5N1X_pkaZT_6hdG1TyEymPp-Zx-9Z5YINQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzef2pZOg29d6nSqil4AaABAg,Wow kya dance kiye h bhaiya g...jitni trif krun apki dance ki bhaiya g km h,3 months ago,Aarti Sonwani,UCHRggS348BW9nzNukVojx7w,0,https://yt3.ggpht.com/ytc/AKedOLRfy7LeBwx77TGqAZ2agyE0BlpKJs6ja26cw8gwl3VVnjw6LNSuOXRnrkLipg0u=s176-c-k-c0x00ffffff-no-rj,0.0
