cid,text,time,author,channel,votes,photo,heart
UgxlYBGUHRgJjNPcjSp4AaABAg,"""yesterday  was history ""
""Tomorrow will be mystery ""
""Today is gift""
""That's why is called present""❣️❣️❣️❣️❣️❣️❣️",2 months ago,jyoti gaming,UCQ-VneXubyvZ7h70EcBAyKw,0,https://yt3.ggpht.com/m4yCDRSSgCByanAmU3tcqgH6fsI0DS3zRg9p4TOb__L5zzlOu_VkOKN-cln8Q9puv58hHCM_HA=s176-c-k-c0x00ffffff-no-rj,0.0
UgybjBQo3eMWDH3btMJ4AaABAg,Haryanvi 🥰🥰😍😍,3 months ago,Bharti Bhardwaj2026,UC_6QnfigXy7zeUhJYinDt2Q,0,https://yt3.ggpht.com/ytc/AKedOLTs3SwB6Iemlb5Ay5K897KP1OneYTVbXFeH9fAVJUo=s176-c-k-c0x00ffffff-no-rj,0.0
UgyAK15fINtY7UEl5kh4AaABAg,Man must like him straight pants. I love this pants. Lots stamina. When he said mere Haa hain ha haa. Wow,3 months ago,soorya vanshi,UCpoZsgx68GbRcYa61fVwMKw,0,https://yt3.ggpht.com/Q70J3Rgi-9U2bKU-IsdBdvkeeT3W0iBc_ful-FD4gU7XlrRWYUq5qfkbs8m_l-Kg5nAIhrUSBQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwTzE5t_dI8zBhSD394AaABAg,I love this song,3 months ago,Durga Devi Bista,UCtZKqsF99CeGS4nZDPcgypw,1,https://yt3.ggpht.com/ytc/AKedOLS7xhq-CNYEs97QaVh5Sbz2f34WE1ibSak_Yw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxeAIleHtUua4emn394AaABAg,Raa❤❤,3 months ago,Chal Bey,UCv0lnaojeMCMz4r6KZcyr6Q,0,https://yt3.ggpht.com/ytc/AKedOLRv7SHU9mCpy_c99ufhjTVGKgkKb7teWdEcdFUXR5pEWPbaWWhgloRh2jSdvoqD=s176-c-k-c0x00ffffff-no-rj,0.0
UgzlKZfum-VtzYQQnDt4AaABAg,"I didn't stop watching it. 
so beautiful",3 months ago,ali greeneyes,UCDrKTYcyNhe_7DrGYqZR2Ag,0,https://yt3.ggpht.com/ytc/AKedOLSz1MdX-jjS19yysI1WVJ6xD4zyvqbtDhAAusEmYQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyxRLUD2Dec3c4Yjml4AaABAg,"https://youtu.be/3WHN5nO34uE

Rafi",3 months ago,Medo Raahi,UCKtkxEHnBs2wBsVm6pvXItQ,1,https://yt3.ggpht.com/ytc/AKedOLTWay55V1HRmpB91PvJVnjumOuaudh0EsN6iMB3Yj82n_KG1ikLW4JCTJrgffni=s176-c-k-c0x00ffffff-no-rj,0.0
UgzLd3Lez_2v2crsdht4AaABAg,"You are all legends!!
Join me on youtube",3 months ago,Rocky Bhai but from Bhutan,UC3aLrPUbL5ij1xQ7aVIBjZQ,1,https://yt3.ggpht.com/g47DXXYLXO85gXnuYg9bfUP4iEn2epfNBluGx4n9o19gYw812INKJEq4gG9zW3livjZuipQ-=s176-c-k-c0x00ffffff-no-rj,0.0
UgyNRF3zY5O96akoZiV4AaABAg,https://youtu.be/nbVAhnsD49I,3 months ago,piyush Creation,UC2mZM9uR-63y_oYI1kC-EDQ,0,https://yt3.ggpht.com/ytc/AKedOLQzqqObU6EfztElZe1aujOb-lsmgmCPyvvS-KOxcPDHtuQR-Ecp8xZm8jIwV0HG=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy-Kq9R_OkveGZcfeN4AaABAg,Super ❤️❤️,3 months ago,comedy  f.b,UCY0Ax-geEZ71hAR1x6jyVWw,1,https://yt3.ggpht.com/3kgmI46NKVwUmlmgQ02cccJzK3qep5dY-yPKaQ2Y7YuURbUrQ0eeOtGWJ6T6O0kThBtJeNyQgbE=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyf1hspLO3TAGQIrYN4AaABAg,Poty,3 months ago,Shreevatsa Kapgate,UCaUb8ift2UgPFhgDZ6dq-jQ,0,https://yt3.ggpht.com/e_Buae6_fGpvKburFnd-NICRCjO9zsxWQIbe6wRvL_BO52NwUvtG9toHx-DdS6is3tMpNN8tXw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyK97Jb713cbj2q7UF4AaABAg,Fazal puria style,3 months ago,Bright future,UCuU9oa4S0LMHRSfstjstbvw,1,https://yt3.ggpht.com/ytc/AKedOLRB9VdaRnfokBiBVRE654-4wJu87UdGhGAXcbgvmA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzmi2gDva6pzgQmWct4AaABAg,So beautiful,3 months ago,The Indian Fashion Designer,UCxqnP5ibgbnP8oZ_VPxYJLQ,2,https://yt3.ggpht.com/EJiph3P-ATF3TP34fDqhG-0QLD7YmP0sCACOYpa_LU3xi2l0sldd0RtjXVGXiPhkmpauCIRDjqY=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw84c9yiQbX3ByR08h4AaABAg,your one click can change my whole life 🙏😭😭🙏...........,3 months ago,G Chaudhry Sahab,UCPuzI2iKnaPF5VbtfOk_9kQ,1,https://yt3.ggpht.com/ytc/AKedOLSiCTuBzkshvyNrFtdjJ54rGGVicriSIJekZ-HE=s176-c-k-c0x00ffffff-no-rj,0.0
UgwIKIPlZEui1VOGW-N4AaABAg,https://youtube.com/channel/uc5tm8ai73rfygnovnsg9uxq,3 months ago,🌈TᕼE ᖇᗩIᑎᗷOᗯ ᑕᖇᗩᖴT🌈,UC5TM8aI73rfYGNovnSG9uXQ,2,https://yt3.ggpht.com/ROjuS-BsMsjRJ2U7VEyfXfQP-KnGGWo1l90pMEaik2MCNH9pyn2di26RtLFPJKveMuiWCb9zYg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxB13fwMof0ppGWiwt4AaABAg,I really love it when the notification says someone liked your comment and someone subscribe to your channel thanks for your support🧡💛❤️💚,3 months ago,LoVe StatuS 1M 💝,UCL97FcB597tiimm0MiFZLew,2,https://yt3.ggpht.com/74ivenxngz8yelo0H3OsAeMMCMcCkESNTXZOa6XyRjkZ_qpNUA9nz7idRxoN8yPjOdfVTEME4g=s176-c-k-c0x00ffffff-no-rj,0.0
UgwvFJYDZzuaVRDaDKh4AaABAg,👌🏼,3 months ago,AK S,UCbuAdHVoKTxxrwGymyOiPrw,1,https://yt3.ggpht.com/nkgDGEhnIvALE3mnEbSt3YcvvZ6kHLSZAohkOPUDPE5IbVzAOBy0zztGY27AlWe_1dnl01kpqwI=s176-c-k-c0x00ffffff-no-rj,0.0
