cid,text,time,author,channel,votes,photo,heart
UgxHyS-0deylZob7kS94AaABAg,🤩🤩🤩 🎤🎤 🎶🎶🎶🎶,2 months ago,Aleya and Acia.,UCjsQ9jACXLO3jD9LWC3DTmA,0,https://yt3.ggpht.com/ytc/AKedOLThxN7SoQqH5LQBVbUtmm-JZJn4ZYYGhnk_frUQvWVlYI15x3Gu_ZTjQ3GS2uVT=s176-c-k-c0x00ffffff-no-rj,0.0
UgzNyM_-393B8VkoftZ4AaABAg,Hii,2 months ago,Sanskruti Lanjewar,UCYBcDP2RGsHNV9EyMXWE03A,0,https://yt3.ggpht.com/ytc/AKedOLSNNXjTHWv7BhpE3qcMe30R7fhInDgRklqt6Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgyUqilWZz5nfPFaWl14AaABAg,Great 😊,3 months ago,Ivan Petrovich,UCrbEE-dWuDSS53r88nS_g2w,0,https://yt3.ggpht.com/ytc/AKedOLTyuRCqzhmEaxUg7AGWDHTkbNr5qjvAYRaewg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwTJbQMCfL44z4EpoV4AaABAg,💖💖💖,3 months ago,Punam Kaithwaas,UCwI_yRAbE0ydZnLYdgh-pZQ,0,https://yt3.ggpht.com/ytc/AKedOLQ6DUF186IaTcAYHWrX2oxh4cH6rY_n2gEtCFLV3ZfOIYkRt47vJL6m9vp8V7GR=s176-c-k-c0x00ffffff-no-rj,0.0
UgwbpZyZMh8moyST1dl4AaABAg,Supar,3 months ago,Rajdeep Rajdeep,UCuwUJJIbkBwpHuCx4UX5LaQ,0,https://yt3.ggpht.com/ytc/AKedOLRFmE352PEmgugx7yjxbdtYZhMLPle4Oa-R_sYxqRB2W6vxfXfI2CUjCxteY-Wb=s176-c-k-c0x00ffffff-no-rj,0.0
UgwJfYJQpF98rsfVmHB4AaABAg,How you edit this video..,3 months ago,soorya vanshi,UCpoZsgx68GbRcYa61fVwMKw,0,https://yt3.ggpht.com/Q70J3Rgi-9U2bKU-IsdBdvkeeT3W0iBc_ful-FD4gU7XlrRWYUq5qfkbs8m_l-Kg5nAIhrUSBQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwPb25rWbiS-Zr1Pl94AaABAg,Like for anjun bijlani,3 months ago,Jannatul Ferdous,UCmyNqi_EtFs8oCjM1ybroTg,0,https://yt3.ggpht.com/ytc/AKedOLS4pWWKZKOP6btOClguhzATMj_5AGKeIHOWtQ19=s176-c-k-c0x00ffffff-no-rj,0.0
UgyhG-II9FPtbZ1nBCZ4AaABAg,👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,3 months ago,Sanskruti Lanjewar,UCYBcDP2RGsHNV9EyMXWE03A,0,https://yt3.ggpht.com/ytc/AKedOLSNNXjTHWv7BhpE3qcMe30R7fhInDgRklqt6Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgzH9CRteYI_8MKGy0R4AaABAg,🎧🎧Nice dance 👌,3 months ago,AbdulGhafuur,UC67kVm0AB36sT_7Zle-CkMg,0,https://yt3.ggpht.com/7tO0hOfmZq54qlc8FOq6F8kqu9hUcr9FsPl-TH4FqX6uTbPA3GKSLHo1-BlTmKQ_5GIL0dvh=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzi827ixxwKahLJQS14AaABAg,I love you 💝💝💝💝💛💗💗,3 months ago,Suman Das,UCaMVyUuo9rJe88E2B5OxQoA,0,https://yt3.ggpht.com/ytc/AKedOLTHMTXdC3RsL8FNY6MQ8jMqRfmfpOjcJOz9Dg=s176-c-k-c0x00ffffff-no-rj,0.0
