cid,text,time,author,channel,votes,photo,heart
Ugyo40fvKceclS3VW4Z4AaABAg,"p
 Bsbsnsàp",1 day ago,Lamia Aktar,UCDW3VGAwNIVfymQ-tPqSMRw,0,https://yt3.ggpht.com/ytc/AKedOLTL_vwzc5bc05xYwquau06pa1_XUH7l2w929TfEeYujLU5x0zdVIecet2b2Vig_=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx9nSVV3_7cyIERVq54AaABAg,Janhvi kapoor always,2 days ago,Bilal Khan,UCKOlDCynHBq8IPg781gH9Hg,1,https://yt3.ggpht.com/ytc/AKedOLQdRXXwONrL_MFdIE95O0FMqwArormy8JWCAg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxz8_P94t1uzV4K_6d4AaABAg,Amazing💖😍😘,5 days ago,Swarnkar Neha,UCw-R3Wy1_kIMT9A0sBJvuTw,0,https://yt3.ggpht.com/ytc/AKedOLTpazFs7_9v7SyXedBkbdwFwnZz30qCvp_hogJmCYS6O1q5Wc05tpFZF4igJW8C=s176-c-k-c0x00ffffff-no-rj,0.0
UgzIjLSNF1RnkxMelhF4AaABAg,Lkllo(Live OLM,7 days ago,SANIA SHAIKH,UC_pZrGS9YOprWqpRcNPBR9A,0,https://yt3.ggpht.com/ytc/AKedOLQgGWcSQYefRORbxYLXdN7sjSqx9fb-splxGDgBMlGrBljPhczOm4DNaA5ade2k=s176-c-k-c0x00ffffff-no-rj,0.0
UgwRpANndXYb87HyhZp4AaABAg,Nice,3 weeks ago,Zhurat Zara,UCiZODXugVf-cfXTKciaRNHQ,0,https://yt3.ggpht.com/YtgnOza7q5ACFJmyIoQwe_3kuz7XydufMoY20Xv-P49V2WSfYUOGcApEWXtAVH0OwoUk9Vju=s176-c-k-c0x00ffffff-no-rj,0.0
UgwQgYIOjCjB2YXsYB14AaABAg,Plz do bijjli bijjli song mashup with nadiyon paar,3 weeks ago,RAJAN PATEL,UChQ3j-jllX2HsZFOyhBJITA,0,https://yt3.ggpht.com/ytc/AKedOLRCvLcTyEcFE306oLvtrl6xWbPgpV_b6xBjixMENg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzzvAzFqGVgtJOQP3p4AaABAg,"Param Sundari sung by our param Sundari Shreya Ghoshal❤️😘

Always Best❤️",3 weeks ago,SG LOVER,UCSFLfeiSyqiqnaqGlkgfuRg,0,https://yt3.ggpht.com/bXFwc8j9WFBLIao4QLJ6X-Cf8s6wJnUa68VCoqQ0KtuCiXaTRbjrVS24eKZIORTlZLfVBy_13Wc=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz38JnMjU-KC9HF1hZ4AaABAg,always param sundari,4 weeks ago,Debasish Choudhury,UC2QLrqSsidLnn_-iDjB1kRw,1,https://yt3.ggpht.com/ytc/AKedOLR1BUcuyk2mO9YM6H6GMnWUbWHkVWiFAbiKG6d8=s176-c-k-c0x00ffffff-no-rj,0.0
UgxmZfd0LwJOtEWUjXZ4AaABAg,Param sundari is best,1 month ago,ANKIT GAMER,UCgKKtniHOuxcABtf4sh0MAA,1,https://yt3.ggpht.com/ytc/AKedOLRvlvZKIkRXFbUzy8eM-SJjJ97gl2bUoYCgUhNIOOukc02hYoVfQh8WiQO5Rsu9=s176-c-k-c0x00ffffff-no-rj,0.0
UgwISyuAhjCQFXh9rZJ4AaABAg,🥰❤️🥰❤️🥰❤️,1 month ago,shital steel tread link,UCQ1PfwSfna0D4UcA-WTTvKA,0,https://yt3.ggpht.com/ytc/AKedOLS6TPYFiTj0OTCdm9n_uwe1eh7yYddIsCXqrQ=s176-c-k-c0x00ffffff-no-rj,0.0
