cid,text,time,author,channel,votes,photo,heart
UgwE2glv3F6XE591dup4AaABAg,"Pravin Tambe ko cricket field me dekha tha lekin is success ke pichhe inti struggle ,what a Inspire story 

Great Dedication 👏👏👏 pravin Tambe",3 days ago,mukesh parmar,UC8J0VC2Pg3gr38eA9fuH0Bg,0,https://yt3.ggpht.com/ytc/AKedOLSvE2Ln2hndq1lh5bGsTct1vjuhBCfHGJgbteNA2A=s176-c-k-c0x00ffffff-no-rj,0.0
UgzlkLjIoY5mUUi7fhZ4AaABAg,What a Inspire Masterpiece story,3 days ago,mukesh parmar,UC8J0VC2Pg3gr38eA9fuH0Bg,0,https://yt3.ggpht.com/ytc/AKedOLSvE2Ln2hndq1lh5bGsTct1vjuhBCfHGJgbteNA2A=s176-c-k-c0x00ffffff-no-rj,0.0
UgyrCON9vk1bJY1O3lF4AaABAg,🔥🔥🔥🔥,5 days ago,sahil adiwal48,UCkozaoz0hgBKyhrLon7GbVQ,0,https://yt3.ggpht.com/ytc/AKedOLSYsQ9JmKJi_R488L9b5rGT85t3bIQ0Ukd2NA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxv4U2saK2ujunUPld4AaABAg,Best movie of the year❤,5 days ago,mitul patel,UCAwcxfQCyOAyebj8GiBgcLQ,0,https://yt3.ggpht.com/ytc/AKedOLQGdzfHC4x2GYO823KADOMRQyS9aA7kqws23ZfOjQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzR8fpAvleIIdP43LB4AaABAg,Really motivated,6 days ago,Amar Nalawade,UCGt7ClvZCrB1tWUcNzKBXRQ,0,https://yt3.ggpht.com/ytc/AKedOLQ_eqq9FjO_gtQuCwFSN9dSXXv9s2BU5v9TAo6M=s176-c-k-c0x00ffffff-no-rj,0.0
UgyQ13bx2zctSmWdA5N4AaABAg,Shreyas Talpade is awesome actor,6 days ago,HQ Thought,UCv4QtMkAjrT-Ljv-oeSQJMQ,0,https://yt3.ggpht.com/UjeC5A_6VR85azYaAN_qp2t2fXbfCet0tmLA6YAi9XPnrJk0X3BCXChj0YWIAjOx8BIA6VGheds=s176-c-k-c0x00ffffff-no-rj,0.0
UgxEvF0MZ18-hahcmiJ4AaABAg,❤,6 days ago,Shubham More,UCsrVABdVlo7-XF8bxQISOJA,0,https://yt3.ggpht.com/ytc/AKedOLR7cwLXvPGdy1_-3wzKIGXrORNQ8mIjJIlEv3rcrA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyUGDiTgr91vn_GP2J4AaABAg,"""Jahan Socha wahi Locha"",👌👌👌",7 days ago,গুন্ গুন্ .,UCl3EaQb3knsq7cfxqu-toHw,0,https://yt3.ggpht.com/ytc/AKedOLSqOeW3x_MfY7w8_P32zLIwgPLJwG1BHbjqibLQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwF3e2Ig-eGK4KbR2N4AaABAg,Iqbal,7 days ago,M7,UCcJ7rwsYwyzm41xuX_Pb19w,0,https://yt3.ggpht.com/BbJjpuwqPmJfltO58aHN-g_Xk5BNg59eldgKtKbwlwDfnffiQULy97dDPa0aZtCdOi2VV384=s176-c-k-c0x00ffffff-no-rj,0.0
UgwXibtQhare4TETpHx4AaABAg,This movie is so good snd shreyas talade touched heart with his performance respect salute and kudos to the actor,8 days ago,Neha,UCGkFQf9eAkaosrAHqdjQUGw,0,https://yt3.ggpht.com/ytc/AKedOLQSbBFcfPr7SzLY4qh57IUMB0oONikXGpnHpHgwMA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx_NLkEY09FaJKglFt4AaABAg,"#all future cricketer attendance here. 
👍🏼👍🏼👍🏼👍🏼",8 days ago,urs_highlights_provider.,UC6F6431gsvpnVr7UrirCKGw,1,https://yt3.ggpht.com/HJkcKHiy12uEVZBxSlxOLCtWa9LFYQ6FQi4l37mSE3AsyB5o3eXyFMi5E9kUFiGwGHlkX2_n=s176-c-k-c0x00ffffff-no-rj,0.0
