cid,text,time,author,channel,votes,photo,heart
UgwydgC8wmJlVtuD-TZ4AaABAg,"So grateful for all your love 💙 Hope you enjoy listening/dancing/making out to this as much as we enjoyed making it!!!
Haan doobey ek doojey mein yahan 🌊",2 months ago,OAFF music,UCJDdfm9E5h6nRSOGvpXKIQQ,10K,https://yt3.ggpht.com/9wnUilAGayj1yafdC-_raUWaXlCYfeiyEIGWipw6VZZxaG3b1zpIikr-8byEvhsG0xRbc2vtjLQ=s176-c-k-c0x00ffffff-no-rj,1.0
UgxbdFYh4K58IBDoPUl4AaABAg,Bekar...Music,4 hours ago,Kiran Lenka,UCkWfZNfBWYqz-GCp6uF2qAw,0,https://yt3.ggpht.com/ytc/AKedOLSlpMuvKI13_QC9o_-_U7D-tOFmi-xDjK1E5VAcqw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyO0ifJjVDI7lra7qd4AaABAg,Siddhant salute bhai,4 hours ago,sarita mahar,UCubDxwHV0AGdXh1u4OS5c3w,0,https://yt3.ggpht.com/ytc/AKedOLSVR-lpmPeC0lbtI6AxlQ6cps--4XUdWg-1MPefnw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwkEvJMtIKTt0oK0Ql4AaABAg,Ranveer singh be like- bhenchod bas yhi dekhna baaki reh gya tha,7 hours ago,Deepak Sinha,UCNlRFSJKI2w7uC1Y-wnYh1g,0,https://yt3.ggpht.com/ytc/AKedOLSthBygt7kQ9Q3NN7T6THeMR86GNYZsYvR8BbRGxw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy9A0RVZKTyJf9iE3t4AaABAg,Ranveer singh: 👁👄👁,8 hours ago,Priyal Alle,UCSfSgY219jeiYQDE9yXdceg,0,https://yt3.ggpht.com/ytc/AKedOLQlwiD56qoBj-iOg8lZWvH26F5xmy5hvzwJUvSod2Fj7rWw4kYhpRfIvXbuN7Kg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz8wmAp72T9McafBbx4AaABAg,Ranveer Singh 😂🤣😅 Eeeemotional daamage,9 hours ago,Shravan S,UCyA_P4OeIntZOwxTL8ecinQ,0,https://yt3.ggpht.com/ytc/AKedOLR3inH1uHjNx2gfAjylF3LPAtHiyn1n9fWIcg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyJNK4VncYx5y4bYMl4AaABAg,0:06 control,11 hours ago,Rishu,UC38uvO1Gm_EmmqO-1BZ2hew,0,https://yt3.ggpht.com/olSDUJpRlrTfQdQ5UGF27uFOjttlML8giYLOSAquWwx0fg5BerLDc0xZiDaANrGOtEiSkzmg3Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgydKvBHzttrZtj27vV4AaABAg,Wake N Explore!!,12 hours ago,Wake N Explore!! ,UCpJU3hvIvzxoCIUO6Hb9YFw,1,https://yt3.ggpht.com/WULWfmDfL6uNweRi_Tslp1u8X8vdCgCGDMDivMW9rdRedyg-AVH2W0WvvE1hoWb9tGjlhzYN0NU=s176-c-k-c0x00ffffff-no-rj,0.0
UgybYCPvR_gYBbQMfH94AaABAg,Ganjaa p p k  chkk chkayii kr re donoo full mje main. Ranveer ka bhi soch leti kuj .achi motivation bali video bnao directors youthh ko apni trhh mt chudaooo,12 hours ago,Mukesh Sharma,UC6btRQlwzX3a2NcdnLLbB_g,0,https://yt3.ggpht.com/ytc/AKedOLT7VfdqH64zOyw9buQOaCUxZgO9szc1kM7SW8dHGm9Q2dUBgPitvLXTFwSi4SNm=s176-c-k-c0x00ffffff-no-rj,0.0
UgxiyypHx5AwndFoPQF4AaABAg,I loved this song and the movie ruined it for me,1 day ago,Irene adler,UCtKn9yFJYmDC9e-IvTB5KKg,0,https://yt3.ggpht.com/ytc/AKedOLQB-Z0OKfFy7husblQlG4Ids7ICSuDBbi7tOt5WhLbHLeyDMisFxepOp7p2Bvmm=s176-c-k-c0x00ffffff-no-rj,0.0
