cid,text,time,author,channel,votes,photo,heart
UgzQ98DtPVBwLutkzb94AaABAg,Mera to Tat hogaya,6 days ago,GW SOHAM,UC0HeQTpuo708KVTtflJPcTA,0,https://yt3.ggpht.com/nLIMKJN3QpO48hmOqBY0TLeRicCwHPR-TBT9DkXw0WxUWJTt3VVLdrzZzMnmJjRFuSXX2qTrVw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzAn6IZyVOmBNwrxyN4AaABAg,Mera to Tat hogaya,6 days ago,GW SOHAM,UC0HeQTpuo708KVTtflJPcTA,0,https://yt3.ggpht.com/nLIMKJN3QpO48hmOqBY0TLeRicCwHPR-TBT9DkXw0WxUWJTt3VVLdrzZzMnmJjRFuSXX2qTrVw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzm2u5gRv-aGDrIWDt4AaABAg,Ranveer be like = Shooting ke baad batata hu tujhe 🤣🤣🤣,2 weeks ago,Smart Gaming,UCqJLiVpVDuOpshvcglQWVuw,0,https://yt3.ggpht.com/zFXTuWTLg7UUXvuKevI8VMOF5g-I9pulOoRp8Re1kQTHu667KIg0e3piUiLOy3LeWZZqQ8E2HVo=s176-c-k-c0x00ffffff-no-rj,0.0
UgzGbsmIm4Urj9SEa6J4AaABAg,🔥 🔥 🔥 🔥 🔥 Awesome,3 weeks ago,rexwil dias,UCYf3YW6DAOeVo9V4Bm6Qn2w,0,https://yt3.ggpht.com/ytc/AKedOLR-cJpqLBe15V0I_35W1LPlGouRn53oZlS___XoOA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyTavprDU4EqIcXbut4AaABAg,https://youtu.be/8207kTPfaBs,4 weeks ago,V K love king,UCFa7P3JmgRDg-u2n4V1RCLQ,0,https://yt3.ggpht.com/l-J3xDEMhBkD94eiEo1m8wmiEJl19zVlYpy_WK68pV8VdWHLNlw8-V0_gFFuLAZf5qFpwwY6=s176-c-k-c0x00ffffff-no-rj,0.0
UgzPfeYbk9WuwezwsmJ4AaABAg,your one click can change my whole life 🙏😭😭🙏::::::,4 weeks ago,G Chaudhry Sahab,UCPuzI2iKnaPF5VbtfOk_9kQ,0,https://yt3.ggpht.com/ytc/AKedOLSiCTuBzkshvyNrFtdjJ54rGGVicriSIJekZ-HE=s176-c-k-c0x00ffffff-no-rj,0.0
UgxH8m3rixosm8KdQeB4AaABAg,Very funny 😁😂😁😄 videos her®™✓✓✓,4 weeks ago,Abdou ♥️funny😂 video's,UC1oelG5eo2FTxQUESIenKuw,0,https://yt3.ggpht.com/G-uE72wNLr-kJMR7ZF8Cd8F3nQATfJ-oaFrRKbkwmkaLd6rX_OF7k2r256OXNT4TGQapunaU=s176-c-k-c0x00ffffff-no-rj,0.0
UgxuxV_C_7B92LVI3W94AaABAg,Very funny 😂😂😂 video's her®™✓✓✓,4 weeks ago,Abdou ♥️funny😂 video's,UC1oelG5eo2FTxQUESIenKuw,0,https://yt3.ggpht.com/G-uE72wNLr-kJMR7ZF8Cd8F3nQATfJ-oaFrRKbkwmkaLd6rX_OF7k2r256OXNT4TGQapunaU=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx0qe_oy74jK9EHUwZ4AaABAg,Jai mata Ji 👍 super hits songs of,4 weeks ago,KS-SERIES,UCMc3Gj6BQIjhAazva-yHfRw,0,https://yt3.ggpht.com/7O37i4fyUzkYIP83JBfq-HUInydYLhamwPXhnSVdzepYLWgQqfPpq_cFpudkK79TF0JvSNShzA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyjAZ-OKhQWHEOH43d4AaABAg,Tu Fiza Hai song https://youtu.be/Y9xgVIsvx5I,4 weeks ago,singer shrutiss,UC8ZvqR5RxQeMqtBKEERdW-A,0,https://yt3.ggpht.com/ytc/AKedOLRIYd2UPcWXazQndqyxy6yap8nzc-FiS8SFwCp2=s176-c-k-c0x00ffffff-no-rj,0.0
UgxWJFuamKv_097IXOZ4AaABAg,"Garmi aa chuki hai, chhat par pani rakhiye taki parinde bhi apani pyas bujha sake 🙏",4 weeks ago,S N A TECHNICAL SHAH NAWAZ ALAM,UCjbZXEB4IalWccVpqOrztrQ,0,https://yt3.ggpht.com/ytc/AKedOLTti6Ty_ZsSXZncvBeGE3CYg1_xqjVTvgQXY0plLQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxnru6QChXUfYt29Pl4AaABAg,https://youtu.be/KpOXGdDmu8c,4 weeks ago,pulmber boss,UCrHNrQry_s7qXu5CX_4E1Yw,0,https://yt3.ggpht.com/St82MqYZnPnhfhmyhiNlVLpzAyPpsRLw6-LBnAQ2mszGFNe6priCx5_YW69iBBzF3E2bE2GH-SA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzPOA7j9bYhuuzloDd4AaABAg,Nice,4 weeks ago,Himanshu Kesharwani,UC0PZvcaPVYDwjPfbyNPYyXA,0,https://yt3.ggpht.com/ytc/AKedOLSfPdQEjR-IVG5-gc-wEfgxhncfsP197KaCRxRi=s176-c-k-c0x00ffffff-no-rj,0.0
UgxeP14f71p2OIE0i0N4AaABAg,I respect everyone who were involved in this. Seriously the best piece  that I've ever seen on YouTube. HATS OF TO YOU ALL. LOVE YOUR VIDEOS,4 weeks ago,ICE BIRYANI,UCBR7DKwELPD216sSMq9h0Rg,0,https://yt3.ggpht.com/8dJMOIdIeoFHW6ylkABUS5BpyiH_RhLMKdgVpGf1chNXkEpMlxLzHlyxXs_8baaAvdEDqvGDYg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzmteg44TR3O4UGPht4AaABAg,I respect everyone who were involved in this. Seriously the best piece  that I've ever seen on YouTube. HATS OF TO YOU ALL. LOVE YOUR VIDEOS,4 weeks ago,ICE BIRYANI,UCBR7DKwELPD216sSMq9h0Rg,0,https://yt3.ggpht.com/8dJMOIdIeoFHW6ylkABUS5BpyiH_RhLMKdgVpGf1chNXkEpMlxLzHlyxXs_8baaAvdEDqvGDYg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxlU0jxu9P4D9RPN1l4AaABAg,Wonderful lovely song,4 weeks ago,PRABHU RAJSAMAND,UCi96uj5FsdhlBuBRb-8vX6A,0,https://yt3.ggpht.com/rTu6zPqVhNhOglxmS4lmjgVyIEJzAZBR_wgB6LeNSc_PDMfZ9oXgB5bQlzwiQRFG8C_tn10tyg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyZArPGbyKUzkOSTZ14AaABAg,I  don't really like it,4 weeks ago,Personal data,UCN8twomT6SSmWmm4UWCiV9w,0,https://yt3.ggpht.com/Z2KlN_6gxfKRsHrOqjNbj2VMg_vP8WRCggg-FSHLDZLGFpTHRqrYLSLJA7XQ5y6HQXj5gXElDpY=s176-c-k-c0x00ffffff-no-rj,0.0
UgwhkBq7fTkEdiFrT_54AaABAg,"This is masterpiece song 💞
Just amazing 😍🔥",4 weeks ago,OJHORA'S WORLD,UCQNcLWdo1d4feNPdN7QyecA,0,https://yt3.ggpht.com/A3fs9XR6kyCcFSS1Dkp2ArHgA6rREG0SnXgy84cJ6M6d03L2NQqI0nqVugwDDWfJonoL2mBH=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzaxx0hV7L-l1Yhrk94AaABAg,👍👍👍👍👈😍😍,4 weeks ago,RAVI_2.0,UC4IZPvyxb712Yq6PUeIGEdg,1,https://yt3.ggpht.com/2vTyCo5dHu3-_BFU7luzkQAHxWlZ_JFF-ma8g_wfL2TRwNFkv58hn6klLfIWk7rvBUe2QpuA5A=s176-c-k-c0x00ffffff-no-rj,0.0
UgzX-skI1Klj3ColChl4AaABAg,"The person who is reading this comment, I wish you great success, health, love and happiness 💝",4 weeks ago,Bollywood Latest Songs,UC89oxn70KauW4LYHfrNbEkQ,1,https://yt3.ggpht.com/na03c7HjunvL2HOApRZH-Epn7Ji00nRI7gyB--oJbpk2BrsRDvGHkeYe7Suap5-bEnDY4NkqOTw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxYZwMsZb1-65HtMCR4AaABAg,🌟🌟🌟🌟🌟🌟❤❤❤❤ I love you my penises,4 weeks ago,boy faydee,UCCB9sFakjT35NHA8M5r-L2w,0,https://yt3.ggpht.com/ytc/AKedOLSR0GLbwMbMYt6HqBGGZXR8g55J12lHxfl5gw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyby-yJlhtojos_Rcp4AaABAg,Wow lovely ❤❤🌹👆⚘⚘♨️💗🌷🔥👩‍⚕️🥀🥀🩱💃💚💚💖💙🏖👉❣👍👩‍🎤🚶‍♀️🚶‍♀️👩🏻‍⚕️👩🏻‍⚕️💅🥻👄👄🌈😗👌👌💃🏼,4 weeks ago,Ķïŕäñ🚶‍♀️Męhřã,UCGG9xeQjFq1WeJ6VRnVZWUg,0,https://yt3.ggpht.com/jhDu0dMlCDmnVxNMfllQNf8-CdgHryk4dmYDGW2JhbIUhbc9CS_ZdetKq-GQ0h5I3ZlVLsO2=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwaw8aaSBaUFUGWxqF4AaABAg,Beautiful vocals and cool arrangement 🥰,4 weeks ago,Libby Laksmi,UCz6P9EJNF1H9YSxjb_Q-M4g,1,https://yt3.ggpht.com/ytc/AKedOLR7WTiPVFLb5DsRnx4hF4GdDL_2lIZKnGCR8J5Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgwAmsFv4iKJbCJGlzh4AaABAg,👍🏻😍,4 weeks ago,Chahat Sharma,UCKMZhyQUE5amQ5V42oOdm3A,0,https://yt3.ggpht.com/ytc/AKedOLSs9VJFNOsv30SefzD7WXpK42-JI-mSKwPjSg4c=s176-c-k-c0x00ffffff-no-rj,0.0
UgyXa1OmjWxFKvhCFm14AaABAg,KONI BATAVO VIDEO CHOKHO KONI,4 weeks ago,INDIAN MIMCRI FF,UCPGSxWXvPAxwUif27o-l3eQ,0,https://yt3.ggpht.com/KMbqyLtQAcp3lj_SLBK-42z9Aq62LvvZlR3iiplmxeYa_HjysyXec7GYV1mlslVm7-DoEPgNpxI=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy2pUHJmRRFVEXQrJF4AaABAg,https://www.youtube.com/shorts/Y4Es0rhau_w,4 weeks ago,Nadeem ABC,UCppmVM2nkWST91pYz5sARpg,0,https://yt3.ggpht.com/jizVsxFHPXliy0alQTn5MyZxrYtAYK8TVJo8aBztECiFAeN4jXmsBRHF9Pkm_T-FOZauwh9fRdg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxIgZHTYjibKouqzSl4AaABAg,https://www.youtube.com/shorts/QybZChxpVVMG,4 weeks ago,Nadeem ABC,UCppmVM2nkWST91pYz5sARpg,0,https://yt3.ggpht.com/jizVsxFHPXliy0alQTn5MyZxrYtAYK8TVJo8aBztECiFAeN4jXmsBRHF9Pkm_T-FOZauwh9fRdg=s176-c-k-c0x00ffffff-no-rj,0.0
