cid,text,time,author,channel,votes,photo,heart
Ugx3rGcSI9N65Rso43V4AaABAg,Just saw the film and loved it,2 days ago,Mamoon Rasheed,UCCJDZ-PbovwGR5yltZcgSag,0,https://yt3.ggpht.com/ytc/AKedOLRjR7VN75_YgCIzwbXwY9sIW9T8xsGjZaLo2ul0tg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy2zpcnEiG5OgZNlIB4AaABAg,"Mohit got a song to sing from the Bollywood
Surprising and soothing",2 days ago,Mamoon Rasheed,UCCJDZ-PbovwGR5yltZcgSag,0,https://yt3.ggpht.com/ytc/AKedOLRjR7VN75_YgCIzwbXwY9sIW9T8xsGjZaLo2ul0tg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyPTD_3IWXWTjAFDjN4AaABAg,"Congratulations Dear Mohit for 1.75 lakhs subsribers to your 'Mohit Chauhan Official' Channel. Lots of Likes and Respect for you and your awesome fans. Your 'Cohear 7' is Absolute Treat for eyes, ears and soul.",7 days ago,Himachal Pari,UCN5EetQ2UNHmD_pEMF6F_6w,1,https://yt3.ggpht.com/ytc/AKedOLRSL8E4GzZSpXhRj651REqpQk5LOlrJ7SN0M4AykysbuS1R6i2RfqRw8cj4dhSr=s176-c-k-c0x00ffffff-no-rj,0.0
UgyX2dTiBc1JqOVSKpF4AaABAg,"Mohit fanss like here
Legendary voice...♥️🌻♥️♥️🌻♥️♥️🌻🌻🌻🌻🌻",3 weeks ago,Rahat aggarwal,UCauMFwMoiFPAV87JcdB6Eeg,0,https://yt3.ggpht.com/ytc/AKedOLQVB_ycrHAaM8xkxisNueaFfoadFSeRUp1R6_yw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzOT91N5cEJxoZAldB4AaABAg,In love with the movie that I watched it twice already,4 weeks ago,Rk,UC4HrU3kbeTCFjymEi9heWmA,0,https://yt3.ggpht.com/eBifrbzCr1Ajt1M6xoJnDLNDyad8uhg9ejbEM7wJN63wcieRgQ2eeBffOMDjwHyhGsOQIkCwnw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw3dIpwaXZhXUQzvlF4AaABAg,Mohit chauhan 😍😍😍😍😍,1 month ago,Ahamed Sajeeth,UC2SB5OFaF69apyQFc3GeLgw,1,https://yt3.ggpht.com/ytc/AKedOLSDTqDDgXvJ8wWn9-GvBYTh7Y3bHiEdRm75UA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzMED78qhoNksgDVLh4AaABAg,"Gehraiyaan (2022)
⤵⤵
uno.netizenn.one

los  mortales abian apreciado tan hermosa mujer  .

Tu..belleza.viaja.al.universo.se.reune.con.estrellas.
y.luceros...tu.mirada.enamora.al.sol.....tu.hermosura.quedara.por..una.eternidad. en .los.corazonede.
tus.admiradores......feliz
Navidad.y.noche.buena....mis. respeto .para.todas.las.mujes.del.mundo...saludos..al.fin.del.mundoos  mortales abian apreciado tan hermosa mujer  .


Asi con toy y sus maNÍ as no se la 
hay nomas pa ra reirse un rato y no estar triste y estresado por la vida dura que se vive hoy... ðŸ–¤
y.luceros...tu.mirada.enamora.al.sol.....tu.hermosura.quedara.por..una.eternidad.en.los.corazonede",1 month ago,Cleafreya Reeves,UCBBwP-bNdsp_pM6bI1IJPjA,1,https://yt3.ggpht.com/PK5nUeYMOoNhu7J0Wwi0mGWJGoc5rg7A7mmaAtkat-wvzSN6ZrbXZG8PxS7RM4t83BC21b1qBw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyAEOJNF2usyv8B_7Z4AaABAg,Bad  song 😡😡😡😡😠😠😠😕😕😕😑😑😑😤😤😤😞😞😒😒😝😝😝😝😝😝😝😝,1 month ago,Harashdeep Kumar,UCrbLZF5rpaN9M4-tl-dw5bg,0,https://yt3.ggpht.com/ytc/AKedOLSiqawNbdpJlwFsO6ULqcIlWJjf_ZOaVza260vFv6WnHA2wACX7bZtRmkLfri6c=s176-c-k-c0x00ffffff-no-rj,0.0
UgytSHcqOdBufD3ZJAl4AaABAg,"Gehraiyaan (2022)
⤵⤵
inet.netizenn.one

los  mortales abian apreciado tan hermosa mujer  .

Tu..belleza.viaja.al.universo.se.reune.con.estrellas.
y.luceros...tu.mirada.enamora.al.sol.....tu.hermosura.quedara.por..una.eternidad. en .los.corazonede.
tus.admiradores......feliz
Navidad.y.noche.buena....mis. respeto .para.todas.las.mujes.del.mundo...saludos..al.fin.del.mundoos  mortales abian apreciado tan hermosa mujer  .


Asi con toy y sus maNÍ as no se la 
hay nomas pa ra reirse un rato y no estar triste y estresado por la vida dura que se vive hoy... ðŸ–¤
y.luceros...tu.mirada.enamora.al.sol.....tu.hermosura.quedara.por..una.eternidad.en.los.corazonede",1 month ago,Munaroh Alaska,UCzSthCsM6JFlmM9rVrzpzhQ,1,https://yt3.ggpht.com/0WwfzTNFiDHZJqUKJ-GnVintEW5tdQOA5P_o9DAneuqh4GszpwlFIQjcVhoYG2M0RcVjsSWorA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx3Ik0uxHkEYjh9IQx4AaABAg,"Gehraiyaan (2022)
⤵⤵
uno.netizenn.one

los  mortales abian apreciado tan hermosa mujer  .

Tu..belleza.viaja.al.universo.se.reune.con.estrellas.
y.luceros...tu.mirada.enamora.al.sol.....tu.hermosura.quedara.por..una.eternidad. en .los.corazonede.
tus.admiradores......feliz
Navidad.y.noche.buena....mis. respeto .para.todas.las.mujes.del.mundo...saludos..al.fin.del.mundoos  mortales abian apreciado tan hermosa mujer  .


Asi con toy y sus maNÍ as no se la 
hay nomas pa ra reirse un rato y no estar triste y estresado por la vida dura que se vive hoy... ðŸ–¤
y.luceros...tu.mirada.enamora.al.sol.....tu.hermosura.quedara.por..una.eternidad.en.los.corazonede",1 month ago,Meymey Acoy,UCMuujb0Tz_BAAJduPP0ynMg,2,https://yt3.ggpht.com/ytc/AKedOLSDux-0ANorKZvGB1Uw97IUagxoRjy-W6zzAyjG=s176-c-k-c0x00ffffff-no-rj,0.0
