cid,text,time,author,channel,votes,photo,heart
UgwD93M_OydN-HxQNZh4AaABAg,So so very grateful for all the love ❤️ Ya’ll are the best. Thank you so much. You make the song what it is and I’m so so so happy 🌸❤️,2 months ago,Lothika Jha,UCQ6DkoXTe3H_FnPfjk8P9-A,2.2K,https://yt3.ggpht.com/ytc/AKedOLRhAcqCxJHgd4nWFzlTFILRISgTYk0YgDLkerZvNw=s176-c-k-c0x00ffffff-no-rj,1.0
UgyXaPSkIvVI4aKzQSJ4AaABAg,Wake N Explore!!,11 hours ago,Wake N Explore!! ,UCpJU3hvIvzxoCIUO6Hb9YFw,1,https://yt3.ggpht.com/WULWfmDfL6uNweRi_Tslp1u8X8vdCgCGDMDivMW9rdRedyg-AVH2W0WvvE1hoWb9tGjlhzYN0NU=s176-c-k-c0x00ffffff-no-rj,0.0
UgwSc9H1gbp9HbQXM694AaABAg,No bollywood we didn't forgot 14th June 2020 yet..,1 day ago,Arya Das,UCnOfnoFSFDc1BSaceMx_FlQ,0,https://yt3.ggpht.com/ytc/AKedOLRwpQft_3RYMLJIZsO6novzpNygBFAuYJvA_1-_hg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx0HLxzzkp_O7nGscF4AaABAg,Song is annoying.,1 day ago,RASHMIKANT SAHOO,UCglsqsQYrlS3kQkAw-5YRig,0,https://yt3.ggpht.com/ytc/AKedOLR-R6xId4AsMCA0eU28LVtPZiOuAbkpGaoTxQISQg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwvzKvdnvHFsu63OCN4AaABAg,Seriously why are people saying this is a good song seriously guys this is trash there are much better ones in the music industry 🥴 this song barely got 25mill views even after so many advertisement and promotion in Spotify amazon prime 🥴and the movie itself is trash as well,2 days ago,RAUNAK MISHRA,UCGQK5tZhJGKYBoRARupVGjQ,0,https://yt3.ggpht.com/ytc/AKedOLTNRekrr41s_MXwXht86Dh6cEj5G-iAfaC0JQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyerR7ETzUah4a7zvx4AaABAg,6:55Excellent,2 days ago,HOT X VIDEO,UCuU8pqzmXI6uVHc8LzqUl_w,0,https://yt3.ggpht.com/qzRvXqklUcKkVgXwRmffLxVG4OVVREV-vjjps7YppP-aDCbKj-vjqmVQ8MSJXib7G35J78ZhCQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyqO-Mx10-4FEhOgSd4AaABAg,Frontline Indian version 😂,6 days ago,Tanveer Singh,UCE_7tpy5g7bfSSXsp4y2xcQ,0,https://yt3.ggpht.com/ytc/AKedOLTk65GSM7PxRyuIgkijTFBFcGPnQXwDRBsaoA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzRW7UvOP-lCQApmId4AaABAg,where is ranveer 😂,6 days ago,Bilawal Nadeem,UCF9TAe2pLyPVLxZRjhBV8uA,0,https://yt3.ggpht.com/ytc/AKedOLQvICCZ6rfotxZhXJkr569d7A_fmiRcMDj7xX9HMw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxOutX17oJxSHlPNMZ4AaABAg,Wow nice 🙂,6 days ago,anabiya Noor vilog,UCL9LAjOJZMeEXcNnl572gHg,0,https://yt3.ggpht.com/g-ZVS6b_N3ZpN-UpLWxz08BKDW-nv1H16Gv9t76N3NH-a6tOdilthRbdHHSre6u_RLng6S4S-A=s176-c-k-c0x00ffffff-no-rj,0.0
UgyKvCqKX70pSODCeN94AaABAg,The only good thing about this movie is this song❤️❤️❤️❤️,9 days ago,Timber Wolf,UCC3fDdSLCJZxaEyfYkVbTuw,0,https://yt3.ggpht.com/ytc/AKedOLTEBjO3V1KKhFud6WN8NH19v6-lV-Wg4ia6Y-EZkM_bsTO2DkdFX5WZaGbol_e6=s176-c-k-c0x00ffffff-no-rj,0.0
