cid,text,time,author,channel,votes,photo,heart
Ugw2fRM8dYl20vIArQp4AaABAg,🤡🤡🤡🤡,50 minutes ago,Chotu shukla,UCqqXQOuLoZyoLjt9GuQLORQ,0,https://yt3.ggpht.com/ytc/AKedOLRRQtru-b0Hdx0RrOwRpHnTNYZo27D-2-VdGCHTpn1hX7NITvc0tx5QiFnb140m=s176-c-k-c0x00ffffff-no-rj,0.0
UgyfbpsaVfXGshOAaq94AaABAg,Hiphop ki Raa-khi,7 hours ago,SS7 Creation,UCR4VBeXAMrhI6bocLY8x8-A,0,https://yt3.ggpht.com/ytc/AKedOLTkCIzSRPlWvOilI5UrzpQEUqfMhbUjbL1c0WwUsQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzil1noXYGz2vNKL7h4AaABAg,Hiphop ki Raa-khi,7 hours ago,SS7 Creation,UCR4VBeXAMrhI6bocLY8x8-A,0,https://yt3.ggpht.com/ytc/AKedOLTkCIzSRPlWvOilI5UrzpQEUqfMhbUjbL1c0WwUsQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxEXI9d-e-gc7hlgPR4AaABAg,Hiphop ki Raa-khi,7 hours ago,SS7 Creation,UCR4VBeXAMrhI6bocLY8x8-A,0,https://yt3.ggpht.com/ytc/AKedOLTkCIzSRPlWvOilI5UrzpQEUqfMhbUjbL1c0WwUsQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxdeYSmJz-t-hz3FXN4AaABAg,This subscribe is surbhi jyoti,10 hours ago,Ram Ratan,UCNTcIxn8igTTy54S9udhc4Q,1,https://yt3.ggpht.com/ytc/AKedOLT9LSoI6WJSy75U9AXEyGs-SLNIhiNQkHiwcA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwdiWQAofNbWz14C054AaABAg,Ranjeet,10 hours ago,Ranjit Aadiwashi,UC37reWmM81ZopLz8gkpy8CQ,0,https://yt3.ggpht.com/ytc/AKedOLSy0YqQPEk92PD2PSEmC69ODTgiKJwAVMCvnSdRSdHW0Cfj7A1WSNlIfwPFtG0X=s176-c-k-c0x00ffffff-no-rj,0.0
UgzbK7I7zSBtYJQB2_p4AaABAg,Good song,13 hours ago,Shrestha Sharma,UCKqxnA5TabZA3xpdsyEjxNg,0,https://yt3.ggpht.com/ytc/AKedOLS4b38pOOO_p1CArN6Vntm7p69884nRkb6nG1VquB71CtSaXDuPcV-FqYPNcHet=s176-c-k-c0x00ffffff-no-rj,0.0
UgwIDfsXhJwM-TcCrSN4AaABAg,https://youtu.be/pKSeRoDy9JM,13 hours ago,poonam Singh,UCicQflu1UpbbEqBObrfKyQw,0,https://yt3.ggpht.com/RaQKj11vY7B02VvVh3SQ4gqSGhilkcbigtHWxA-PLuxKW1Oo1ShuYStA_O-3NzH7eIZWrVbMBSg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy2p1ekg7YMNzOLWZV4AaABAg,My favourite song ❤️,1 day ago,Nandni Mishra,UCCSC_8mhzmPKdIulkr4OvVg,1,https://yt3.ggpht.com/ytc/AKedOLTeF4WO4eQvUua9kPe1FXBClUWnuvFOW8d5IA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyq2womnS5jWbEIZb94AaABAg,Nice song 💕💕,1 day ago,noob,UCswiL6x_c_yuO5ssh99Pv-Q,0,https://yt3.ggpht.com/ytc/AKedOLSTRUCbixjDr7dCLkDH-_1fYba5lrhvo4lUB9jlgDUK4RFWzXmey4jur8_9HgIz=s176-c-k-c0x00ffffff-no-rj,0.0
UgzLzQ3SHxryqozq0q14AaABAg,Thanks you so much everyone ! Keep blasting GHANA KASOOTA  🔥🙏,1 day ago (edited),all gaming channels youtuber player 786,UCzqGidpowtpSwSEpz9HqYCw,0,https://yt3.ggpht.com/ytc/AKedOLQsDzIkTKyNoF9IvU980qTcjUkGJxnUzsygamZ1w--pBFbRGyYaRatqYNepTRQT=s176-c-k-c0x00ffffff-no-rj,0.0
UgzJztt3JKH2em25wpR4AaABAg,Congratulations 1 million,1 day ago,ankit Kumar,UCDroWVrh4jpfSyD8j1zvHSA,0,https://yt3.ggpht.com/ytc/AKedOLQZK9mh00xG7T9ZAh_MW9YkaGyGv-nLQ0G7qa6BNHBbZAHk5-aLD5Ns7Bd9LHAa=s176-c-k-c0x00ffffff-no-rj,0.0
