cid,text,time,author,channel,votes,photo,heart
UgzLnk-YnXHiZTdQJqV4AaABAg,best ever!,4 weeks ago,사람은 다르다,UCBhWsazwXyL2IrrT42EWvTg,0,https://yt3.ggpht.com/ytc/AKedOLThKx-FuU7h7ELdcCPMIlbjouBLzPIUxjyCk2eTJmTDJg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugym83WPJXlluqZXKAh4AaABAg,https://youtu.be/hWa8NCs5s8M,2 months ago,Ramkisan Bundelkhand,UC1MVOi0eUJJbzuMXYzf1Oug,1,https://yt3.ggpht.com/RIW0AVuWLPdqZpweoysLmzQFvGE7mFrinl11Q5CgI9Acen5-N42cxUwEVxmW9ETTL6DSFAVO_pk=s176-c-k-c0x00ffffff-no-rj,0.0
UgzaUESJ0lWYhmYj64R4AaABAg,Lol is my favorite song,2 months ago,MAMITA SAHU,UCKeAmga5HwqyK4zX0dwrvtw,0,https://yt3.ggpht.com/ytc/AKedOLSTCfVPTauFF0ZyWNno4yWR5B_q97yD4AGiFPqe=s176-c-k-c0x00ffffff-no-rj,0.0
UgwE9NFWb9BgAVs40I94AaABAg,1k chalange,2 months ago,Jiban Thakur YT,UC18HThe9vguGAtX0RLZFYaw,0,https://yt3.ggpht.com/GfEfHFt2ASP8tNyYhJ8BXFcUAyoY-vdO9HSq8Oe6PXvPDgaWT0ntBDUZN7ZpEdshIiabqutYzg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz7VVwNIwlcaKbbm3N4AaABAg,"When you are a mother, you are never really alone in your thoughts. A mother always has to think twice, once for herself and once for her child❤️",2 months ago,Aware Gram,UCdlM2fRlb1D51OxEJF4VePw,2,https://yt3.ggpht.com/E1cqCs1xYVmvLQ12c8teUpuTzS0meiUPpSGnzyIVDZsPstRE4pO6Bu4LudK_rhrhI0W_eGzB=s176-c-k-c0x00ffffff-no-rj,0.0
UgwMgxEOzexJgxenrhh4AaABAg,"06:39
This song Stuck in heart❤🥺✨",2 months ago,Pankaj ahiwar,UCNtHUvxryjiJ3X8MVAbCuOQ,1,https://yt3.ggpht.com/ytc/AKedOLSx30WGnoYyf0mfTJx0Sy5OJlOqdu0DU8vb-mYVoBA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxN0As0FHFkVxlyp-d4AaABAg,Nice song,2 months ago,the UP 30 riders official,UCbZjhHrsIirTlvGwg2QjQEA,0,https://yt3.ggpht.com/lpWP3D1FJxmpA4LRryVckW8_qZuy4aY_8ThpgIpBKPnvbC0ucAr8nys5OACrT7BKCT7xI9JA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzsIjjb7jemi5u5o3t4AaABAg,It's 2022 let's see how many legends are still watching these master piece alone.. 🤩,2 months ago,Respect Shorts,UCyi9JCHrFA4oHbQbFkLzNWA,1,https://yt3.ggpht.com/-yWKFHj_mcDgMkCAC_hoNXVuPOoHyTpMb0jKuuZlWhm39OuGHKlPWC0lw0klHEG_XFawsA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwN9dizo7AKkK6sdPR4AaABAg,Very good,2 months ago,hot dance BR,UCdVDq3RGwUyP0u3_zZwBIhg,2,https://yt3.ggpht.com/ytc/AKedOLSFgC5EBkqXYUsLIoBXx5RwKeBr1zS4UCglRR9O_xAuDq4TJsjSrP_DmwgmP6sc=s176-c-k-c0x00ffffff-no-rj,0.0
UgyxXLXSODNVC5wytN54AaABAg,Mast,2 months ago,hot dance BR,UCdVDq3RGwUyP0u3_zZwBIhg,2,https://yt3.ggpht.com/ytc/AKedOLSFgC5EBkqXYUsLIoBXx5RwKeBr1zS4UCglRR9O_xAuDq4TJsjSrP_DmwgmP6sc=s176-c-k-c0x00ffffff-no-rj,0.0
