cid,text,time,author,channel,votes,photo,heart
Ugy0IAvhnpVJFn3hbIh4AaABAg,Today is my test and i was afaird of my test . My friend suggest me to watch this and after watching this now i am confident about this chapter. THANK YOU SIR❤,3 weeks ago,Ishan Sharma,UC_RwByfeqnqUh1u2XYSxDkg,0,https://yt3.ggpht.com/ytc/AKedOLShE3WUMTEOCD6f4B5tPU48JShB_wgYDJ3s05zGsQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzkDXXv6tRZ2wpFXil4AaABAg,"Sundar geet,uttam Kishore da & Asha ji,madhur natural shuddh sampuran. 
🙏🏼 versatile madhur shuddh sangeet samraat/mahaaraani shri Kishore da & shri Asha ji ❤.",3 weeks ago,KishA,UCpE-4kst3VZ0JVEr0KmnMLg,0,https://yt3.ggpht.com/Cb1_w-o7oblh_Ay4PgwpzCEHBXSYbIWR3J1LpKInpfoaFBERjEi4RUFzGSDzwSvSrVuTQjpX3A=s176-c-k-c0x00ffffff-no-rj,0.0
UgwRUUC1k0g_Bpbg1f14AaABAg,Nice to view Madam Zeenat &  Sir Mithun   👪❣️🇮🇳❣️👪,3 weeks ago,S.T. KUMAR,UCTAbKdiNHmv-BuB6ChBQawQ,0,https://yt3.ggpht.com/ytc/AKedOLTj3VhBetRlMXavcz9izPK0GxcuFoyUrh2lyA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzD9qlRCtAkVVN6HtZ4AaABAg,"जिसके होने से मैं खुद को मुक्कम्मल मानता हूँ,
में खुदा से पहले मेरी माँ को जानता हूँ।

(4😭😭😭😭",3 weeks ago,0 Video  challenge  1K subscribe,UCO-rJAk6-fseaeEvWW4GyfQ,0,https://yt3.ggpht.com/J7Fx7q-nboag-AGzn18712VBAbbm-Tr7NadYYWGVWU6XMPNuHpO07F4bVjFpf08OkSb41dSYlks=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzd44aFj9b3EgmdW554AaABAg,This song brings back memories of 80's. Great rare song.,3 weeks ago,srikanth m.r.,UCwvZpnSdCuDwbqIWLqECpNg,0,https://yt3.ggpht.com/ytc/AKedOLTUruRr1gPJG9PcLxGXzNcfxRenaKTKqGO8sA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxDW0AnRo9vvVosAoJ4AaABAg,"Mast h song
👉🙏🏻🙏🏻",3 weeks ago,RAVI_2.0,UC4IZPvyxb712Yq6PUeIGEdg,1,https://yt3.ggpht.com/2vTyCo5dHu3-_BFU7luzkQAHxWlZ_JFF-ma8g_wfL2TRwNFkv58hn6klLfIWk7rvBUe2QpuA5A=s176-c-k-c0x00ffffff-no-rj,0.0
UgzyKIhIsSt7QwUgIpB4AaABAg,https://youtube.com/channel/UCzMur6FWc2PfjwCojfcfC8g,3 weeks ago,Mayank Upadhyay🎭,UCXoWrIEF7J3j2KZSGg40DtQ,0,https://yt3.ggpht.com/SvwJ1EFWEsRUn42KVzcXN73UibJzUuTuod8TGz-HxMd7YnB2YhFcsR82MktWupGqs1TjoxYzUg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxBlB-zX9plnJAFtHF4AaABAg,https://youtube.com/channel/UCzMur6FWc2PfjwCojfcfC8g,3 weeks ago,Mayank Upadhyay🎭,UCXoWrIEF7J3j2KZSGg40DtQ,0,https://yt3.ggpht.com/SvwJ1EFWEsRUn42KVzcXN73UibJzUuTuod8TGz-HxMd7YnB2YhFcsR82MktWupGqs1TjoxYzUg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxkNKaODA4Zq6OsM1x4AaABAg,https://youtube.com/channel/UCzMur6FWc2PfjwCojfcfC8g,3 weeks ago,Mayank Upadhyay🎭,UCXoWrIEF7J3j2KZSGg40DtQ,0,https://yt3.ggpht.com/SvwJ1EFWEsRUn42KVzcXN73UibJzUuTuod8TGz-HxMd7YnB2YhFcsR82MktWupGqs1TjoxYzUg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwd7RyRQNgsWrAGzYl4AaABAg,"1 से 999 की तक की {Spelling} में A कही नहीं आता है A सर्वप्रथम {Thousand} में आता है ।अंग्रेजी वर्णमाला का पहला अक्षर होते हुए भी उसे सब्र करना पड़ा, समय और मौका सबको मिलता हैं । लेकिन सब्र करना पड़ता हैं)√ ✌✌",3 weeks ago,Irfan Pathan 09,UCcm7gis4bXn7GQMPhI_WZvw,0,https://yt3.ggpht.com/rEyCZPnA8aktLu4iBLxtgu5ADfQzqbCeAHBXWOQLjNb_KPwE7Ijvswq-MQXqwuX5i7BAHyhh=s176-c-k-c0x00ffffff-no-rj,0.0
