cid,text,time,author,channel,votes,photo,heart
UgxN_1FZBEgPivexDgN4AaABAg,"Ram Ram Dosto 🙏🙏
Konsi line aapko sabse achchi lagi comment please ✍️",1 month ago,Ajay Hooda,UC3WNzz6dAihvrnxfRiw1LVQ,295,https://yt3.ggpht.com/zvA6O7ZUC1kZudQvnhOp7pEnS2UoN8gnvaaIJj6PXRQTIC7lRO08YKGBC4bsnEy_XGqEojl6=s176-c-k-c0x00ffffff-no-rj,0.0
UgzSfms7p5y0LoKxEPB4AaABAg,Monu Jaat,6 days ago,Sonu Jatav,UCusC_zsNubSWRY7bM5mPZtA,0,https://yt3.ggpht.com/ytc/AKedOLTC7liL7TgRO4Xbc4pdREtU93n6IbxxUXANJzwi7xPdaMYk700xU5Ee7SmhuhB1=s176-c-k-c0x00ffffff-no-rj,0.0
UgwyKkDd-30-XL4_y0p4AaABAg,Monu Kumar,6 days ago,Sonu Jatav,UCusC_zsNubSWRY7bM5mPZtA,0,https://yt3.ggpht.com/ytc/AKedOLTC7liL7TgRO4Xbc4pdREtU93n6IbxxUXANJzwi7xPdaMYk700xU5Ee7SmhuhB1=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw6Dqow-QCQipumWDl4AaABAg,Super Sir 👍,8 days ago,Aashu Panwar,UCsk6Htg5mxenijSZSr5RuKw,0,https://yt3.ggpht.com/ytc/AKedOLTn6wAFiWwlxLFK0Cj3SbXkE2j1rltC9anuJ_ELuZidiMAkwTR9kuDI1CL5UxR-=s176-c-k-c0x00ffffff-no-rj,0.0
UgwqJ8WrwZJhCNjWH_p4AaABAg,Nice,10 days ago,Sunil Kumar,UCd-ojOxekSGNL1lzQuXU4Ng,0,https://yt3.ggpht.com/ytc/AKedOLTo7v4cTn9943w0W9NXTHEgxOSGtT6bNoNvRnErZQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyAaguF_A79JQ9UxtV4AaABAg,Gjb भाई,2 weeks ago,अलबादी जाट,UCzMy9JfvLoHwtOjgzGIdLEw,0,https://yt3.ggpht.com/UWtVWpb0x79_EnkN06A-73Q_VrKY-1fC9Yor2OLK0leekMhEXZ7NE-P63gLu5Amiac7fetUV1w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy0uq10glfsS4QlsYl4AaABAg,https://youtube.com/channel/UCMFvCC7KdbIzQP4MW8S8RWw,2 weeks ago,प्रमोद गोमी,UCWWwFqkVffO1MeLH76fyewQ,0,https://yt3.ggpht.com/t-6SLAnPxuJzo8CMVVzCLij9G9JKHotuU5Nif7cXplMiPh0uFyh1LRlmU0Fe6NvGNw5n3jrUSg=s176-c-k-c0x00ffffff-no-rj,0.0
UgycQ6pVMixjduxDsjp4AaABAg,Gach h ajay hooda:my favorite  song h ye,2 weeks ago,Harsh Kundu,UCs739hiYjPBGbImueYRDzcg,0,https://yt3.ggpht.com/ytc/AKedOLTiJmFfGT-aofkUujqk3xp2Puaf7ZIZH2bNTDHcNK6JQb2VBinVrG_Yd8WE-XjF=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxtt-0b92hZOt1j6Pp4AaABAg,Nice song,2 weeks ago,Ravi sharma Ravi sharma,UCvGophllsJ1BiRF75AAhM3Q,0,https://yt3.ggpht.com/ytc/AKedOLRtQnFOEeX9RINj6UUU1dPDJaS4mb6z7V3QhenibunMQtw16ekiwTaRKdWkJIav=s176-c-k-c0x00ffffff-no-rj,0.0
Ugykho-RebEqPVpEchF4AaABAg,https://youtube.com/shorts/1wuSRuKjtPg?feature=share,2 weeks ago,Ritik Sharma Food bloger,UCXUzyNVJHLW1Cx9ZtOLnucw,0,https://yt3.ggpht.com/akmKWjKsecW3n-E0Lu8vm78Ko_sF-ie2K3YCeBE0TQnD1KqjqnkkTROu4T2AyURaEm2uBLoMWg=s176-c-k-c0x00ffffff-no-rj,0.0
