cid,text,time,author,channel,votes,photo,heart
Ugwksc0brFT8I6dejGt4AaABAg,Amaal n Armaan is simply ♥️,2 days ago,कुणाल र• सिंह,UCQTYBm9VjJBcv9fW4ZQzbug,0,https://yt3.ggpht.com/aTVj2-Lnz4KMoHH2tvZxFBtqbMF_0Ue5LlX4z5JTn5eAAvurwUi7SishItLKEJQPyLK-SwY1PA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzQuQC4OTtll6S3FoR4AaABAg,Tusi kamal ho yaar ....❤❤❤❤❤❤❤❤❤❤❤❤,7 days ago,Ravindra Maurya,UC4bMhU3E5AGiV9KrrOcysig,1,https://yt3.ggpht.com/ytc/AKedOLQgE8uQYensGynTugnapuz25V76Zep50Gal_1AdbA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz6hUClk62KCZjO40x4AaABAg,I miss someone special for me. ❤️,7 days ago,Vivek Jangde,UCswx4Y4MaAdOQ2_A-8aKrkw,0,https://yt3.ggpht.com/ytc/AKedOLThZqn9PWJwVgKmuIhKh0jg0li4cC5fWCU2uc5xCQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyIjlS9-ikxrWdVrll4AaABAg,Love From Pakistan 🇵🇰💚❤️,8 days ago,16-Taimur Hassan,UCrIkmUV0_R-GKaijtWb_mHg,1,https://yt3.ggpht.com/ytc/AKedOLTHWkisxHK9kEMoNkH7AEfjXl8OioVKHvHgirtR=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwx4SmGstbm3yFnUHp4AaABAg,Armaan❤️,8 days ago,Dab boy,UC-jE3r4m1t_ClK7XOYkJvlA,0,https://yt3.ggpht.com/6xwQn04Y7qkJMtXz6HjADQ206c6N0V-DQ_jETW-laQaPPeqshJdbyJ5htkPdTfoQdcmqgc2_tQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyk-Vnz-Xfwed-Sy6R4AaABAg,https://youtu.be/2NT88-xK_v4,8 days ago,The Musical Headphone ,UCSh3SvhQkPpxUxncvMXt4VQ,0,https://yt3.ggpht.com/SxdZdAFDQkPghtEDdPg5L1JYu9lM-MZeRgIAL3sdW2R5ywtsnQGMb3VMudIcUdwLUYnQTVI0jvI=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx5PK5Cw2S-5CEnQ2R4AaABAg,Blockbuster brother's,10 days ago,Arman Ansari,UCGB6NklMQG_9FZM4eXjAp0A,0,https://yt3.ggpht.com/Lg-1Iq96_h4dHUen1R4Ks_mZmAzsGxe-X_rBzVEcfvr5XCKiBhIrvHgC1lRGAtUsCtjsuAgO=s176-c-k-c0x00ffffff-no-rj,0.0
UgxmdJko8isFBT4DMgJ4AaABAg,I wish you success :),10 days ago,Mzaizk Music,UCwyZH0XVvqM29Mf1trSLxvg,0,https://yt3.ggpht.com/ytc/AKedOLTFZoLCUZWlrpY7R1V8BoRxNMLAH8ags5t_Bi4O=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyeuxix50TOJtKJIIB4AaABAg,Wow 🌼,11 days ago,Venura Nimsara,UCeho63usr_d1_xB7g_fgNLA,0,https://yt3.ggpht.com/ytc/AKedOLSE6gteHloez-COgW0U7bX8p899g8flRkBqVa_rwSxMXsbvo5Q_PprK9mKxf9H8=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzjgc864Puy0ukMMLJ4AaABAg,"बेहतर से बेहतर कि तलाश करो,
मिल जाए नदी तो समंदर कि तलाश करो,
टूट जाता है शीशा पत्थर कि चोट से,
टूट जाए पत्थर ऐसा शीशा तलाश करो।",11 days ago,Beautiful Nature,UCKBVIAszcrI_iFg5nPRd_eQ,0,https://yt3.ggpht.com/dvLQm892kp5JTfTr2zDIxk7mqYttvHan9x4k_IIap1RJg8UmCtcvxM8bgyXpuzGqcSCWkHSL=s176-c-k-c0x00ffffff-no-rj,0.0
