cid,text,time,author,channel,votes,photo,heart
UgxPCH-fhnu5T8EF8kt4AaABAg,❤️,2 days ago,Amrit Nayek,UCVnMGRD6NZPVGoizZ4FKsLA,0,https://yt3.ggpht.com/6nNDzKRA2myhd4SxkQIaKGQthT8cIka4QsLnWHvU5-WVI2aEwFt4QBiEEAD32w7M2beqDI2RGg=s176-c-k-c0x00ffffff-no-rj,0.0
UgySAHmmOx_MABKvnuV4AaABAg,💙💙🔥🔥🔥🔥👍👍,2 days ago,Punit Barman,UCwPTorLQqBIBMWOSX01BHSQ,0,https://yt3.ggpht.com/7N0jhjQJbcaUbxyPdKTkLQviVc5INsUIZfvt-y3f5ykuoZ9ABdNBKEltwLtCSvP6CfvjempUjg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx6TryShXHPhVWwFB54AaABAg,One of the best of whole carrier paji🔥🔥🔥,3 days ago,Navneet kashyap,UCMW4bgyfLfamhNJtDa5aX4g,0,https://yt3.ggpht.com/ytc/AKedOLQmMy5nwlSEahxLueQ_iJBlUo2hnQZRF_Yk7yuFyQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyk8YPKRJgi2Z-moOp4AaABAg,Sony music and badshah are crazy😁😉,3 days ago,Shruti Shewadkar,UCp5xr_Lmx7uDZoJ4mE2foHQ,0,https://yt3.ggpht.com/ytc/AKedOLS-JkS_feZXypHhczJOKUxE3CMCLC_vwaKux-crfSToTVTST9-FUY3kCVSeFEZ0=s176-c-k-c0x00ffffff-no-rj,0.0
UgzJgd0u76Ai3cEm0r54AaABAg,Wow.so so beautuful& heart touching song which is sung by aastha gill maam& baadshah. Hatts off guys.loved it. I suppose dono ki jodi bhout accha laga. I love your jodi singing.lots of love from iran,4 days ago,Azita Khani,UCVe9qz1VW39S91EEjv2P0WA,0,https://yt3.ggpht.com/ytc/AKedOLTaj9UgYqB8iUVSGvluAuJCl68ZuQit7uVqqA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyhcTZthRJ2RmytwA14AaABAg,Nice song,5 days ago,priya Kumari,UC3aI71IURCxGycAfoQDQzIA,0,https://yt3.ggpht.com/1-ihu7l6drg0ryBoewwBI6ajVNJV4HPEQNPSuHWmp_T1QXjCiaBmR4Erfd-Yr7UWtProLBWQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzOOTTjEmlm2CUZPy94AaABAg,"Har tukbandi aachi nhi lagti 😀 kuch b mat pelo badshah

Baki tutiyo ke liye tum gaaliyo ko jood kr bhi song bna doge to uspr bhi wo kahenge wow kya song hai 😂😂😂",6 days ago,A.K Singh,UCFuA1HbtBlKqJeggHT3-oUQ,0,https://yt3.ggpht.com/ytc/AKedOLRrAesuhjc2cEKphAFEA2jfT9IDwrBKp3QXX1NE9SSbRG8HSy6xM38qX9ISygKE=s176-c-k-c0x00ffffff-no-rj,0.0
UgyYs7j63Nemd2wDFyx4AaABAg,https://youtu.be/aVZ9UANqB-8,6 days ago,ian Gold,UCtvpd5YvHCzvLSnhDKgrBHg,0,https://yt3.ggpht.com/skbXePGYPuRCmPGtsqMIFlwi5X5P9ROA2J4F_91WMqmarf8dAXsVBGCFuVnE3742UDM51ofkog=s176-c-k-c0x00ffffff-no-rj,0.0
UgyWj9f0itz_SfGgzDB4AaABAg,💓💓,6 days ago,Yashoda Yogi,UCBCQSYP0X09CkKXodb-79bQ,0,https://yt3.ggpht.com/ytc/AKedOLS-xN312Dbqn8_SPvhU_tQwe7m3-T0xlG0I7MqZGWOC7E9swGUXVwAteg1KzMmM=s176-c-k-c0x00ffffff-no-rj,0.0
UgyzqWAQAnsaUWN8jTR4AaABAg,https://youtu.be/-s5yB0g2B5c,6 days ago,arsh gaming as,UCJRYoh_JFvh6jV4BWjD8KEQ,0,https://yt3.ggpht.com/Rf-bmw23TTfDk-1LSymkMfj6dSYWiNHMREoZlgTDoj0OLx5SP6muHYHjwPDQBvFfP9_yxLupViE=s176-c-k-c0x00ffffff-no-rj,0.0
UgyxqEWq1hUyRyGcB594AaABAg,Such a wonderful song...👌🥰,6 days ago,Aditya Maharana,UCYbubmHuTMUa5pLc3CJFYaw,0,https://yt3.ggpht.com/ytc/AKedOLTIlwf9QnDgMTJTkxcnLb295gDFEoyj_rSRKA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzh24TQcwo9iHfUSiB4AaABAg,Really me heartless,6 days ago,High Voltage,UCrLwRMbPRU75R8hp4y2sJQQ,0,https://yt3.ggpht.com/sfCqV_RsFnaEuqRcWP7rjAJE4boCkrYZv6LozhEhWkWi1csoF9v43DHNxcPBw1AcwSwXnKKACA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyrkurIhTvBmv71B314AaABAg,Nice ❤️,7 days ago,rAjU BHAI 🔥,UCcUkJGQxZU33MVL5aTARVvw,0,https://yt3.ggpht.com/VfSGoBdVta6bh6czjTme04FGFFOHRGrOexq64m6dIabd4oFDpcqEbZbHEJUMC72M01YZiOtd=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw2jb24n7osM5bqYOZ4AaABAg,https://youtube.com/shorts/7TvC7S0suiU?feature=share,7 days ago,Himanshu Mishra,UCHgDleW1yAQZO4kxjpyB_0g,0,https://yt3.ggpht.com/ytc/AKedOLRAirEOifj1NxPU9Q8eI5lUMKmaIJis7gaCGKL2=s176-c-k-c0x00ffffff-no-rj,0.0
UgxKxOMvg8o9bEBSUCJ4AaABAg,https://youtube.com/shorts/7TvC7S0suiU?feature=share,7 days ago,Himanshu Mishra,UCHgDleW1yAQZO4kxjpyB_0g,0,https://yt3.ggpht.com/ytc/AKedOLRAirEOifj1NxPU9Q8eI5lUMKmaIJis7gaCGKL2=s176-c-k-c0x00ffffff-no-rj,0.0
UgwdB8SWH4QuSuSQAXR4AaABAg,https://youtube.com/shorts/7TvC7S0suiU?feature=share,7 days ago,Himanshu Mishra,UCHgDleW1yAQZO4kxjpyB_0g,0,https://yt3.ggpht.com/ytc/AKedOLRAirEOifj1NxPU9Q8eI5lUMKmaIJis7gaCGKL2=s176-c-k-c0x00ffffff-no-rj,0.0
UgzyD0OTaWaSjz42giR4AaABAg,https://youtube.com/shorts/7TvC7S0suiU?feature=share,7 days ago,Himanshu Mishra,UCHgDleW1yAQZO4kxjpyB_0g,0,https://yt3.ggpht.com/ytc/AKedOLRAirEOifj1NxPU9Q8eI5lUMKmaIJis7gaCGKL2=s176-c-k-c0x00ffffff-no-rj,0.0
UgzfiNVXhORMgOdWDgt4AaABAg,https://youtube.com/shorts/cCy6O54O7dA?feature=share🌟🌟🌟🌟💫💫💫😱😱😱😱💯💯💯🔥🔥🔥🔥🔥🔥🔥✨✨✨✨✨🔥🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰,7 days ago,World Music,UCkwr8oxMRj9qIZ42D1nl0sA,1,https://yt3.ggpht.com/Yfm3evWh8fLs2Mhvr2nqXe0Zdn-nDjtXZme_FF7co2U8efgujwyVmO2KRu0hIb_TpcBhY2zp=s176-c-k-c0x00ffffff-no-rj,0.0
UgyNzDGmzI1eHf7lrsx4AaABAg,Lovely songs heart touching......❤❤❤❤❤❤❤❤❤❤❤❤,7 days ago,Ravindra Maurya,UC4bMhU3E5AGiV9KrrOcysig,0,https://yt3.ggpht.com/ytc/AKedOLQgE8uQYensGynTugnapuz25V76Zep50Gal_1AdbA=s176-c-k-c0x00ffffff-no-rj,0.0
