cid,text,time,author,channel,votes,photo,heart
Ugw0FsUHZeviBdtcuTl4AaABAg,https://www.youtube.com/watch?v=DP2pHsPPiyk,6 months ago,Siddharth Kamble,UC7VldLvixnQex6ogbbgRsaA,0,https://yt3.ggpht.com/ytc/AKedOLQMNY7POR92vQL6W68PMC4SCTsASk7glDNDXA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxgZRcfzsD0luub6Ix4AaABAg,https://www.youtube.com/watch?v=DP2pHsPPiyk,6 months ago,amit Gholap,UCRm7_k3-YD16d7NlLtN8DUA,0,https://yt3.ggpht.com/ytc/AKedOLRDaAXjIO0A_4nY4Kar8AEXy2eb0GRltrjSlM1hoQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyqNuUuMs4nMAkDWKV4AaABAg,https://www.youtube.com/watch?v=DP2pHsPPiyk,6 months ago,Kiran More,UCgzYEZ0rJOQXJ9zQ_Crgx6w,0,https://yt3.ggpht.com/ytc/AKedOLRBWWhT9IWUgqNFRdIPMfAzwM_YwB55vFaaomiX6w=s176-c-k-c0x00ffffff-no-rj,0.0
UgzMYm0Kt7IIA3pmxBB4AaABAg,https://www.youtube.com/watch?v=DP2pHsPPiyk,6 months ago,Shubham mahajan,UCPgtu5v5rgwDzG78-zPCSYQ,0,https://yt3.ggpht.com/ytc/AKedOLRZ22ibY2kz221_l68Lumf1o05vgkBvFSoLRw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz4s9XOyXJxwbs88kV4AaABAg,Hhooo,6 months ago,Ramshida Manaf,UCAJgSyHaVFvXafdn6SgBYxA,0,https://yt3.ggpht.com/rkAKNpm2EoAFze9VsVwkQzgPrB8wTXbcr1J9RF9vkJasrw4edpvtRB_MlBEucep_sQsHKWsz=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx4TLj_UaDwf5-U2TB4AaABAg,https://www.youtube.com/watch?v=DP2pHsPPiyk,6 months ago,Prasad Patil,UC91hyGViwfEGaMZOwTrKzNA,0,https://yt3.ggpht.com/ytc/AKedOLRko6jsIh5JkfiHLClGguRGOVXvY5qMsdPzjXQ0Fw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwaxudI3I5xHTsVuZF4AaABAg,😊,6 months ago,Jasirashi Jasirashi,UCFAnRQ7PD_f49FWXBnEqDIw,0,https://yt3.ggpht.com/ytc/AKedOLSyTQve7fnw42R-JhnC1P0PGeASj5WXCkYUuQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxxzckeU9Usdvc0BBl4AaABAg,https://www.youtube.com/watch?v=DP2pHsPPiyk,6 months ago,Siddharth Kamble,UC7VldLvixnQex6ogbbgRsaA,0,https://yt3.ggpht.com/ytc/AKedOLQMNY7POR92vQL6W68PMC4SCTsASk7glDNDXA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyPfIgPLyOIsIP1Od54AaABAg,❤️,6 months ago,Nehaa Wirld,UC8n-Qc_gW51w5YX0qPioNCA,0,https://yt3.ggpht.com/ytc/AKedOLT0irhWL7BUvCGWWHeYsR9xsCAay7bTKqqj08gUvkEYrAsiCPLK7ZXt2C_c_fSU=s176-c-k-c0x00ffffff-no-rj,0.0
UgxSc_LTjjPRPYfdAoh4AaABAg,https://www.youtube.com/watch?v=DP2pHsPPiyk,6 months ago,Krishnat Kamble,UCGf3_JX3bylB3eP7OIcOhIg,0,https://yt3.ggpht.com/ytc/AKedOLQtjo1-nzwiFQACsLO-BURaUQ4ktjBCnE3gukatEQ=s176-c-k-c0x00ffffff-no-rj,0.0
