cid,text,time,author,channel,votes,photo,heart
UgwMom2V3cXBZf4PNBl4AaABAg,We are missing now Mithun Dada in Bollywood films 😔😔,1 month ago,Satyam Ingale,UCQ0rOu9GRBtNMXd-e1k60sw,1,https://yt3.ggpht.com/MhN1qnRkuZVQJrJdLDJO5w30lNTRjU7Argq64GBb85qMLO0kRCuLjBHnaU8zWN5wd1P-ukejPA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwaH94ZOb8J-zBSCvR4AaABAg,💚💚💚💚💙💙💙💙,1 month ago,Vlog BGM No Copyright Music,UCYuLzBKVZjusCxW2mOASKEA,0,https://yt3.ggpht.com/pFEQSh-YSZkVG263Hr068GO9WwyxUq2VMjSZhO3PuBPzfRljGUFX_DRCTSiZJ7eSOlYqIKwQleE=s176-c-k-c0x00ffffff-no-rj,0.0
UgyV-N4_oHxCt_6A2LJ4AaABAg,Kamle #Karankundrra,1 month ago,KARAN NETA Op bolte,UCcOn7PrOiWcvtKcVU7vPXCQ,0,https://yt3.ggpht.com/0hZ88xE83nHIv9WCGxC2eW70j5KUAwF4OiRATyZ6RsWW8ldC6ua9FFeO9Aqf3n5_3bk3ditqQg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy-KwELSldTCLGFObR4AaABAg,https://youtu.be/9Ajd6bXa6N4,1 month ago,singer shrutiss,UC8ZvqR5RxQeMqtBKEERdW-A,0,https://yt3.ggpht.com/ytc/AKedOLRIYd2UPcWXazQndqyxy6yap8nzc-FiS8SFwCp2=s176-c-k-c0x00ffffff-no-rj,0.0
UgwHWdfJ4e43cetrc2V4AaABAg,"your one click can change my whole life 🙏😭😭🙏,,,",1 month ago,G Chaudhry Sahab,UCPuzI2iKnaPF5VbtfOk_9kQ,0,https://yt3.ggpht.com/ytc/AKedOLSiCTuBzkshvyNrFtdjJ54rGGVicriSIJekZ-HE=s176-c-k-c0x00ffffff-no-rj,0.0
UgyUK78tJhsy15OWJqx4AaABAg,New Song,1 month ago,KULWANT SINGH,UCiWJy3-QUZnrQ00IZ1s7Dtw,1,https://yt3.ggpht.com/zxMUxyJ1h7lu-48TbpddSZylSo1RrEWjLXLEgIc3gHauxMmW8FBS1UZcE_Xr4qjTaff1qPLx=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw5k4qoIZ5c6RVV52R4AaABAg,Nice,1 month ago,Himanshu Kesharwani,UC0PZvcaPVYDwjPfbyNPYyXA,0,https://yt3.ggpht.com/ytc/AKedOLSfPdQEjR-IVG5-gc-wEfgxhncfsP197KaCRxRi=s176-c-k-c0x00ffffff-no-rj,0.0
UgzMjGomSIeYoFf3S394AaABAg,Jai mata Ji 👍 super hits song,1 month ago,KS-SERIES,UCMc3Gj6BQIjhAazva-yHfRw,1,https://yt3.ggpht.com/7O37i4fyUzkYIP83JBfq-HUInydYLhamwPXhnSVdzepYLWgQqfPpq_cFpudkK79TF0JvSNShzA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxuJ8hqpKFR8pxJRip4AaABAg,Amazing Song ❤️💙,1 month ago,Sarah Nishi,UCmvjTFTeLaZrrr9rf2L9LHg,1,https://yt3.ggpht.com/1fr8F-QodQQpb2Q70S-EB-YtMBHcHNyT_sdeTdX4ejPirtqA_Gp5gXPQ25W4HYxUOijnZRm89ZE=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwd3ZOVBvfJgZwUzZh4AaABAg,Na 💐🙏👍🌹,1 month ago,Ahmad ahil,UCcHtrMDfxsPFAa4SIB93kzg,1,https://yt3.ggpht.com/KlAHkYmm4Znhc3nw1P28Q0IbX2DiV55W2VqsDU_TBy_GoZIAqmSqcM_60wwlZlqt0Khcy4pmnQ=s176-c-k-c0x00ffffff-no-rj,0.0
