cid,text,time,author,channel,votes,photo,heart
UgwEtWS8XUC8afGslid4AaABAg,Theme rly feel like evil going around everywhere 👍,1 month ago,Nandan Mw3,UCzF6G55uhP_AYSGIW8PYRhQ,2,https://yt3.ggpht.com/CmmFjkCo7MKUox9y8cRUJGJZBJbaDhcBrqbfbWfXrnSNlEH_lNXv3yF3gT9uOAmCOUdNL7Ul=s176-c-k-c0x00ffffff-no-rj,0.0
UgwR9fuXzlKF_MRuPCB4AaABAg,A masterpeice...,1 month ago,Anirudh Tandon,UClaQUrMIT5R7hJ86TCusdxA,0,https://yt3.ggpht.com/ytc/AKedOLShVaTgs5gbQZOJNoQ-zPfmSVVw6iWUHN_lNA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwd3dJIlib88Fmwnrh4AaABAg,Recent repeat mode,2 months ago,vikram prakash,UC-594xZBveuCDbCa4HCaMSA,0,https://yt3.ggpht.com/ytc/AKedOLSoPuJ_4VY9uz-n0vBoMpDb4k4KpR-mFKdDzGZsXgs=s176-c-k-c0x00ffffff-no-rj,0.0
UgwE_qWHAoK9NSDt2ZJ4AaABAg,"your one click can change my whole life 🙏😭😭🙏,,,,,,,,,",2 months ago,G Chaudhry Sahab,UCPuzI2iKnaPF5VbtfOk_9kQ,0,https://yt3.ggpht.com/ytc/AKedOLSiCTuBzkshvyNrFtdjJ54rGGVicriSIJekZ-HE=s176-c-k-c0x00ffffff-no-rj,0.0
UgysYZLA2ZvjWpJr9kZ4AaABAg,"A LOT OF LOVE AND TNK A LOT BRO
FOR YOU FROM🇮🇶 IRAQ🇮🇶 . !!!!!!!!:""?
🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🥀🥀🥀💞💕💕🌺🌺🌺🌺 ااً 🧡💛💚💙💜🖤⁦♥️⁩⁦❣️⁩💘💝💔💌💕💞💓💗💖⁦❤️⁩p",2 months ago,IBRAHIM RỒŢэR ωỒĻf,UCyWovW5BthROanrtpGS52cQ,0,https://yt3.ggpht.com/ytc/AKedOLTc9N_cQ_Q5SBAxWtg-P4v-NofYmEp-k8LJvsG04A=s176-c-k-c0x00ffffff-no-rj,0.0
UgwHnW9g9vddKtTMh0Z4AaABAg,nyc,2 months ago,Clip editor,UCffvZvClOg1I9ID4xr_8BJw,0,https://yt3.ggpht.com/Dt7_npaEETxQAuVmiBTqBTgyJ-vOPFCZbP1lFTfXRakjv9wNVgAQMvGs_NFCURca3TiAFc0OYQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzwrjnQqZj5u_T4ChZ4AaABAg,Nice 👌👌,2 months ago,Himanshu Kesharwani,UC0PZvcaPVYDwjPfbyNPYyXA,0,https://yt3.ggpht.com/ytc/AKedOLSfPdQEjR-IVG5-gc-wEfgxhncfsP197KaCRxRi=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy1LcrVWAEB_9cg8Dd4AaABAg,💝💝💜💜💖💖💙💙💓💓💛💛❤❤,2 months ago,Indra Pratap Singh Chhotu,UCIoa8OhnS958Ou_ToCPg_IQ,0,https://yt3.ggpht.com/ytc/AKedOLTvBe4AqIN_9OPbmfxEtxEgkeINJUiF27L562iazw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw79Vw174ocr4guqrB4AaABAg,I cannot understand what is in this vedio,2 months ago,Dodola jm,UC-3wHJ1YCEkLj5LVQBS7q8g,1,https://yt3.ggpht.com/j-MqXFK_r8hlefqGLo_2GP4WyecAgD5CmV9aHvD5ITayGh_uHMme8U4WGPV0MoJ_OAM8Ffuulg=s176-c-k-c0x00ffffff-no-rj,0.0
UgykJ0l-H9z9LJbctyV4AaABAg,#drugofyouth ke upar banao be. 😤😤,2 months ago,Suzi Uzi,UCaa2DvuSnf5Bis8D-_ybWCQ,0,https://yt3.ggpht.com/ytc/AKedOLS8jl_NkTLUVFRNIfc34aCJIo-rtQtO5d5Lkg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz6rCu5mREj7b9W8rJ4AaABAg,Jai mata Ji 👍 super hits 💯,2 months ago (edited),KS-SERIES,UCMc3Gj6BQIjhAazva-yHfRw,2,https://yt3.ggpht.com/7O37i4fyUzkYIP83JBfq-HUInydYLhamwPXhnSVdzepYLWgQqfPpq_cFpudkK79TF0JvSNShzA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz30rHleterNjCtmLN4AaABAg,Beutiful video hai,2 months ago,S.K.M Official,UCBQK1wFl5ucoOmKd_176EZw,0,https://yt3.ggpht.com/0NyIBD8vYAVpIuQ5DTfMUrcozLZPTqcLLwWAZD8ykHoE6Zv_n57GYcM2vDs_nyoOFY_7wDP3pA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyOUGcUDa4C5hAqzRJ4AaABAg,Very nice video,2 months ago,S.K.M Official,UCBQK1wFl5ucoOmKd_176EZw,0,https://yt3.ggpht.com/0NyIBD8vYAVpIuQ5DTfMUrcozLZPTqcLLwWAZD8ykHoE6Zv_n57GYcM2vDs_nyoOFY_7wDP3pA=s176-c-k-c0x00ffffff-no-rj,0.0
UgytdTc6LEqGLYEDnpF4AaABAg,https://youtu.be/zMbv-TI8m7g,2 months ago,FF GAMING,UCsqCVhuUbcGY87KYUbfzMtQ,0,https://yt3.ggpht.com/kvXbFH1brO2Kx1THgnay1wPk6wLVgnsEEr58SEuXIftY_x6iMEuKTl485__aKs-rjeaCmJrydJ8=s176-c-k-c0x00ffffff-no-rj,0.0
UgwDJ_2cVkdGItMo29h4AaABAg,Amazing👍,2 months ago,Chahat Sharma,UCKMZhyQUE5amQ5V42oOdm3A,1,https://yt3.ggpht.com/ytc/AKedOLSs9VJFNOsv30SefzD7WXpK42-JI-mSKwPjSg4c=s176-c-k-c0x00ffffff-no-rj,0.0
UgxpRHslvQdg7yNKG_d4AaABAg,💔,2 months ago,Gaurav official,UCjmY1X0ZfLS3CjC0c1jsoRQ,0,https://yt3.ggpht.com/ytc/AKedOLSToCqRTkGSPUGONkm15UTOGlbN20EzoVUgXjyW=s176-c-k-c0x00ffffff-no-rj,0.0
UgwFkvPgMdK-RPr_vSt4AaABAg,I literally cried at the end ... why did saira sabarwal die 😭😭😭😭😭😭,2 months ago,Strategy Gamer_Ruman,UCpL8amqQQzveMnKlMerQGZw,5,https://yt3.ggpht.com/ZbENNKyPDoeB0emEYHYiUJO0I3mFm4BTbNMGqX_biaKzdTQjaatWwqIHE-_7H60iQjtjpCWv_4s=s176-c-k-c0x00ffffff-no-rj,0.0
UgxGeQxU7mP2jqSfVvN4AaABAg,"If I'd to go to see doctor next time, the feeling of terror and awe from doctors that Gauri Nath doomed my mind with would never let me step out of my door! 🥺",2 months ago,Pranav Sharma,UCUaWMz3gMfIIW9CDFVqMNqg,12,https://yt3.ggpht.com/ytc/AKedOLSVMzQMAFIJ6GqKoG0ZOrRgADjmigLLol6wDSNG=s176-c-k-c0x00ffffff-no-rj,0.0
UgwMs0jaWg6ytTJrNbV4AaABAg,"Finally 3 year to go my break-up and she never calls me.,.....now I'm trusted",2 months ago,Engineers,UCZ0dmjSuA-DXSvTuvsO4HdA,0,https://yt3.ggpht.com/mruFybTv6q62-ERvuCN94MsLLxWzJ1nQ3UF6OgG-3gn8uxuzGhsJLhdzD6rBX7wEdohMNqmCf5w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx2qETB_vsictBOHgR4AaABAg,👇💥,2 months ago,Sonu Sood,UCT_IZhTW7YAdS43BS3fGZSw,0,https://yt3.ggpht.com/YnsyrGC0LaCwe1lLxaz3wRUiVAMc9pweUzriKLP0XC70WeE-2Mycbtm5Gr6NtT9NbXhkvA32ZSQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwFkvPgMdK-RPr_vSt4AaABAg.9XjTd69A_hZ9_6CSiHjRZD,She was killed by Gauri Nath!,2 weeks ago,R U D R A,UCtXREDdn-CH2z6ho0MH0Epg,1,https://yt3.ggpht.com/ytc/AKedOLTnu-4naYACI6a0_ZBL00QJkEPcA_6CL0OVioPB=s176-c-k-c0x00ffffff-no-rj,0.0
UgxGeQxU7mP2jqSfVvN4AaABAg.9XjSQ-FE9Ve9XjYK-sxO7y,"So true ... but to be honest,  this is the real dark side of this profession...",2 months ago,Strategy Gamer_Ruman,UCpL8amqQQzveMnKlMerQGZw,5,https://yt3.ggpht.com/ZbENNKyPDoeB0emEYHYiUJO0I3mFm4BTbNMGqX_biaKzdTQjaatWwqIHE-_7H60iQjtjpCWv_4s=s176-c-k-c0x00ffffff-no-rj,0.0
UgxEGx7P9zKw133_5ax4AaABAg,Build your own dreams or someone else will hire you to build theirs...right or wrong??,2 months ago,ComedyCulture India,UCb2ISbjWRh0kTrFBdgVLv5g,0,https://yt3.ggpht.com/3WUA0V2gIALZj8pGs9-2BCnF3ydjd-M1z_GbIdQd9HI0IdeLCf70avJcbZ_S4D7w6urC8J-eLw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxp6Y0GrcERRLA7iwZ4AaABAg,Gauri Nath has my heart.. What a mind-blowing series ❤🔥🔥,2 months ago,Saral.K,UC7vO0oVj3zcOLKQPBz0zG8g,10,https://yt3.ggpht.com/ytc/AKedOLTZUYSi6zOCtWF61Rms_4jyaSrYwRWYwnjA93dHQQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgydeCiMPEV1txH1_Yx4AaABAg,❤️,2 months ago,Free time editing queen ♥️🤓,UCg34wd04z3mnY4ZvK8AE2yw,0,https://yt3.ggpht.com/UMDoQFrDhFHdh1AtK49J_W9uf2x4CajHF5quEvG3nMHq4a6KRXXiEnl-nnfU2YCueSINcvvH2ko=s176-c-k-c0x00ffffff-no-rj,0.0
UgydB8iiIGS4LcGJL4t4AaABAg,Respect,2 months ago,Video Fever,UCyC9JUItrG7JVNNjRGdIKoA,0,https://yt3.ggpht.com/zb6vc9y8Uk0QA3fJZX-l2KKuzkIG-ZUQvS--g7r2pJ1YeiF3WtR7mL0CwGsfpoFYO9QVCIbApg=s176-c-k-c0x00ffffff-no-rj,0.0
