cid,text,time,author,channel,votes,photo,heart
Ugwe-7-oSrdJ8OdIEPh4AaABAg,"Mimi (2021) Full Stream HD
⤵⤵
Son unos de los mejores movie.netizenn.one



los  mortales abian apreciado tan hermosa mujer  .

Tu..belleza.viaja.al.universo.se.reune.con.estrellas.
y.luceros...tu.mirada.enamora.al.sol.....
tu.hermosura.quedara.por..
una.eternidad. en .los.corazonede.
tus.admiradores......feliz
Navidad.y.noche.buena....mis. respeto .para.todas.las.mujes.del.mundo...saludos..al.fin.del.mundo",13 days ago,Nonon nonon,UC5juy2q6-RqNgm3f8etrIPA,0,https://yt3.ggpht.com/ytc/AKedOLSfb39B_oqPODVQvDs9TIZO-qrcld409b5Yt0-X=s176-c-k-c0x00ffffff-no-rj,0.0
UgzVHWa5uXeGCC2bipl4AaABAg,The new iPhone colour advert sounds like they used this music.,3 weeks ago,Zey Say I Speak A Lot,UCscALGDakzFY8ujkZxmweIQ,0,https://yt3.ggpht.com/ytc/AKedOLQWOnDaOmD-Q-oLbDSip5XCZ_rZAI2dj58No-to=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw9_-u8eVaid8z4xol4AaABAg,Woman body is unbelievable.... Giving new life,1 month ago,Dr. R,UC9UWaTEb_Vw61-i9zy5MkGQ,0,https://yt3.ggpht.com/ytc/AKedOLQqYjirdDR1o_4qZJZEM-EacmOqRL-HReqBrq_a2g=s176-c-k-c0x00ffffff-no-rj,0.0
UgxCpObr8TjmRwxoFO94AaABAg,This is best movie and best song,1 month ago,Mridula Borah,UCC0AEkFp56Pr5A1ceheBo3A,0,https://yt3.ggpht.com/ytc/AKedOLTen2wJD-BQVUV_g9kj1EXdW4KY8CXOcs-YsrMFICs=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx7CyyFdO9llFYLmOp4AaABAg,Woww.....😌,1 month ago,Sakina Khatoon,UCmr3zZFFpoTiqYX2Tw2LMqA,0,https://yt3.ggpht.com/DQdQGLGR63B9NhSdToL73KYJ5ZZrUAiYOxuDwRPhGEkq07E-O1X5E07LcRSgBDw5cUdiiCGk-Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgwMLFv8IK5WsFnv69Z4AaABAg,Absolutely beautiful ❤️,1 month ago,Kashish Saxena,UCHVS-JMMPsVAG_ol1D80H-A,0,https://yt3.ggpht.com/ytc/AKedOLT2xBJEkcVv7FzdVtLI7igfsC6vQ8_AEQKWw0bguw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwZ2NnSUvTTj-4hwm54AaABAg,Mom love is the best part of any child in his entire life ❤️,1 month ago,Kaushik Agrawal,UC4E5qux638XX061B6_FmC_A,0,https://yt3.ggpht.com/ytc/AKedOLSdMAntEcjlpV0G2iRAD0ty6ws5_u_GHZQdrA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwHJOTywhJdiydwq0Z4AaABAg,"जिन को भी ये गाना पसंद है, उन को पता कि संगीत क्या है | Great song ❤❤",2 months ago,Pratik Shendre,UCQYmVbIgJxtrffZaEvsyMag,2,https://yt3.ggpht.com/ytc/AKedOLRJs_z1CxoowVRwJtyzkyKUpN7QQQyHOoeBj2gMQA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxvtHXYMucn3eSdn-N4AaABAg,Is it just me or is the music remnant of Rang De Basanti...Tu bin bataaye Mujhe le chal kahi....,2 months ago,Surbhi Gupta,UChg1H38Loe8sgLlkViKtlWA,1,https://yt3.ggpht.com/ytc/AKedOLR-csxtQcvllpcJh1YF7_HoPLqxDCsX-3iA9MIpj0Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgxPZ1--vGD7DCP1I-p4AaABAg,Kon kon apna bachpan miss kar raha ha??,2 months ago (edited),Ayushmita Debnath,UCxd8MRCHzSeLZdHkUS9750w,1,https://yt3.ggpht.com/_X_qhTOLcR3DJY5j-QGLzUtjhk-g5BlS1Jt6d5MGtYBCFKwZVxKlX4eDEVq9UTfFBjDe10t3bg=s176-c-k-c0x00ffffff-no-rj,0.0
