cid,text,time,author,channel,votes,photo,heart
UgyAWZIoJAFRKttxJ0x4AaABAg,"If the sound track seems familiar it is because it has a huge overlap (inspiration ?) from 
House MD Soundtrack.
https://www.youtube.com/watch?v=Xa6JvxhHZMo",5 days ago,Neeraj Singh,UCra6IGUzdX25Mi7lcuEqoeA,0,https://yt3.ggpht.com/ytc/AKedOLSQ91v3E8RrwWcbdRmyDB_Fg4_UqEvsdAFKsx3gtg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwlabe0nmDUraQsLjp4AaABAg,Ajay devgan sir best Jodi rashi Kahaan i love you 😍😍😍,6 days ago,suhail siddiqui,UCO3D0hceSLd-BuR8zQp-ceg,0,https://yt3.ggpht.com/ytc/AKedOLStpzVl7UjTtv-x58k1irQDroS57U-N21uXbgWHlg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzUYpdmgKQYOAzcggJ4AaABAg,Amazing series',6 days ago,Paiman Sadiq,UCSr5r71SNkbs9Oiyz-YZH_w,0,https://yt3.ggpht.com/ytc/AKedOLRa-Cg8Rsnq-91gwhHBDyoZY807jWHwpieckk_e3Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgyhBw4T7oOAxIgekWt4AaABAg,"Respect this singer, I dont know why...",7 days ago,Deepak,UCHSgsw-sKfzMtEl2WEQ3QRA,0,https://yt3.ggpht.com/ytc/AKedOLRrD9w234HAMhuIYQIws2SJ6_RnxTTsn3v9KS0fpow=s176-c-k-c0x00ffffff-no-rj,0.0
UgzP712GOc48T_LseTp4AaABAg,Ajay Devgan is the best industry heroes,7 days ago,Vishal Kumar Pandey,UCVA6474EV0F67TqCsilYU2w,0,https://yt3.ggpht.com/oL8hZ-XKj296Mf7YcOUX9rBk5XQakZkXXDxlHd2DQcJuxDsE3khVzJJVQLNn5fpu5xQFmsYE=s176-c-k-c0x00ffffff-no-rj,0.0
UgzKZ9eo7e6Df62K-_Z4AaABAg,.,8 days ago (edited),Prashant vlogs and more,UC8gZAldKuu4EN7SMAsbps3Q,0,https://yt3.ggpht.com/n6-NdnXPwYh2RlWfsf4H9oZRPT303HDJkO8sv-ESGKQPwzdl-IjtqR8_lNZO7PSaJYx6j5SY3os=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz9QojJ-LRIGiPUq-B4AaABAg,Raashii Khanna  and Ajay Devgan ke jori mast lagti,8 days ago,T-Series comedy,UCYwU3N0DUkUZo0AnZd8R_lg,0,https://yt3.ggpht.com/ktS2DewPsBG9Gg7M6JFDRgz10rM7KvdWLCLASVhE3SV4F3gMXxqxKXjvlJ9t7DjkT56XmPg3aM0=s176-c-k-c0x00ffffff-no-rj,0.0
UgyXDBkPl-nhDheJZfh4AaABAg,"We manufacture automatic CNC machine door and window frames, gate, stairs, stand, shed, and manufacture object of iron and steel.",9 days ago,KANCHAN STEEL WORKS,UCeZXSpmsuUxUFS7B_EAgsEw,0,https://yt3.ggpht.com/ytc/AKedOLTqJeUqIIM-W1vz8w2gSE01l74VxIfYPqzSzy_zgg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyFo_pb5eT3An2DgHF4AaABAg,Nice video,9 days ago,Jackson Fernandes,UCXFwtnepe-2JKZHl-H3TM-Q,0,https://yt3.ggpht.com/ytc/AKedOLT4Q_yhj4doGc0GRQeQliRutzAbopNEQ9pJkA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyxSSSFBW4SKGAFwPZ4AaABAg,What a voice !!!,9 days ago,Md Mahmud Hasan,UCdeCk3I9ioi7yAB93O9f4kA,0,https://yt3.ggpht.com/ytc/AKedOLR7tgMS9tXPxBijcbaPgj3LO3wghlxAZ7ZnWIbH=s176-c-k-c0x00ffffff-no-rj,0.0
UgwdM14O_ynsfFHIyad4AaABAg,"If you came here finding the theme song, you have good test of scores....",10 days ago,lalit Mehta,UClHxEFHscFmadV0FeFpdTTw,0,https://yt3.ggpht.com/94nK9dlh_B31xkylt0bwKn8fZhTx-_EsrV6j2mOI-K7UhG14nEBoXOgJ9J2b4Mcj81gH-0I30B4=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwt6FZTZgfMWGD9Qs94AaABAg,"Lovely👌👌👌,Superb🔥🔥🔥",10 days ago,Makarand Kagwade,UC2mlSOMgjU41O2wvfsgpfKA,0,https://yt3.ggpht.com/ytc/AKedOLQxKpvM5ViSG7zYFj0q1S6nQfDinExUpjurSfJrWQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw8c1qEGJrhSk3ALGp4AaABAg,Wow❤️❤️❤️,10 days ago,Makarand Kagwade,UC2mlSOMgjU41O2wvfsgpfKA,0,https://yt3.ggpht.com/ytc/AKedOLQxKpvM5ViSG7zYFj0q1S6nQfDinExUpjurSfJrWQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyh9Dlo1R5znkh6MH94AaABAg,Beautiful Song💖💖💖,10 days ago,Makarand Kagwade,UC2mlSOMgjU41O2wvfsgpfKA,0,https://yt3.ggpht.com/ytc/AKedOLQxKpvM5ViSG7zYFj0q1S6nQfDinExUpjurSfJrWQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgykZubgLFMT3tBSYeF4AaABAg,listen to ar rahman song dont waste here,11 days ago,Cars Addicts ,UCNowevdb9_Mfbzu-FsXrieQ,0,https://yt3.ggpht.com/Jh3OoxBPWOCpvv9gV9eD3di3oEheOtFvYGucUXlCBkAEVnXsfuhWdSg_W-AIwA47ajAedpoOJQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgztEpEwIVeEiXPttgF4AaABAg,Your attitude is alluring ananya💚,12 days ago,Hungry Bachelors,UCzZNt-JERCmKjJW-u9FfoBg,0,https://yt3.ggpht.com/ytc/AKedOLQxBNhze8cR8tJmQ3pgfqo7iZ2QyfEYtdl5QiqY=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz_JmP7SXN0tc2h74h4AaABAg,Her voice is just at another level 😘😘 doesn't match with anyone,2 weeks ago,Paavan Jain,UCRl3XWZWBKcY54sOzk0H2vw,0,https://yt3.ggpht.com/ytc/AKedOLS3fKCqPFPNOo4wlZWynXFGGhLY9mDVtY3q=s176-c-k-c0x00ffffff-no-rj,0.0
UgzsinSPSHKSEA9hczt4AaABAg,Superb,2 weeks ago,Bharat Kumar Nayak,UCrpxZlAaoD6-TXRQOKRCOLQ,0,https://yt3.ggpht.com/ytc/AKedOLR5M0Jyp_ttmZscbcaOVX6iHPS2rtkbbIvg4ank=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzbs0kP8ns4qGlomlt4AaABAg,"Ajay Devgan the best , the perfect person to play the center role in this web series. He is still the best actor of Bollywood",2 weeks ago,Kapil Dev Panchal,UCYjPwzjVj-xJZD6RpfJI8vQ,0,https://yt3.ggpht.com/ytc/AKedOLQyuIk1AxSMEMyLcightkKiybHxSZZSOGVTyAqtQQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy-ZPQBUrv-zWaBpeh4AaABAg,I finished this series yesterday and now this song is stuck in my mind.  Amazing voice and beats are killer. It gives me goosebumps with full volume. And this series is amazing all actors done a fabulous job 👏👏,2 weeks ago,ASV Ana,UCYVY2f1i_zCQT9nTEgLodTA,11,https://yt3.ggpht.com/ytc/AKedOLQGVUYmx7OGKCvQsXXXVop2U3sNIvdi80XCG2kR=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyb9Zn7k8zouV9z--R4AaABAg,Admire,2 weeks ago,Kumar Mangalam Birla FC,UCNPjmPajmaBF2jD2SrhxkZw,0,https://yt3.ggpht.com/ZKmZFo6ItoqBNUadxFoFt4BMe_nkx2dDK5yThMcVweKZFqJJeWYuRNHrWzZRMda42WQnE8lRxI8=s176-c-k-c0x00ffffff-no-rj,0.0
UgxVdfq4rPPeScsPDPp4AaABAg,"Rashii Khanna aka dr. Ayisha very cool dude character
Starting me ajeeb se lage but end tak ache lage",2 weeks ago,Yogender Sharma,UCgu0m6bB1rj9hILKaCYiDwQ,0,https://yt3.ggpht.com/ytc/AKedOLSyP5q18zCCAskmwsYHCIats5XEp3HHJhMRN-T644E=s176-c-k-c0x00ffffff-no-rj,0.0
UgzdNVvHyAGZPVd9ORl4AaABAg,"Ajay Sir Great hai Dil Se Acting Karte hai love you Sir 
You are best ❤️",2 weeks ago,South movies Aj,UCpmMJy1tIBaFnxZ6JX3dzhA,1,https://yt3.ggpht.com/3RddZywoQlJSpOSiDviXAHitJeH1hLkJl_XeVqyDL_Fs48luQm36bbWh_eyoTd6w_sPLNcz5pw=s176-c-k-c0x00ffffff-no-rj,0.0
UgygbV3iGAx1vsdp1I94AaABAg,How to add surname as *Birla * 😃🤔🤔🤔,2 weeks ago,BCP,UCUswCe2uvvy0VBkPT06VUxw,0,https://yt3.ggpht.com/ytc/AKedOLSiEhH53VvhtV_NF6RjascWwwBxxprjQhYCvA=s176-c-k-c0x00ffffff-no-rj,0.0
