cid,text,time,author,channel,votes,photo,heart
UgxxjfDNe-URuUxi2YR4AaABAg,Ufffffff 🔥🔥🔥🔥🔥🔥🔥🔥🔥,2 hours ago,Unofficial TAnmoy Adhikary,UCdxHpl6OUI0WLxoPtPHfKrw,0,https://yt3.ggpht.com/jRkJDfeUxV8_Z0k85o_IC0JAPmyZsaGIAH72JZVDxhJbaTrKlSIkFLHjLjDKp02wx7C5CokGvQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy6hqe8gHyQEzgr9rd4AaABAg,https://youtu.be/Mrg7ajxzQBU,9 hours ago,poonam Singh,UCicQflu1UpbbEqBObrfKyQw,0,https://yt3.ggpht.com/RaQKj11vY7B02VvVh3SQ4gqSGhilkcbigtHWxA-PLuxKW1Oo1ShuYStA_O-3NzH7eIZWrVbMBSg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzaZUQHdArPD0YxoxN4AaABAg,"Paji mere sath bhi aisa sapne wich hi haunda 
hai 😂",10 hours ago,Aman Prabhakar,UCKgSt8zVyiZxsjznqfFEWwg,0,https://yt3.ggpht.com/ytc/AKedOLQ_iEpgqsZsE5mc8XnK-6GxKb-4C7_IskIIZuy7BQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwLfDWF8m4lsswaT2B4AaABAg,Wt a vibey  song ❤️,13 hours ago (edited),roronoa zoro,UC1v0SD4C0Mk8NapHFy9fCHw,0,https://yt3.ggpht.com/Hr50rw3I6i7no8Ba3VSz78Pab7Dm-WluSj6fEzaprT-HrMJDv_CWBEpvacoiLKpYQ4RKg1Mc=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyg5smCyjXkp9E2t1J4AaABAg,https://youtu.be/pKSeRoDy9JM,13 hours ago,poonam Singh,UCicQflu1UpbbEqBObrfKyQw,0,https://yt3.ggpht.com/RaQKj11vY7B02VvVh3SQ4gqSGhilkcbigtHWxA-PLuxKW1Oo1ShuYStA_O-3NzH7eIZWrVbMBSg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzM4aJT-fBuelxKdQ14AaABAg,Deep khalsi ka APNA channel h koi. ?????,13 hours ago,Priyanka Dogra,UCD1iq-2RsEMPdFI9wWOVb0A,1,https://yt3.ggpht.com/ytc/AKedOLSzznC5XBpa4dcMadd3_X1Q7E1DBktAfzy6rg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxMILesqzVv3FPmq3h4AaABAg,Very nice 😍😍😍,17 hours ago,Choudhery ji,UCpyt0cTKl5Y8kKdoppwZACg,1,https://yt3.ggpht.com/rB9wLPwb0wBT6xKQCFOU4c2bTEWwRxecIdnVcSUrNpKTSNhaxa5HIpEZ9r-DlrtVO6U0OEx_ig=s176-c-k-c0x00ffffff-no-rj,0.0
UgyEgTkWMyOJRYtddZJ4AaABAg,"😀👍🇷🇺🙏🙏🙏🙏
    вай Гуру🙏🙏🙏",1 day ago (edited),С К,UC6r9CJD6TXCEPLndBixXFYQ,0,https://yt3.ggpht.com/a9zvBfxqQe2C8FCJZLSCGLzYbDuBc9oOx0T1d3EITHcnka-IiOeN53_ivYV_dW2915-zm-ajvMg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx_0SCxBByUU62KkLx4AaABAg,#kalamkaar,1 day ago,Jhalak Gurjar,UCtIpISFDeYiwSQs7fwWJ3wA,1,https://yt3.ggpht.com/ytc/AKedOLR0vs0UJ7_hR_JWTMyCBCWauQBYA7h05sCcc6r_jayurouUiLTlzjH_maFhN7jb=s176-c-k-c0x00ffffff-no-rj,0.0
UgzbQtZ8EtT4AErTv614AaABAg,Uff isha ❤️,1 day ago,2AM😈,UCO5H1xNlRW45R73J9haO3fQ,0,https://yt3.ggpht.com/aYDP5cF2XaKQtVzkHqpszndZ3M74uWlzkUUEAV0RslJ1_1uEP6RaF_fgY5qLLyfRMSzn7YFaht0=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx6uAOkxBDhVol8Vvd4AaABAg,Vibe ❤️,1 day ago,2AM😈,UCO5H1xNlRW45R73J9haO3fQ,0,https://yt3.ggpht.com/aYDP5cF2XaKQtVzkHqpszndZ3M74uWlzkUUEAV0RslJ1_1uEP6RaF_fgY5qLLyfRMSzn7YFaht0=s176-c-k-c0x00ffffff-no-rj,0.0
UgwcLK5qXVryVBcgW3Z4AaABAg,Deep my man 💥💥,1 day ago,Desifire,UCGXvuWYpcE13psu7POpUNVg,0,https://yt3.ggpht.com/ytc/AKedOLSRgmnQXj_RmyOnILZZ_h0H7ZIDmpqdJR9iHt3q1w=s176-c-k-c0x00ffffff-no-rj,0.0
UgxGVyeAtoSO7K83Hmd4AaABAg,Att ❤️,1 day ago,2AM😈,UCO5H1xNlRW45R73J9haO3fQ,0,https://yt3.ggpht.com/aYDP5cF2XaKQtVzkHqpszndZ3M74uWlzkUUEAV0RslJ1_1uEP6RaF_fgY5qLLyfRMSzn7YFaht0=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz2IlWdvHPbBId3r1l4AaABAg,जो भी इस कमेंट को पढ़ रहा है उसके माता-पिता और वह सही सलामत रहे उनकी रक्षा के लिए मैं भगवान से प्रार्थना करती हूं कि उनको सदा सुखी रखे🙏👍🙏👍👍🙏👍🙏🙏👍🙏🙏🙏,1 day ago,100 💯 sabskraib chalenge only 3 video,UC4gXT8FxroG6X61-p7zdXBw,0,https://yt3.ggpht.com/AgDMwETC6qRwX6WnHMviT0wiLKUKY8xqM-SAoDW3TDJEYBOpJqVD54zSiOEZWYvzKSY-JLCS5w=s176-c-k-c0x00ffffff-no-rj,0.0
UgyV_-Ca1ZxHC2LYoAt4AaABAg,0:47 that step ❤️,1 day ago,Aar Kay,UCqEr_Mom-lR0VKOcduOjiag,0,https://yt3.ggpht.com/ytc/AKedOLTT5I9Swzc0kHMwcIhkLWjJIBr0GG5NQWmmvBszNA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxeHcSGfDOQtdpll9N4AaABAg,Nice song,1 day ago,Pooja L,UCfTSEuAo20j0JCrblepDkZw,0,https://yt3.ggpht.com/ytc/AKedOLTFi3DAAW_IvVynb-x1VH3G9Yih_r0EiR4ZwDfxbEYxDg7J3oyM_Rukzk0BXMlZ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyDUecuZlypy8qz9PZ4AaABAg,Cute song❤,1 day ago,K Bolina,UCfs836BWIkx1Gk9uJxHTuJw,0,https://yt3.ggpht.com/ytc/AKedOLTyTD8QNLoNB9bIhU4YI-g-R7J562bahWcdxg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz82dWQD-NdfCwrIkp4AaABAg,"जो लोग अपने प्यारी प्यारी आंखों से मेरा कोमेंट पढ़े भगवान उनके माता पिता को लंबी उम्र दे | love you mummy papa
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤",1 day ago,Aaditi choudhary,UCPnRCk0lWvDtEDX52ZwDAag,0,https://yt3.ggpht.com/FiDJp_byJlrrGiTGja6YFOFZ1opv_NBN9kycCb8Ywmdvd6SsoCOThXs6wOASbhsGdMdL5cDp=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyeiroh4txs-H-rq0V4AaABAg,"I’m in love with this song ❤️
Love from Afghanistan 🇦🇫",1 day ago,Banafsha,UCBm2U1ehTYGa9P1GxwGzh9A,2,https://yt3.ggpht.com/7ZsplvbRrZheGR3mfeSvPyKqyq5Mj7Ijxz22Z4xdvvQD4MxCn8iRUBOP7Wz9Q4bTejeRsz76=s176-c-k-c0x00ffffff-no-rj,0.0
UgynLX_TuM-nv4BrEiN4AaABAg,Isha sharma 🔥❤,1 day ago,Sunny Singh,UC4ZAsTgjZ_A7nlTZxG_Qyqg,0,https://yt3.ggpht.com/ytc/AKedOLTLfpUuD74LMu4WnX9i20saDVB0tVWKTfZo12EQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw9OeSTB62HpvzOtMR4AaABAg,मचल्लाह I like this song,2 days ago,Bintah Thiare,UCp9uWzshskTpFv6XPLUdj3w,0,https://yt3.ggpht.com/ytc/AKedOLQQqscDEIYt9hB2dIkXngDnlz5pK_3PZ7SVAmSl4jDgqzIs3z37AxcYski8LzED=s176-c-k-c0x00ffffff-no-rj,0.0
UgzTTKM2Yajn40fKP5d4AaABAg,Only for Isha Sharma,2 days ago,Mjutt records,UCO50n11ZIbstVtS32G2YzPQ,0,https://yt3.ggpht.com/Frk2PvkZ4fCLUWktWWwlndRyvhyTQ1Hf09LWiYJtcQtWneNVBjGkyF13SomXEtY9q2X4OqHT=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyh5LCr0oBddt8iyBF4AaABAg,Waah,2 days ago,Teamsofficial,UC0AkIU65SXDsxHgjRZTjRFA,0,https://yt3.ggpht.com/fHM0sLagLSQdNLKOGqsboMBLqe3lmrLgHDRuHCEKHfImNeMaTjmdHt_YOYAxTteEFnxQbqGS=s176-c-k-c0x00ffffff-no-rj,0.0
UgwEQ8BemOPu2vvZA-t4AaABAg,Deep Kalsi Soo Nice Songs 🔥🔥☝️☝️🤙🤙,2 days ago,Akshay Music,UCrqWgxryBJCf3V8BTKYW74Q,1,https://yt3.ggpht.com/3Z9-PAYWIzDtR19vLKSAEc2zt1clcYVjnpeGeU6nvR4Hx0Fm9kDleS1Nk8emQhoWoTQLUL-zOQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwEFWBxPTo649GJg4l4AaABAg,NEHA KAKKR IS SONG KE AGEH KUCH BHI NAHI H .😂😂😂,2 days ago,Priyanka Dogra,UCD1iq-2RsEMPdFI9wWOVb0A,1,https://yt3.ggpht.com/ytc/AKedOLSzznC5XBpa4dcMadd3_X1Q7E1DBktAfzy6rg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxNesSsfJ_Xz7K1QmF4AaABAg,Is gaane me kuch toh h ek dam nache k mann karda tha h,2 days ago,GT,UCR_o8C9E00zjU6r5IrII_5g,0,https://yt3.ggpht.com/ytc/AKedOLS_Pemls7co9Oz529hVFRE88JrzODMdhjcEE1k-Gw1if7PSranuCcvVwW-5ia91ng=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz-aWUBx0OV7hTObAZ4AaABAg,❤🤘,2 days ago,Saksham,UCuNB-qKp3BPR20MBctA7mlA,0,https://yt3.ggpht.com/ytc/AKedOLTUIXIcGsyYKdC9WjbvcdhOA3H9CtcH5vU2G9GtGA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyvSHzsMz5k6RXfTvd4AaABAg,Super👌,2 days ago,Sarvaiya Piyush,UC8lwJko-Yv50Se9Cru5Qo9Q,0,https://yt3.ggpht.com/ytc/AKedOLSXZcDBO8Lz6zuC0YkO3KwIRYpYIEDYxraWvw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw2A5wkpOC7eoZU8iB4AaABAg,Cute expressions of actress with gud choreography along with great voice,2 days ago,Hari Shankar S,UCvHf2rh1VRklpuCfPvR8Klg,0,https://yt3.ggpht.com/ytc/AKedOLQhSGCMAukR2nf_p4cGiGSaF1y69ZIoAIKH8gslKzG-lhHNvA15t0h8cgXvndJ3=s176-c-k-c0x00ffffff-no-rj,0.0
UgxfbBVKR1oNAwGWJg54AaABAg,😍😍😍😍😍😍😍👍👍👍👍👍👍👍👍,3 days ago,Ar man,UCsTX3dxHHBvMJonC0xaNuNA,0,https://yt3.ggpht.com/ytc/AKedOLQgESnUUKGtla-3fVUbbHmY2CCNFyiL6_W2tdx7Z2RBNv2sriix7nbs-Sf8vpZM=s176-c-k-c0x00ffffff-no-rj,0.0
UgxY4-yQtzh5El4s16F4AaABAg,This is my faveat song,3 days ago,Avinash Mishra,UCE4kc1Pz4YsdaBN75b_ZcjA,0,https://yt3.ggpht.com/ytc/AKedOLS3NcvJ3VFEseENX0jf3OVpftUfAO1s0rmnXg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwQ8VJzFu-B-7AGAs14AaABAg,Kya gana hai. I love it❤️,3 days ago,Sayan bhai,UCS_pH284AsKRraYTz3Ru1YA,0,https://yt3.ggpht.com/EqG957A_zEG04Ct3dypkUIbBF8RF2MgqY1rEq8h7SJ4bPeStWrvuGC3ZrOKktFwgNzwJmIiKKRI=s176-c-k-c0x00ffffff-no-rj,0.0
UgyOWgNUaix2lxyIq0d4AaABAg,💯🔥,3 days ago,Mani Manjpuriya,UCosygYBTu5s53TmOSVVzaNw,0,https://yt3.ggpht.com/ytc/AKedOLSqd00Mwtbpp5R6ObaBvOHXjhkK3Opj3ynxSkkzyA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzIJvsr9iFmErrQiIx4AaABAg,vibe :-*,3 days ago (edited),Mir Hamind Khan,UCL4-bXbgBUMZAumvvqxmCDg,0,https://yt3.ggpht.com/Em9ju9K-qP2gmnrrRM4Li8DQzx9h8BQm5nYGYwoln-TT5IPmT2am5UQzqNjwXQrU9smEfmu-zA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyz8YajPN-rCM9OXWx4AaABAg,https://youtube.com/shorts/eT7PJGLz7ww?feature=share,3 days ago,Online shopping centre🛒,UCbGos-o405XAaDukMm2dJkw,0,https://yt3.ggpht.com/-ccOq7TdJh_8NWGXY6EwKXvZPSPYEUGeztIy1T4yIbG8ObT_5tA8f-W2I71dfeh4UUcAU7lq2Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgyeQQwCycT3o7OUQip4AaABAg,"Love from delhi 
Beautiful song ❣️❣️😘😘😍😍",3 days ago,Tamanna 💖,UCSGQlv1F3xKw3zlztN7FpBg,0,https://yt3.ggpht.com/0M54X9H_LvLifoFY9X0CSU2kn1Ie2adgsP-odLbADoUfnAAIlk2ALpfp3vPCWNgG_Y4tPVyH=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx6xuem52T6yfgBxIB4AaABAg,5m,3 days ago,alone Boy,UCDLMg5epJYyLt9S1c2pPhYw,0,https://yt3.ggpht.com/dh62WMPok2ie7pMqiO7I3ikhYfynERJrR4t6MLE09kE6Rc6M_s1nchWUmT4RkdbuC8Dc0_Xe8Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgzZQr4lLhLK2wcWp8d4AaABAg,"0:46 - 0:57 best part
1:06 - 1:16
2:06 - 2:25 
Traditional dress looking awesome.",4 days ago (edited),Dark Phantom,UCypvh0R5BRqKBjrqCmBpgsQ,0,https://yt3.ggpht.com/ytc/AKedOLR3zVW3rHOCACUDG8AVq4A38WEoqDWwV3v7ImyDow=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxi2ywyFwP7aLB-Fq94AaABAg,Wow👌👌👌,4 days ago,MUSKAN Kashyap,UCxxbFQIS6_Nnon25Y90fcNw,0,https://yt3.ggpht.com/ytc/AKedOLSOEazMx0yzUFTBKF1Twzh2rj4pBbLCZO9D7pXO2_EJTSzTHMt1Ops-ngzguAQr=s176-c-k-c0x00ffffff-no-rj,0.0
UgzLbcMhJk2L4MrSBld4AaABAg,Looking great n song ❤️❤️🔥✨,4 days ago,Parikshit Sabherwal,UCcDQfvZQXG4wlVrDv2JfU7w,0,https://yt3.ggpht.com/ytc/AKedOLTxY6TKufPfYFg_eX4fq7rEsT2OhUe0jVLlbcC9=s176-c-k-c0x00ffffff-no-rj,0.0
UgzE0ZFjLiJn5UYAtn14AaABAg,Sony tu bas gande gaano ki marketing kar isko nhi failayega,4 days ago,Baba J Cole,UCR0JKXVUWYxn_w0Ot_vSMWw,0,https://yt3.ggpht.com/7SJPSQBqN1IlCJrcE209mE8u1q_4RHZPK59tNAeCddPvxNonjDlk0Pj_1W0OTanNLQcYqISUJg=s176-c-k-c0x00ffffff-no-rj,0.0
