cid,text,time,author,channel,votes,photo,heart
UgzX5pVR-2wlk6_oN8N4AaABAg,One shot song..,4 months ago,MKS,UCjV7d7HDRcVxvylf7C7QYMg,0,https://yt3.ggpht.com/ytc/AKedOLTjLA-BQb6Pay0m5Xw1GNigJ2QWTs0N3_E6rMsQaos=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwz4D8e0a7Smq3okrZ4AaABAg,https://www.youtube.com/watch?v=Zji31w8gZq4,6 months ago,Siddharth Kamble,UC7VldLvixnQex6ogbbgRsaA,0,https://yt3.ggpht.com/ytc/AKedOLQMNY7POR92vQL6W68PMC4SCTsASk7glDNDXA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyuhLofoVIuB2oapGx4AaABAg,https://www.youtube.com/watch?v=Zji31w8gZq4,6 months ago,Prasad Patil,UC91hyGViwfEGaMZOwTrKzNA,0,https://yt3.ggpht.com/ytc/AKedOLRko6jsIh5JkfiHLClGguRGOVXvY5qMsdPzjXQ0Fw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzQJQqK-uJ_7n9j5ON4AaABAg,https://www.youtube.com/watch?v=Zji31w8gZq4,6 months ago,Shubham mahajan,UCPgtu5v5rgwDzG78-zPCSYQ,0,https://yt3.ggpht.com/ytc/AKedOLRZ22ibY2kz221_l68Lumf1o05vgkBvFSoLRw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyIMg48GVtUFoFJsSp4AaABAg,https://www.youtube.com/watch?v=Zji31w8gZq4,6 months ago,Saurabh Mahajan,UCSpvn5wzCJZ_byOS6NWWgbQ,0,https://yt3.ggpht.com/ytc/AKedOLTzXqP0WoV0nDby1QTanguDkMzNKxtYwmkuNyrPLuBSOzNe1BB1Hd_yG8yLwfHb=s176-c-k-c0x00ffffff-no-rj,0.0
UgyCJ1wYQwGoRsaiMpJ4AaABAg,❤️,6 months ago,Ramshida Manaf,UCAJgSyHaVFvXafdn6SgBYxA,0,https://yt3.ggpht.com/rkAKNpm2EoAFze9VsVwkQzgPrB8wTXbcr1J9RF9vkJasrw4edpvtRB_MlBEucep_sQsHKWsz=s176-c-k-c0x00ffffff-no-rj,0.0
UgwFBXpWCUbPlbkBJPR4AaABAg,👍👍👍👍,6 months ago,Flavour of Home,UCTPdvNrcmRsiJk7jV8yOXWQ,1,https://yt3.ggpht.com/ytc/AKedOLSo-7LKCVJZe4nwbYHXf75ozAcKvrgu9PPimg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzGS00YmDgCfuUNuzN4AaABAg,Nice,6 months ago,Jasirashi Jasirashi,UCFAnRQ7PD_f49FWXBnEqDIw,0,https://yt3.ggpht.com/ytc/AKedOLSyTQve7fnw42R-JhnC1P0PGeASj5WXCkYUuQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwx2aCEjpqQjdZc8zV4AaABAg,https://www.youtube.com/watch?v=Zji31w8gZq4,6 months ago,Siddharth Kamble,UC7VldLvixnQex6ogbbgRsaA,0,https://yt3.ggpht.com/ytc/AKedOLQMNY7POR92vQL6W68PMC4SCTsASk7glDNDXA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw4WoWA0YapAeg7n2h4AaABAg,https://www.youtube.com/watch?v=Zji31w8gZq4,6 months ago,Krishnat Kamble,UCGf3_JX3bylB3eP7OIcOhIg,1,https://yt3.ggpht.com/ytc/AKedOLQtjo1-nzwiFQACsLO-BURaUQ4ktjBCnE3gukatEQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwN0QW3leJ1KaRYAlx4AaABAg,"""THANKS FOR MAKING 250 HOPE YOU WILL MAKE IT 500""",6 months ago,Saffron,UCE5SW2U9xWlH9JGg0eVrGmw,1,https://yt3.ggpht.com/mJW1Hq6dxUcG4JDB2mSJik70jqKJlfdo17228PSyB2GfFrhNAUz-gH2fpMOKuH0Yoqbe4GE=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy4Rt0dd58Gy0zLB2l4AaABAg,Wow,6 months ago,Empty Vessel,UCJy8DKt3tAeR_JcxAoYz31Q,1,https://yt3.ggpht.com/a8OwlhUCxMkzF5UJ4hxqVYTbik_0BdkLhsgXvferekQ8cgHVstp30mYWVwEpYdBYmmAC0sF_Mg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzJXQLISj3vEUMcR1d4AaABAg,https://www.youtube.com/watch?v=Zji31w8gZq4,6 months ago,Rahul Mahajan,UCbGejg6YGQg5FhWYlvV7N_g,1,https://yt3.ggpht.com/ytc/AKedOLSR3BOwhIH5F9rg25LrWe4j9_3GyeQGesSQfxmS=s176-c-k-c0x00ffffff-no-rj,0.0
