cid,text,time,author,channel,votes,photo,heart
Ugz2xtA0p0DmlpAN5zF4AaABAg,https://youtu.be/dlGeT7IoJoQ,3 weeks ago,Manthan Rane,UCk7th6401j46TcSKnNeBKzw,0,https://yt3.ggpht.com/ytc/AKedOLSpEFQFszxd3vQW2qPnQdr78f1k3O8q5D4maMlv2Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgwjtazxZ_-Rjz89CdF4AaABAg,So smoth so loving this song is the best of all ❤️❤️💯 love ur voice ..love ur song .. love u ❤️❤️❤️🥰,1 month ago,Nikit Chaudhary,UCEREbqiJcAiqxLbnM8hKq8Q,1,https://yt3.ggpht.com/ytc/AKedOLTKKzw6vB8g68oaLswvCDaXzjxFqH7M0EfPQQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyjjRL5E-uGH7Ngdw14AaABAg,Subhanallah Satlaj ji😊💐👏👏,1 month ago,Shikha Shukla,UCVcqHSMs5lMXGWlseSJZk9g,1,https://yt3.ggpht.com/rP83uPPPmxzF_4ayhrB6JiQ44Qh9CWbLoUIegkV3Bl_IzzsnyChMcFQBpcZ5bukNlQzailbBAQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzGDnXQhBA659UEFcd4AaABAg,❤️❤️❤️,1 month ago,LOUIS VARGHESE,UC5-L4SX3MZ6K_suRT0jihTQ,1,https://yt3.ggpht.com/cZopUee9pIvFZ7qTsroM7T8J9qdOH3U55FoZub2nIG47FEYEe99N11ApWG5QM3luOvvVLBfAuA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx4kJRXBW4hYQ1yVex4AaABAg,"your one click can change my whole life 🙏😭😭🙏,,,,,,",1 month ago,G Chaudhry Sahab,UCPuzI2iKnaPF5VbtfOk_9kQ,1,https://yt3.ggpht.com/ytc/AKedOLSiCTuBzkshvyNrFtdjJ54rGGVicriSIJekZ-HE=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw6hK8RDN9eY84ElOF4AaABAg,https://youtu.be/ugPqimAU1Ss,1 month ago,Rajesh Singh,UCDfwDaI_4REK9K98NhOE1LQ,0,https://yt3.ggpht.com/ytc/AKedOLRFmE352PEmgugx7yjxbdtYZhMLPle4Oa-R_sYxqRB2W6vxfXfI2CUjCxteY-Wb=s176-c-k-c0x00ffffff-no-rj,0.0
UgzwWwWKuBtyxxMCZvZ4AaABAg,https://youtu.be/ugPqimAU1Ss,1 month ago,Rajesh Singh,UCDfwDaI_4REK9K98NhOE1LQ,0,https://yt3.ggpht.com/ytc/AKedOLRFmE352PEmgugx7yjxbdtYZhMLPle4Oa-R_sYxqRB2W6vxfXfI2CUjCxteY-Wb=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw9Bcwoxv2mL7jyP5h4AaABAg,❤❤❤,1 month ago,a.r.t. holyk,UCjbPqC8yseU3I-gHyO4OMIA,1,https://yt3.ggpht.com/ytc/AKedOLSnDBeePSYH9yU2GuNT8YZp-C_faVR4HBj5kf2Y=s176-c-k-c0x00ffffff-no-rj,0.0
UgxhajwzwKkakA1xHut4AaABAg,Kalamkaar parivaar🔥🔥🔥,1 month ago,Asif Roktim,UCpDUVlDLExh73l-_XMlgRig,1,https://yt3.ggpht.com/ytc/AKedOLThxN7SoQqH5LQBVbUtmm-JZJn4ZYYGhnk_frUQvWVlYI15x3Gu_ZTjQ3GS2uVT=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz4FRHfaty_c7DSMtJ4AaABAg,Super video song hai guys 😘😘😘,1 month ago,Parvej  Patel,UCLTl24EViVPYp1dGwwi2yQQ,2,https://yt3.ggpht.com/SiSZuFk7A4rBtbPzH8ap_2V4nD-9G5oTPaeqDICTzJeV1ezWdBIeO8Ms3SA-yeoEImsVF_8CAw=s176-c-k-c0x00ffffff-no-rj,0.0
