cid,text,time,author,channel,votes,photo,heart
UgxkMesXdzHxhLEAG3R4AaABAg,"It was an absolute honour for me to sing for Shershaah, I hope my blue family and everyone who hears it loves this song 💙",7 months ago,DarshanRavalDZ,UCzAn-hBNSTjX-QMnHASZFfA,76K,https://yt3.ggpht.com/ytc/AKedOLSeyMTYm1U6RFznQcPRO9TGdBlBrcP0_YsKu9VItw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwkV-JYzwsCvBvinet4AaABAg,i miss him 😭,2 hours ago,OP~Gaming,UCgfIlIFZSW7T--LVXHh1ecQ,0,https://yt3.ggpht.com/mnGEcx3gilsdtWiOwkmgg58EkzlnpCCqm2IDUTokClH5m8Q5qP16duBAN1PU4wioVEYIE7RyWg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwXw9tMFPrw-pY6stl4AaABAg,"Darshan raval voice is heart touching and beautiful, this song is completely understand and miss every person life time person",4 hours ago,Suresh Mule,UCEdMG98XqQVC1BFMqvPRbSA,0,https://yt3.ggpht.com/ytc/AKedOLQuSzIM3vcKZfZAOQBQchh_6qL46GbPLmtGJMJJiA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzNXdSZ7f4dH8mmALp4AaABAg,😍,7 hours ago,Nikita Shree,UC9ZB_EY92sldkd3xQjbbVaA,0,https://yt3.ggpht.com/M5o_8zthwEebyUvzEmDsUn9WeNxEkbmQtbt4VPvLaQg5UM-Pz3wvqWAo-IyXkfbTm3XCO9m2LwY=s176-c-k-c0x00ffffff-no-rj,0.0
UgwpXdg4o1hp_dZ_38p4AaABAg,Iss line ne toh dil hi jeet liya,7 hours ago,Hardik Choudhary,UCAOC2T4dw4VXz7uGEKbC5qA,0,https://yt3.ggpht.com/ytc/AKedOLQ-H7UUXULZYi8mwcX_UDmqcZVh_3OYfA7EixoVGeIsdt2dIf1O_EoyVL3YSx7M=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz0WNJI7KpYd7be4YN4AaABAg,love this song .love and nice song,8 hours ago,BIHAR PHYSICAL ACADEMY LAKHISARAI,UCOtkHnGLXZaBO_WD8GjqDsw,0,https://yt3.ggpht.com/IZckGGA3S9qZam-SY8Zdfe2--20lsZsifEtRsQgSNilcxxRYBCchWagjBwAOkCFhQYy3ULKstQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwh-9hUkmxQ1nOkJnB4AaABAg,This movie omg soooo nice but the ending 💔💔,10 hours ago,Zia’s Mummmy,UC9YWWYeiopL35dt6pm7CpxQ,0,https://yt3.ggpht.com/myyUv6BV1kB1ZKUvpR0KCOwCa1Rd0GbXxk05wBFPzx2TWakP3cafQAOM9ZGHXu9yPLZqLVeHOg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyTEKXMx6BfAs_Jouh4AaABAg,"Today we completed our 4 yrs of our relationship and we're steping to our 5 yrs journey 💜
Lots of love Sweetu from your kuchu ❤️
I know you're watching me from heaven,I will meet you soon my love 💕
I miss you every day,I'm full with tears right now 😔The way you call me Kuchu,I feel so special..! I feel proud to call you my sweetu💜 The way we have our stupid fights, childish talks..is so special.I feel so secure whenever You call me your, whenever I say I'm his loved one..!
I love you and the depth of my heart ❤️
Risikha forever ♾️",15 hours ago,Dipsikha(R)❤️,UCrXV7wfEPTgO9whQ5UGrn3g,0,https://yt3.ggpht.com/rISB5jkm8bnpg5c7USuvzGni_eXcLn1e_FO1kE_Jah2ykvP0HFot7-WiyI69Gc4paRP9tohFDA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz_pnNQoA1SoY7zJJJ4AaABAg,Movie name please,21 hours ago,Saiful Adnan,UCaMJgZcPhBVlSYgSgpEdJbg,0,https://yt3.ggpht.com/ytc/AKedOLTlxgIGRJSm7XezHlXTSsNxIgPR47OLN_Jh6g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxp1-UeZYrah_NaOGl4AaABAg,Awesome song ❤️❤️❤️,1 day ago,@Rohit gautam,UCFwnGeEZ_W5_Y3-dA2NSuSA,0,https://yt3.ggpht.com/MW1Vx1AUIg5heWVeVLEPPNGMFDndoWLdVxW6JwzcLQDqf0x69cwG5eY6xNOAVKzXedozQaLXmA=s176-c-k-c0x00ffffff-no-rj,0.0
