cid,text,time,author,channel,votes,photo,heart
UgwAZeKC9iqXg1Uncf94AaABAg,Such a lovely voice 😍....,1 hour ago,Ankita Ranjan,UCvGzpT_oDdSoy3ruGfI25hg,0,https://yt3.ggpht.com/Ttl5z40VUeWvp8RmgFbyMBFySkcg13u5Koz1hqd1LwNCnfPSysDLMKj-LKin7ssIKMRfdthemQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxkXGrV_OH3mMhIYDh4AaABAg,My favourite song and lovely girl,2 hours ago,Imran Khan,UC3VxyfAfYHMGHOloCDz7oqw,0,https://yt3.ggpht.com/ytc/AKedOLSPVGlizPHPByoUR8AJr41BzYmMZRjA2rDVsw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxFoKRyRvgdaa8-Mi14AaABAg,❤️,4 hours ago,Subarna Mitra ,UCpukYuQmKoJLvTkQF6SGyAA,0,https://yt3.ggpht.com/nf1ulm3Fmo2KGTm0lQiRAKbqi2m5QOtDOxlBm4wy3f2yZUQQATVZ5yTYK5aLGlvxKG6f9cd3Hg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzrdc9Ao3QIlli4FM94AaABAg,Your voice is amazing,5 hours ago,AUDIO TRACK SHOW,UCiPB8qScAhrZLvzowOH9aqg,1,https://yt3.ggpht.com/tRYMmbRMjP0shlfpymPqLvSdMmJ4cyFRIH0m__DcMyXFLxvAKnnyQDdiDw1lSrRkwgvV0sK5=s176-c-k-c0x00ffffff-no-rj,0.0
UgxgrKGo9xLe6xoWJWR4AaABAg,Palak...,15 hours ago,Golu Pandey,UCOQoIvKIfqs_ibpCjJlz78A,0,https://yt3.ggpht.com/ytc/AKedOLSTx5dhBZ4GYe1h0QKgtc7vmQfYv0xxZW-xaA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw0yTPMV_QG4oFZZd54AaABAg,"Today we completed our 4 yrs of our relationship and we're steping to our 5 yrs journey 💜
Lots of love Sweetu from your kuchu ❤️
I know you're watching me from heaven,I will meet you soon my love 💕
I miss you every day,I'm full with tears right now 😔The way you call me Kuchu,I feel so special..! I feel proud to call you my sweetu💜 The way we have our stupid fights, childish talks..is so special.I feel so secure whenever You call me your, whenever I say I'm his loved one..!
I love you and the depth of my heart ❤️
Risikha forever ♾️",15 hours ago,Dipsikha(R)❤️,UCrXV7wfEPTgO9whQ5UGrn3g,0,https://yt3.ggpht.com/rISB5jkm8bnpg5c7USuvzGni_eXcLn1e_FO1kE_Jah2ykvP0HFot7-WiyI69Gc4paRP9tohFDA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw_xhD10fG4GViiyLZ4AaABAg,I love thees song i love you ❤❤❤❤❤❤❤❤,1 day ago,suman,UC8ScmVgrJNeis0qPLsOgvGA,0,https://yt3.ggpht.com/TPoqVB7JhwAF8x1Ir5EejTqNI5tT33W0l-cEJl1ryGsYmPBwcsWFvIy8Kf_inNESzZZE8hVnqiY=s176-c-k-c0x00ffffff-no-rj,0.0
UgwIGUFvhYNTDfICPQZ4AaABAg,"Shreya ghosal , palak Muchhal both of them are very good in voice 👌",1 day ago,Shakti,UCmKJ6rdzvfQEbSVgYzt68Qw,0,https://yt3.ggpht.com/ytc/AKedOLQpRLqmZLO2_JlipLc248xiYdOTAMrKQJLwMdzbOg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxUsSq8qz2ZcTn3-ix4AaABAg,I am so crying for remembering Vikram and dimpal Love story.😭😭,2 days ago,Kumudini Barkul,UCLYSxtIIep_mxSxpvMN5nLg,0,https://yt3.ggpht.com/ytc/AKedOLRmi6ZCsorIVFVEilk9GuFd1ymeqa1F0no6MA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxYv2GE8dG4WBa4YUR4AaABAg,Kama...........das,2 days ago,Rina Rani,UCkI2W6Z1CCB3TwanKACDKVA,0,https://yt3.ggpht.com/ytc/AKedOLRtQnFOEeX9RINj6UUU1dPDJaS4mb6z7V3QhenibunMQtw16ekiwTaRKdWkJIav=s176-c-k-c0x00ffffff-no-rj,0.0
