cid,text,time,author,channel,votes,photo,heart
Ugy3z-vGyYXHQAydby14AaABAg,KKUNDRRA ♥️♥️💖,1 day ago,Tashu Gupta,UCv5dOiGoLH4tdXW6i6TWB9g,0,https://yt3.ggpht.com/ytc/AKedOLQmS_bc4_wfrE9eMkpMh_AmijixiMYkcaUNriKGWjzPZJ0Dls4hjM0A2aG0_YM3=s176-c-k-c0x00ffffff-no-rj,0.0
UgzhOP_6jIqkuM_67qF4AaABAg,#kksquad loves karan,2 days ago,karanfan,UCKK_wz8Kyhg2V3GdygOy76w,0,https://yt3.ggpht.com/ytc/AKedOLRxvZpyjouUAPZOLyt2z3P2J0NV7g4Om5oUDoJ2jZtnfPOAOsFkZis-QbVB2yp-=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw2_BDe-1I9WiULY-d4AaABAg,Kkundrra 💟💟💟,4 days ago,Madhav Prasad Yadav,UClBnR8fDQWV8RzcLU6vRW1Q,0,https://yt3.ggpht.com/ytc/AKedOLRWG6_ibk2EN7ka0d4rjzSMRPpusYK5H48D0w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwx_UoKGyzh2cOzxA54AaABAg,Kkundrra 🥰🥰🥰,4 days ago,Madhav Prasad Yadav,UClBnR8fDQWV8RzcLU6vRW1Q,0,https://yt3.ggpht.com/ytc/AKedOLRWG6_ibk2EN7ka0d4rjzSMRPpusYK5H48D0w=s176-c-k-c0x00ffffff-no-rj,0.0
UgxHngG5cwA6mgVuGup4AaABAg,Love their bonding Nyanu - Sasa,5 days ago,ST,UCLeC9Qm5Ly_tSnarBscfqgQ,0,https://yt3.ggpht.com/ytc/AKedOLTT-FIR_XPhzqcv5ayIsncG275cwrl8fs6gmlCHrAVd5Ki2tSpZSFW_5YdHyOEp9Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgyG8nZ4EcE1V2UAOAh4AaABAg,Kkundrra ✌️❤️,5 days ago,Ravi,UCqqbsMGK7HTqZhxSyd_bcKg,0,https://yt3.ggpht.com/ytc/AKedOLRFmE352PEmgugx7yjxbdtYZhMLPle4Oa-R_sYxqRB2W6vxfXfI2CUjCxteY-Wb=s176-c-k-c0x00ffffff-no-rj,0.0
UgxMidfOYskU9mqNEVJ4AaABAg,Karan kundra ♥️♥️♥️♥️,6 days ago,Wani Asif,UCTlpSd9rsb82fKTQip8F3wg,0,https://yt3.ggpht.com/ytc/AKedOLQeTRCir72228Oc0gGOTC2RcNR0_lHbMB3cEEjR=s176-c-k-c0x00ffffff-no-rj,0.0
UgwE3K-YMYtQAOG7s_F4AaABAg,Kkundrra ❤️❤️❤️,7 days ago,Annu Malik,UC3wbJXFQzjiFpU3XP8RRi1Q,0,https://yt3.ggpht.com/ytc/AKedOLTvff1f11QzZN63gOnvikX49jblq_g0tj3AnyJ5jXx6WCQwtVZKYgU0QXWxr4V2=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz8A2eoJvPpJi1ksUx4AaABAg,Kkundrra 💖❤️💖💖,7 days ago,Annu Malik,UC3wbJXFQzjiFpU3XP8RRi1Q,0,https://yt3.ggpht.com/ytc/AKedOLTvff1f11QzZN63gOnvikX49jblq_g0tj3AnyJ5jXx6WCQwtVZKYgU0QXWxr4V2=s176-c-k-c0x00ffffff-no-rj,0.0
UgxUPV7R15YCihx6emR4AaABAg,Kkundrra ❤️❤️❤️❤️,7 days ago,Annu Malik,UC3wbJXFQzjiFpU3XP8RRi1Q,0,https://yt3.ggpht.com/ytc/AKedOLTvff1f11QzZN63gOnvikX49jblq_g0tj3AnyJ5jXx6WCQwtVZKYgU0QXWxr4V2=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx5wF9JRPsmofHRbMt4AaABAg,Kk is such a cutiee,7 days ago,Sakshi Yadav,UCMeO2wThYkPzc08Pq4u7uJg,0,https://yt3.ggpht.com/ytc/AKedOLRCTUtOS76YTMZ-5aV-DM5la7uToTmJ_eJWdh81yg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxmQ59A5o_PP1bu3e94AaABAg,Beautiful song 😍😍 with beautiful video ..mja aagya behind the scenes dekh k ❤️,7 days ago,pepsim gaming,UCtJ4i-u9No1bih6qBHJcxdg,0,https://yt3.ggpht.com/X9WXfhVsAD2P50ZqUbAvTLbeXpWbgDuUj589ccfRSIEVB4wF3rVwg10QGnpaGFobouvpIeMlKRM=s176-c-k-c0x00ffffff-no-rj,0.0
UgxpO_EvqmJ05nBubCB4AaABAg,Karan is the best part of this.,7 days ago,Maya5,UCczRtKSgcWQgfdQUBjzOY3Q,0,https://yt3.ggpht.com/ytc/AKedOLTovYuKvrViTgm0Am3J_7QgOFSlMT6o9X7QAlP-U86BKI5cvkRVjO0nWxLDRquu=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx92NCZD78iYwLACfl4AaABAg,Wait karte rahunga,12 days ago,God Broken YT,UCXJcKKUT-Js9tmsW9How1yQ,0,https://yt3.ggpht.com/uvpNfoGZTCRxQ2AbYtRHCoCI4A2J_RCOkXGXlHwJ_pPU8W_hYxTFd40EyCvQ7UzLkunwpCph=s176-c-k-c0x00ffffff-no-rj,0.0
UgyDSxv3AhtUeCwed2h4AaABAg,Was eagerly searching for a single glimpse of teja from karan😁❤️..... Anyways this songs is so beautiful all credits to Yasser Desai and sasa's iconic voice and kkundra's expressions and acting😍..... He's a treat to watch for😎❤️.... Always love and happiness to you both... #tejran❤️💕,12 days ago,Haleema Shanum,UCP7OHAk91nEffHuK-77nNUQ,0,https://yt3.ggpht.com/ytc/AKedOLRMCMNAIm8fXKxJobhvucru2dgfNRnNE2PYyHc2=s176-c-k-c0x00ffffff-no-rj,0.0
UgwT2dXPH9jx0C59iY54AaABAg,akasha😍😍😘😘😘,2 weeks ago,soni gurung,UCpvfmAVQN_QPDqdZ92VVRdA,0,https://yt3.ggpht.com/unZOTlf9dl-cRyMOcr4FuAIDUVo3-ba4XPCXyeALxIVs7NeGP3hfo_s7tRmXEjVBK7r5vC5uGkI=s176-c-k-c0x00ffffff-no-rj,0.0
UgxHRG_RPUp5FG_Zy094AaABAg,Kkundrra 🤘🤘,2 weeks ago,Ashu 1234,UCVNSbOUqlVn03dvOK-TDAZw,0,https://yt3.ggpht.com/ytc/AKedOLTXCsMMoY296N9oMjs4VsnLnNj_NQnEcUZz9L5wAw=s176-c-k-c0x00ffffff-no-rj,0.0
UgynBQRhoOMoOJ2ce-x4AaABAg,Kkundrra 😍😍😍,2 weeks ago,Abid Ali,UCirVVEDo4HRVaMIiFXLblcg,0,https://yt3.ggpht.com/ytc/AKedOLTHAx4oRfOEkDI2L9eG3Dy2-Cm1SZgXwdisTpsDQA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzWiJUUeGfBgIW0XCx4AaABAg,Kkundrra 🥰🥰🥰🥰,2 weeks ago,Abid Ali,UCirVVEDo4HRVaMIiFXLblcg,0,https://yt3.ggpht.com/ytc/AKedOLTHAx4oRfOEkDI2L9eG3Dy2-Cm1SZgXwdisTpsDQA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzfQdhjY6T-RpV1vSF4AaABAg,His smile is sanity,2 weeks ago,bhargavi reddy,UCR7t3hEq5IAUo4Fl7gy-_4g,0,https://yt3.ggpht.com/ytc/AKedOLSrVWGq66bxOYmdo6jnN64UaacaAQcuPuN_wQ6j=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw0RKJT3CxX3SJDAe94AaABAg,"Nice!!We want our younger generation to listen songs of Sonu Nigam,Shaan etc.Bored with Neha Kakkar her brother  Badshah etc with meaningless lyrics...",2 weeks ago,PN,UClcir1MdRv6VJfzOXCHY0HQ,0,https://yt3.ggpht.com/ytc/AKedOLQLR-Cvca4x84QW9a-Xo1Hn9dNLwIR82YYOm894JVEzNp6Ipn08l-Nl2Uh1ptF9Og=s176-c-k-c0x00ffffff-no-rj,0.0
UgxguVUQa9YrMmBG1MR4AaABAg,https://youtu.be/vP1YXpO2Tzk,2 weeks ago,Black Black,UCHewsJv3no2hgWJGXyet_Lw,0,https://yt3.ggpht.com/ytc/AKedOLR51FasDCMCz6Sxg3aMYuMzF_jqGa20lbqGHApuEdP-ljZq2NRUdXUtaHFpOrXv=s176-c-k-c0x00ffffff-no-rj,0.0
UgwpjCNQTYMgry_nf6Z4AaABAg,I🔥am youtuber Mera🔥 channel ❤️se aapko help ho sakta hai nice son🎧,2 weeks ago,Sad boy Josim72,UCvkyj4vqOvNmdqVaL6MLkBQ,0,https://yt3.ggpht.com/h3wEEQ_UBj7443BVBKvbMXe5BiGlo2QJRqW-Ts48US29x7jBZEV4a47IwHZRMH6u5yMq4o-ZAw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxxOeJJaVo5NMwLVeR4AaABAg,Mast hai,2 weeks ago,ABP Music ,UCakJfQ21Gz_k3Uhpu3ukFYA,0,https://yt3.ggpht.com/1u6FmShGakZ9Gvk0ucU4MavMWtio5oeFpBnh1gQSD_vXq-O-2qpToc-bwtrYy3h3B1CosLnbIw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzEMaGO8Zd7bJ_t3Ip4AaABAg,Karan is just amazing 😊 person,2 weeks ago,Dawood Mukhlis,UCwO6biNRBJJbSE7cduxUPGQ,0,https://yt3.ggpht.com/ytc/AKedOLRD3-PDKRP0xi93WcEWsqXouF7ciJNY2tXatnpOEwcaeqAifJZluiddSn6f0tVE=s176-c-k-c0x00ffffff-no-rj,0.0
UgwQvoGhVX02tVg8h6F4AaABAg,https://youtu.be/ilkFchwOddg,2 weeks ago,Youtube short video,UCVKzgM2F6_7c1phSBuxp3yw,0,https://yt3.ggpht.com/TojSZqqgxP_h3ZYbYKk7SZ6c8QUHsvoEY7xbj4fa0Fw-DgovtsYVcby2zEIhDqsY9FGJxAyY=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw3b7nuJqIvaQCsFKx4AaABAg,These two karan and akasa are fun & entertaining to watch,2 weeks ago,Smita Tripathi,UC64f9uOmaF09bd8kENg6Pvg,0,https://yt3.ggpht.com/r_u-OVB9wHcCworVWfQ8nLWGg_1pW1rvORMQ1gn2LhBFvChUGVlf6hJ7o-GGlUnrHqgZybLP=s176-c-k-c0x00ffffff-no-rj,0.0
UgxkGO-P6zNzEmUvng14AaABAg,Very nice song bhaiya ji ❣️❣️❣️❣️❣️❣️❣️😍💞💞💞💞💞💞💞 इनके आवाज में जरूर कोई जादू है तभी तो करोड़ों दिलों पर राज करते हैं,2 weeks ago,❣️Mansi thakur 35❣️,UCEmxfAnw92_15BbGiSuT0-Q,0,https://yt3.ggpht.com/BdCQ8NcEAEvOhvrEJh8DMXrVluFq072Mdm879NKSP4X--xoEsq3FO5LPi3yZqv1F2gsmD_HQDQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwIBnVkSG1WSJie8b14AaABAg,https://youtube.com/channel/UC6aQSYx26tB7A45PKg2w2oQ,2 weeks ago,amazing fact check,UChEkixYKLD_z6B75rD6QNIw,0,https://yt3.ggpht.com/PBKNKng4v3CqRWR7P2qnQXSrAqB59Hn7uOPSsZKwMrirlyRktv0ovw4MN_ieoSdA_qcCurk9iw=s176-c-k-c0x00ffffff-no-rj,0.0
