cid,text,time,author,channel,votes,photo,heart
UgwEtwsNFLdQVjJR4Z14AaABAg,"your one click can change my whole life 🙏😭😭🙏,,,",1 month ago,G Chaudhry Sahab,UCPuzI2iKnaPF5VbtfOk_9kQ,0,https://yt3.ggpht.com/ytc/AKedOLSiCTuBzkshvyNrFtdjJ54rGGVicriSIJekZ-HE=s176-c-k-c0x00ffffff-no-rj,0.0
UgzNdT4UivdeEFaD89x4AaABAg,"""""I respect everyone who were involve in this serisel the best peace that I""be ever seen on YouTube,HATS OFF TO WELL ALL! LOVE YOUR VIDEOS!!",1 month ago,Umang FF 1.2k,UCzMur6FWc2PfjwCojfcfC8g,1,https://yt3.ggpht.com/RIcHsQiTYVknAA0VtqefTUi7neGLeLJONjxe2pSOo5esX61WceeMAjqjo_tatnclLzNDrjRmkQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwo6N84yiNrTTswgmB4AaABAg,This song is melting my heart..,1 month ago,kipaak․com,UC3gXvcYT5TTRnWyhiBzAqQA,0,https://yt3.ggpht.com/1BN4LDZhbMVS-zQiq8k91PN8BJH7lShF0R1rYFecRLIAAaFCHnumm0IjLqDx_RqjOjCs18Raeg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz0UEllMdYU2uU4q_R4AaABAg,Nice 👌👌,1 month ago,Himanshu Kesharwani,UC0PZvcaPVYDwjPfbyNPYyXA,0,https://yt3.ggpht.com/ytc/AKedOLSfPdQEjR-IVG5-gc-wEfgxhncfsP197KaCRxRi=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxi2biSa6gr1sCkJ4Z4AaABAg,https://youtu.be/9d2Alr6b4Xk,1 month ago,suraj Lodha Raj put,UC5M_XwDI18FZGPUPbUv6IEw,0,https://yt3.ggpht.com/3FNN3PJZNhomY3H-6sNXVaFcmGa7vsnae3ZVNm-yAo5VhG6oXFQp4FeKJHEZlL7dqXIpAMdS6ts=s176-c-k-c0x00ffffff-no-rj,0.0
UgyZGMCxHy0wZfGY10F4AaABAg,https://youtu.be/9d2Alr6b4Xk,1 month ago,suraj Lodha Raj put,UC5M_XwDI18FZGPUPbUv6IEw,0,https://yt3.ggpht.com/3FNN3PJZNhomY3H-6sNXVaFcmGa7vsnae3ZVNm-yAo5VhG6oXFQp4FeKJHEZlL7dqXIpAMdS6ts=s176-c-k-c0x00ffffff-no-rj,0.0
UgyExxXY8IanSIZwM-B4AaABAg,Soothing smooth,1 month ago,Beats By Churchil,UC_WE1mw14cPHQvpZKnCiA9w,0,https://yt3.ggpht.com/6HsxmQE7OWUPBr5WmG1k2vrSD2I3Hwf96kmejDRVkEEHWVhOPdMX3q731UNXF7EShJV4FRCy=s176-c-k-c0x00ffffff-no-rj,0.0
UgzzIumNck-RIcUAxrF4AaABAg,The hardest thing a small YouTuber can feel is when you wake up in the morning and nothing has changed on your channel😱😱😱😱😱😱,1 month ago,Sofia Ansari official,UCDQeuMZovBCBnWda41oFAAw,1,https://yt3.ggpht.com/OuRlA5jdimuDWWfa-pW28NYW13civRchiaYN9M_WrZFc_bTUXuU_-k4EgVCdVZ0_d1ma-Me2hw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyF_LsLuxuSkNeXA1Z4AaABAg,Wow nice song 💕💕,1 month ago,Sofia Ansari official,UCDQeuMZovBCBnWda41oFAAw,1,https://yt3.ggpht.com/OuRlA5jdimuDWWfa-pW28NYW13civRchiaYN9M_WrZFc_bTUXuU_-k4EgVCdVZ0_d1ma-Me2hw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzB8QNw-q_NZdov7UN4AaABAg,Mast h song,1 month ago,RAVI_2.0,UC4IZPvyxb712Yq6PUeIGEdg,1,https://yt3.ggpht.com/2vTyCo5dHu3-_BFU7luzkQAHxWlZ_JFF-ma8g_wfL2TRwNFkv58hn6klLfIWk7rvBUe2QpuA5A=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxf5CtnQJVa4X_ZkYN4AaABAg,What's the name of that singer??,1 month ago,Duffie My Labrador,UCBWunmckkNI11wVzM5Mxr1A,0,https://yt3.ggpht.com/ytc/AKedOLQRCtrfwwAkziofFf0QqKJJZPGvLvgZtHWyS7ZOxQ=s176-c-k-c0x00ffffff-no-rj,0.0
