cid,text,time,author,channel,votes,photo,heart
UgzGPnpdAat1cFip64d4AaABAg,Nice,1 month ago,Shivam Dwivedi,UCYtVbaHx9a_ffVfr8KkNu3w,0,https://yt3.ggpht.com/ytc/AKedOLQOa_ynieeHH2cX4G-QhyoGJw_Ik9QXLLL9Qw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyyVr_gjvjLyH5YPmt4AaABAg,❤❤❤❤,1 month ago,Indra Pratap Singh Chhotu,UCIoa8OhnS958Ou_ToCPg_IQ,0,https://yt3.ggpht.com/ytc/AKedOLTvBe4AqIN_9OPbmfxEtxEgkeINJUiF27L562iazw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzJ-ZtAwC5O4A4zQvR4AaABAg,1000 subscribe chalang with 13 video please complete,1 month ago,PS MUSIC WORLD,UC8lTVQ3qIg_TVaym92yGGTA,0,https://yt3.ggpht.com/ePYn-cpmt5vIiJzmpebO2Aurw2RpRVEOZIBdWlOlnNFYG6FVsAmSHGPDA0PEVNLcCv5DVTEAhQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxP8nyLEfG3wP-XldF4AaABAg,https://youtu.be/XI1gnmR1u1I,2 months ago,Shivani Aggarwal,UCDwRZJifk3mrX2B4kOAsipg,0,https://yt3.ggpht.com/ytc/AKedOLTOk5DQEeQWR7uXeyL_o7bO4payYs8t0u8bEOtyKswKqzCUaqziutBWBPJ4aT9M=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyoy4LjUht7wiFQoAB4AaABAg,"your one click can change my whole life 🙏😭😭🙏,,,,,,,,,,,,",2 months ago,G Chaudhry Sahab,UCPuzI2iKnaPF5VbtfOk_9kQ,0,https://yt3.ggpht.com/ytc/AKedOLSiCTuBzkshvyNrFtdjJ54rGGVicriSIJekZ-HE=s176-c-k-c0x00ffffff-no-rj,0.0
UgySNWVuCImJMG80SjN4AaABAg,Nice 👌,2 months ago,Himanshu Kesharwani,UC0PZvcaPVYDwjPfbyNPYyXA,0,https://yt3.ggpht.com/ytc/AKedOLSfPdQEjR-IVG5-gc-wEfgxhncfsP197KaCRxRi=s176-c-k-c0x00ffffff-no-rj,0.0
UgzwHTP5cDtzIS5A_5J4AaABAg,Sach sach btao Rahat sir ki poem churai hai na tm logo ne 😠😠..,2 months ago,KRISHNA Praveen,UCRzX2Pk8ZSMMSdYJ1-ILAWg,0,https://yt3.ggpht.com/ytc/AKedOLTplCGIlL75SK9oreWqJQrWuILdSL2uZXbTMiHhiSICRzfxXwPTqFcNHyXGElGD=s176-c-k-c0x00ffffff-no-rj,0.0
UgyD3ZCi4ICOsPGdjg94AaABAg,Rahat Indauri Sir ka likha hua Sher hai ye .....Aaj Hmare Bheech hote😥 to Sunkr Khush hote 🤗,2 months ago,KRISHNA Praveen,UCRzX2Pk8ZSMMSdYJ1-ILAWg,0,https://yt3.ggpht.com/ytc/AKedOLTplCGIlL75SK9oreWqJQrWuILdSL2uZXbTMiHhiSICRzfxXwPTqFcNHyXGElGD=s176-c-k-c0x00ffffff-no-rj,0.0
UgyIsvgtHVKGrY2RibZ4AaABAg,I love only you my valentine💚💜💛🧡❤️touchwood to our relationship🌺🌺🌺,2 months ago,Singer Trupti,UCTX2Nzty3Uu0sJFGJ9XnLMg,0,https://yt3.ggpht.com/ytc/AKedOLTrffgEoW_XpLAjZcYnhz3fhvHHglp7GWj0fg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyf3JZAx5i-8qs3SvR4AaABAg,"मातृभूमि की रक्षा करते हुए 14 फरवरी, 2019 को पुलवामा आतंकी हमले में शहीद मां भारती के वीर सपूतों के चरणों में विनम्र श्रद्धांजलि पुलवामा हमला 😭😭😭",2 months ago,MR. BHARAT HACKER [SHORT],UCWYfFS8c4YUI4vMbnhuSH1Q,1,https://yt3.ggpht.com/kXbvle-m8F4E1SuWtKtpWKx_V3RcwY4wIjaP870CcnXPkvfmWqZhyq2P2nmwrYdF3ZYTFVdyrg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwkmXThbbpHWnkiyyd4AaABAg,"""""Mast video song hai guys"""".",2 months ago,Parvej  Patel,UCLTl24EViVPYp1dGwwi2yQQ,0,https://yt3.ggpht.com/SiSZuFk7A4rBtbPzH8ap_2V4nD-9G5oTPaeqDICTzJeV1ezWdBIeO8Ms3SA-yeoEImsVF_8CAw=s176-c-k-c0x00ffffff-no-rj,0.0
