cid,text,time,author,channel,votes,photo,heart
UgysXQYOSRNVzvnIg0p4AaABAg,"Nothing,, we just want Jubin Nautiyal, Darshan Raval, Tulsi Kumar together in a single song❤️❤️",1 month ago,NT Bollywood Songs,UC33fzA-OGu7nsblLJGfvUuQ,1,https://yt3.ggpht.com/e5PItB5RB2qKxFIyUu_7A_J6r8EFWM3YbADNphK5iYobNaWX2QWcdSpZzxF2tVwwOurDh5cw2Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgyF4ReB7FWh8ow2zFd4AaABAg,OLD is GILD ❤️,1 month ago,BAD BOY,UCTIjRWolox7Rd3WWZf1IEeg,0,https://yt3.ggpht.com/ytc/AKedOLR2GSsmSfmdgcNdFnHPr10pWzKm0m2nOfgfCSyG=s176-c-k-c0x00ffffff-no-rj,0.0
UgzheIorb3doxEzCIj94AaABAg,"😜मच्छर ने आपको काटा ये उसका जुनून था,😜

फिर आपने वहाँ खुजाया ये आपका सुकून था,😜

चाह कर भी आप उसे मार नहीं पाये,😜

ग़ौर फ़रमाइये हुज़ूर चाह कर भी आप उसे मार नहीं पाये,😜

क्योंकि उसकी रगों में आप ही का ख़ून था। 😜😜😜😜",1 month ago,1k subscribe challenge Dear 🙏🌹,UCHNEtsvQILXHoh07K1Ltz1g,0,https://yt3.ggpht.com/8gtq-goesQ6h_ERY8bA7r3Wk1l8YkUAshM-v8JnETsF3WOP_So253bkh37qGMIK5usXW9fX5hbU=s176-c-k-c0x00ffffff-no-rj,0.0
UgxvLz85qswrEYOae8x4AaABAg,"Hello dear, can you upload a Sinhala Music Video on your Youtube Channel",1 month ago,Thushan Perera,UCvrUh6ft69CXmxN2Jk3ejBA,0,https://yt3.ggpht.com/ytc/AKedOLQyXd01IP287KPWCklOYOBGZMOEy7bUMZzdhugteA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyooWhACuQeGA3-QEZ4AaABAg,Excellent 👌👍🙏,1 month ago,Life Elevators,UC80RIIHSHbw9vQzBdHSkoAg,0,https://yt3.ggpht.com/XhkWTbqTcsFhXzGuYqqOEIZhVRyos1gqLlBVp0VZiJewTUPg2IPQ6r6TXp4eA2FsWfJbi2qExw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyyzBTVcbV7Zp7v2sl4AaABAg,"PLZ UPLOAD ISHQ HE TUMSE, GUNAAH MOVIE HD SONGS",1 month ago,Nils Garden,UC7dPoF1YDvKPmucf-ZpiPMQ,0,https://yt3.ggpht.com/tY0MC6HjPxKAF2hl9Fme_C2EJ_Kjyf3SAVkQgdVtY40g2efoecu2K675O48Q1P0NiIOE2y77ZQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz3Qbh4RP-cDQPrS6N4AaABAg,https://youtu.be/Yky-IuCXIjg 😂😂,1 month ago,MRP 85,UCdaCs8Sac_RNDn2raPTEUtA,0,https://yt3.ggpht.com/l4cwPXRKBe1uohdAn9Lbmzz92FlY1qRI87wvtJADxWRGMsao_MAdi0h54lpXXehHUrMPIMcV2Q=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy9IL_Xa5c6NjqurQ54AaABAg,Nice video oo🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍,1 month ago,ONLINE.JOB.&EARN,UCVsR2-EatUH0zlmTTPBRVxg,0,https://yt3.ggpht.com/JbIeFi55OSVaBo88H8NbZZ7qe7TAc5hO0BgZLYM3ltUxqqHCuu1azpKw1CtITeprSuKdjYeU76A=s176-c-k-c0x00ffffff-no-rj,0.0
UgyO81tbuDR1A-ereR54AaABAg,😍😍😍😍😍😍😍,1 month ago,ONLINE.JOB.&EARN,UCVsR2-EatUH0zlmTTPBRVxg,0,https://yt3.ggpht.com/JbIeFi55OSVaBo88H8NbZZ7qe7TAc5hO0BgZLYM3ltUxqqHCuu1azpKw1CtITeprSuKdjYeU76A=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzsw-kb6PupOL74pS14AaABAg,wow Amazing and Very Very  Nice Video Superb 👍👍👌👌💯💯🙏🙏,1 month ago,UP EXPERT,UCR6OO93ZiYnRcLULwtDigAw,0,https://yt3.ggpht.com/vafVcszGYmR3fAU2ZNBqITRegN2gWsLyboNdzh0ycT5S64KSUMFmwGhtMLlkUBKJCw6GPhKj0w=s176-c-k-c0x00ffffff-no-rj,0.0
