cid,text,time,author,channel,votes,photo,heart
UgyOk-LrCDoqEzYgOAF4AaABAg,KKHH is true loveee 💕🤌🏻,1 month ago,Niharika Singh,UC7QFtiopZ9QW8lnwXTd60Yg,0,https://yt3.ggpht.com/ytc/AKedOLQNdx9K2F99EG3xWq8x5nFVwRm2VhXl8nlf2QBGAw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy-ZLknGtcFiYj5B5l4AaABAg,This movie is emotions 🥺❤️,1 month ago,Amaze Reels,UCLZbs3p7VmlZh1GmZAkW7yQ,0,https://yt3.ggpht.com/z5_P6gX6HBPU0t4XmZA6lKmMGJjjgjFwcGFbmuH3uWYZeQdsKYzCyqa9oPJJX_Gu7w1XacdpovI=s176-c-k-c0x00ffffff-no-rj,0.0
UgxR9LK5R4BYtLgYM494AaABAg,This song is giving me the sad breakup vibes that I never had 🤣😭,1 month ago (edited),ssssssss_25,UCdz6ieA4zAfP6ZKOYdTTPeA,0,https://yt3.ggpht.com/5DkKm2wqyeaVJ35z7kVic_68TlhDay8TkAMRiNsDa32L4aov6X4Y2wo4e-1brwEar8W4Lg8U=s176-c-k-c0x00ffffff-no-rj,0.0
UgwenMHJxwNwHfL3BKl4AaABAg,I think we can feel this sound,1 month ago,Indranil Chakraborty,UC1sapOBEBlR2wm6dcVmcc9A,0,https://yt3.ggpht.com/ytc/AKedOLT97tX4cxDP0e8_QLKM2pV7l7ZNHc3V5mam6MWQCA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwpN_ta7T-Eg50WNHl4AaABAg,some feelings always left unsaid ^^,2 months ago,zayokii,UCl3BeQySQUykNiJ61CwFSYA,0,https://yt3.ggpht.com/D4vO9mul7Kt7OQQC9El2Zv_up4mhbx-kgEVwfbh0YCPgin9qbCQcT1MQ96zDJkD4EreX_lR4=s176-c-k-c0x00ffffff-no-rj,0.0
UgxB1dCI4XtZPlkuMmF4AaABAg,So less views!! Aren't people fond of great music taste,2 months ago,213 A D,UC8baceC-9FmeMLM_dCDK1nA,1,https://yt3.ggpht.com/ytc/AKedOLSeKzI7iqayPk1MbIDlz3Y8MsWXfX8DaOpnVYIt=s176-c-k-c0x00ffffff-no-rj,0.0
UgyYZqeFeIRaIMJQCWp4AaABAg,https://youtu.be/NIM5hJs6HBM like version,3 months ago,Игор Рахимов,UCvdvooIEDtahIp99GrWg92g,0,https://yt3.ggpht.com/ytc/AKedOLTP3rZFI1HegHy13nOjhsaNTTSS_NpS1ZcoJvnLfQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxsvgFqAVbD0NgtNKF4AaABAg,Amezing ❤❤,3 months ago,Shailesh Pagare,UCnzRdjq9J2EZ1YGSbj1H-lw,0,https://yt3.ggpht.com/ytc/AKedOLTyEeiT4G50XAD-AvDtR7ZitiK1GAedonk7Vbo-GA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyKQVyAUcsBlkV1Th54AaABAg,🤍,3 months ago,Nowrin Sirajee,UCslXf6ZNn1MMSFTcrL5yClw,0,https://yt3.ggpht.com/ytc/AKedOLTAac7l0onqhEJ1FyUmguBTN7C3BG7fPwOAiOJH5g=s176-c-k-c0x00ffffff-no-rj,0.0
UgwIu5whnJu8FEbib8V4AaABAg,_🖤 হঠাৎ কেমন যেন সেই ছোট্টবেলায় চলে গেলাম।,3 months ago,SMART BOY,UC1e2UbUNZW-9pLrmNY_D5Gg,0,https://yt3.ggpht.com/ytc/AKedOLRmo2i2p1wRhUQS6QkJLYpShkrulJfUWLJrkw=s176-c-k-c0x00ffffff-no-rj,0.0
