cid,text,time,author,channel,votes,photo,heart
UgyawAVcU1EId5P5mQp4AaABAg,https://m.youtube.com/channel/UCQk7_hr494zs0-NJ8CPD4fQ,2 months ago,soni Tech Universe,UCQk7_hr494zs0-NJ8CPD4fQ,0,https://yt3.ggpht.com/o4E0nJdEUm6de87rrnjvWh9abODI2e3l0RKmx0OpDnJqOD01ZHIqGZOi04XJY_4AxyJVSoVttg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyQtRo5fYMtSzxYLXl4AaABAg,Yaseer you are an amazing singer. Very catchy &funny song🥰,3 months ago (edited),Raaj Abhi,UCUOVghDYZRu2-F6E2LLyHlg,0,https://yt3.ggpht.com/ytc/AKedOLS_fA8i3EXTQoetJR1nYWarO7fMg90J-Kd6d6ifh9jK6go02ae2zFUtW7nusxTO=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw3uJZ4kX2U3IaRS_h4AaABAg,Very funny song..life ki lagi hai but maza aa gaya.,3 months ago,Raaj Abhi,UCUOVghDYZRu2-F6E2LLyHlg,0,https://yt3.ggpht.com/ytc/AKedOLS_fA8i3EXTQoetJR1nYWarO7fMg90J-Kd6d6ifh9jK6go02ae2zFUtW7nusxTO=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw09DkFtOvBaKQi4d14AaABAg,Zabardast song♥️,3 months ago,Raaj Abhi,UCUOVghDYZRu2-F6E2LLyHlg,0,https://yt3.ggpht.com/ytc/AKedOLS_fA8i3EXTQoetJR1nYWarO7fMg90J-Kd6d6ifh9jK6go02ae2zFUtW7nusxTO=s176-c-k-c0x00ffffff-no-rj,0.0
UgzwXBaU-fmRVMsKdv54AaABAg,Yaseer Desai is just awesome as always👌,4 months ago,Babloo K,UCrkOx6vULUXzHG0q0AgD-EA,1,https://yt3.ggpht.com/ytc/AKedOLSMTNafC3GGyBLkVz3igpaexTjgM-9WQlK_OEJTHeeIxmLBntDMmHXONqd6K2rA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx7OB3-Xa9DdJlJJj94AaABAg,Mind blowing satire song..also loved it's interesting lyrics.,4 months ago,Babloo K,UCrkOx6vULUXzHG0q0AgD-EA,1,https://yt3.ggpht.com/ytc/AKedOLSMTNafC3GGyBLkVz3igpaexTjgM-9WQlK_OEJTHeeIxmLBntDMmHXONqd6K2rA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwPP-OvuKe4ferSbGt4AaABAg,Hii,4 months ago,Dilip kumar Kumar dilip kumar,UC6FU6NWfzpNS9lF7b-tE2UQ,0,https://yt3.ggpht.com/6ogafwuxc39Umhr1oPdEQfwv_T39zN7sC8eiEgR-SJd6clX_fnxSn2u9SMPHb4cnR3KI4jDTpQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyo5mklzvGgtQkCfk14AaABAg,Oh Yasser oh! You're so freakin versatile! 🙌 you're just amazing!,4 months ago (edited),Tazain Mahmood,UC_t-Gy6CP8G1v0W9-qth7FQ,1,https://yt3.ggpht.com/ytc/AKedOLSE94FuZuKb1kCHBs9aNhQHl8UuoxcCn4fERd2MXw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwr5GZLb1UDVlbTRjR4AaABAg,Pehle Covid 19 uske baad omricon saala ye pandemic jaane ka naam hi nahi le rha..infact duniya ki toh lag gayi re.. sahi song banaya hai👌,4 months ago,Manav Manav,UCdSqdh89-fEqUmmhTYIoL6Q,0,https://yt3.ggpht.com/ytc/AKedOLSOEazMx0yzUFTBKF1Twzh2rj4pBbLCZO9D7pXO2_EJTSzTHMt1Ops-ngzguAQr=s176-c-k-c0x00ffffff-no-rj,0.0
Ugylw5JCmQnyqclB5SB4AaABAg,Wow..zabardast song..,4 months ago,Manav Manav,UCdSqdh89-fEqUmmhTYIoL6Q,1,https://yt3.ggpht.com/ytc/AKedOLSOEazMx0yzUFTBKF1Twzh2rj4pBbLCZO9D7pXO2_EJTSzTHMt1Ops-ngzguAQr=s176-c-k-c0x00ffffff-no-rj,0.0
