cid,text,time,author,channel,votes,photo,heart
UgxY953dg4ZqzfH8r_F4AaABAg,lyrics,1 month ago,PackersForever,UCZS4b6feYdAAYy_E07Bpg9A,0,https://yt3.ggpht.com/ytc/AKedOLRiDcEfDMNAMorEElxsltlIWnLpW3tTq8gMzcsU=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx93r8ddn5lE1CWd2R4AaABAg,Legends amitabh sir sab actor ka baap🤩😘😍😍😍,1 month ago,Rupesh Sahu,UCTYuG5R2iM7zV43ZtfHat-g,0,https://yt3.ggpht.com/ytc/AKedOLQ584FblYQbF9acs1qYrNXEIZNiQXrDXBZB0DuIXpo=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz0fTQoccXf7TJF4hB4AaABAg,2022 version😯 https://youtu.be/fxFCYMXw7ag,1 month ago,Raju Bhaiyya,UCoNdQbGe6kT0QKgljrLuIVg,0,https://yt3.ggpht.com/ytc/AKedOLRFmE352PEmgugx7yjxbdtYZhMLPle4Oa-R_sYxqRB2W6vxfXfI2CUjCxteY-Wb=s176-c-k-c0x00ffffff-no-rj,0.0
UgxbId57tpDwV_Rko4J4AaABAg,"""""I respect everyone who were involve in this serisel the best peace that I""be ever seen on YouTube,HATS OFF TO WELL ALL! LOVE YOUR VIDEOS!!:-P :",1 month ago,Umang FF 1.2k,UCzMur6FWc2PfjwCojfcfC8g,0,https://yt3.ggpht.com/RIcHsQiTYVknAA0VtqefTUi7neGLeLJONjxe2pSOo5esX61WceeMAjqjo_tatnclLzNDrjRmkQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyCyirpuo2-cRmc4hd4AaABAg,Every policeman should  like this 🇮🇳,1 month ago,Aditya Kurliye,UCb_FLD1XfzYB5hiYx7rC70g,1,https://yt3.ggpht.com/-EuvOI6Ep9obQi5cIn-jndqNWAZh1SjHUCZC0IRC3YJ0MWr7UaEwaUkwzrFJOBphbwbLTH8KlQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy8BL5513NVNfjhbHx4AaABAg,Congratulations for 5cr+,1 month ago,Aditya Kurliye,UCb_FLD1XfzYB5hiYx7rC70g,1,https://yt3.ggpht.com/-EuvOI6Ep9obQi5cIn-jndqNWAZh1SjHUCZC0IRC3YJ0MWr7UaEwaUkwzrFJOBphbwbLTH8KlQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyd6mAPJwhH1YbdQFF4AaABAg,🎉50M🎉,1 month ago,MyPeople🅥,UC6QRNlQ2fqgqbhLIY4i1bjg,1,https://yt3.ggpht.com/zOWstXzijH9oWvzyKSCtrUsTTEximILN-6s_RX_jwtGIcc6IctOPsA99ljAq166lT8RVTp_y=s176-c-k-c0x00ffffff-no-rj,0.0
UgyRRUxRAvRiQC3K6SZ4AaABAg,Many many congratulations for 50 million subscriber 😍😍,1 month ago,geremsha basumatary,UCjvngY--i8EDAzhL7FUxp4w,1,https://yt3.ggpht.com/6KuiO91l24iCvPJu4Jjii89heH-T3DpEmezrUa3j92XAdgQmLcrf2_m-z2UO3h0ncp3LCFHjBA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzmZa7rx6vlzdP8Fzx4AaABAg,"🌟Branded song bhaii
Majja aa gya ❣️",1 month ago,Dj Rinku mixer,UCWB6Ipfg3P0vx5AuaeaqQXA,0,https://yt3.ggpht.com/DnwFPlar0iUOvltOGtYFXBpVoEbTcfpDHKUkAjfS-tRKz1X4XK8ZABuKnakVXGABN3lJqgV_=s176-c-k-c0x00ffffff-no-rj,0.0
UgxLLUv-Y0ggiM7Sq9B4AaABAg,"ʏᴀʀᴜᴋᴜʟᴀᴀᴍ 
💓ꜱᴛᴇᴘʜᴇɴ ᴢᴇᴄʜᴀʀɪᴀʜ💓
       ꜱᴏɴɢꜱ ᴘᴜᴅɪᴋᴜᴍ❣️

 ɪɴᴛʜᴀ ᴄʜᴀɴɴᴇʟ ʟᴀ ꜱᴛᴇᴘʜᴇɴ ᴢᴇᴄʜᴀʀɪᴀʜ ꜱᴏɴɢꜱ ᴘᴏᴛᴛᴜ ɪʀᴜᴋᴏᴏᴍ ᴘᴜᴅɪᴄʜɪ ɪʀᴜɴᴛʜᴀ ʟɪᴋᴇ ᴘᴀɴᴜɢᴀ ꜱᴜᴘᴘᴏʀᴛ ᴘᴀɴᴜɢᴀ ꜰʀɪᴇɴᴅꜱ...❣️",1 month ago,ᴍʀ ʙᴇᴀᴛᴢ ᴏꜰꜰɪᴄɪᴀʟ,UCgENn3SphOeVfM7o3RzpCYg,0,https://yt3.ggpht.com/Qw56E8UfGEe-1UxnK_arcJSg-Bj_m3TjE_NYJYnr73hpSx8cnwkErePkrMp_zIOdYyHZOnCRLQ=s176-c-k-c0x00ffffff-no-rj,0.0
